Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,31.96,32.01,32.17,31.76,18162100,32.01,-0.9483302923932867,-0.9488220030302763,-0.9483302923932867,-0.9514332169274126,-0.9483595298876747
03.01.2014,31.95,31.92,32.13,31.87,11693900,31.92,-0.9514522441071231,-0.9491687783861453,-0.9514522441071231,-0.9528051070784045,-0.9444991196730573
06.01.2014,31.94,31.8,32.08,31.75,15329400,31.8,-0.9556148463922386,-0.9495155537420142,-0.9556148463922386,-0.9545199697671444,-0.9487104762708218
07.01.2014,31.96,32.12,32.19,31.82,16792200,32.12,-0.9445145736319309,-0.9488220030302763,-0.9445145736319309,-0.9507472718519168,-0.9462538515887925
08.01.2014,32.07,32.01,32.17,31.87,16111600,32.01,-0.9483302923932867,-0.9450074741157175,-0.9483302923932867,-0.9514332169274126,-0.9444991196730573
09.01.2014,32.12,31.95,32.12,31.79,13623500,31.95,-0.9504115935358444,-0.9432735973363726,-0.9504115935358444,-0.9531480796161526,-0.9473066907382337
10.01.2014,32.03,32.34,32.37,31.9,15402900,32.34,-0.9368831361092193,-0.9463945755391934,-0.9368831361092193,-0.9445737661724534,-0.9434462805236162
13.01.2014,32.2,32.03,32.42,31.99,20848300,32.03,-0.9476365253457674,-0.9404993944894205,-0.9476365253457674,-0.9428589034837135,-0.9402877630752929
14.01.2014,32.06,32.42,32.46,32.0,13486400,32.42,-0.9341080679191424,-0.9453542494715864,-0.9341080679191424,-0.9414870133327216,-0.9399368166921458
15.01.2014,32.42,32.59,32.73,32.35,17010900,32.59,-0.9282110480152288,-0.9328703366603028,-0.9282110480152288,-0.9322267548135267,-0.9276536932819994
16.01.2014,32.58,32.49,32.9,32.39,13463000,32.49,-0.931679883252825,-0.9273219309663991,-0.931679883252825,-0.9263962216718111,-0.9262499077494113
17.01.2014,32.35,32.42,32.65,32.27,14051100,32.42,-0.9341080679191424,-0.9352977641513858,-0.9341080679191424,-0.9349705351155103,-0.9304612643471757
21.01.2014,32.69,32.34,32.69,32.08,13540000,32.34,-0.9368831361092193,-0.9235074020518402,-0.9368831361092193,-0.9335986449645185,-0.9371292456269695
22.01.2014,32.27,32.23,32.48,32.2,14006300,32.23,-0.9406988548705753,-0.9380719669983376,-0.9406988548705753,-0.9408010682572258,-0.9329178890292049
23.01.2014,32.39,32.37,32.47,32.19,14174200,32.37,-0.9358424855379406,-0.9339106627279098,-0.9358424855379406,-0.9411440407949737,-0.9332688354123522
24.01.2014,32.18,31.49,32.21,31.49,26815600,31.49,-0.9663682356287867,-0.9411929452011586,-0.9663682356287867,-0.9500613267764207,-0.9578350822326449
27.01.2014,31.62,30.96,31.71,30.96,19073800,30.96,-0.9847530623880464,-0.960612365129822,-0.9847530623880464,-0.9672099536638191,-0.976435240539438
28.01.2014,31.06,31.48,31.51,31.04,13899900,31.48,-0.9667151191525463,-0.9800317850584854,-0.9667151191525463,-0.9740694044187784,-0.9736276694742617
29.01.2014,31.55,31.37,31.61,31.15,16553600,31.37,-0.970530837913902,-0.9630397926209049,-0.970530837913902,-0.9706396790412988,-0.9697672592596442
30.01.2014,31.56,31.74,31.87,31.47,12975500,31.74,-0.9576961475347964,-0.962693017265036,-0.9576961475347964,-0.9617223930598516,-0.958536974998939
31.01.2014,31.42,31.31,31.57,31.13,17039700,31.31,-0.9726121390564598,-0.9675478722472017,-0.9726121390564598,-0.9720115691922906,-0.9704691520259383
03.02.2014,31.47,30.41,31.47,30.4,21272600,30.41,-1.0038316561948253,-0.9658139954678568,-1.0038316561948253,-0.9754412945697704,-0.9960882379956723
