Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,21132.61,20521.21,21242.35,20411.47,31025000,20521.21,-1.266307650998951,-1.2348183101611068,-1.266307650998951,-1.2408434231446843,-1.2603681887811757
03.01.2014,20380.11,20317.4,20552.56,20176.31,26496600,20317.4,-1.2765022588639063,-1.2723865570985662,-1.2765022588639063,-1.275032268295198,-1.2722152125438286
06.01.2014,20427.15,20489.85,20693.65,20317.41,19735800,20489.85,-1.2678762830711998,-1.270038104824894,-1.2678762830711998,-1.2680392643921463,-1.2651067967719698
07.01.2014,20380.12,20442.83,20662.3,20301.73,19763200,20442.83,-1.2702282307764652,-1.2723860578527597,-1.2702282307764652,-1.2695931000457055,-1.2658967326989914
08.01.2014,20380.11,20239.02,20442.82,20176.31,20474650,20239.02,-1.280422838641421,-1.2723865570985662,-1.280422838641421,-1.2804714365446903,-1.2722152125438286
09.01.2014,20489.86,19988.19,20489.86,19988.19,21250950,19988.19,-1.2929693942116423,-1.2669073343724715,-1.2929693942116423,-1.2781399396023163,-1.2816924285254168
10.01.2014,19988.19,19941.16,20160.64,19941.16,18189150,19941.16,-1.2953218421184616,-1.2919529987460465,-1.2953218421184616,-1.2944574443507937,-1.2840617325208137
13.01.2014,20113.6,20301.73,20333.08,19956.83,16449350,20301.73,-1.277286074698477,-1.2856919570870078,-1.277286074698477,-1.2859106047941826,-1.2832723003794597
14.01.2014,20333.08,20583.92,20850.43,20223.34,14716650,20583.92,-1.2631708870560072,-1.2747345101264314,-1.2631708870560072,-1.26026859920028,-1.2698459085484317
15.01.2014,20850.43,20364.44,20866.11,20348.76,11747450,20364.44,-1.2741493107555335,-1.2489060283282991,-1.2741493107555335,-1.2594914335528218,-1.2635274287035945
