Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,12.91,12.73,12.92,12.7,6029100,12.73,-1.0857424050408244,-1.0801565795100962,-1.0857424050408244,-1.080562582186472,-1.0860830449132624
03.01.2014,12.68,12.58,12.74,12.56,11362700,12.58,-1.0893466318586846,-1.0856726792433933,-1.0893466318586846,-1.0848220822519667,-1.0894952014526353
06.01.2014,12.61,12.54,12.63,12.51,10370200,12.54,-1.090307759010114,-1.087351492205701,-1.090307759010114,-1.087425110069769,-1.090713828788126
07.01.2014,12.54,12.55,12.6,12.49,13083100,12.55,-1.0900674772222565,-1.0890303051680088,-1.0900674772222565,-1.0881350267473515,-1.0912012797223218
08.01.2014,12.66,12.69,12.74,12.66,13428900,12.69,-1.0867035321922538,-1.0861523400897668,-1.0867035321922538,-1.0848220822519667,-1.0870579467816548
09.01.2014,12.6,12.44,12.61,12.37,9422200,12.44,-1.0927105768886876,-1.0875913226288878,-1.0927105768886876,-1.087898387854824,-1.094125985327499
10.01.2014,12.5,12.54,12.63,12.48,11148000,12.54,-1.090307759010114,-1.0899896268607563,-1.090307759010114,-1.087425110069769,-1.09144500518942
13.01.2014,12.63,12.55,12.72,12.54,10286100,12.55,-1.0900674772222565,-1.0868718313593273,-1.0900674772222565,-1.0852953600370217,-1.0899826523868317
14.01.2014,12.66,12.9,12.91,12.65,13334500,12.9,-1.0816576146472494,-1.0861523400897668,-1.0816576146472494,-1.0807992210789996,-1.0873016722487527
15.01.2014,12.97,13.03,13.14,12.94,15510900,13.03,-1.078533951405104,-1.0787175969709755,-1.078533951405104,-1.0753565265508673,-1.0802336337029086
16.01.2014,13.29,13.47,13.49,13.28,21768200,13.47,-1.0679615527393806,-1.0710430234289972,-1.0679615527393806,-1.0670741653124054,-1.071946967821574
17.01.2014,13.34,13.19,13.34,13.14,14574800,13.19,-1.0746894427993865,-1.0698438713130631,-1.0746894427993865,-1.0706237487003176,-1.075359124360947
21.01.2014,13.19,13.13,13.23,13.08,8371500,13.13,-1.0761311335265304,-1.0734413276608654,-1.0761311335265304,-1.07322677651812,-1.0768214771635356
22.01.2014,13.19,13.33,13.35,13.15,12870700,13.33,-1.0713254977693836,-1.0734413276608654,-1.0713254977693836,-1.0703871098077902,-1.075115398893849
23.01.2014,13.21,13.14,13.32,13.07,8872200,13.14,-1.0758908517386732,-1.0729616668144917,-1.0758908517386732,-1.0710970264853727,-1.0770652026306335
24.01.2014,13.15,13.04,13.19,13.0,12403200,13.04,-1.0782936696172467,-1.0744006493536127,-1.0782936696172467,-1.07417333208823,-1.07877128090032
27.01.2014,12.85,12.73,12.86,12.63,11006600,12.73,-1.0857424050408244,-1.0815955620492173,-1.0857424050408244,-1.0819824155416369,-1.0877891231829488
28.01.2014,12.76,12.74,12.81,12.66,7525700,12.74,-1.085502123252967,-1.0837540358578988,-1.085502123252967,-1.0831656100042744,-1.0870579467816548
29.01.2014,12.71,12.63,12.8,12.6,9378900,12.63,-1.0881452229193977,-1.0849531879738328,-1.0881452229193977,-1.0834022488968018,-1.0885202995842431
30.01.2014,12.71,12.72,12.81,12.69,7230000,12.72,-1.0859826868286817,-1.0849531879738328,-1.0859826868286817,-1.0831656100042744,-1.0863267703803605
31.01.2014,12.62,12.56,12.71,12.52,13590600,12.56,-1.0898271954343992,-1.0871116617825143,-1.0898271954343992,-1.085531998929549,-1.0904701033210278
03.02.2014,12.63,12.45,12.7,12.38,14171700,12.45,-1.0924702951008303,-1.0868718313593273,-1.0924702951008303,-1.0857686378220766,-1.0938822598604008
04.02.2014,12.45,12.43,12.52,12.4,12321900,12.43,-1.0929508586765448,-1.0911887789766903,-1.0929508586765448,-1.0900281378875716,-1.0933948089262047
05.02.2014,12.34,12.22,12.37,12.2,14334100,12.22,-1.097996776221549,-1.0938269136317456,-1.097996776221549,-1.0935777212754838,-1.0982693182681662
06.02.2014,12.4,12.61,12.61,12.4,10142700,12.61,-1.0886257864951125,-1.0923879310926246,-1.0886257864951125,-1.087898387854824,-1.0933948089262047
07.02.2014,12.7,12.74,12.82,12.68,9430700,12.74,-1.085502123252967,-1.0851930183970198,-1.085502123252967,-1.082928971111747,-1.0865704958474585
10.02.2014,12.72,12.81,12.86,12.69,8003300,12.81,-1.0838201507379654,-1.084713357550646,-1.0838201507379654,-1.0819824155416369,-1.0863267703803605
11.02.2014,12.84,12.91,12.95,12.76,9631800,12.91,-1.0814173328593921,-1.0818353924724042,-1.0814173328593921,-1.0798526655088896,-1.084620692110674
12.02.2014,12.96,12.9,12.99,12.86,6962800,12.9,-1.0816576146472494,-1.0789574273941622,-1.0816576146472494,-1.0789061099387796,-1.0821834374396933
13.02.2014,12.8,12.95,13.0,12.8,6564600,12.95,-1.0804562057079627,-1.0827947141651513,-1.0804562057079627,-1.078669471046252,-1.0836457902422818
14.02.2014,13.07,13.28,13.33,13.06,11269900,13.28,-1.0725269067086702,-1.0763192927391072,-1.0725269067086702,-1.0708603875928453,-1.0773089280977317
18.02.2014,13.29,13.2,13.32,13.12,6412700,13.2,-1.0744491610115292,-1.0710430234289972,-1.0744491610115292,-1.0710970264853727,-1.0758465752951434
19.02.2014,13.16,13.18,13.27,13.07,8702500,13.18,-1.0749297245872438,-1.0741608189304257,-1.0749297245872438,-1.0722802209480102,-1.0770652026306335
20.02.2014,13.06,13.13,13.19,12.96,11836500,13.13,-1.0761311335265304,-1.076559123162294,-1.0761311335265304,-1.07417333208823,-1.0797461827687125
21.02.2014,13.22,13.17,13.26,13.13,6013200,13.17,-1.075170006375101,-1.072721836391305,-1.075170006375101,-1.0725168598405377,-1.075602849828045
24.02.2014,13.15,13.13,13.2,13.1,5499200,13.13,-1.0761311335265304,-1.0744006493536127,-1.0761311335265304,-1.0739366931957024,-1.0763340262293393
25.02.2014,13.09,13.08,13.15,13.06,5944700,13.08,-1.0773325424658173,-1.0758396318927337,-1.0773325424658173,-1.0751198876583399,-1.0773089280977317
26.02.2014,13.09,13.23,13.26,13.08,9376100,13.23,-1.0737283156479571,-1.0758396318927337,-1.0737283156479571,-1.0725168598405377,-1.0768214771635356
27.02.2014,13.22,13.37,13.37,13.2,8659800,13.37,-1.0703643706179542,-1.072721836391305,-1.0703643706179542,-1.0699138320227353,-1.0738967715583585
28.02.2014,13.38,13.41,13.47,13.35,11279600,13.41,-1.0694032434665246,-1.0688845496203156,-1.0694032434665246,-1.0675474430974605,-1.0702408895518873
03.03.2014,13.26,13.38,13.42,13.19,18168800,13.38,-1.0701240888300967,-1.0717625146985577,-1.0701240888300967,-1.0687306375600978,-1.0741404970254567
04.03.2014,13.41,13.39,13.46,13.37,12548700,13.39,-1.0698838070422394,-1.0681650583507551,-1.0698838070422394,-1.067784081989988,-1.0697534386176915
05.03.2014,13.61,13.65,13.67,13.55,9863100,13.65,-1.0636364805579486,-1.0633684498870186,-1.0636364805579486,-1.0628146652469108,-1.065366380209926
06.03.2014,13.91,14.01,14.02,13.86,14240300,14.01,-1.054986336195084,-1.0561735371914138,-1.054986336195084,-1.0545323040084489,-1.0578108907298855
07.03.2014,14.11,13.93,14.12,13.87,14153200,13.93,-1.0569085904979427,-1.0513769287276775,-1.0569085904979427,-1.0521659150831741,-1.0575671652627876
10.03.2014,13.88,14.07,14.07,13.86,10652100,14.07,-1.0535446454679398,-1.0568930284609743,-1.0535446454679398,-1.0533491095458114,-1.0578108907298855
11.03.2014,14.04,13.93,14.07,13.87,8748200,13.93,-1.0569085904979427,-1.0530557416899853,-1.0569085904979427,-1.0533491095458114,-1.0575671652627876
12.03.2014,13.93,14.42,14.47,13.93,21260500,14.42,-1.0451347828929327,-1.0556938763450403,-1.0451347828929327,-1.043883553844712,-1.056104812460199
13.03.2014,14.41,14.3,14.49,14.24,18414700,14.3,-1.0480181643472208,-1.0441820160320727,-1.0480181643472208,-1.043410276059657,-1.0485493229801586
14.03.2014,14.21,14.03,14.32,14.02,13077400,14.03,-1.0545057726193692,-1.0489786244958093,-1.0545057726193692,-1.0474331372326242,-1.0539112832563164
17.03.2014,14.13,14.18,14.22,14.07,10786300,14.18,-1.0509015458015092,-1.0508972678813038,-1.0509015458015092,-1.0497995261578992,-1.052692655920826
18.03.2014,14.16,14.24,14.25,14.13,11987400,14.24,-1.049459855074365,-1.0501777766117433,-1.049459855074365,-1.0490896094803166,-1.0512303031182375
19.03.2014,14.16,14.01,14.18,13.93,10596800,14.01,-1.054986336195084,-1.0501777766117433,-1.054986336195084,-1.0507460817280092,-1.056104812460199
20.03.2014,13.77,13.99,13.99,13.71,13124200,13.99,-1.0554668997707986,-1.0595311631160294,-1.0554668997707986,-1.0552422206860312,-1.0614667727363567
21.03.2014,13.94,13.75,13.99,13.67,12885000,13.75,-1.061233662679375,-1.0554540459218535,-1.061233662679375,-1.0552422206860312,-1.062441674604749
24.03.2014,13.81,13.84,13.86,13.66,7898200,13.84,-1.059071126588659,-1.058571841423282,-1.059071126588659,-1.0583185262888886,-1.0626854000718473
25.03.2014,13.95,14.19,14.24,13.95,17129500,14.19,-1.050661264013652,-1.0552142154986668,-1.050661264013652,-1.049326248372844,-1.055617361526003
26.03.2014,14.3,14.17,14.36,14.16,10597800,14.17,-1.0511418275893665,-1.0468201506871277,-1.0511418275893665,-1.0464865816625144,-1.0504991267169435
27.03.2014,14.1,14.41,14.47,14.1,14222200,14.41,-1.04537506468079,-1.0516167591508643,-1.04537506468079,-1.043883553844712,-1.0519614795195318
28.03.2014,14.44,14.58,14.77,14.44,11246400,14.58,-1.0412902742872152,-1.0434625247625124,-1.0412902742872152,-1.0367843870688878,-1.0436748136381973
31.03.2014,14.65,14.86,14.87,14.64,14482300,14.86,-1.0345623842272096,-1.038426085875589,-1.0345623842272096,-1.0344179981436128,-1.0388003042962357
01.04.2014,14.9,15.08,15.11,14.89,16133600,15.08,-1.029276184894348,-1.0324303252959184,-1.029276184894348,-1.028738664722953,-1.0327071676187838
02.04.2014,15.07,14.87,15.1,14.84,14875200,14.87,-1.0343221024393523,-1.0283532081017424,-1.0343221024393523,-1.0289753036154805,-1.0339257949542742
03.04.2014,14.82,14.8,14.91,14.7,14904400,14.8,-1.0360040749543535,-1.034348968681413,-1.0360040749543535,-1.0334714425735028,-1.0373379514936472
04.04.2014,14.87,14.67,14.99,14.64,14585200,14.67,-1.039127738196499,-1.0331498165654789,-1.039127738196499,-1.031578331433283,-1.0388003042962357
07.04.2014,14.59,14.65,14.7,14.56,9693500,14.65,-1.0396083017722137,-1.03986506841471,-1.0396083017722137,-1.03844085931658,-1.0407501080330201
08.04.2014,14.76,14.83,14.83,14.69,9181600,14.83,-1.0352832295907817,-1.035787951220534,-1.0352832295907817,-1.0353645537137226,-1.0375816769607453
09.04.2014,14.82,14.96,15.0,14.82,9754100,14.96,-1.032159566348636,-1.034348968681413,-1.032159566348636,-1.0313416925407555,-1.0344132458884703
10.04.2014,15.0,14.71,15.07,14.69,9776500,14.71,-1.0381666110450696,-1.0300320210640501,-1.0381666110450696,-1.029685220293063,-1.0375816769607453
11.04.2014,14.71,14.76,14.82,14.65,8414400,14.76,-1.036965202105783,-1.036987103336468,-1.036965202105783,-1.03560119260625,-1.0385565788291375
14.04.2014,14.89,15.04,15.09,14.83,9819500,15.04,-1.0302373120457773,-1.0326701557191051,-1.0302373120457773,-1.029211942508008,-1.0341695204213723
15.04.2014,15.09,15.22,15.26,14.89,22468600,15.22,-1.025912239864345,-1.0278735472553688,-1.025912239864345,-1.0251890813350408,-1.0327071676187838
16.04.2014,15.15,14.96,15.16,14.88,15121500,14.96,-1.032159566348636,-1.0264345647162478,-1.032159566348636,-1.0275554702603158,-1.0329508930858817
17.04.2014,15.28,15.38,15.53,15.27,20492800,15.38,-1.0220677312586275,-1.023316769214819,-1.0220677312586275,-1.0187998312367987,-1.023445599869057
21.04.2014,15.14,15.26,15.28,15.04,11525800,15.26,-1.0249511127129156,-1.0266743951394346,-1.0249511127129156,-1.024715803549986,-1.0290512856123126
22.04.2014,15.13,15.26,15.28,15.1,11191200,15.26,-1.0249511127129156,-1.0269142255626214,-1.0249511127129156,-1.024715803549986,-1.027588932809724
23.04.2014,15.12,15.15,15.19,15.07,9031700,15.15,-1.0275942123793464,-1.0271540559858083,-1.0275942123793464,-1.0268455535827332,-1.0283201092110184
24.04.2014,15.17,15.26,15.29,15.04,12202800,15.26,-1.0249511127129156,-1.025954903869874,-1.0249511127129156,-1.0244791646574585,-1.0290512856123126
25.04.2014,14.9,14.78,14.96,14.73,15474700,14.78,-1.0364846385300683,-1.0324303252959184,-1.0364846385300683,-1.0322882481108653,-1.0366067750923529
28.04.2014,14.94,15.07,15.08,14.89,14382700,15.07,-1.0295164666822052,-1.0314710036031711,-1.0295164666822052,-1.0294485814005356,-1.0327071676187838
29.04.2014,15.06,14.92,15.14,14.9,13771200,14.92,-1.0331206935000654,-1.0285930385249291,-1.0331206935000654,-1.0280287480453707,-1.0324634421516858
30.04.2014,14.82,14.92,14.92,14.7,12965700,14.92,-1.0331206935000654,-1.034348968681413,-1.0331206935000654,-1.0332348036809753,-1.0373379514936472
01.05.2014,14.91,14.67,14.93,14.66,10276400,14.67,-1.039127738196499,-1.0321904948727314,-1.039127738196499,-1.0329981647884479,-1.0383128533620396
02.05.2014,14.66,14.56,14.7,14.56,11073200,14.56,-1.0417708378629298,-1.0381862554524022,-1.0417708378629298,-1.03844085931658,-1.0407501080330201
05.05.2014,14.5,14.59,14.64,14.47,7061200,14.59,-1.041049992499358,-1.0420235422233914,-1.041049992499358,-1.0398606926717449,-1.042943637236903
06.05.2014,14.68,14.84,14.91,14.64,10549900,14.84,-1.0350429478029244,-1.0377065946060284,-1.0350429478029244,-1.0334714425735028,-1.0388003042962357
07.05.2014,14.87,15.09,15.1,14.82,14637400,15.09,-1.0290359031064906,-1.0331498165654789,-1.0290359031064906,-1.0289753036154805,-1.0344132458884703
08.05.2014,15.1,15.22,15.28,15.09,13522200,15.22,-1.025912239864345,-1.0276337168321819,-1.025912239864345,-1.024715803549986,-1.0278326582768222
