Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,11.85,11.8,11.9,11.77,230000,11.8,-1.5612819320055842,-1.5582593321290081,-1.5612819320055842,-1.5590246591967796,-1.5607347340690148
03.01.2014,11.74,11.69,11.74,11.63,254000,11.69,-1.5677843685635724,-1.5647640097276618,-1.5677843685635724,-1.5683900467426628,-1.5691154592795309
06.01.2014,11.72,11.64,11.72,11.62,249000,11.64,-1.5707400215444758,-1.5659466783819627,-1.5707400215444758,-1.5695607201858983,-1.5697140825088538
07.01.2014,11.6,11.68,11.68,11.59,239500,11.68,-1.568375499159753,-1.5730426903077663,-1.568375499159753,-1.5719020670723691,-1.5715099521968214
08.01.2014,11.78,11.83,11.83,11.73,340000,11.83,-1.559508540217042,-1.5623986724190606,-1.559508540217042,-1.5631220162481037,-1.563129226986305
09.01.2014,11.66,11.58,11.66,11.52,262000,11.58,-1.5742868051215604,-1.5694946843448645,-1.5742868051215604,-1.5730727405156044,-1.5757003148020796
10.01.2014,11.65,11.83,11.84,11.65,277500,11.83,-1.559508540217042,-1.570086018672015,-1.559508540217042,-1.562536679526486,-1.567918212820886
13.01.2014,11.74,11.63,11.75,11.6,291500,11.63,-1.5713311521406563,-1.5647640097276618,-1.5713311521406563,-1.5678047100210453,-1.5709113289674987
14.01.2014,11.63,11.79,11.79,11.63,259500,11.79,-1.561873062601765,-1.5712686873263153,-1.561873062601765,-1.5654633631345745,-1.5691154592795309
15.01.2014,11.96,12.03,12.08,11.95,310000,12.03,-1.5476859282934274,-1.5517546545303547,-1.5476859282934274,-1.548488598207661,-1.549959515941208
16.01.2014,12.09,12.05,12.09,12.04,237500,12.05,-1.5465036671010661,-1.5440673082774006,-1.5465036671010661,-1.5479032614860433,-1.5445719068773047
17.01.2014,12.43,12.5,12.54,12.42,374000,12.5,-1.5199027902729334,-1.5239619411542895,-1.5199027902729334,-1.5215631090132464,-1.521824224163046
21.01.2014,12.29,12.26,12.34,12.18,468000,12.26,-1.534089924581271,-1.532240621734394,-1.534089924581271,-1.5332698434456007,-1.5361911816667884
