Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,28.41,28.37,28.5,28.34,9270200,28.37,-1.4039853910843283,-1.3977604008739128,-1.4039853910843283,-1.417030001270996,-1.3707158734308669
03.01.2014,28.56,28.03,28.56,27.92,12022200,28.03,-1.4593682324964838,-1.373322566086082,-1.4593682324964838,-1.4073304013483652,-1.439581417408969
06.01.2014,28.24,28.19,28.41,27.91,16054800,28.19,-1.4333057188907636,-1.425456613633455,-1.4333057188907636,-1.4315794011549423,-1.4412210732179718
07.01.2014,28.44,28.54,28.6,28.13,17594600,28.54,-1.376293970378251,-1.3928728339163463,-1.376293970378251,-1.4008640013999443,-1.4051486454199182
08.01.2014,28.5,28.38,28.72,28.3,13110700,28.38,-1.4023564839839713,-1.3830977000012141,-1.4023564839839713,-1.3814648015546827,-1.3772744966668766
09.01.2014,28.34,27.8,28.39,27.79,14567000,27.8,-1.4968330958047065,-1.4091647237749008,-1.4968330958047065,-1.4348126011291527,-1.460896942926001
10.01.2014,28.0,27.95,28.14,27.76,11445900,27.95,-1.4723994892993442,-1.4645571492939846,-1.4723994892993442,-1.4752276008067815,-1.465815910353008
13.01.2014,27.89,27.52,27.95,27.48,18784000,27.52,-1.542442494614717,-1.482478228138394,-1.542442494614717,-1.5059430005617798,-1.5117262730050764
14.01.2014,27.53,27.55,27.64,27.26,19270700,27.55,-1.5375557733136442,-1.5411290316291886,-1.5375557733136442,-1.5560576001620394,-1.5477987008031298
15.01.2014,27.71,28.25,28.31,27.67,21722300,28.25,-1.4235322762886187,-1.5118036298837914,-1.4235322762886187,-1.4477454010259942,-1.4805728126340298
16.01.2014,28.24,28.4,28.48,28.06,14193200,28.4,-1.3990986697832564,-1.425456613633455,-1.3990986697832564,-1.420263201245206,-1.4166262360829354
17.01.2014,28.48,28.3,28.5,28.09,15988600,28.3,-1.415387740786831,-1.386356077972925,-1.415387740786831,-1.417030001270996,-1.4117072686559278
21.01.2014,28.58,27.92,28.62,27.37,33165500,27.92,-1.4772862106004163,-1.3700641881143711,-1.4772862106004163,-1.397630801425734,-1.529762486904103
22.01.2014,27.76,27.7,27.81,27.56,17975700,27.7,-1.513122166808282,-1.503657684954514,-1.513122166808282,-1.528575400381252,-1.4986090265330572
