Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,5.1,5.07,5.15,5.02,7637500,5.07,-0.4661723741218702,-0.45194819282993265,-0.4661723741218702,-0.4615776475946012,-0.45641044373871187
03.01.2014,4.91,4.88,5.01,4.86,13632350,4.88,-0.593309375090973,-0.5787335790011068,-0.593309375090973,-0.5530524325574651,-0.5659146138320817
06.01.2014,4.73,4.69,4.78,4.52,47380544,4.69,-0.7204463760600752,-0.6988460501106402,-0.7204463760600752,-0.7033324364250263,-0.7986109752804942
07.01.2014,4.69,4.67,4.71,4.63,16495976,4.67,-0.7338292182673495,-0.7255377103572033,-0.7338292182673495,-0.7490698289064582,-0.7233268583413018
08.01.2014,4.69,4.7,4.73,4.65,10609953,4.7,-0.7137549549564384,-0.7255377103572033,-0.7137549549564384,-0.7360020024831917,-0.7096388370796303
09.01.2014,4.66,4.59,4.69,4.58,10837853,4.59,-0.7873605870964454,-0.7455564555421257,-0.7873605870964454,-0.7621376553297242,-0.7575469114954799
10.01.2014,4.67,4.52,4.67,4.5,13382594,4.52,-0.8342005348219044,-0.7388835404804851,-0.8342005348219044,-0.7752054817529908,-0.8122989965421652
13.01.2014,4.42,4.63,4.67,4.42,17267755,4.63,-0.7605949026818974,-0.905706417021504,-0.7605949026818974,-0.7752054817529908,-0.8670510815888504
14.01.2014,4.6,4.56,4.6,4.45,12278726,4.56,-0.8074348504073564,-0.7855939459119705,-0.8074348504073564,-0.8209428742344227,-0.8465190496963433
15.01.2014,4.57,4.52,4.6,4.5,14934807,4.52,-0.8342005348219044,-0.8056126910968924,-0.8342005348219044,-0.8209428742344227,-0.8122989965421652
16.01.2014,4.58,4.52,4.58,4.48,13752833,4.52,-0.8342005348219044,-0.7989397760352518,-0.8342005348219044,-0.8340107006576886,-0.8259870178038362
17.01.2014,4.52,4.52,4.62,4.5,5841573,4.52,-0.8342005348219044,-0.8389772664050966,-0.8342005348219044,-0.8078750478111562,-0.8122989965421652
20.01.2014,4.48,4.4,4.51,4.39,10252546,4.4,-0.9144975880655476,-0.8656689266516592,-0.9144975880655476,-0.8797480931391205,-0.8875831134813575
21.01.2014,4.52,4.49,4.57,4.46,13069892,4.49,-0.8542747981328149,-0.8389772664050966,-0.8542747981328149,-0.8405446138693216,-0.8396750390655078
22.01.2014,4.5,4.63,4.64,4.42,15991584,4.63,-0.7605949026818974,-0.8523230965283779,-0.7605949026818974,-0.7948072213878902,-0.8670510815888504
23.01.2014,4.67,4.62,4.71,4.54,17472443,4.62,-0.7672863237855343,-0.7388835404804851,-0.7672863237855343,-0.7490698289064582,-0.7849229540188226
24.01.2014,4.71,4.48,4.71,4.48,17112636,4.48,-0.8609662192364518,-0.712191880233922,-0.8609662192364518,-0.7490698289064582,-0.8259870178038362
27.01.2014,4.44,4.26,4.44,4.24,28563377,4.26,-1.0081774835164656,-0.8923605868982222,-1.0081774835164656,-0.9254854856205519,-0.9902432729438918
28.01.2014,4.17,4.31,4.34,4.15,18437568,4.31,-0.9747203779982809,-1.072529293562523,-0.9747203779982809,-0.9908246177368834,-1.0518393686214125
29.01.2014,4.3,4.39,4.42,4.3,14109000,4.39,-0.921189009169185,-0.9857813977611932,-0.921189009169185,-0.9385533120438184,-0.9491792091588782
30.01.2014,4.35,4.31,4.35,4.26,8418388,4.31,-0.9747203779982809,-0.9524168224529895,-0.9747203779982809,-0.9842907045252504,-0.9765552516822208
04.02.2014,4.3,4.16,4.3,4.13,12849401,4.16,-1.0750916945528353,-0.9857813977611932,-1.0750916945528353,-1.0169602705834158,-1.0655273898830842
