Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
30.06.2005,1.32,1.36,1.4,1.32,331845800,1.36,-0.6875201269586962,-0.7035014337234872,-0.6875201269586962,-0.6824454531676329,-0.6941230238854135
04.07.2005,1.35,1.36,1.36,1.34,46554300,1.36,-0.6875201269586962,-0.6921724510860839,-0.6875201269586962,-0.6971821937260722,-0.6863673772609747
05.07.2005,1.35,1.37,1.38,1.34,33576400,1.37,-0.6837460763477144,-0.6921724510860839,-0.6837460763477144,-0.6898138234468526,-0.6863673772609747
06.07.2005,1.37,1.37,1.38,1.35,15930200,1.37,-0.6837460763477144,-0.6846197959944818,-0.6837460763477144,-0.6898138234468526,-0.6824895539487553
07.07.2005,1.35,1.34,1.37,1.34,37977550,1.34,-0.6950682281806598,-0.6921724510860839,-0.6950682281806598,-0.6934980085864623,-0.6863673772609747
08.07.2005,1.34,1.34,1.35,1.33,42187990,1.34,-0.6950682281806598,-0.695948778631885,-0.6950682281806598,-0.7008663788656819,-0.6902452005731942
11.07.2005,1.35,1.35,1.36,1.34,11897600,1.35,-0.691294177569678,-0.6921724510860839,-0.691294177569678,-0.6971821937260722,-0.6863673772609747
12.07.2005,1.34,1.35,1.36,1.34,12303980,1.35,-0.691294177569678,-0.695948778631885,-0.691294177569678,-0.6971821937260722,-0.6863673772609747
13.07.2005,1.34,1.32,1.34,1.3,35112350,1.32,-0.7026163294026234,-0.695948778631885,-0.7026163294026234,-0.7045505640052918,-0.7018786705098523
14.07.2005,1.32,1.31,1.34,1.3,32310200,1.31,-0.7063903800136052,-0.7035014337234872,-0.7063903800136052,-0.7045505640052918,-0.7018786705098523
15.07.2005,1.3,1.27,1.31,1.26,36793250,1.27,-0.7214865824575324,-0.7110540888150892,-0.7214865824575324,-0.7156031194241212,-0.7173899637587298
18.07.2005,1.29,1.35,1.35,1.28,26929500,1.35,-0.691294177569678,-0.7148304163608903,-0.691294177569678,-0.7008663788656819,-0.709634317134291
19.07.2005,1.34,1.32,1.34,1.31,16857750,1.32,-0.7026163294026234,-0.695948778631885,-0.7026163294026234,-0.7045505640052918,-0.6980008471976329
