Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
06.11.2015,12.55,12.45,12.55,12.66,12.42,1775788
09.11.2015,12.5,12.63,12.5,12.63,12.46,52918
10.11.2015,12.44,12.51,12.44,12.7,12.42,236784
11.11.2015,12.38,12.48,12.38,12.82,12.25,1004556
12.11.2015,12.42,12.36,12.42,12.52,12.35,56239
13.11.2015,12.35,12.36,12.35,12.41,12.32,87951
16.11.2015,12.32,12.3,12.32,12.35,12.23,258113
17.11.2015,12.46,12.35,12.46,12.47,12.24,18695
18.11.2015,12.42,12.5,12.42,12.54,12.42,10807
19.11.2015,12.25,12.45,12.25,12.54,12.11,300403
20.11.2015,12.45,12.29,12.45,12.45,12.16,73367
23.11.2015,12.34,12.42,12.34,12.51,12.32,12983
24.11.2015,12.17,12.26,12.17,12.29,12.1,138382
25.11.2015,12.27,12.26,12.27,12.4,12.1,149170
26.11.2015,12.23,12.16,12.23,12.23,12.07,140238
27.11.2015,12.52,12.11,12.52,13.78,12.11,338301
30.11.2015,12.29,12.35,12.29,12.85,12.2,92367
01.12.2015,12.27,12.29,12.27,12.29,12.01,208612
02.12.2015,12.42,12.2,12.42,12.42,12.15,21406
03.12.2015,12.79,12.26,12.79,12.88,12.26,50901
04.12.2015,12.6,12.84,12.6,12.92,12.54,39959
07.12.2015,13.53,12.73,13.53,13.66,12.73,193657
08.12.2015,13.34,13.47,13.34,13.59,13.1,74626
09.12.2015,13.26,13.35,13.26,13.35,12.93,53303
10.12.2015,12.96,13.47,12.96,13.47,12.57,34089
11.12.2015,12.88,12.95,12.88,12.97,12.7,13199
14.12.2015,12.82,13.2,12.82,13.23,12.75,67666
15.12.2015,12.79,12.63,12.79,13.22,12.54,38926
16.12.2015,12.93,13.04,12.93,13.08,12.87,8994
17.12.2015,12.73,13.13,12.73,13.13,12.52,99648
18.12.2015,12.55,12.71,12.55,12.9,12.52,16441
21.12.2015,12.66,12.65,12.66,12.9,12.62,11021
22.12.2015,12.7,12.89,12.7,12.89,12.7,11302
23.12.2015,13.02,12.82,13.02,13.02,12.55,26447
25.12.2015,13.02,13.02,13.02,13.02,13.02,0
28.12.2015,12.93,13.03,12.93,13.03,12.67,7065
29.12.2015,12.82,12.91,12.82,12.91,12.71,8359
30.12.2015,12.5,12.74,12.5,12.94,12.35,57848
04.01.2016,12.6,12.5,12.6,12.6,12.35,11119
05.01.2016,12.73,12.63,12.73,12.73,12.42,15933
06.01.2016,12.54,12.73,12.54,12.73,12.52,6533
07.01.2016,12.23,12.43,12.23,12.43,12.21,27502
08.01.2016,12.04,12.45,12.04,12.47,12.04,8781
11.01.2016,12.23,11.98,12.23,12.35,11.98,21680
12.01.2016,12.29,12.42,12.29,12.42,12.17,14415
13.01.2016,12.14,12.42,12.14,12.42,12.11,53118
14.01.2016,11.48,12.09,11.48,12.14,11.31,32571
15.01.2016,10.86,11.36,10.86,11.56,10.8,51959
18.01.2016,10.86,11.05,10.86,11.05,10.82,11129
19.01.2016,10.86,11.11,10.86,11.11,10.72,28699
20.01.2016,10.56,10.86,10.56,10.99,10.32,37014
21.01.2016,10.52,10.55,10.52,10.68,10.43,9102
22.01.2016,10.62,10.68,10.62,10.83,10.53,89148
25.01.2016,10.53,10.68,10.53,11.39,10.45,14139
26.01.2016,10.86,10.55,10.86,10.99,10.36,7934
27.01.2016,10.75,10.89,10.75,10.93,10.63,5991
28.01.2016,10.55,10.86,10.55,10.86,10.55,9752
29.01.2016,10.51,10.74,10.51,10.87,10.51,11239
01.02.2016,10.28,10.32,10.28,10.63,10.28,7551
02.02.2016,10.31,10.37,10.31,10.54,10.31,9869
03.02.2016,10.24,10.42,10.24,10.42,10.07,29732
04.02.2016,10.5,10.24,10.5,10.74,10.06,9682
05.02.2016,10.26,10.51,10.26,10.73,10.26,3571
08.02.2016,9.68,10.28,9.68,10.76,9.53,37651
09.02.2016,9.25,9.62,9.25,9.72,9.18,22984
10.02.2016,9.31,9.19,9.31,9.9,9.06,32297
11.02.2016,9.59,9.44,9.59,10.43,9.28,32420
12.02.2016,9.41,9.75,9.41,9.89,9.37,26495
15.02.2016,9.68,9.93,9.68,9.99,9.58,21318
16.02.2016,9.41,9.52,9.41,9.66,9.32,15994
17.02.2016,9.72,9.44,9.72,9.82,9.44,3919
18.02.2016,10.8,9.9,10.8,11.03,9.9,16064
19.02.2016,10.6,10.61,10.6,10.75,10.56,9082
22.02.2016,10.74,10.79,10.74,10.86,10.62,40090
23.02.2016,10.09,10.83,10.09,11.02,10.09,27799
24.02.2016,9.92,10.15,9.92,10.15,9.79,5792
25.02.2016,10.49,10.06,10.49,10.92,10.06,10454
26.02.2016,10.62,10.68,10.62,10.69,10.26,14363
29.02.2016,10.86,10.55,10.86,10.86,10.44,7841
01.03.2016,11.12,10.95,11.12,11.17,10.85,22173
02.03.2016,10.78,11.17,10.78,11.27,10.55,28131
03.03.2016,10.4,10.8,10.4,10.96,10.06,17706
04.03.2016,10.8,10.42,10.8,10.85,10.42,7377
07.03.2016,10.77,10.85,10.77,10.96,10.59,11826
08.03.2016,10.16,10.62,10.16,10.72,10.08,19671
09.03.2016,10.11,10.38,10.11,10.53,10.11,7148
10.03.2016,10.05,10.29,10.05,10.39,9.95,26417
11.03.2016,10.01,10.21,10.01,10.27,9.95,14176
14.03.2016,10.55,10.27,10.55,10.55,10.24,4690
15.03.2016,10.55,10.43,10.55,10.64,10.35,12218
16.03.2016,10.5,10.45,10.5,10.66,10.45,11629
17.03.2016,10.4,10.53,10.4,10.7,10.28,22303
18.03.2016,10.61,10.35,10.61,10.62,10.35,15033
21.03.2016,10.62,10.37,10.62,10.7,9.83,20909
22.03.2016,10.4,10.31,10.4,10.52,10.15,10910
23.03.2016,10.88,10.46,10.88,11.04,10.15,52620
24.03.2016,10.68,10.69,10.68,10.83,10.5,32165
29.03.2016,10.32,10.74,10.32,10.74,10.32,11427
30.03.2016,10.06,10.31,10.06,10.46,9.94,40730
31.03.2016,9.99,10.09,9.99,10.46,9.95,29526
01.04.2016,9.81,9.93,9.81,10.11,9.7,17753
04.04.2016,10.07,9.95,10.07,10.32,9.95,16882
05.04.2016,10.07,10.12,10.07,10.17,9.93,12624
06.04.2016,10.19,10.13,10.19,10.4,10.0,18472
07.04.2016,10.09,10.24,10.09,10.24,10.01,3194
08.04.2016,10.21,10.18,10.21,10.24,10.05,15327
11.04.2016,10.06,10.03,10.06,10.18,10.03,6183
12.04.2016,10.1,10.01,10.1,10.12,9.98,5418
13.04.2016,10.18,10.18,10.18,10.24,9.96,31973
14.04.2016,10.11,10.12,10.11,10.22,10.05,9338
15.04.2016,10.03,10.07,10.03,10.2,10.02,6524
18.04.2016,10.09,10.16,10.09,10.19,10.04,6482
19.04.2016,10.14,10.15,10.14,10.18,10.0,18469
20.04.2016,10.15,10.12,10.15,10.31,10.08,14715
