Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,64011.08,62666.31,66162.72,62397.36,603612,62666.31,2.402012205208124,2.468492016486538,2.402012205208124,2.5059842038910327,2.4522936211247206
03.01.2014,62935.28,64549.0,64817.95,61590.5,505773,64549.0,2.507580216313919,2.408323929330318,2.507580216313919,2.4324701044178805,2.406209454893992
06.01.2014,66431.66,66431.66,67238.53,64548.99,551566,66431.66,2.6131465452307543,2.6038718904488007,2.6131465452307543,2.564795155469527,2.5751849214581393
07.01.2014,69659.14,70197.04,71003.9,68314.36,752606,70197.04,2.8242825674423435,2.784380626212842,2.8242825674423435,2.770635399327751,2.7902456965618727
08.01.2014,69390.17,68852.26,69928.08,68045.4,413162,68852.26,2.7488767651196824,2.7693374858499418,2.7488767651196824,2.7118239010825445,2.774883927048677
09.01.2014,68045.39,62397.36,68583.3,62397.36,472798,62397.36,2.386931381181384,2.6941256990438984,2.386931381181384,2.63830925494268,2.4522936211247206
10.01.2014,62666.32,70197.04,70197.04,61590.51,764538,70197.04,2.8242825674423435,2.39328134825434,2.8242825674423435,2.7265270489772018,2.4062100260484205
13.01.2014,67776.44,65893.77,68045.39,65355.86,512392,65893.77,2.5829854579069274,2.6790836772548436,2.5829854579069274,2.6089035058200762,2.6212696588432967
14.01.2014,65086.9,66162.72,67776.44,64280.04,532361,66162.72,2.5980662819336673,2.528661222216603,2.5980662819336673,2.594200904592131,2.5598237230993726
15.01.2014,66700.63,65624.81,66969.59,65355.86,189439,65624.81,2.567904073150533,2.6189150308117015,2.567904073150533,2.5500931009082937,2.6212696588432967
16.01.2014,65355.86,65893.77,66700.63,65086.9,218494,65893.77,2.5829854579069274,2.5437038032925807,2.5829854579069274,2.5353899530136363,2.6059078893301013
17.01.2014,67238.53,65355.86,69390.17,65355.86,526316,65355.86,2.552823249123793,2.648999074389811,2.552823249123793,2.682418151959941,2.6212696588432967
20.01.2014,65624.82,66700.64,66700.64,65086.92,181136,66700.64,2.6282290514464544,2.558746384368559,2.6282290514464544,2.5353904996803482,2.6059090316389586
21.01.2014,67507.49,65893.77,68852.26,65355.86,505978,65893.77,2.5829854579069274,2.664041655465789,2.5829854579069274,2.653012402837337,2.6212696588432967
22.01.2014,65355.86,64549.0,65624.81,63742.14,336328,64549.0,2.507580216313919,2.5437038032925807,2.507580216313919,2.476578454768429,2.5291013263818396
23.01.2014,63204.22,62397.36,63742.13,62128.41,665098,62397.36,2.386931381181384,2.42336539183245,2.386931381181384,2.3736586061726737,2.436932422765954
24.01.2014,63204.23,65624.81,67776.45,62935.27,701586,65624.81,2.567904073150533,2.4233659511193726,2.567904073150533,2.5942014512588427,2.483016588996682
27.01.2014,73693.43,75307.16,75307.16,71272.85,1007347,75307.16,3.1108221490579817,3.010013190196357,3.1108221490579817,3.0058802989751534,2.9592211631260206
28.01.2014,73424.49,73693.45,77996.71,71003.9,1317170,73693.45,3.020336644167887,2.994971727694226,3.020336644167887,3.1529090445881707,2.943859964767253
29.01.2014,71541.8,76114.02,76114.02,71003.89,763006,76114.02,3.156065181867856,2.88967533802315,3.156065181867856,3.0499886493257025,2.943859393612825
03.02.2014,72617.61,82837.88,86065.32,71810.75,1915335,82837.88,3.5330919505625484,2.949843984466292,3.5330919505625484,3.5939930947603718,2.989943559843553
04.02.2014,80417.3,76920.89,81493.11,75307.17,875619,76920.89,3.2013087754073832,3.3860704463658045,3.2013087754073832,3.3440455938850238,3.18964313658852
05.02.2014,77996.71,73693.45,84451.61,72617.62,1586384,73693.45,3.020336644167887,3.250690013116619,3.020336644167887,3.5057769407259864,3.03602829722871
06.02.2014,76114.02,75038.21,79879.38,74769.25,1038233,75038.21,3.0957413250312418,3.145393623445543,3.0957413250312418,3.255828346517214,3.1589195975621296
07.02.2014,75845.07,75845.07,77189.84,74769.25,497203,75845.07,3.140984357841116,3.1303516016564887,3.140984357841116,3.108800147570909,3.1589195975621296
10.02.2014,77189.84,75576.12,78803.57,75307.17,396308,75576.12,3.125903533814375,3.205562829175608,3.125903533814375,3.1970173949387197,3.18964313658852
11.02.2014,76114.03,73424.48,76382.98,73155.53,310789,73424.48,3.00525469868184,3.1453941827324656,3.00525469868184,3.06469179722036,3.066751265100672
12.02.2014,79610.43,79879.39,82031.03,78265.67,1371635,79879.39,3.367200643349792,3.3409432624247937,3.367200643349792,3.3734518896743397,3.358619174307096
13.02.2014,74769.26,74500.3,77727.75,73424.48,877347,74500.3,3.0655791162481076,3.0701829552133453,3.0655791162481076,3.1382058966935125,3.082112463459439
14.02.2014,77996.7,78803.56,80417.29,76651.93,1162910,78803.56,3.3068756650538713,3.250689453829696,3.3068756650538713,3.285234095639817,3.266449699536781
17.02.2014,79072.53,76651.95,79610.44,76382.99,433600,76651.95,3.1862285121102962,3.310859218846684,3.1862285121102962,3.2411262919559807,3.251089072332444
18.02.2014,76114.03,77189.84,78534.62,74500.31,495424,77189.84,3.216389599434123,3.1453941827324656,3.216389599434123,3.1823147937107734,3.143558970357791
19.02.2014,76651.94,76382.98,77458.8,75845.07,238602,76382.98,3.171146566624249,3.1754787855974986,3.171146566624249,3.123503295465567,3.2203655333060537
20.02.2014,76114.03,74231.34,77189.84,73693.44,305995,74231.34,3.050497731491714,3.1453941827324656,3.050497731491714,3.108800147570909,3.0974742329726346
21.02.2014,73693.44,75038.21,75576.11,73424.48,249605,75038.21,3.0957413250312418,3.01001374948328,3.0957413250312418,3.020582900203099,3.082112463459439
24.02.2014,74500.31,73693.45,75845.08,72886.58,218615,73693.45,3.020336644167887,3.0551409334242905,3.020336644167887,3.0352865947644694,3.051390066741906
25.02.2014,74769.25,73962.39,76651.94,73424.48,513000,73962.39,3.035416907464974,3.0701823959264227,3.035416907464974,3.079394945115018,3.082112463459439
26.02.2014,73962.39,72348.66,74231.34,72079.71,231601,72348.66,2.944930281115573,3.025055771272335,2.944930281115573,2.9470688007299466,3.005305329356749
27.02.2014,72348.67,69928.09,72348.67,69390.18,387745,69928.09,2.8092017434156036,2.93480252196416,2.8092017434156036,2.844149498800903,2.851691632305796
