Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
29.01.2021,21.28,21.37,21.28,22.14,20.89,381938573
01.02.2021,21.54,21.67,21.54,21.8,21.37,72044464
02.02.2021,21.24,21.84,21.24,21.84,21.2,36735442
03.02.2021,20.81,21.28,20.81,21.37,20.64,45816269
04.02.2021,21.75,20.81,21.75,22.14,20.47,88486029
05.02.2021,22.05,21.97,22.05,22.48,21.92,56318695
08.02.2021,22.1,22.22,22.1,22.27,21.97,28324374
09.02.2021,21.71,22.1,21.71,22.14,21.62,25243532
10.02.2021,21.8,21.8,21.8,22.14,21.45,33132159
11.02.2021,21.8,21.8,21.8,22.01,21.67,13586295
12.02.2021,21.8,21.88,21.8,21.92,21.71,15658220
15.02.2021,22.1,22.48,22.1,22.48,22.01,45629832
16.02.2021,22.22,22.22,22.22,22.31,22.14,34557518
17.02.2021,22.63,22.63,22.63,22.9,22.27,28638408
18.02.2021,22.94,22.76,22.94,23.07,22.72,21022422
19.02.2021,22.67,22.94,22.67,22.98,22.54,14542153
22.02.2021,22.36,22.63,22.36,22.72,22.31,16652770
23.02.2021,22.31,22.36,22.31,22.49,22.27,13021961
24.02.2021,22.27,22.27,22.27,22.54,22.22,10958830
25.02.2021,22.31,22.31,22.31,22.54,22.27,22761296
26.02.2021,22.05,22.22,22.05,22.31,21.91,36424500
01.03.2021,23.16,22.05,23.16,23.88,22.05,93579588
02.03.2021,22.94,23.34,22.94,23.52,22.76,48494934
03.03.2021,22.81,23.07,22.81,23.21,22.76,18806435
04.03.2021,22.72,22.58,22.72,22.98,22.58,21742960
05.03.2021,22.31,22.72,22.31,22.85,22.18,25255199
08.03.2021,22.22,22.45,22.22,22.58,22.18,16353985
09.03.2021,22.31,22.31,22.31,22.81,22.18,21380757
10.03.2021,22.22,22.36,22.22,22.45,22.22,11360743
12.03.2021,22.22,22.27,22.22,22.4,22.18,17086939
15.03.2021,22.05,22.27,22.05,22.31,21.91,17382950
16.03.2021,21.96,22.05,21.96,22.18,21.91,9649363
17.03.2021,21.6,21.96,21.6,22.0,21.55,14312130
18.03.2021,21.51,21.64,21.51,22.0,21.38,16168159
19.03.2021,21.42,21.46,21.42,21.55,21.02,15260549
22.03.2021,21.38,21.46,21.38,21.91,21.33,13817385
23.03.2021,21.29,21.38,21.29,21.55,21.24,13742805
24.03.2021,20.97,21.29,20.97,21.38,20.93,16788250
25.03.2021,20.53,20.97,20.53,21.06,20.48,19233029
26.03.2021,20.61,20.75,20.61,20.84,20.48,16323314
30.03.2021,20.53,20.7,20.53,20.84,20.48,14301425
31.03.2021,20.48,20.53,20.48,20.66,20.48,11770453
01.04.2021,20.44,20.57,20.44,20.75,20.3,18367745
05.04.2021,20.12,20.44,20.12,20.48,19.94,20106460
06.04.2021,19.68,20.12,19.68,20.12,19.59,25085603
07.04.2021,19.81,19.68,19.81,19.94,19.59,14507382
08.04.2021,19.63,19.77,19.63,19.99,19.59,18025782
09.04.2021,19.63,19.68,19.63,19.72,19.59,16396258
12.04.2021,18.65,19.54,18.65,19.54,18.6,25942981
13.04.2021,19.18,18.65,19.18,19.23,18.6,14831755
15.04.2021,18.87,19.05,18.87,19.09,18.69,18166238
16.04.2021,19.45,19.01,19.45,19.68,18.83,22174311
19.04.2021,18.92,18.96,18.92,19.09,18.69,10477070
20.04.2021,19.01,18.92,19.01,19.36,18.87,12199610
22.04.2021,18.83,18.92,18.83,19.05,18.78,8974995
23.04.2021,18.87,18.87,18.87,19.23,18.78,15602661
26.04.2021,18.78,18.87,18.78,19.09,18.74,12051423
27.04.2021,18.96,18.87,18.96,19.23,18.83,14181276
28.04.2021,18.92,19.05,18.92,19.09,18.87,14514238
29.04.2021,18.92,19.05,18.92,19.05,18.87,9521946
30.04.2021,19.05,18.83,19.05,19.14,18.78,11713860
03.05.2021,18.83,18.92,18.83,19.01,18.74,17512189
04.05.2021,18.74,18.92,18.74,18.92,18.69,26418223
05.05.2021,18.78,18.78,18.78,18.96,18.74,9381211
06.05.2021,18.87,18.87,18.87,18.92,18.78,7525053
07.05.2021,18.87,18.87,18.87,18.92,18.78,8322642
10.05.2021,20.17,18.92,20.17,20.3,18.87,51346170
11.05.2021,20.53,19.99,20.53,20.66,19.85,33120701
