Data,Ultimo,Abertura,Fechamento,Maxima,Minima,Volume
27.01.2021,18.42,19.0,18.42,21.19,17.93,31545414
28.01.2021,19.75,18.25,19.75,19.8,17.3,5599939
29.01.2021,19.8,19.73,19.8,20.36,19.2,2828158
01.02.2021,20.6,19.83,20.6,20.72,19.75,1363526
02.02.2021,20.96,20.9,20.96,21.39,20.8,1139290
03.02.2021,20.32,21.18,20.32,21.18,20.05,1500056
04.02.2021,19.8,20.38,19.8,20.69,19.73,7240119
05.02.2021,19.5,19.8,19.5,19.99,19.35,548499
08.02.2021,19.5,19.9,19.5,20.0,19.18,703048
09.02.2021,19.2,19.5,19.2,19.5,19.1,813454
10.02.2021,19.2,19.1,19.2,19.65,19.0,821311
11.02.2021,19.4,19.2,19.4,19.55,19.2,449703
12.02.2021,19.44,19.47,19.44,19.59,19.13,230537
15.02.2021,19.23,19.41,19.23,19.54,19.11,168356
16.02.2021,19.28,19.23,19.28,19.35,19.18,165216
17.02.2021,19.78,19.2,19.78,19.8,19.2,325577
18.02.2021,20.33,19.78,20.33,20.33,19.26,160594
19.02.2021,20.77,20.4,20.77,20.77,20.37,208431
22.02.2021,20.44,21.0,20.44,21.01,20.32,178960
23.02.2021,19.33,20.6,19.33,20.86,19.19,307419
24.02.2021,19.29,19.65,19.29,19.65,18.5,273502
25.02.2021,18.39,19.36,18.39,19.38,18.12,202594
26.02.2021,18.16,18.4,18.16,18.78,17.8,227021
01.03.2021,18.72,18.29,18.72,18.97,18.29,150892
02.03.2021,18.39,18.6,18.39,18.92,17.8,413210
03.03.2021,18.55,18.53,18.55,19.1,18.0,238671
04.03.2021,17.7,18.8,17.7,18.8,17.7,450135
05.03.2021,16.56,17.7,16.56,18.44,16.06,675804
08.03.2021,15.94,16.56,15.94,17.31,15.94,435141
09.03.2021,15.38,16.5,15.38,16.64,15.3,825934
10.03.2021,15.92,15.72,15.92,16.0,15.21,1233363
11.03.2021,16.1,16.07,16.1,16.23,15.8,389328
12.03.2021,16.0,16.2,16.0,16.25,15.95,435881
15.03.2021,17.02,16.7,17.02,17.2,16.6,687089
16.03.2021,17.74,17.17,17.74,17.82,17.11,426893
17.03.2021,17.5,17.81,17.5,18.2,17.26,832658
18.03.2021,17.59,17.7,17.59,17.9,17.36,634208
19.03.2021,17.31,17.7,17.31,17.7,17.31,2419180
22.03.2021,17.75,17.3,17.75,17.85,17.3,431455
23.03.2021,17.22,17.85,17.22,17.85,17.2,288427
24.03.2021,15.6,17.23,15.6,17.34,14.85,1323575
25.03.2021,14.26,15.56,14.26,15.99,14.04,1175878
26.03.2021,14.21,14.41,14.21,14.85,14.21,535394
29.03.2021,14.69,14.39,14.69,14.85,14.16,523862
30.03.2021,14.24,15.15,14.24,15.2,14.24,657003
31.03.2021,13.97,14.38,13.97,14.48,13.81,439546
01.04.2021,15.12,14.07,15.12,15.19,13.91,497586
06.04.2021,15.2,15.26,15.2,15.39,14.96,454394
07.04.2021,15.3,15.2,15.3,15.59,15.05,504003
08.04.2021,15.66,15.42,15.66,15.75,15.29,393885
09.04.2021,16.65,15.74,16.65,16.65,15.58,847889
12.04.2021,16.49,16.7,16.49,16.79,15.92,531109
13.04.2021,16.86,16.54,16.86,17.03,16.08,474715
14.04.2021,16.82,17.0,16.82,17.09,16.56,358156
15.04.2021,16.25,16.79,16.25,16.82,16.13,385556
16.04.2021,16.46,16.26,16.46,16.61,16.25,373826
19.04.2021,15.64,16.41,15.64,16.56,15.46,446761
20.04.2021,15.4,15.61,15.4,15.81,15.08,456934
21.04.2021,15.36,15.59,15.36,15.69,15.18,396635
22.04.2021,15.35,15.45,15.35,15.51,15.02,733536
23.04.2021,15.5,15.5,15.5,15.53,15.11,681395
26.04.2021,15.4,15.45,15.4,15.59,15.26,222734
27.04.2021,15.32,15.68,15.32,15.68,15.18,255799
28.04.2021,15.3,15.42,15.3,15.58,15.24,356376
29.04.2021,15.72,15.44,15.72,16.03,15.31,408279
30.04.2021,15.85,15.77,15.85,16.08,15.77,568716
03.05.2021,15.93,15.85,15.93,16.1,15.71,292705
04.05.2021,15.39,15.92,15.39,15.99,15.36,479491
05.05.2021,15.47,15.22,15.47,15.72,15.21,591244
06.05.2021,15.29,15.54,15.29,15.6,15.2,513776
07.05.2021,15.49,15.3,15.49,15.5,15.17,616157
10.05.2021,15.8,15.52,15.8,15.88,15.52,257835
11.05.2021,15.3,15.76,15.3,15.76,14.94,515950
12.05.2021,14.41,15.74,14.41,16.07,14.4,928121
13.05.2021,13.94,14.34,13.94,14.36,13.57,761942
14.05.2021,13.57,14.0,13.57,14.19,13.12,957444
17.05.2021,13.93,13.61,13.93,14.12,13.5,379908
18.05.2021,14.48,14.07,14.48,14.61,14.05,597369
19.05.2021,14.7,14.9,14.7,15.0,14.15,787138
20.05.2021,14.64,15.25,14.64,15.28,14.4,995274
21.05.2021,14.99,15.08,14.99,15.25,14.87,838885
24.05.2021,15.38,15.09,15.38,15.6,15.08,1047480
25.05.2021,15.18,15.48,15.18,15.65,15.06,876893
26.05.2021,14.93,15.27,14.93,15.45,14.8,1141967
27.05.2021,15.19,14.92,15.19,15.4,14.81,15787591
28.05.2021,15.95,15.25,15.95,15.95,15.0,968229
31.05.2021,16.39,15.98,16.39,16.5,15.98,411575
