Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,657.52,645.67,657.52,641.72,6514500,645.67,-0.4953021269383927,-0.48607831224860404,-0.4953021269383927,-0.49309227919588083,-0.4909935483947452
07.01.2014,641.72,633.82,649.62,629.88,9358200,633.82,-0.5042901077397164,-0.4980721514260335,-0.5042901077397164,-0.49900400235572856,-0.5001064478455319
08.01.2014,633.82,635.8,639.75,629.88,7516800,635.8,-0.5027883185425333,-0.5040690710147483,-0.5027883185425333,-0.5063899147086016,-0.5001064478455319
09.01.2014,633.82,641.72,641.72,629.88,8788800,641.72,-0.49829812053883393,-0.5040690710147483,-0.49829812053883393,-0.5049157255155763,-0.5001064478455319
10.01.2014,625.93,635.8,641.72,616.05,15232200,635.8,-0.5027883185425333,-0.5100583995660091,-0.5027883185425333,-0.5049157255155763,-0.5107509917141451
14.01.2014,625.93,623.95,631.85,620.0,7104900,623.95,-0.5117762993438569,-0.5100583995660091,-0.5117762993438569,-0.5123016378684494,-0.5077107929953437
15.01.2014,629.88,633.82,635.8,623.95,5121300,633.82,-0.5042901077397164,-0.5070599397716516,-0.5042901077397164,-0.5093457762885255,-0.5046705942765424
16.01.2014,635.8,639.75,647.65,635.8,5154300,639.75,-0.49979232494209197,-0.5025660455988427,-0.49979232494209197,-0.500478191548754,-0.49554999812013856
17.01.2014,635.8,645.67,647.65,631.85,5077500,645.67,-0.4953021269383927,-0.5025660455988427,-0.4953021269383927,-0.500478191548754,-0.4985901968389398
20.01.2014,647.65,647.65,653.57,643.7,6503400,647.65,-0.4938003377412095,-0.49357066621577045,-0.4938003377412095,-0.49604814077580467,-0.48946960068253587
21.01.2014,653.57,653.57,659.49,649.62,5571600,653.57,-0.4893101397375102,-0.48907677204296135,-0.4893101397375102,-0.4916180900028555,-0.48491315095714255
22.01.2014,653.57,663.44,669.37,651.6,11130600,663.44,-0.48182394813336965,-0.48907677204296135,-0.48182394813336965,-0.4842246944561092,-0.4833892032449333
23.01.2014,667.39,661.47,669.37,661.47,6840000,661.47,-0.4833181525366277,-0.4785859582814376,-0.4833181525366277,-0.4842246944561092,-0.4757925548007386
24.01.2014,657.52,655.54,659.49,653.57,4186500,655.54,-0.4878159353342522,-0.48607831224860404,-0.4878159353342522,-0.4916180900028555,-0.48187295223834126
27.01.2014,631.85,643.7,647.65,627.9,9453600,643.7,-0.4967963313416507,-0.5055645053932,-0.4967963313416507,-0.500478191548754,-0.5016303955577411
28.01.2014,643.7,643.7,653.57,635.8,6401400,643.7,-0.4967963313416507,-0.49656912601012776,-0.4967963313416507,-0.49604814077580467,-0.49554999812013856
29.01.2014,647.65,645.67,651.6,637.77,6649800,645.67,-0.4953021269383927,-0.49357066621577045,-0.4953021269383927,-0.49752232996883,-0.49403374711354653
30.01.2014,643.7,641.72,649.62,633.82,7305900,641.72,-0.49829812053883393,-0.49656912601012776,-0.49829812053883393,-0.49900400235572856,-0.49707394583234776
31.01.2014,639.75,633.82,661.47,633.82,9563700,633.82,-0.5042901077397164,-0.4995675858044852,-0.5042901077397164,-0.49013641761595694,-0.49707394583234776
03.02.2014,639.75,645.67,667.39,639.75,11546400,645.67,-0.4953021269383927,-0.4995675858044852,-0.4953021269383927,-0.4857063668430078,-0.4925097994013372
04.02.2014,629.88,606.18,629.88,606.18,9996300,606.18,-0.5252544781488799,-0.5070599397716516,-0.5252544781488799,-0.5137758270614747,-0.5183476401583398
05.02.2014,616.05,614.08,620.0,598.28,7398600,614.08,-0.5192624909479974,-0.5175583445706295,-0.5192624909479974,-0.521169222608221,-0.5244280375959424
06.02.2014,616.05,606.18,618.03,602.23,5696100,606.18,-0.5252544781488799,-0.5175583445706295,-0.5252544781488799,-0.5226434118012463,-0.521387838877141
07.02.2014,616.05,635.8,643.7,616.05,8815500,635.8,-0.5027883185425333,-0.5175583445706295,-0.5027883185425333,-0.5034340531286777,-0.5107509917141451
10.02.2014,641.72,647.65,653.57,633.82,5112900,647.65,-0.4938003377412095,-0.4980721514260335,-0.4938003377412095,-0.49604814077580467,-0.49707394583234776
12.02.2014,659.49,659.49,663.44,653.57,5271300,659.49,-0.48481994173381093,-0.48458287787015236,-0.48481994173381093,-0.4886622284229316,-0.48187295223834126
13.02.2014,653.57,645.67,655.54,641.72,2892900,645.67,-0.4953021269383927,-0.48907677204296135,-0.4953021269383927,-0.4945739515827794,-0.4909935483947452
14.02.2014,641.72,633.82,647.65,625.93,3476700,633.82,-0.5042901077397164,-0.4980721514260335,-0.5042901077397164,-0.500478191548754,-0.5031466465643333
17.02.2014,631.85,637.77,639.75,623.95,3391200,637.77,-0.5012941141392752,-0.5055645053932,-0.5012941141392752,-0.5063899147086016,-0.5046705942765424
18.02.2014,637.77,647.65,649.62,627.9,4189800,647.65,-0.4938003377412095,-0.501070611220391,-0.4938003377412095,-0.49900400235572856,-0.5016303955577411
19.02.2014,643.7,643.7,653.57,637.77,4661700,643.7,-0.4967963313416507,-0.49656912601012776,-0.4967963313416507,-0.49604814077580467,-0.49403374711354653
20.02.2014,639.75,625.93,639.75,621.98,4291500,625.93,-0.5102745101466738,-0.4995675858044852,-0.5102745101466738,-0.5063899147086016,-0.5061868452831345
21.02.2014,627.9,633.82,635.8,623.95,3100500,633.82,-0.5042901077397164,-0.5085629651875574,-0.5042901077397164,-0.5093457762885255,-0.5046705942765424
24.02.2014,633.82,631.85,639.75,621.98,3463500,631.85,-0.5057843121429745,-0.5040690710147483,-0.5057843121429745,-0.5063899147086016,-0.5061868452831345
25.02.2014,633.82,635.8,637.77,623.95,2897100,635.8,-0.5027883185425333,-0.5040690710147483,-0.5027883185425333,-0.5078715870955002,-0.5046705942765424
26.02.2014,635.8,641.72,647.65,633.82,3332100,641.72,-0.49829812053883393,-0.5025660455988427,-0.49829812053883393,-0.500478191548754,-0.49707394583234776
27.02.2014,637.77,643.7,647.65,633.82,3429000,643.7,-0.4967963313416507,-0.501070611220391,-0.4967963313416507,-0.500478191548754,-0.49707394583234776
28.02.2014,643.7,641.72,647.65,633.82,5068200,641.72,-0.49829812053883393,-0.49656912601012776,-0.49829812053883393,-0.500478191548754,-0.49707394583234776
03.03.2014,635.8,631.85,637.77,618.03,5014800,631.85,-0.5057843121429745,-0.5025660455988427,-0.5057843121429745,-0.5078715870955002,-0.5092270440019359
