Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
15.04.2004,9.28,8.91,9.28,8.89,4562000,8.91,-0.6695258648908795,-0.6596320046794572,-0.6695258648908795,-0.6612835866781543,-0.6686294770790892
16.04.2004,7.67,8.09,8.16,7.67,2023600,8.09,-0.691887268799447,-0.7035473042047241,-0.691887268799447,-0.6911456537426093,-0.7027073443740968
19.04.2004,8.13,8.02,8.13,7.92,970000,8.02,-0.6937961691331052,-0.6910000757689335,-0.6937961691331052,-0.6919455305389786,-0.6957241748464312
20.04.2004,8.06,7.76,8.07,7.74,740000,7.76,-0.7008863703724071,-0.6929094366178582,-0.7008863703724071,-0.6935452841317172,-0.7007520569063503
21.04.2004,7.67,7.65,7.72,7.5,1669000,7.65,-0.7038860708967272,-0.7035473042047241,-0.7038860708967272,-0.7028771800893595,-0.7074558996529093
22.04.2004,7.67,7.46,7.81,7.32,1260400,7.46,-0.7090673718023708,-0.7035473042047241,-0.7090673718023708,-0.7004775497002514,-0.7124837817128284
23.04.2004,7.67,7.65,7.71,7.55,1229000,7.65,-0.7038860708967272,-0.7035473042047241,-0.7038860708967272,-0.7031438056881492,-0.7060592657473762
26.04.2004,7.65,7.43,7.65,7.39,1204600,7.43,-0.7098854719453671,-0.7040928358758455,-0.7098854719453671,-0.7047435592808879,-0.7105284942450821
27.04.2004,7.46,7.46,7.58,7.39,782400,7.46,-0.7090673718023708,-0.709275386751498,-0.7090673718023708,-0.7066099384724164,-0.7105284942450821
28.04.2004,7.53,7.43,7.57,7.39,1726000,7.43,-0.7098854719453671,-0.7073660259025734,-0.7098854719453671,-0.706876564071206,-0.7105284942450821
29.04.2004,7.32,6.9,7.32,6.9,2212892,6.9,-0.7243385744716364,-0.7130941084493474,-0.7243385744716364,-0.7135422040409505,-0.7242155065193066
30.04.2004,6.8,6.68,6.84,6.47,2750000,6.68,-0.7303379755202765,-0.7272779318985019,-0.7303379755202765,-0.7263402327828598,-0.7362265581068912
03.05.2004,6.63,6.9,6.92,6.63,1104000,6.9,-0.7243385744716364,-0.7319149511030332,-0.7243385744716364,-0.7242072279925414,-0.7317573296091853
04.05.2004,6.97,7.11,7.11,6.94,1606400,7.11,-0.7186118734706618,-0.7226409126939707,-0.7186118734706618,-0.7191413416155358,-0.72309819939488
05.05.2004,7.15,7.34,7.41,6.9,2185200,7.34,-0.7123397723743563,-0.7177311276538787,-0.7123397723743563,-0.7111425736518425,-0.7242155065193066
06.05.2004,7.34,7.53,7.81,7.34,1850600,7.53,-0.7071584714687126,-0.712548576778226,-0.7071584714687126,-0.7004775497002514,-0.7119251281506153
07.05.2004,7.5,7.36,7.53,7.36,836000,7.36,-0.7117943722790253,-0.7081843234092554,-0.7117943722790253,-0.7079430664663652,-0.711366474588402
10.05.2004,7.25,6.92,7.25,6.63,1513500,6.92,-0.7237931743763054,-0.715003469298272,-0.7237931743763054,-0.7154085832324789,-0.7317573296091853
11.05.2004,6.92,7.1,7.11,6.8,1805600,7.1,-0.7188845735183272,-0.7240047418717739,-0.7188845735183272,-0.7191413416155358,-0.7270087743303727
12.05.2004,7.11,7.22,7.32,7.08,2475100,7.22,-0.7156121729463417,-0.7188221909961213,-0.7156121729463417,-0.7135422040409505,-0.7191876244593873
13.05.2004,7.22,7.08,7.29,7.01,1682800,7.08,-0.7194299736136582,-0.715821766804954,-0.7194299736136582,-0.7143420808373199,-0.7211429119271338
14.05.2004,7.08,6.97,7.18,6.9,1726580,6.97,-0.7224296741379782,-0.7196404885028034,-0.7224296741379782,-0.7172749624240073,-0.7242155065193066
17.05.2004,6.9,6.56,6.94,6.52,1917400,6.56,-0.733610376092262,-0.7245502735428953,-0.733610376092262,-0.7236739767949619,-0.7348299242013581
18.05.2004,6.56,6.64,6.77,6.56,1352300,6.64,-0.7314287757109382,-0.7338243119519579,-0.7314287757109382,-0.7282066119743882,-0.7337126170769316
19.05.2004,6.78,7.08,7.08,6.78,1957437,7.08,-0.7194299736136582,-0.7278234635696231,-0.7194299736136582,-0.7199412184119052,-0.7275674278925859
20.05.2004,7.04,7.15,7.24,6.87,2778600,7.15,-0.71752107328,-0.720731551845046,-0.71752107328,-0.7156752088312687,-0.7250534868626263
21.05.2004,7.17,7.2,7.22,7.08,1969500,7.2,-0.7161575730416727,-0.7171855959827572,-0.7161575730416727,-0.7162084600288483,-0.7191876244593873
24.05.2004,7.27,7.39,7.45,7.24,1489941,7.39,-0.710976272136029,-0.7144579376271507,-0.710976272136029,-0.7100760712566834,-0.7147183959616814
25.05.2004,7.41,7.62,7.64,7.32,2598100,7.62,-0.7047041710397234,-0.7106392159293013,-0.7047041710397234,-0.7050101848796776,-0.7124837817128284
26.05.2004,7.62,7.62,7.62,7.62,0,7.62,-0.7047041710397234,-0.7049111333825274,-0.7047041710397234,-0.7055434360772571,-0.7041039782796298
27.05.2004,7.74,7.92,7.92,7.74,3149197,7.92,-0.6965231696097597,-0.7016379433557994,-0.6965231696097597,-0.6975446681135639,-0.7007520569063503
28.05.2004,8.0,8.18,8.18,7.92,6216546,8.18,-0.6894329683704579,-0.6945460316312222,-0.6894329683704579,-0.6906124025450298,-0.6957241748464312
31.05.2004,8.2,8.49,8.49,7.99,3235500,8.49,-0.6809792668928286,-0.689090714920009,-0.6809792668928286,-0.6823470089825466,-0.6937688873786849
01.06.2004,8.47,8.35,8.58,8.32,2372000,8.35,-0.684797067560145,-0.681726037359871,-0.684797067560145,-0.6799473785934388,-0.6845511036021665
02.06.2004,8.37,8.16,8.54,8.06,2648800,8.16,-0.6899783684657887,-0.6844536957154778,-0.6899783684657887,-0.6810138809885978,-0.6918135999109385
03.06.2004,8.3,8.07,8.42,7.95,3123400,8.07,-0.6924326688947778,-0.6863630565644022,-0.6924326688947778,-0.6842133881740751,-0.6948861945031114
04.06.2004,8.02,8.02,8.14,7.97,1371300,8.02,-0.6937961691331052,-0.6940004999601009,-0.6937961691331052,-0.6916789049401888,-0.6943275409408982
07.06.2004,8.13,8.2,8.33,8.13,1289900,8.2,-0.688887568275127,-0.6910000757689335,-0.688887568275127,-0.6866130185631831,-0.6898583124431922
08.06.2004,8.33,8.28,8.33,8.23,1964200,8.28,-0.6867059678938032,-0.6855447590577204,-0.6867059678938032,-0.6866130185631831,-0.687065044632126
09.06.2004,8.3,8.2,8.33,8.13,1771767,8.2,-0.688887568275127,-0.6863630565644022,-0.688887568275127,-0.6866130185631831,-0.6898583124431922
10.06.2004,8.21,8.21,8.21,8.07,570600,8.21,-0.6886148682274614,-0.6888179490844483,-0.6886148682274614,-0.6898125257486604,-0.691534273129832
11.06.2004,8.23,8.2,8.23,8.13,848900,8.2,-0.688887568275127,-0.6882724174133269,-0.688887568275127,-0.6892792745510808,-0.6898583124431922
14.06.2004,8.2,7.95,8.2,7.93,794600,7.95,-0.6957050694667634,-0.689090714920009,-0.6957050694667634,-0.6900791513474502,-0.6954448480653247
15.06.2004,7.85,7.85,7.97,7.78,1095200,7.85,-0.6984320699434179,-0.6986375191646321,-0.6984320699434179,-0.6962115401196151,-0.699634749781924
16.06.2004,7.92,7.57,8.0,7.55,1559400,7.57,-0.7060676712780507,-0.6967281583157074,-0.7060676712780507,-0.6954116633232457,-0.7060592657473762
17.06.2004,7.57,7.2,7.57,7.2,2959900,7.2,-0.7161575730416727,-0.7062749625603307,-0.7161575730416727,-0.706876564071206,-0.7158357030861079
18.06.2004,7.22,7.6,7.6,7.04,1070700,7.6,-0.7052495711350544,-0.715821766804954,-0.7052495711350544,-0.7060766872748367,-0.7203049315838138
21.06.2004,7.67,7.48,7.67,7.34,662800,7.48,-0.7085219717070399,-0.7035473042047241,-0.7085219717070399,-0.7042103080833083,-0.7119251281506153
22.06.2004,7.48,7.48,7.48,7.48,0,7.48,-0.7085219717070399,-0.7087298550803767,-0.7085219717070399,-0.7092761944603141,-0.7080145532151225
23.06.2004,7.48,7.74,7.78,7.48,1626100,7.74,-0.701431770467738,-0.7087298550803767,-0.701431770467738,-0.7012774264966207,-0.7080145532151225
24.06.2004,7.79,7.81,7.85,7.76,708200,7.81,-0.6995228701340798,-0.7002741141779962,-0.6995228701340798,-0.6994110473050923,-0.7001934033441373
