Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,17.11,16.88,17.13,16.82,1378800,16.88,-1.0297987640284947,-1.0255619194574441,-1.0297987640284947,-1.0280056845255547,-1.0278451752246491
03.01.2014,16.91,16.98,17.05,16.86,1022700,16.98,-1.028215915816102,-1.0287271664624458,-1.028215915816102,-1.0292534298613214,-1.027202653254854
06.01.2014,17.1,16.83,17.11,16.82,1222500,16.83,-1.030590188134691,-1.025720181807694,-1.030590188134691,-1.0283176208594964,-1.0278451752246491
07.01.2014,16.93,17.04,17.1,16.82,1045800,17.04,-1.0272662068886664,-1.0284106417619456,-1.0272662068886664,-1.0284735890264671,-1.0278451752246491
08.01.2014,17.05,17.08,17.13,16.9,1316700,17.08,-1.0266330676037094,-1.0265114935589446,-1.0266330676037094,-1.0280056845255547,-1.0265601312850587
09.01.2014,17.1,17.35,17.36,17.09,1756500,17.35,-1.022359377430249,-1.025720181807694,-1.022359377430249,-1.024418416685226,-1.023508151928531
10.01.2014,17.84,17.86,18.27,17.62,3861900,17.86,-1.014286851547047,-1.0140087678891878,-1.014286851547047,-1.0102253134908812,-1.0149947358287437
13.01.2014,17.87,17.77,18.0,17.69,2583000,17.77,-1.0157114149382003,-1.0135339808384376,-1.0157114149382003,-1.0144364539990933,-1.013870322381602
14.01.2014,17.86,17.9,17.92,17.75,1929300,17.9,-1.01365371226209,-1.013692243188688,-1.01365371226209,-1.0156841993348598,-1.012906539426909
15.01.2014,17.9,18.04,18.04,17.88,843900,18.04,-1.0114377247647401,-1.0130591937876876,-1.0114377247647401,-1.0138125813312098,-1.0108183430250743
16.01.2014,17.96,17.96,18.02,17.82,1233600,17.96,-1.0127040033346542,-1.012109619686187,-1.0127040033346542,-1.0141245176651517,-1.0117821259797672
17.01.2014,17.78,17.9,17.93,17.63,1296000,17.9,-1.01365371226209,-1.0149583419906885,-1.01365371226209,-1.015528231167889,-1.0148341053362948
21.01.2014,17.98,18.14,18.14,17.94,951600,18.14,-1.0098548765523474,-1.0117930949856868,-1.0098548765523474,-1.0122528996615017,-1.0098545600703814
22.01.2014,18.13,18.42,18.42,18.1,951900,18.42,-1.0054229015576481,-1.0094191597319355,-1.0054229015576481,-1.0078857909863188,-1.0072844721912002
23.01.2014,18.37,18.21,18.37,18.1,1420200,18.21,-1.0087468828036725,-1.0056208633259336,-1.0087468828036725,-1.0086656318211729,-1.0072844721912002
24.01.2014,18.11,17.83,18.29,17.73,1296300,17.83,-1.0147617060107648,-1.0097356844324357,-1.0147617060107648,-1.0099133771569393,-1.0132278004118065
27.01.2014,17.91,17.08,17.91,17.06,3830100,17.08,-1.0266330676037094,-1.0129009314374375,-1.0266330676037094,-1.0158401675018307,-1.0239900434058775
28.01.2014,17.08,17.23,17.3,17.08,2442900,17.23,-1.0242587952851203,-1.0260367065081943,-1.0242587952851203,-1.0253542256870507,-1.02366878242098
29.01.2014,17.12,17.27,17.35,17.05,1563300,17.27,-1.0236256560001635,-1.0254036571071938,-1.0236256560001635,-1.0245743848521964,-1.0241506738983264
30.01.2014,17.41,17.55,17.57,17.36,995400,17.55,-1.019193681005464,-1.0208140489499415,-1.019193681005464,-1.0211430851788386,-1.019171128632413
31.01.2014,17.37,17.53,17.67,17.28,1331400,17.53,-1.0195102506479425,-1.0214470983509418,-1.0195102506479425,-1.0195834035091302,-1.0204561725720036
03.02.2014,17.56,16.81,17.64,16.59,3983400,16.81,-1.0309067577771696,-1.0184401136961903,-1.0309067577771696,-1.0200513080100428,-1.0315396765509721
04.02.2014,16.96,17.03,17.09,16.7,1854900,17.03,-1.0274244917099056,-1.0279358547111954,-1.0274244917099056,-1.0286295571934378,-1.029772741134035
05.02.2014,16.92,17.02,17.11,16.76,3083700,17.02,-1.027582776531145,-1.0285689041121955,-1.027582776531145,-1.0283176208594964,-1.028808958179342
06.02.2014,16.8,16.97,17.15,16.08,5798100,16.97,-1.0283742006373413,-1.0304680523151966,-1.0283742006373413,-1.0276937481916133,-1.039731831665862
07.02.2014,17.01,16.99,17.31,16.83,1767300,16.99,-1.0280576309948628,-1.0271445429599448,-1.0280576309948628,-1.02519825752008,-1.0276845447322005
10.02.2014,16.96,16.93,16.99,16.74,1551600,16.93,-1.0290073399222985,-1.0279358547111954,-1.0290073399222985,-1.0301892388631464,-1.02913021916424
11.02.2014,16.91,17.09,17.17,16.88,1337400,17.09,-1.02647478278247,-1.0287271664624458,-1.02647478278247,-1.0273818118576714,-1.0268813922699565
12.02.2014,17.09,17.2,17.21,16.99,1344000,17.2,-1.0247336497488382,-1.025878444157944,-1.0247336497488382,-1.0267579391897883,-1.0251144568530195
13.02.2014,17.1,17.26,17.33,17.03,846900,17.26,-1.0237839408214027,-1.025720181807694,-1.0237839408214027,-1.0248863211861383,-1.024471934883224
14.02.2014,17.27,17.44,17.45,17.21,832800,17.44,-1.020934814039096,-1.0230297218534428,-1.020934814039096,-1.0230147031824883,-1.0215805860191451
18.02.2014,17.46,17.24,17.53,17.21,1408800,17.24,-1.0241005104638812,-1.0200227371986912,-1.0241005104638812,-1.021766957846722,-1.0215805860191451
19.02.2014,17.17,16.9,17.35,16.89,1648500,16.9,-1.0294821943860162,-1.0246123453559435,-1.0294821943860162,-1.0245743848521964,-1.0267207617775076
20.02.2014,16.95,17.11,17.11,16.77,1255200,17.11,-1.0261582131399916,-1.0280941170614453,-1.0261582131399916,-1.0283176208594964,-1.0286483276868934
21.02.2014,17.12,17.11,17.29,17.02,1253700,17.11,-1.0261582131399916,-1.0254036571071938,-1.0261582131399916,-1.0255101938540214,-1.024632565375673
24.02.2014,17.16,17.06,17.26,17.06,1076700,17.06,-1.026949637246188,-1.0247706077061938,-1.026949637246188,-1.025978098354934,-1.0239900434058775
25.02.2014,17.06,17.11,17.14,16.91,1299300,17.11,-1.0261582131399916,-1.0263532312086945,-1.0261582131399916,-1.0278497163585838,-1.0263995007926099
26.02.2014,17.18,17.36,17.39,17.18,1744500,17.36,-1.02220109260901,-1.0244540830056936,-1.02220109260901,-1.0239505121843133,-1.0220624774964917
27.02.2014,17.39,17.06,17.44,17.0,1796100,17.06,-1.026949637246188,-1.0211305736504417,-1.026949637246188,-1.0231706713494593,-1.0249538263605704
28.02.2014,17.06,17.21,17.31,17.05,1478700,17.21,-1.024575364927599,-1.0263532312086945,-1.024575364927599,-1.02519825752008,-1.0241506738983264
03.03.2014,17.09,17.09,17.23,16.91,1270200,17.09,-1.02647478278247,-1.025878444157944,-1.02647478278247,-1.0264460028558464,-1.0263995007926099
04.03.2014,17.21,17.38,17.43,17.2,1362900,17.38,-1.0218845229665316,-1.0239792959549432,-1.0218845229665316,-1.0233266395164302,-1.021741216511594
05.03.2014,17.39,17.74,17.83,17.27,1926000,17.74,-1.0161862694019181,-1.0211305736504417,-1.0161862694019181,-1.0170879128375971,-1.0206168030644525
06.03.2014,17.76,18.11,18.13,17.75,1677900,18.11,-1.0103297310160653,-1.0152748666911886,-1.0103297310160653,-1.0124088678284726,-1.012906539426909
07.03.2014,18.14,18.23,18.27,18.1,1650900,18.23,-1.008430313161194,-1.0092608973816855,-1.008430313161194,-1.0102253134908812,-1.0072844721912002
10.03.2014,18.22,18.35,18.42,18.1,2566800,18.35,-1.006530895306323,-1.0079947985796849,-1.006530895306323,-1.0078857909863188,-1.0072844721912002
11.03.2014,18.34,18.17,18.4,18.13,1315200,18.17,-1.0093800220886298,-1.0060956503766838,-1.0093800220886298,-1.0081977273202605,-1.0068025807138539
12.03.2014,18.12,18.24,18.29,18.03,1184400,18.24,-1.0082720283399549,-1.0095774220821856,-1.0082720283399549,-1.0099133771569393,-1.008408885638342
13.03.2014,18.29,18.07,18.38,17.94,946200,18.07,-1.0109628703010223,-1.0068869621279342,-1.0109628703010223,-1.0085096636542021,-1.0098545600703814
14.03.2014,18.03,18.29,18.36,17.9,1501800,18.29,-1.0074806042337585,-1.0110017832344365,-1.0074806042337585,-1.0088215999881438,-1.0104970820401766
17.03.2014,18.41,18.43,18.58,18.32,2423400,18.43,-1.0052646167364088,-1.0049878139249333,-1.0052646167364088,-1.0053903003147857,-1.0037506013573263
18.03.2014,18.5,18.42,18.55,18.31,1651500,18.42,-1.0054229015576481,-1.0035634527726824,-1.0054229015576481,-1.005858204815698,-1.003911231849775
19.03.2014,18.48,18.42,18.53,18.29,1653900,18.42,-1.0054229015576481,-1.0038799774731826,-1.0054229015576481,-1.0061701411496398,-1.0042324928346726
20.03.2014,18.36,18.27,18.42,18.2,949800,18.27,-1.007797173876237,-1.0057791256761837,-1.007797173876237,-1.0078857909863188,-1.005678167266712
21.03.2014,18.28,18.32,18.52,18.23,2528700,18.32,-1.0070057497700406,-1.0070452244781842,-1.0070057497700406,-1.0063261093166107,-1.0051962757893655
24.03.2014,18.38,18.15,18.49,17.98,1658400,18.15,-1.0096965917311083,-1.0054626009756835,-1.0096965917311083,-1.006794013817523,-1.009212038100586
25.03.2014,18.22,18.03,18.37,17.98,1177200,18.03,-1.0115960095859793,-1.0079947985796849,-1.0115960095859793,-1.0086656318211729,-1.009212038100586
26.03.2014,18.06,17.67,18.14,17.66,1475100,17.67,-1.0172942631505928,-1.010526996183686,-1.0172942631505928,-1.0122528996615017,-1.0143522138589485
27.03.2014,17.62,17.59,17.7,17.53,1461600,17.59,-1.0185605417205068,-1.0174905395946898,-1.0185605417205068,-1.0191154990082179,-1.016440410260783
28.03.2014,17.6,17.91,17.95,17.53,1485300,17.91,-1.0134954274408505,-1.0178070642951897,-1.0134954274408505,-1.0152162948339474,-1.016440410260783
31.03.2014,18.06,18.34,18.36,17.95,1890300,18.34,-1.0066891801275621,-1.010526996183686,-1.0066891801275621,-1.0088215999881438,-1.0096939295779326
01.04.2014,18.39,18.35,18.49,18.2,1287600,18.35,-1.006530895306323,-1.0053043386254334,-1.006530895306323,-1.006794013817523,-1.005678167266712
