Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,1.21,1.22,1.24,1.21,4979990,1.22,-1.0466349962150974,-1.051994298951733,-1.0466349962150974,-1.0359701415857956,-1.0427374288268616
05.01.2014,1.22,1.22,1.23,1.22,8351530,1.22,-1.0466349962150974,-1.0415409928910944,-1.0466349962150974,-1.0463225358792956,-1.0321806896191068
06.01.2014,1.22,1.23,1.23,1.22,10606270,1.23,-1.0361890286287248,-1.0415409928910944,-1.0361890286287248,-1.0463225358792956,-1.0321806896191068
07.01.2014,1.22,1.22,1.24,1.22,5626990,1.22,-1.0466349962150974,-1.0415409928910944,-1.0466349962150974,-1.0359701415857956,-1.0321806896191068
08.01.2014,1.22,1.23,1.24,1.22,6402680,1.23,-1.0361890286287248,-1.0415409928910944,-1.0361890286287248,-1.0359701415857956,-1.0321806896191068
09.01.2014,1.23,1.23,1.24,1.23,5183450,1.23,-1.0361890286287248,-1.031087686830456,-1.0361890286287248,-1.0359701415857956,-1.0216239504113522
12.01.2014,1.24,1.24,1.24,1.23,2059410,1.24,-1.0257430610423521,-1.0206343807698173,-1.0257430610423521,-1.0359701415857956,-1.0216239504113522
13.01.2014,1.23,1.23,1.24,1.23,5954030,1.23,-1.0361890286287248,-1.031087686830456,-1.0361890286287248,-1.0359701415857956,-1.0216239504113522
14.01.2014,1.24,1.24,1.25,1.23,12318500,1.24,-1.0257430610423521,-1.0206343807698173,-1.0257430610423521,-1.0256177472922956,-1.0216239504113522
15.01.2014,1.25,1.26,1.26,1.24,10282480,1.26,-1.0048511258696067,-1.0101810747091788,-1.0048511258696067,-1.0152653529987956,-1.0110672112035977
16.01.2014,1.26,1.25,1.26,1.24,7421810,1.25,-1.0152970934559793,-0.9997277686485402,-1.0152970934559793,-1.0152653529987956,-1.0110672112035977
19.01.2014,1.25,1.26,1.26,1.25,6598800,1.26,-1.0048511258696067,-1.0101810747091788,-1.0048511258696067,-1.0152653529987956,-1.000510471995843
20.01.2014,1.26,1.25,1.26,1.24,9893520,1.25,-1.0152970934559793,-0.9997277686485402,-1.0152970934559793,-1.0152653529987956,-1.0110672112035977
21.01.2014,1.24,1.25,1.25,1.24,3115390,1.25,-1.0152970934559793,-1.0206343807698173,-1.0152970934559793,-1.0256177472922956,-1.0110672112035977
22.01.2014,1.25,1.25,1.25,1.24,3702770,1.25,-1.0152970934559793,-1.0101810747091788,-1.0152970934559793,-1.0256177472922956,-1.0110672112035977
23.01.2014,1.25,1.25,1.26,1.24,2768220,1.25,-1.0152970934559793,-1.0101810747091788,-1.0152970934559793,-1.0152653529987956,-1.0110672112035977
