Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,66.5,66.0,67.07,65.81,4692200,66.0,-1.3682643267501724,-1.35879608639836,-1.3682643267501724,-1.3612183536233309,-1.3596493437275987
03.01.2014,66.12,65.89,66.65,65.66,2411600,65.89,-1.3701462822254806,-1.3652941758418549,-1.3701462822254806,-1.3683394196973457,-1.3622382265493116
06.01.2014,66.02,65.23,66.19,65.15,3741200,65.23,-1.3814380150773298,-1.367004199379617,-1.3814380150773298,-1.376138682540315,-1.371040428143135
07.01.2014,65.31,65.8,65.91,65.25,3135200,65.8,-1.3716860639780055,-1.379145366497726,-1.3716860639780055,-1.3808860599229917,-1.3693145062619931
08.01.2014,66.29,65.92,66.74,65.75,4462600,65.92,-1.3696330216413057,-1.3623871358276596,-1.3696330216413057,-1.3668134769671998,-1.360684896856284
09.01.2014,66.03,66.85,66.87,65.92,4533800,66.85,-1.3537219435318821,-1.3668331970258407,-1.3537219435318821,-1.3646093374680996,-1.3577508296583427
10.01.2014,66.68,67.29,67.48,66.57,5088000,67.29,-1.3461941216306492,-1.3557180440303884,-1.3461941216306492,-1.3542668367415538,-1.3465323374309206
13.01.2014,67.27,66.37,67.41,66.17,4530200,66.37,-1.3619341128786813,-1.3456289051575936,-1.3619341128786813,-1.355453681087223,-1.353436024955488
14.01.2014,66.43,66.67,66.93,66.17,3145200,66.67,-1.3568015070369317,-1.3599931028747931,-1.3568015070369317,-1.363592042314669,-1.353436024955488
15.01.2014,66.7,67.2,67.68,66.67,4351800,67.2,-1.3477339033831741,-1.355376039322836,-1.3477339033831741,-1.3508758528967846,-1.3448064155497785
16.01.2014,66.18,66.33,66.52,65.78,4837200,66.33,-1.362618460324248,-1.3642681617191976,-1.362618460324248,-1.3705435591964459,-1.3601671202919412
17.01.2014,66.32,66.28,66.67,66.0,4756400,66.28,-1.3634738946312062,-1.3618741287663314,-1.3634738946312062,-1.3680003213128689,-1.3563700921534292
21.01.2014,66.97,66.39,66.97,66.02,3098600,66.39,-1.361591939155898,-1.3507589757708791,-1.361591939155898,-1.3629138455457153,-1.3560249077772009
22.01.2014,66.77,66.54,67.14,66.39,5254600,66.54,-1.359025636235023,-1.3541790228464028,-1.359025636235023,-1.3600315092776614,-1.349638996816976
23.01.2014,68.08,68.76,69.04,67.95,7353200,68.76,-1.3210443530060763,-1.3317777145017224,-1.3210443530060763,-1.3278171627523545,-1.3227146154711626
24.01.2014,67.99,67.78,69.11,67.33,7066200,67.78,-1.3378108654224583,-1.333316735685708,-1.3378108654224583,-1.3266303184066854,-1.3334153311342423
27.01.2014,67.95,67.61,68.14,67.26,5458800,67.61,-1.3407193420661163,-1.3340007451008127,-1.3407193420661163,-1.3430765900538157,-1.3346234764510414
28.01.2014,67.7,68.24,68.71,67.66,4187200,68.24,-1.3299408697984423,-1.3382758039452174,-1.3299408697984423,-1.3334122860962236,-1.3277197889264742
29.01.2014,67.99,67.91,68.39,67.61,5525600,67.91,-1.3355867362243667,-1.333316735685708,-1.3355867362243667,-1.3388378602478543,-1.328582749867045
30.01.2014,69.01,69.6,69.9,68.85,5357400,69.6,-1.3066730566491775,-1.315874495600537,-1.3066730566491775,-1.313235932219847,-1.307181318540886
31.01.2014,68.98,68.81,69.44,68.39,5034000,68.81,-1.320188918699118,-1.3163875026618654,-1.320188918699118,-1.3210351950628163,-1.3151205591941384
03.02.2014,68.95,67.82,69.43,67.58,6805000,67.82,-1.3371265179768916,-1.316900509723194,-1.3371265179768916,-1.3212047442550545,-1.3291005264313875
04.02.2014,68.35,68.42,68.58,67.71,4055000,68.42,-1.3268613062933925,-1.3271606509497655,-1.3268613062933925,-1.3356164255953236,-1.3268568279859032
05.02.2014,68.16,68.18,68.46,67.61,4348800,68.18,-1.330967390966792,-1.330409695671513,-1.330967390966792,-1.3376510159021853,-1.328582749867045
06.02.2014,68.28,69.16,69.35,68.21,3998200,69.16,-1.3142008785504102,-1.3283576674261985,-1.3142008785504102,-1.3225611377929625,-1.318227218580194
07.02.2014,69.42,69.86,70.13,69.3,4627200,69.86,-1.3022247982529944,-1.3088633990957133,-1.3022247982529944,-1.3093363007983627,-1.2994146700757474
10.02.2014,69.76,69.02,69.81,68.94,5165400,69.02,-1.3165960946098934,-1.303049319067323,-1.3165960946098934,-1.3147618749499932,-1.3056279888478581
11.02.2014,69.2,70.18,70.6,69.14,5403200,70.18,-1.2967500186884613,-1.3126254508787893,-1.2967500186884613,-1.3013674887631552,-1.3021761450855744
12.02.2014,70.25,70.63,70.84,70.03,3269000,70.63,-1.2890511099258373,-1.29467020373229,-1.2890511099258373,-1.297298308149432,-1.2868154403434118
13.02.2014,70.17,70.55,70.77,70.08,2874000,70.55,-1.2904198048169704,-1.2960382225624993,-1.2904198048169704,-1.2984851524951015,-1.2859524794028407
14.02.2014,70.41,71.14,71.28,70.38,3817200,71.14,-1.2803256799948628,-1.291934166071871,-1.2803256799948628,-1.28983814369094,-1.2807747137594152
18.02.2014,71.18,70.41,71.24,70.03,5751200,70.41,-1.2928150208764535,-1.2787669848311045,-1.2928150208764535,-1.290516340459894,-1.2868154403434118
19.02.2014,70.05,69.45,70.44,69.34,3776800,69.45,-1.3092393595700522,-1.2980902508078136,-1.3092393595700522,-1.3040802758389705,-1.2987243013232905
20.02.2014,69.53,70.24,70.49,69.51,4276200,70.24,-1.2957234975201117,-1.3069823732041752,-1.2957234975201117,-1.3032325298777783,-1.2957902341253493
21.02.2014,70.49,70.74,71.16,70.33,4103400,70.74,-1.287169154450529,-1.2905661472416614,-1.287169154450529,-1.2918727339978016,-1.2816376746999862
24.02.2014,70.78,70.93,71.59,70.65,3282800,70.93,-1.2839185040840875,-1.2856070789821519,-1.2839185040840875,-1.2845821187315478,-1.276114724680332
25.02.2014,71.07,70.57,71.12,70.31,2794800,70.57,-1.2900776310941873,-1.2806480107226428,-1.2900776310941873,-1.2925509307667553,-1.2819828590762146
26.02.2014,70.66,70.34,71.05,70.16,3374800,70.34,-1.294012628906195,-1.2876591072274663,-1.294012628906195,-1.2937377751124246,-1.2845717418979274
27.02.2014,70.22,70.85,71.08,70.17,2951200,70.85,-1.2852871989752208,-1.2951832107936185,-1.2852871989752208,-1.2932291275357093,-1.284399149709813
28.02.2014,70.97,71.6,71.91,70.74,4774200,71.6,-1.272455684370847,-1.2823580342604044,-1.272455684370847,-1.2791565445799173,-1.2745613949873045
03.03.2014,71.12,71.26,71.43,70.77,3857400,71.26,-1.278272637658163,-1.2797929989537615,-1.278272637658163,-1.287294905807363,-1.274043618422962
04.03.2014,72.16,72.98,73.37,71.9,4955400,72.98,-1.2488456974987987,-1.2620087541610383,-1.2488456974987987,-1.2544023625131024,-1.2545407011660585
05.03.2014,73.16,73.17,73.82,72.95,4431800,73.17,-1.2455950471323574,-1.2449085187834197,-1.2455950471323574,-1.246772648862372,-1.236418521414069
06.03.2014,73.28,73.78,74.26,73.16,3646200,73.78,-1.2351587485874664,-1.2428564905381052,-1.2351587485874664,-1.2393124844038796,-1.2327940854636712
07.03.2014,74.06,74.45,74.86,73.85,3818400,74.45,-1.2236959288742257,-1.2295183069435627,-1.2236959288742257,-1.2291395328695722,-1.2208852244837924
10.03.2014,74.34,73.92,74.44,73.63,3677800,73.92,-1.2327635325279833,-1.2247302410378296,-1.2327635325279833,-1.2362605989435875,-1.2246822526223045
11.03.2014,74.04,73.74,74.11,73.56,2855800,73.74,-1.235843096033033,-1.229860311651115,-1.235843096033033,-1.2418557222874567,-1.2258903979391036
12.03.2014,73.39,74.44,74.45,73.16,3314800,74.44,-1.2238670157356173,-1.2409754646465672,-1.2238670157356173,-1.236091049751349,-1.2327940854636712
13.03.2014,74.61,73.78,75.2,73.62,4766200,73.78,-1.2351587485874664,-1.2201131774858724,-1.2351587485874664,-1.2233748603334647,-1.2248548448104184
14.03.2014,73.62,73.49,74.0,73.12,3855200,73.49,-1.2401202675678245,-1.2370424105097149,-1.2401202675678245,-1.2437207634020797,-1.2334844542161278
17.03.2014,74.02,74.38,74.58,73.82,3464400,74.38,-1.2248935369039673,-1.2302023163586675,-1.2248935369039673,-1.2338869102522492,-1.221403001048135
18.03.2014,74.51,75.18,75.42,74.33,3541000,75.18,-1.2112065879926348,-1.2218232010236343,-1.2112065879926348,-1.2196447781042186,-1.2126007994543113
19.03.2014,75.36,74.17,75.52,73.92,4157600,74.17,-1.228486360993192,-1.2072880009526585,-1.228486360993192,-1.2179492861818342,-1.2196770791669929
20.03.2014,74.01,74.92,74.92,73.78,3271200,74.92,-1.215654846388818,-1.2303733187124437,-1.215654846388818,-1.2281222377161416,-1.2220933698005916
21.03.2014,75.41,74.36,75.61,74.25,5736000,74.36,-1.2252357106267506,-1.2064329891837777,-1.2252357106267506,-1.216423343451688,-1.2139815369592248
24.03.2014,74.49,74.63,74.85,73.65,4113400,74.63,-1.220616365369176,-1.222165205731187,-1.220616365369176,-1.2293090820618109,-1.224337068246076
25.03.2014,74.81,74.22,75.15,74.22,4306800,74.22,-1.2276309266862337,-1.2166931304103488,-1.2276309266862337,-1.2242226062946568,-1.2144993135235673
26.03.2014,74.57,73.16,74.66,73.16,4655400,73.16,-1.245766133993749,-1.2207971869009773,-1.245766133993749,-1.2325305167143414,-1.2327940854636712
27.03.2014,72.86,72.76,73.53,72.58,4266400,72.76,-1.252609608449415,-1.2500385893967052,-1.252609608449415,-1.2516895754372872,-1.242804432374294
28.03.2014,72.96,73.34,73.39,72.85,3182000,73.34,-1.2426865704886991,-1.2483285658589434,-1.2426865704886991,-1.2540632641286256,-1.2381444432952111
31.03.2014,73.75,74.49,74.89,73.47,3263200,74.49,-1.223011581428659,-1.2348193799106246,-1.223011581428659,-1.228630885292857,-1.2274437276321313
01.04.2014,74.78,74.8,74.84,74.1,2681000,74.8,-1.217707888725518,-1.2172061374716774,-1.217707888725518,-1.229478631254049,-1.2165704197809377
02.04.2014,74.77,75.05,75.41,74.68,3648400,75.05,-1.2134307171907266,-1.2173771398254536,-1.2134307171907266,-1.2198143272964572,-1.2065600728703145
03.04.2014,75.33,75.09,75.33,74.51,2824600,75.09,-1.21274636974516,-1.2078010080139872,-1.21274636974516,-1.2211707208343647,-1.2094941400682557
04.04.2014,75.3,74.65,75.42,74.43,3306200,74.65,-1.2202741916463926,-1.2083140150753158,-1.2202741916463926,-1.2196447781042186,-1.2108748775731693
07.04.2014,74.55,73.93,74.78,73.64,2849000,73.93,-1.2325924456665915,-1.2211391916085297,-1.2325924456665915,-1.23049592640748,-1.22450966043419
08.04.2014,73.76,73.57,74.11,73.31,4222600,73.57,-1.2387515726766913,-1.2346483775568482,-1.2387515726766913,-1.2418557222874567,-1.2302052026419583
09.04.2014,73.76,74.06,74.24,73.27,3487000,74.06,-1.2303683164685002,-1.2346483775568482,-1.2303683164685002,-1.2396515827883567,-1.2308955713944152
10.04.2014,74.1,72.87,74.33,72.84,3483000,72.87,-1.2507276529741067,-1.228834297528458,-1.2507276529741067,-1.2381256400582106,-1.238317035483325
11.04.2014,72.41,71.87,72.93,71.79,6082200,71.87,-1.267836339113272,-1.2577336953166336,-1.267836339113272,-1.2618625269715944,-1.2564392152353148
14.04.2014,72.49,72.28,72.83,71.74,4537000,72.28,-1.2608217777962143,-1.2563656764864242,-1.2608217777962143,-1.2635580188939792,-1.2573021761758858
15.04.2014,72.41,73.64,73.77,72.36,6549000,73.64,-1.2375539646469496,-1.2577336953166336,-1.2375539646469496,-1.2476203948235642,-1.2466014605128062
16.04.2014,73.61,74.68,74.84,73.24,7271800,74.68,-1.2197609310622175,-1.2372134128634913,-1.2197609310622175,-1.229478631254049,-1.2314133479587577
17.04.2014,72.45,75.26,75.43,72.37,6252600,75.26,-1.2098378931015017,-1.2570496859015288,-1.2098378931015017,-1.2194752289119801,-1.2464288683246918
21.04.2014,75.42,76.03,76.21,75.26,4141400,76.03,-1.1966642047743445,-1.2062619868300013,-1.1966642047743445,-1.2062503919173806,-1.1965497259596918
22.04.2014,76.23,76.23,77.07,76.08,4668200,76.23,-1.1932424675465114,-1.1924107961741301,-1.1932424675465114,-1.1916691613848733,-1.1823971665343285
23.04.2014,76.23,76.17,76.46,75.9,2982400,76.17,-1.1942689887148614,-1.1924107961741301,-1.1942689887148614,-1.2020116621114192,-1.1855038259203838
24.04.2014,76.33,75.65,76.43,75.42,2731000,75.65,-1.2031655055072272,-1.1907007726363685,-1.2031655055072272,-1.2025203096881343,-1.1937882509498647
25.04.2014,75.66,74.54,75.66,74.39,4432600,74.54,-1.2221561471217006,-1.202157930339373,-1.2221561471217006,-1.2155755974904958,-1.2115652463256261
28.04.2014,74.93,74.6,75.13,74.12,4256600,74.6,-1.221129625953351,-1.2146411021650345,-1.221129625953351,-1.224561704679134,-1.2162252354047092
29.04.2014,74.76,75.38,75.45,74.55,3375400,75.38,-1.2077848507648021,-1.2175481421792296,-1.2077848507648021,-1.2191361305275032,-1.208803771315799
30.04.2014,75.38,75.59,75.9,75.34,3067400,75.59,-1.2041920266755772,-1.2069459962451061,-1.2041920266755772,-1.2115064168767726,-1.1951689884547783
01.05.2014,75.54,74.94,75.92,74.92,2656600,74.94,-1.2153126726660348,-1.204209958584687,-1.2153126726660348,-1.2111673184922958,-1.2024178603555742
02.05.2014,75.01,74.63,75.2,74.56,3757600,74.63,-1.220616365369176,-1.2132730833348249,-1.220616365369176,-1.2233748603334647,-1.208631179127685
05.05.2014,74.52,74.53,74.79,74.15,3695600,74.53,-1.2223272339830924,-1.2216521986698583,-1.2223272339830924,-1.2303263772152413,-1.2157074588403665
06.05.2014,74.43,74.35,74.73,74.29,4296200,74.35,-1.2254067974881424,-1.2231912198538437,-1.2254067974881424,-1.2313436723686721,-1.213291168206768
07.05.2014,74.47,74.76,74.97,74.17,5311800,74.76,-1.2183922361710844,-1.2225072104387391,-1.2183922361710844,-1.2272744917549492,-1.2153622744641381
08.05.2014,74.77,74.91,75.35,74.59,3780200,74.91,-1.2158259332502097,-1.2173771398254536,-1.2158259332502097,-1.2208316224498879,-1.2081134025633424
09.05.2014,74.8,75.15,75.4,74.5,3323200,75.15,-1.21171984857681,-1.216864132764125,-1.21171984857681,-1.2199838764886954,-1.2096667322563701
12.05.2014,75.24,76.07,76.1,75.24,3925000,76.07,-1.195979857328778,-1.2093400291979728,-1.195979857328778,-1.2081154330320036,-1.1968949103359203
13.05.2014,76.22,76.57,77.06,76.2,3249400,76.57,-1.1874255142591954,-1.1925817985279066,-1.1874255142591954,-1.1918387105771115,-1.1803260602769583
14.05.2014,76.57,76.3,76.72,75.94,2892800,76.3,-1.1920448595167699,-1.18659671614574,-1.1920448595167699,-1.1976033831132191,-1.1848134571679272
15.05.2014,76.17,75.86,76.29,75.6,2971600,75.86,-1.1995726814180026,-1.1934368102967874,-1.1995726814180026,-1.2048939983794726,-1.1906815915638096
16.05.2014,76.2,77.47,77.5,76.2,5889000,77.47,-1.1720276967339465,-1.1929238032354588,-1.1720276967339465,-1.1843785461186196,-1.1803260602769583
19.05.2014,77.51,77.64,77.71,77.06,3210600,77.64,-1.1691192200902885,-1.1705224948907782,-1.1691192200902885,-1.180818013081612,-1.1654831320991381
20.05.2014,77.62,76.96,77.95,76.69,3654000,76.96,-1.180753126664921,-1.1686414689992402,-1.180753126664921,-1.1767488324678888,-1.171869043059363
21.05.2014,77.24,77.5,77.81,77.18,3088600,77.5,-1.1715144361497716,-1.1751395584427355,-1.1715144361497716,-1.1791225211592273,-1.1634120258417677
22.05.2014,77.4,77.52,77.78,77.0,2344800,77.52,-1.1711722624269882,-1.1724035207823162,-1.1711722624269882,-1.1796311687359426,-1.1665186852278233
23.05.2014,77.72,77.9,78.25,77.6,2123400,77.9,-1.1646709616941053,-1.1669314454614785,-1.1646709616941053,-1.1716623567007352,-1.1561631539409722
27.05.2014,78.23,78.23,78.52,78.01,2436000,78.23,-1.1590250952681809,-1.158210325418893,-1.1590250952681809,-1.1670845285102969,-1.1490868742282903
28.05.2014,78.26,77.95,78.49,77.91,3267400,77.95,-1.163815527387147,-1.1576973183575643,-1.163815527387147,-1.1675931760870122,-1.1508127961094323
29.05.2014,78.21,78.52,78.57,78.0,2666800,78.52,-1.154063576287823,-1.1585523301264455,-1.154063576287823,-1.1662367825491047,-1.1492594664164046
30.05.2014,78.34,79.1,79.17,78.15,4539800,79.1,-1.1441405383271073,-1.1563292995273549,-1.1441405383271073,-1.156063831014797,-1.1466705835946918
02.06.2014,79.13,79.06,79.24,78.59,2625600,79.06,-1.1448248857726737,-1.1428201135790361,-1.1448248857726737,-1.154876986669128,-1.1390765273176675
03.06.2014,78.99,78.35,79.06,78.16,2845600,78.35,-1.156972052931481,-1.1452141465319028,-1.156972052931481,-1.15792887212942,-1.1464979914065776
04.06.2014,78.35,78.53,78.69,78.3,2354800,78.53,-1.1538924894264313,-1.1561582971735789,-1.1538924894264313,-1.164202192242243,-1.1440817007729789
05.06.2014,78.52,79.52,79.9,78.52,3489200,79.52,-1.1369548901486577,-1.1532512571593836,-1.1369548901486577,-1.1436867399813895,-1.1402846726344669
06.06.2014,79.93,80.13,80.43,79.48,4104800,80.13,-1.126518591603767,-1.1291399252769412,-1.126518591603767,-1.1347006327927514,-1.1237158225755048
09.06.2014,80.87,81.09,81.14,80.04,3366400,81.09,-1.110094252910168,-1.1130657040219796,-1.110094252910168,-1.122662640143821,-1.1140506600411102
10.06.2014,81.68,81.31,81.74,80.46,3328500,81.31,-1.1063303419595518,-1.0992145133661084,-1.1063303419595518,-1.1124896886095137,-1.1068017881403147
11.06.2014,81.02,81.12,81.22,80.42,2491500,81.12,-1.1095809923259932,-1.110500668715337,-1.1095809923259932,-1.1213062466059134,-1.1074921568927711
12.06.2014,81.15,80.28,81.3,80.09,3307900,80.28,-1.123952288682892,-1.1082776381162465,-1.123952288682892,-1.1199498530680057,-1.1131876991005394
13.06.2014,80.29,80.46,80.73,80.01,1837800,80.46,-1.1208727251778423,-1.1229838405409984,-1.1208727251778423,-1.1296141570255975,-1.114568436605453
16.06.2014,79.94,79.59,80.24,79.44,3152500,79.59,-1.135757282118916,-1.128968922923165,-1.135757282118916,-1.1379220674452821,-1.1244061913279617
17.06.2014,79.7,79.24,79.74,79.17,3537200,79.24,-1.141745322267624,-1.1330729794137935,-1.141745322267624,-1.1463995270572052,-1.1290661804070445
18.06.2014,79.38,80.28,80.51,79.33,3585900,80.28,-1.123952288682892,-1.1385450547346316,-1.123952288682892,-1.1333442392548436,-1.1263047053972177
19.06.2014,80.29,80.57,80.89,80.17,2523600,80.57,-1.1189907697025343,-1.1229838405409984,-1.1189907697025343,-1.1269013699497823,-1.1118069615956259
20.06.2014,80.59,80.6,80.82,80.43,4876500,80.6,-1.1184775091183592,-1.117853769927713,-1.1184775091183592,-1.1280882142954518,-1.107319564704657
23.06.2014,80.68,80.29,80.7,80.05,2715700,80.29,-1.1237812018215003,-1.116314748743727,-1.1237812018215003,-1.130122804602313,-1.1138780678529963
24.06.2014,80.01,79.49,80.7,79.45,2482400,79.49,-1.1374681507328326,-1.1277719064467318,-1.1374681507328326,-1.130122804602313,-1.1242335991398473
25.06.2014,79.45,79.82,80.03,79.45,2545200,79.82,-1.1318222843069081,-1.1373480382581982,-1.1318222843069081,-1.1414826004822898,-1.1242335991398473
26.06.2014,79.91,79.4,79.98,79.07,3127600,79.4,-1.1390079324853575,-1.1294819299844936,-1.1390079324853575,-1.142330346443482,-1.1307921022881866
27.06.2014,79.4,79.46,79.7,79.07,3244200,79.46,-1.1379814113170077,-1.138203050027079,-1.1379814113170077,-1.1470777238261587,-1.1307921022881866
30.06.2014,79.38,79.54,80.41,79.38,3773600,79.54,-1.1366127164258741,-1.1385450547346316,-1.1366127164258741,-1.1350397311772285,-1.125441744456647
