Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,74.29,73.36,74.49,73.0,2799700,73.36,-1.0104058121251895,-0.9869480926596699,-1.0104058121251895,-0.9954955047886866,-1.0056907801122548
03.01.2014,73.47,73.19,73.8,73.17,3719600,73.19,-1.014668350747734,-1.0075184058428,-1.014668350747734,-1.0125943448956618,-1.001373126349456
06.01.2014,73.51,72.24,73.61,71.87,3884800,72.24,-1.0384884195207766,-1.0065149759314276,-1.0384884195207766,-1.0173027211570027,-1.034390478653211
07.01.2014,72.31,72.48,73.05,72.28,3385700,72.48,-1.0324707179360078,-1.0366178732725932,-1.0324707179360078,-1.031180040664113,-1.023977313695873
08.01.2014,72.51,72.42,72.62,72.0,3024400,72.42,-1.0339751433322,-1.031600723715732,-1.0339751433322,-1.0418358395713583,-1.0310887434228357
09.01.2014,72.61,72.51,72.8,72.09,2352000,72.51,-1.0317185052379116,-1.029092148937302,-1.0317185052379116,-1.03737527258693,-1.0288029267248833
10.01.2014,72.61,72.79,72.88,71.95,3499500,72.79,-1.024697853389015,-1.029092148937302,-1.024697853389015,-1.0353927983716287,-1.0323586415883645
13.01.2014,72.17,71.16,72.8,71.02,3510100,71.16,-1.0655680766522355,-1.0401298779623958,-1.0655680766522355,-1.03737527258693,-1.055978747467205
14.01.2014,71.26,71.66,71.7,70.74,3620300,71.66,-1.0530311983506342,-1.062957908446113,-1.0530311983506342,-1.0646342930473252,-1.0630901771941677
15.01.2014,71.87,71.75,72.02,71.51,2027700,71.75,-1.0507745602563459,-1.047655602297687,-1.0507745602563459,-1.0567043961861196,-1.0435337454450202
16.01.2014,71.55,71.35,71.76,71.07,2603900,71.35,-1.0608040628976272,-1.0556830415886649,-1.0608040628976272,-1.063147437385849,-1.054708849301676
17.01.2014,69.23,70.94,71.22,68.87,10135500,70.94,-1.0710843031049402,-1.1138819764482515,-1.0710843031049402,-1.076529138339134,-1.1105843685849537
21.01.2014,71.33,69.99,71.42,69.25,5783200,69.99,-1.0949043718779827,-1.061201906101212,-1.0949043718779827,-1.0715729528008804,-1.100933142526933
22.01.2014,70.48,70.28,70.55,69.94,3234100,70.28,-1.087632982463054,-1.0825247917178706,-1.087632982463054,-1.093132359892284,-1.0834085478426323
23.01.2014,69.86,69.54,69.96,69.3,4255100,69.54,-1.1061875623494237,-1.0980779553441395,-1.1061875623494237,-1.1077531072301323,-1.099663244361404
24.01.2014,69.28,68.4,69.36,68.36,5251600,68.4,-1.1347716448770748,-1.1126276890590363,-1.1347716448770748,-1.1226216638448931,-1.1235373298733502
27.01.2014,68.26,67.57,68.6,67.46,4973700,67.57,-1.1555828628577334,-1.1382151517990269,-1.1555828628577334,-1.1414551688902572,-1.1463954968528731
28.01.2014,67.67,68.03,68.03,67.57,3881700,68.03,-1.14404893482026,-1.1530157429917667,-1.14404893482026,-1.15558029767428,-1.1436017208887093
29.01.2014,67.82,67.69,68.16,67.42,4554500,67.69,-1.152574012065349,-1.1492528808241211,-1.152574012065349,-1.1523587770744153,-1.1474114153852961
30.01.2014,68.67,68.0,68.87,67.91,4010000,68.0,-1.1448011475183562,-1.127929995207462,-1.1448011475183562,-1.1347643184136145,-1.1349664133631117
31.01.2014,67.07,67.61,68.14,66.76,4082600,67.61,-1.1545799125936052,-1.1680671916623497,-1.1545799125936052,-1.1528543956282407,-1.1641740711702795
03.02.2014,67.52,66.47,68.1,66.4,5448600,66.47,-1.1831639951212563,-1.1567786051594124,-1.1831639951212563,-1.1538456327358915,-1.1733173379620885
04.02.2014,66.84,66.66,66.9,66.17,3537300,66.66,-1.178399981366648,-1.1738369136527393,-1.178399981366648,-1.1835827459654131,-1.1791588695235222
05.02.2014,66.63,66.57,66.98,66.39,4591300,66.57,-1.1806566194609363,-1.1791049206874435,-1.1806566194609363,-1.1816002717501117,-1.1735713175951945
