Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,116.24,116.81,117.3,115.82,3366700,116.81,-1.061579237415525,-1.0695678519203435,-1.061579237415525,-1.0758984641235685,-1.0548665911484436
03.01.2014,117.14,117.62,118.37,117.13,3177400,117.62,-1.0517004566442743,-1.058588769520658,-1.0517004566442743,-1.062981719015086,-1.0387085109082794
06.01.2014,119.14,118.3,119.45,117.77,4196500,118.3,-1.0434071592066811,-1.034190808632468,-1.0434071592066811,-1.0499442566625996,-1.0308144869741536
07.01.2014,118.44,120.09,120.59,118.37,4238500,120.09,-1.021576273304781,-1.0427300949433345,-1.021576273304781,-1.036182490846086,-1.0234138395359103
08.01.2014,120.24,120.35,120.85,119.11,4236100,120.35,-1.018405306637466,-1.0207719301439635,-1.018405306637466,-1.0330438425019688,-1.0142863743620771
09.01.2014,120.94,121.47,121.81,120.12,4052500,121.47,-1.0047457579167243,-1.012232643833097,-1.0047457579167243,-1.0214549870775362,-1.0018286178410345
10.01.2014,122.04,121.28,122.05,120.42,4549500,121.28,-1.0070630027889929,-0.9988137653445924,-1.0070630027889929,-1.0185577732214282,-0.9981282941219131
13.01.2014,120.98,120.25,121.48,119.98,4462400,120.25,-1.019624909201818,-1.011744684615333,-1.019624909201818,-1.0254386561296849,-1.0035554355766245
14.01.2014,120.38,119.66,121.11,117.77,8441600,119.66,-1.0268205643314945,-1.0190640728817904,-1.0268205643314945,-1.0299051941578516,-1.0308144869741536
15.01.2014,119.91,120.18,120.58,119.77,3030800,120.18,-1.0204786309968643,-1.024797593690515,-1.0204786309968643,-1.0363032080900905,-1.0061456621800098
16.01.2014,119.94,119.83,120.89,119.71,3062900,119.83,-1.0247472399720963,-1.024431624277192,-1.0247472399720963,-1.0325609735259507,-1.006885726923834
17.01.2014,119.72,120.05,120.51,119.44,3382700,120.05,-1.022064114330522,-1.027115399974893,-1.022064114330522,-1.037148228798122,-1.0102160182710436
21.01.2014,120.9,121.08,121.76,120.35,3240600,121.08,-1.009502207917697,-1.0127206030508606,-1.009502207917697,-1.0220585732975587,-0.9989917029897082
22.01.2014,121.63,123.39,123.56,121.25,4388700,123.39,-0.9813293886811668,-1.0038153473266715,-0.9813293886811668,-1.0003294693767477,-0.9878907318323434
23.01.2014,122.3,120.77,122.98,120.59,4491400,120.77,-1.013282975867188,-0.9956420304291279,-1.013282975867188,-1.007331069529009,-0.9960314440144108
24.01.2014,120.0,116.79,120.06,116.51,5856800,116.79,-1.0618231579283954,-1.0236996854505462,-1.0618231579283954,-1.0425805047783248,-1.0463558465944638
27.01.2014,116.83,117.4,118.34,115.94,5057800,117.4,-1.0543835822858485,-1.0623704534583274,-1.0543835822858485,-1.0633438707470997,-1.0533864616607949
28.01.2014,117.61,117.17,118.02,116.61,4606200,117.17,-1.057188668183858,-1.0528552487119334,-1.057188668183858,-1.067206822555244,-1.0451224053547568
29.01.2014,112.56,110.92,112.61,109.46,15993400,110.92,-1.1334138284558548,-1.114460099954613,-1.1334138284558548,-1.1325148515616816,-1.1333134539938203
30.01.2014,112.56,108.14,112.56,107.0,10406200,108.14,-1.1673187797448392,-1.114460099954613,-1.1673187797448392,-1.133118437781704,-1.163656108490617
31.01.2014,106.37,107.06,108.43,105.19,9732700,107.06,-1.18049048743984,-1.1899717889035608,-1.18049048743984,-1.182974659555565,-1.185981394929317
03.02.2014,106.18,105.19,108.13,104.91,9309600,105.19,-1.2032970553932216,-1.1922895951879389,-1.2032970553932216,-1.1865961768757003,-1.1894350304004973
04.02.2014,105.18,104.3,105.81,103.01,9304100,104.3,-1.2141515182159541,-1.2044885756320338,-1.2141515182159541,-1.2146025774847455,-1.2128704139549336
05.02.2014,103.42,103.76,104.22,101.51,9689100,103.76,-1.2207373720634545,-1.2259587812136412,-1.2207373720634545,-1.233796619281462,-1.2313720325505413
06.02.2014,104.09,104.84,104.89,103.85,6738800,104.84,-1.2075656643684534,-1.2177854643160975,-1.2075656643684534,-1.22570856393316,-1.2025095075413934
07.02.2014,105.77,108.56,108.72,105.68,8906300,108.56,-1.1621964489745609,-1.197291177170018,-1.1621964489745609,-1.1794738594794343,-1.1799375328547517
10.02.2014,110.22,108.68,110.23,107.99,8173500,108.68,-1.1607329258973385,-1.1430057141937953,-1.1607329258973385,-1.1612455556347538,-1.151445040217516
11.02.2014,109.1,111.24,111.7,108.94,7874000,111.24,-1.1295111002499287,-1.1566685722911818,-1.1295111002499287,-1.1435001207660915,-1.1397273484402977
12.02.2014,111.98,110.13,112.21,110.01,5798800,110.13,-1.1430486887142355,-1.121535508612188,-1.1430486887142355,-1.137343541321862,-1.1265295271754308
13.02.2014,109.21,111.3,111.68,109.21,4203400,111.3,-1.1287793387113176,-1.1553266844423313,-1.1287793387113176,-1.1437415552541006,-1.1363970570930884
14.02.2014,110.95,111.87,112.09,110.03,4807700,111.87,-1.1218276040945114,-1.134100458469606,-1.1218276040945114,-1.138792148249916,-1.1262828389274895
18.02.2014,111.85,112.28,112.54,111.39,4645300,112.28,-1.1168272335806684,-1.1231213760699206,-1.1168272335806684,-1.1333598722697131,-1.1095080380674718
19.02.2014,111.83,110.35,112.16,110.33,5146600,110.35,-1.140365563072661,-1.1233653556788024,-1.140365563072661,-1.1379471275418844,-1.122582515208368
20.02.2014,110.43,111.36,111.73,109.59,4466400,111.36,-1.1280475771727063,-1.1404439283005352,-1.1280475771727063,-1.143137969034078,-1.131709980382201
21.02.2014,111.56,110.26,111.56,110.11,5164000,110.26,-1.1414632053805778,-1.126659080398708,-1.1414632053805778,-1.1451901621821547,-1.1252960859357237
24.02.2014,110.34,111.38,112.42,110.32,4635700,111.38,-1.127803656659836,-1.141541836540504,-1.127803656659836,-1.1348084791977673,-1.1227058593323387
25.02.2014,111.13,108.97,111.52,108.48,7308800,108.97,-1.157196078460718,-1.1319046419896688,-1.157196078460718,-1.1456730311581729,-1.1454011781429507
26.02.2014,109.36,108.82,109.96,108.61,4803600,108.82,-1.159025482307246,-1.1534968373757168,-1.159025482307246,-1.1645049212228757,-1.1437977045313314
27.02.2014,108.7,110.5,110.5,108.52,4649700,110.5,-1.1385361592261332,-1.1615481644688197,-1.1385361592261332,-1.1579861900466324,-1.144907801647068
28.02.2014,110.66,110.81,111.69,110.07,4361400,110.81,-1.134755391276642,-1.1376381627983936,-1.134755391276642,-1.143620838010096,-1.1257894624316067
03.03.2014,109.31,110.2,110.39,108.74,4847100,110.2,-1.1421949669191889,-1.1541067863979217,-1.1421949669191889,-1.1593140797306818,-1.1421942309197122
04.03.2014,111.2,111.93,112.59,111.16,5422800,111.93,-1.1210958425559001,-1.131050713358582,-1.1210958425559001,-1.1327562860496905,-1.1123449529187983
05.03.2014,112.08,110.69,112.42,110.61,4095200,110.69,-1.1362189143538644,-1.1203156105677785,-1.1362189143538644,-1.1348084791977673,-1.1191288797371877
06.03.2014,110.88,110.75,111.19,110.04,3595900,110.75,-1.1354871528152533,-1.1349543871006926,-1.1354871528152533,-1.1496567002103215,-1.1261594948035185
07.03.2014,111.52,110.48,111.87,110.08,4297800,110.48,-1.1387800797390035,-1.1271470396164718,-1.1387800797390035,-1.141447927618015,-1.1256661183076357
10.03.2014,108.73,109.06,109.4,107.23,7039200,109.06,-1.156098436152801,-1.1611821950554968,-1.156098436152801,-1.171265086887128,-1.1608191936392904
11.03.2014,109.18,108.01,109.39,107.97,4190000,108.01,-1.1689042630784965,-1.155692653855654,-1.1689042630784965,-1.1713858041311325,-1.1516917284654573
12.03.2014,107.44,106.95,107.61,106.41,5040100,106.95,-1.1818320502606272,-1.1769188798283794,-1.1818320502606272,-1.1928734735639346,-1.1709334118048895
13.03.2014,107.14,104.76,107.96,104.54,6071200,104.76,-1.208541346419935,-1.1805785739616077,-1.208541346419935,-1.1886483700237769,-1.1939987629874136
14.03.2014,104.96,105.81,106.82,104.82,5698400,105.81,-1.1957355194942396,-1.207172351329735,-1.1957355194942396,-1.2024101358402906,-1.1905451275162338
17.03.2014,106.55,107.8,108.14,106.51,4380500,107.8,-1.1714654284636359,-1.1877759724236239,-1.1714654284636359,-1.1864754596316958,-1.1696999705651823
18.03.2014,107.94,106.61,108.14,106.28,4151600,106.61,-1.1859786989794239,-1.170819389606332,-1.1859786989794239,-1.1864754596316958,-1.1725368854165088
19.03.2014,106.85,105.06,107.61,104.32,6673000,105.06,-1.2048825387268791,-1.1841162782903953,-1.2048825387268791,-1.1928734735639346,-1.1967123337147696
20.03.2014,105.37,106.34,106.49,104.33,4601700,106.34,-1.1892716259031741,-1.202170769347656,-1.1892716259031741,-1.2063938048924392,-1.1965889895907988
