Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,12.52,12.27,12.52,12.13,8000,12.27,-1.3308215503987353,-1.3245484472277615,-1.3308215503987353,-1.3266485349721828,-1.3325777075695393
03.01.2014,12.39,12.24,12.7,12.2,32600,12.24,-1.3313535195074515,-1.3268501088258777,-1.3313535195074515,-1.323508326394671,-1.331315520444726
06.01.2014,12.37,12.5,12.72,12.29,24000,12.5,-1.3267431205652431,-1.3272042106102033,-1.3267431205652431,-1.323159414330503,-1.3296927084271093
07.01.2014,12.59,12.31,12.65,12.17,34500,12.31,-1.3301122582537799,-1.323309090982622,-1.3301122582537799,-1.3243806065550907,-1.3318564577839318
08.01.2014,12.34,12.33,12.37,12.31,20000,12.33,-1.3297576121813024,-1.3277353632866917,-1.3297576121813024,-1.3292653754534423,-1.3293320835343052
09.01.2014,12.33,12.07,12.42,11.94,37900,12.07,-1.3343680111235108,-1.3279124141788545,-1.3343680111235108,-1.3283930952930225,-1.336003644051175
10.01.2014,12.12,12.23,12.24,12.06,32600,12.23,-1.3315308425436903,-1.331630482914273,-1.3315308425436903,-1.3315333038705341,-1.3338398946943524
13.01.2014,12.54,12.25,12.54,12.25,23700,12.25,-1.3311761964712128,-1.324194345443436,-1.3311761964712128,-1.3262996229080148,-1.3304139582127166
14.01.2014,12.15,11.9,12.15,11.66,19700,11.9,-1.33738250273957,-1.3310993302377847,-1.33738250273957,-1.3331034081592898,-1.341052392550428
15.01.2014,11.87,11.86,11.93,11.81,50200,11.86,-1.3380917948845252,-1.3360567552183429,-1.3380917948845252,-1.3369414408651374,-1.3383477058543995
16.01.2014,11.79,12.06,12.06,11.79,5400,12.06,-1.3345453341597495,-1.337473162355645,-1.3345453341597495,-1.3346735124480458,-1.3387083307472036
17.01.2014,12.19,12.28,12.28,12.0,10500,12.28,-1.3306442273624963,-1.3303911266691337,-1.3306442273624963,-1.3308354797421982,-1.3349217693727637
20.01.2014,12.42,11.93,12.42,11.81,12700,11.93,-1.3368505336308538,-1.3263189561493893,-1.3368505336308538,-1.3283930952930225,-1.3383477058543995
