Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,9.19,9.15,9.19,9.07,4695000,9.15,-0.6530559550270789,-0.6487357673244216,-0.6530559550270789,-0.6633698753853627,-0.6526646545440021
03.01.2014,9.11,9.02,9.15,9.02,6314000,9.02,-0.6758932677318802,-0.6627335928188569,-0.6758932677318802,-0.6702250458585691,-0.6616030603902291
06.01.2014,9.07,9.07,9.15,9.07,6053000,9.07,-0.6671096859223412,-0.6697325055660743,-0.6671096859223412,-0.6702250458585691,-0.6526646545440021
07.01.2014,9.07,9.07,9.15,9.07,5089000,9.07,-0.6671096859223412,-0.6697325055660743,-0.6671096859223412,-0.6702250458585691,-0.6526646545440021
08.01.2014,9.07,9.07,9.15,9.07,5999000,9.07,-0.6671096859223412,-0.6697325055660743,-0.6671096859223412,-0.6702250458585691,-0.6526646545440021
09.01.2014,9.07,9.11,9.15,9.07,5790000,9.11,-0.6600828204747101,-0.6697325055660743,-0.6600828204747101,-0.6702250458585691,-0.6526646545440021
10.01.2014,9.11,9.07,9.15,9.07,8564000,9.07,-0.6671096859223412,-0.6627335928188569,-0.6671096859223412,-0.6702250458585691,-0.6526646545440021
13.01.2014,9.15,9.07,9.15,9.07,7448000,9.07,-0.6671096859223412,-0.655734680071639,-0.6671096859223412,-0.6702250458585691,-0.6526646545440021
14.01.2014,9.15,9.11,9.15,9.07,7109000,9.11,-0.6600828204747101,-0.655734680071639,-0.6600828204747101,-0.6702250458585691,-0.6526646545440021
15.01.2014,9.15,9.15,9.15,9.07,7940000,9.15,-0.6530559550270789,-0.655734680071639,-0.6530559550270789,-0.6702250458585691,-0.6526646545440021
16.01.2014,9.15,9.07,9.23,9.07,7933000,9.07,-0.6671096859223412,-0.655734680071639,-0.6671096859223412,-0.656514704912156,-0.6526646545440021
17.01.2014,9.07,9.07,9.11,9.02,4507000,9.07,-0.6671096859223412,-0.6697325055660743,-0.6671096859223412,-0.6770802163317757,-0.6616030603902291
20.01.2014,9.07,9.02,9.07,8.98,3415000,9.02,-0.6758932677318802,-0.6697325055660743,-0.6758932677318802,-0.6839353868049821,-0.6687537850672104
21.01.2014,9.02,9.02,9.07,8.98,3755000,9.02,-0.6758932677318802,-0.6784811465000965,-0.6758932677318802,-0.6839353868049821,-0.6687537850672104
22.01.2014,9.02,9.02,9.07,8.98,3739000,9.02,-0.6758932677318802,-0.6784811465000965,-0.6758932677318802,-0.6839353868049821,-0.6687537850672104
23.01.2014,9.02,8.94,9.07,8.94,6706000,8.94,-0.6899469986271425,-0.6784811465000965,-0.6899469986271425,-0.6839353868049821,-0.675904509744192
24.01.2014,8.94,8.94,8.98,8.9,5379000,8.94,-0.6899469986271425,-0.6924789719945317,-0.6899469986271425,-0.6993595203696967,-0.6830552344211733
27.01.2014,8.9,8.94,8.94,8.81,9839000,8.94,-0.6899469986271425,-0.6994778847417492,-0.6899469986271425,-0.7062146908429034,-0.6991443649443816
05.02.2014,8.81,8.81,8.86,8.73,14129000,8.81,-0.7127843113319436,-0.7152254384229888,-0.7127843113319436,-0.7199250317893164,-0.7134458142983445
06.02.2014,8.86,8.73,8.86,8.69,9466000,8.73,-0.7268380422272059,-0.706476797488967,-0.7268380422272059,-0.7199250317893164,-0.7205965389753262
07.02.2014,8.73,8.69,8.81,8.69,10320000,8.69,-0.7338649076748373,-0.729223263917424,-0.7338649076748373,-0.7284939948808244,-0.7205965389753262
10.02.2014,8.69,8.69,8.77,8.69,4195000,8.69,-0.7338649076748373,-0.7362221766646418,-0.7338649076748373,-0.7353491653540312,-0.7205965389753262
11.02.2014,8.73,8.69,8.77,8.65,4235000,8.69,-0.7338649076748373,-0.729223263917424,-0.7338649076748373,-0.7353491653540312,-0.7277472636523075
12.02.2014,8.69,8.65,8.73,8.65,4238000,8.65,-0.7408917731224682,-0.7362221766646418,-0.7408917731224682,-0.7422043358272374,-0.7277472636523075
13.02.2014,8.69,8.77,8.77,8.65,6112000,8.77,-0.719811176779575,-0.7362221766646418,-0.719811176779575,-0.7353491653540312,-0.7277472636523075
14.02.2014,8.81,8.77,8.81,8.73,3799000,8.77,-0.719811176779575,-0.7152254384229888,-0.719811176779575,-0.7284939948808244,-0.7134458142983445
17.02.2014,8.77,8.73,8.77,8.69,2353000,8.73,-0.7268380422272059,-0.7222243511702066,-0.7268380422272059,-0.7353491653540312,-0.7205965389753262
18.02.2014,8.73,8.73,8.73,8.65,3571000,8.73,-0.7268380422272059,-0.729223263917424,-0.7268380422272059,-0.7422043358272374,-0.7277472636523075
19.02.2014,8.69,8.69,8.73,8.65,2936000,8.69,-0.7338649076748373,-0.7362221766646418,-0.7338649076748373,-0.7422043358272374,-0.7277472636523075
20.02.2014,8.69,8.65,8.69,8.65,4796000,8.65,-0.7408917731224682,-0.7362221766646418,-0.7408917731224682,-0.7490595063004442,-0.7277472636523075
21.02.2014,8.69,8.69,8.73,8.65,5005000,8.69,-0.7338649076748373,-0.7362221766646418,-0.7338649076748373,-0.7422043358272374,-0.7277472636523075
24.02.2014,8.69,8.65,8.73,8.65,3002000,8.65,-0.7408917731224682,-0.7362221766646418,-0.7408917731224682,-0.7422043358272374,-0.7277472636523075
25.02.2014,8.65,8.65,8.69,8.6,4448000,8.65,-0.7408917731224682,-0.7432210894118593,-0.7408917731224682,-0.7490595063004442,-0.7366856694985344
26.02.2014,8.6,8.65,8.65,8.6,6563000,8.65,-0.7408917731224682,-0.7519697303458814,-0.7408917731224682,-0.7559146767736505,-0.7366856694985344
27.02.2014,8.69,8.73,8.73,8.6,6070000,8.73,-0.7268380422272059,-0.7362221766646418,-0.7268380422272059,-0.7422043358272374,-0.7366856694985344
03.03.2014,8.65,8.69,8.73,8.6,7478000,8.69,-0.7338649076748373,-0.7432210894118593,-0.7338649076748373,-0.7422043358272374,-0.7366856694985344
04.03.2014,8.65,8.56,8.65,8.56,5853000,8.56,-0.7567022203796383,-0.7432210894118593,-0.7567022203796383,-0.7559146767736505,-0.7438363941755157
05.03.2014,8.6,8.6,8.65,8.56,3998000,8.6,-0.7496753549320073,-0.7519697303458814,-0.7496753549320073,-0.7559146767736505,-0.7438363941755157
06.03.2014,8.6,8.65,8.69,8.6,4915000,8.65,-0.7408917731224682,-0.7519697303458814,-0.7408917731224682,-0.7490595063004442,-0.7366856694985344
07.03.2014,8.65,8.65,8.69,8.65,4867000,8.65,-0.7408917731224682,-0.7432210894118593,-0.7408917731224682,-0.7490595063004442,-0.7277472636523075
10.03.2014,8.6,8.65,8.65,8.56,3956000,8.65,-0.7408917731224682,-0.7519697303458814,-0.7408917731224682,-0.7559146767736505,-0.7438363941755157
11.03.2014,8.65,8.65,8.65,8.56,3395000,8.65,-0.7408917731224682,-0.7432210894118593,-0.7408917731224682,-0.7559146767736505,-0.7438363941755157
12.03.2014,8.6,8.6,8.65,8.56,3972000,8.6,-0.7496753549320073,-0.7519697303458814,-0.7496753549320073,-0.7559146767736505,-0.7438363941755157
13.03.2014,8.6,8.6,8.65,8.56,3995000,8.6,-0.7496753549320073,-0.7519697303458814,-0.7496753549320073,-0.7559146767736505,-0.7438363941755157
14.03.2014,8.56,8.56,8.65,8.56,6744000,8.56,-0.7567022203796383,-0.7589686430930989,-0.7567022203796383,-0.7559146767736505,-0.7438363941755157
17.03.2014,8.56,8.6,8.65,8.52,5676000,8.6,-0.7496753549320073,-0.7589686430930989,-0.7496753549320073,-0.7559146767736505,-0.7509871188524974
18.03.2014,8.6,8.6,8.6,8.56,3796000,8.6,-0.7496753549320073,-0.7519697303458814,-0.7496753549320073,-0.7644836398651588,-0.7438363941755157
19.03.2014,8.6,8.52,8.6,8.52,5720000,8.52,-0.7637290858272696,-0.7519697303458814,-0.7637290858272696,-0.7644836398651588,-0.7509871188524974
20.03.2014,8.52,8.39,8.52,8.39,9564000,8.39,-0.7865663985320707,-0.7659675558403166,-0.7865663985320707,-0.7781939808115719,-0.7742269740526869
21.03.2014,8.39,8.48,8.48,8.39,6279000,8.48,-0.7707559512749006,-0.7887140222687737,-0.7707559512749006,-0.7850491512847781,-0.7742269740526869
24.03.2014,8.39,8.48,8.52,8.39,4718000,8.48,-0.7707559512749006,-0.7887140222687737,-0.7707559512749006,-0.7781939808115719,-0.7742269740526869
25.03.2014,8.48,8.44,8.48,8.39,4388000,8.44,-0.7777828167225319,-0.7729664685875342,-0.7777828167225319,-0.7850491512847781,-0.7742269740526869
26.03.2014,8.48,8.44,8.48,8.39,4196000,8.44,-0.7777828167225319,-0.7729664685875342,-0.7777828167225319,-0.7850491512847781,-0.7742269740526869
27.03.2014,8.48,8.44,8.48,8.39,4359000,8.44,-0.7777828167225319,-0.7729664685875342,-0.7777828167225319,-0.7850491512847781,-0.7742269740526869
28.03.2014,8.44,8.44,8.48,8.39,4299000,8.44,-0.7777828167225319,-0.7799653813347519,-0.7777828167225319,-0.7850491512847781,-0.7742269740526869
31.03.2014,8.44,8.44,8.44,8.39,3916000,8.44,-0.7777828167225319,-0.7799653813347519,-0.7777828167225319,-0.7919043217579849,-0.7742269740526869
01.04.2014,8.44,8.48,8.48,8.39,4664000,8.48,-0.7707559512749006,-0.7799653813347519,-0.7707559512749006,-0.7850491512847781,-0.7742269740526869
02.04.2014,8.44,8.56,8.56,8.44,3801000,8.56,-0.7567022203796383,-0.7799653813347519,-0.7567022203796383,-0.7713388103383652,-0.7652885682064603
03.04.2014,8.56,8.52,8.56,8.48,4710000,8.52,-0.7637290858272696,-0.7589686430930989,-0.7637290858272696,-0.7713388103383652,-0.7581378435294787
07.04.2014,8.48,8.56,8.56,8.44,4789000,8.56,-0.7567022203796383,-0.7729664685875342,-0.7567022203796383,-0.7713388103383652,-0.7652885682064603
08.04.2014,8.48,8.52,8.56,8.48,1697000,8.52,-0.7637290858272696,-0.7729664685875342,-0.7637290858272696,-0.7713388103383652,-0.7581378435294787
09.04.2014,8.52,8.52,8.52,8.44,4070000,8.52,-0.7637290858272696,-0.7659675558403166,-0.7637290858272696,-0.7781939808115719,-0.7652885682064603
10.04.2014,8.52,8.56,8.56,8.48,3931000,8.56,-0.7567022203796383,-0.7659675558403166,-0.7567022203796383,-0.7713388103383652,-0.7581378435294787
11.04.2014,8.52,8.6,8.6,8.48,7140000,8.6,-0.7496753549320073,-0.7659675558403166,-0.7496753549320073,-0.7644836398651588,-0.7581378435294787
14.04.2014,8.56,8.52,8.6,8.52,3001000,8.52,-0.7637290858272696,-0.7589686430930989,-0.7637290858272696,-0.7644836398651588,-0.7509871188524974
15.04.2014,8.56,8.56,8.6,8.52,3912000,8.56,-0.7567022203796383,-0.7589686430930989,-0.7567022203796383,-0.7644836398651588,-0.7509871188524974
16.04.2014,8.56,8.65,8.69,8.56,11995000,8.65,-0.7408917731224682,-0.7589686430930989,-0.7408917731224682,-0.7490595063004442,-0.7438363941755157
17.04.2014,8.65,8.69,8.73,8.6,6049000,8.69,-0.7338649076748373,-0.7432210894118593,-0.7338649076748373,-0.7422043358272374,-0.7366856694985344
18.04.2014,8.69,8.65,8.73,8.65,3798000,8.65,-0.7408917731224682,-0.7362221766646418,-0.7408917731224682,-0.7422043358272374,-0.7277472636523075
21.04.2014,8.65,8.52,8.65,8.52,3226000,8.52,-0.7637290858272696,-0.7432210894118593,-0.7637290858272696,-0.7559146767736505,-0.7509871188524974
22.04.2014,8.52,8.65,8.69,8.52,4689000,8.65,-0.7408917731224682,-0.7659675558403166,-0.7408917731224682,-0.7490595063004442,-0.7509871188524974
23.04.2014,8.65,8.6,8.69,8.56,3691000,8.6,-0.7496753549320073,-0.7432210894118593,-0.7496753549320073,-0.7490595063004442,-0.7438363941755157
