Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,24.03,24.42,24.73,24.03,11703400,24.42,-2.1120944901714687,-2.165220817133173,-2.1120944901714687,-2.1499473092632244,-2.0843751694813704
03.01.2014,25.01,25.77,25.88,24.9,19087100,25.77,-1.9466503508840143,-2.044996481234968,-1.9466503508840143,-2.008677446986038,-1.9780436386367528
06.01.2014,25.94,25.82,26.27,25.61,15782700,25.82,-1.940522790169664,-1.9309060400254472,-1.940522790169664,-1.9607685371702963,-1.8912673318555129
07.01.2014,25.95,25.37,26.15,25.2,13041100,25.37,-1.9956708365988154,-1.9296792610877107,-1.9956708365988154,-1.9755097401905246,-1.941377593517919
08.01.2014,25.36,26.27,26.54,25.22,17910500,26.27,-1.8853747437405124,-2.002059218414181,-1.8853747437405124,-1.927600830374783,-1.938933190509997
09.01.2014,26.92,27.38,27.84,26.8,18690400,27.38,-1.7493428958819386,-1.8106817041272425,-1.7493428958819386,-1.767904464322311,-1.7458253528841388
10.01.2014,27.5,27.74,27.75,27.03,13196400,27.74,-1.7052244587386174,-1.7395285257385094,-1.7052244587386174,-1.778960366587482,-1.7177147182930328
13.01.2014,28.01,27.26,28.02,27.21,15114200,27.26,-1.7640490415963788,-1.6769627999139332,-1.7640490415963788,-1.7457926597919686,-1.6957150912217327
14.01.2014,27.4,28.22,28.27,27.35,14279900,28.22,-1.6463998758808558,-1.7517963151158773,-1.6463998758808558,-1.7150818201664932,-1.678604270166277
15.01.2014,28.47,27.77,28.47,27.4,18087100,27.77,-1.7015479223100072,-1.6205309687780414,-1.7015479223100072,-1.6905131484661131,-1.6724932626464715
16.01.2014,27.73,27.84,27.97,27.62,7461700,27.84,-1.6929693373099168,-1.7113126101705631,-1.6929693373099168,-1.7519348277170639,-1.6456048295593264
17.01.2014,27.57,27.39,27.67,27.22,15822000,27.39,-1.7481173837390684,-1.7309410731743518,-1.7481173837390684,-1.7887878352676339,-1.6944928897177718
21.01.2014,28.55,28.28,28.78,27.9,17955300,28.28,-1.6390468030236351,-1.610716737276147,-1.6390468030236351,-1.6524317073305235,-1.6113831874484152
22.01.2014,28.55,28.95,29.02,28.46,11534900,28.95,-1.556937489451343,-1.610716737276147,-1.556937489451343,-1.6229493012900673,-1.542939903226592
23.01.2014,28.7,28.65,28.82,28.3,13397300,28.65,-1.5937028537374442,-1.5923150532100954,-1.5937028537374442,-1.6475179729904474,-1.56249512728997
24.01.2014,28.24,27.43,28.48,27.29,14874200,27.43,-1.7432153351675883,-1.6487468843459876,-1.7432153351675883,-1.6892847148810939,-1.6859374791900439
27.01.2014,27.52,26.97,27.85,26.15,19140400,26.97,-1.79958889373961,-1.7370749678630357,-1.79958889373961,-1.7666760307372917,-1.8252684506416121
28.01.2014,26.96,27.24,27.78,26.92,11917500,27.24,-1.7665000658821193,-1.8057745883762955,-1.7665000658821193,-1.7752750658324248,-1.7311589348366052
29.01.2014,26.84,26.38,27.58,26.25,16374700,26.38,-1.8718941101689421,-1.820495935629137,-1.8718941101689421,-1.7998437375328056,-1.8130464356020008
30.01.2014,26.84,26.96,27.21,26.69,10021000,26.96,-1.80081440588248,-1.820495935629137,-1.80081440588248,-1.8452957801785088,-1.7592695694277112
31.01.2014,26.61,26.99,27.19,26.45,11438800,26.99,-1.79713786945387,-1.848711851197083,-1.79713786945387,-1.8477526473485466,-1.7886024055227783
03.02.2014,27.01,25.9,27.15,25.76,16778900,25.9,-1.930718693026704,-1.7996406936876115,-1.930718693026704,-1.852666381688623,-1.8729343092960957
04.02.2014,26.45,26.39,26.47,25.79,14439900,26.39,-1.870668598026072,-1.8683403142008714,-1.870668598026072,-1.936199865469916,-1.8692677047842126
05.02.2014,26.15,26.46,26.54,25.67,13892600,26.46,-1.8620900130259816,-1.905143682332975,-1.8620900130259816,-1.927600830374783,-1.8839341228317459
06.02.2014,26.46,27.23,27.63,26.28,9460400,27.23,-1.767725578024989,-1.8671135352631345,-1.767725578024989,-1.7937015696077103,-1.8093798310901172
07.02.2014,27.62,27.9,28.08,27.4,12866200,27.9,-1.6856162644526969,-1.7248071784856678,-1.6856162644526969,-1.7384220582818548,-1.6724932626464715
10.02.2014,27.99,27.51,28.03,27.27,10751100,27.51,-1.7334112380246278,-1.679416357789407,-1.7334112380246278,-1.7445642262069494,-1.6883818821979661
11.02.2014,27.59,27.69,27.72,26.99,12510900,27.69,-1.7113520194529672,-1.7284875152988783,-1.7113520194529672,-1.7826456673425393,-1.7226035243088778
12.02.2014,27.78,27.44,27.78,27.13,9535200,27.44,-1.7419898230247182,-1.7051787154818792,-1.7419898230247182,-1.7752750658324248,-1.705492703253422
13.02.2014,27.14,27.64,27.77,26.83,8717700,27.64,-1.7174795801673175,-1.7836925674970334,-1.7174795801673175,-1.776503499417444,-1.7421587483722558
14.02.2014,27.5,27.63,27.88,27.28,7007600,27.63,-1.7187050923101879,-1.7395285257385094,-1.7187050923101879,-1.762990729982235,-1.6871596806940048
18.02.2014,27.65,27.26,27.85,27.26,10427800,27.26,-1.7640490415963788,-1.7211268416724577,-1.7640490415963788,-1.7666760307372917,-1.6896040837019268
19.02.2014,27.22,27.0,27.42,26.89,10555900,27.0,-1.7959123573109999,-1.7738783359951393,-1.7959123573109999,-1.8194986748931092,-1.7348255393484886
20.02.2014,27.01,28.12,28.17,26.98,12151100,28.12,-1.658654997309556,-1.7996406936876115,-1.658654997309556,-1.7273661560166833,-1.7238257258128387
21.02.2014,28.16,28.05,28.43,28.01,9632100,28.05,-1.667233582309646,-1.6585611158478817,-1.667233582309646,-1.6954268828061891,-1.5979389709048426
24.02.2014,28.19,28.66,28.91,28.12,11241100,28.66,-1.592477341594574,-1.6548807790346711,-1.592477341594574,-1.6364620707252764,-1.5844947543612702
25.02.2014,28.81,29.36,29.59,28.81,15329800,29.36,-1.5066914915936716,-1.578820484894991,-1.5066914915936716,-1.5529285869439833,-1.5001628505879527
26.02.2014,29.55,29.6,29.81,29.23,11732700,29.6,-1.4772792001647905,-1.4880388435024687,-1.4772792001647905,-1.5259030480735651,-1.4488303874215853
27.02.2014,29.49,29.43,29.99,29.4,10851800,29.43,-1.4981129065935814,-1.4953995171288896,-1.4981129065935814,-1.503791243543223,-1.4280529618542463
28.02.2014,29.09,29.33,29.55,28.85,10860700,29.33,-1.510368028022282,-1.5444706746383607,-1.510368028022282,-1.5578423212840593,-1.495274044572108
03.03.2014,28.61,28.79,28.91,28.18,14410000,28.79,-1.5765456837372638,-1.6033560636497264,-1.5765456837372638,-1.6364620707252764,-1.5771615453375036
04.03.2014,29.59,30.43,30.67,29.58,13583500,30.43,-1.3755616923065779,-1.4831317277515217,-1.3755616923065779,-1.4202577597619295,-1.4060533347829463
05.03.2014,30.78,30.67,31.05,30.57,11323000,30.67,-1.3461494008776969,-1.3371450341608444,-1.3461494008776969,-1.373577283531207,-1.2850553858907945
06.03.2014,30.97,31.24,31.43,30.94,12030900,31.24,-1.276295208734105,-1.3138362343438459,-1.276295208734105,-1.3268968073004845,-1.2398339302442327
07.03.2014,31.55,31.23,31.67,30.74,11828800,31.23,-1.277520720876975,-1.2426830559551123,-1.277520720876975,-1.297414401260028,-1.2642779603234557
10.03.2014,31.22,31.07,31.64,30.66,10695400,31.07,-1.2971289151628955,-1.2831667609004263,-1.2971289151628955,-1.3010997020150852,-1.2740555723551445
11.03.2014,30.97,30.84,31.31,30.71,9975900,30.84,-1.3253156944489064,-1.3138362343438459,-1.3253156944489064,-1.3416380103207128,-1.2679445648353387
12.03.2014,30.56,30.47,30.77,30.22,9953500,30.47,-1.3706596437350977,-1.364134170791054,-1.3706596437350977,-1.4079734239117396,-1.3278324385294342
13.03.2014,30.7,29.66,30.72,29.4,13340700,29.66,-1.4699261273075706,-1.346959265662739,-1.4699261273075706,-1.4141155918368349,-1.4280529618542463
14.03.2014,29.58,30.14,30.59,29.37,11883800,30.14,-1.4111015444498087,-1.4843585066892586,-1.4111015444498087,-1.4300852284420817,-1.4317195663661295
17.03.2014,30.54,30.21,30.54,29.81,9175600,30.21,-1.4025229594497184,-1.3665877286665273,-1.4025229594497184,-1.436227396367177,-1.3779427001918403
18.03.2014,30.46,30.09,30.54,30.08,8857900,30.09,-1.417229105164159,-1.3764019601684214,-1.417229105164159,-1.436227396367177,-1.34494325958489
19.03.2014,30.12,29.79,30.31,29.44,9846200,29.79,-1.4539944694502602,-1.418112444051472,-1.4539944694502602,-1.4644813688226144,-1.4231641558384016
20.03.2014,29.86,29.71,29.95,29.41,7001400,29.71,-1.4637985665932203,-1.4500086964326286,-1.4637985665932203,-1.5087049778832988,-1.4268307603502852
21.03.2014,30.09,28.91,30.09,28.91,22078800,28.91,-1.5618395380228232,-1.4217927808646826,-1.5618395380228232,-1.4915069076930325,-1.4879408355483414
24.03.2014,29.25,29.43,29.62,28.72,11289700,29.43,-1.4981129065935814,-1.5248422116345723,-1.4981129065935814,-1.549243286188926,-1.511162664123603
25.03.2014,29.55,30.41,30.48,29.55,11544300,30.41,-1.378012716592318,-1.4880388435024687,-1.378012716592318,-1.443597997877291,-1.4097199392948294
26.03.2014,30.47,30.0,30.52,29.95,12058800,30.0,-1.4282587144499894,-1.375175181230685,-1.4282587144499894,-1.438684263537215,-1.3608318791363845
27.03.2014,29.94,30.15,30.29,29.12,11952200,30.15,-1.409876032306939,-1.440194464930734,-1.409876032306939,-1.4669382359926524,-1.4622746039651577
28.03.2014,30.16,29.62,30.64,29.6,10434900,29.62,-1.4748281758790505,-1.413205328300525,-1.4748281758790505,-1.4239430605169867,-1.4036089317750235
31.03.2014,29.81,30.61,30.84,29.81,10215900,30.61,-1.3535024737349173,-1.4561425911213126,-1.3535024737349173,-1.3993743888166066,-1.3779427001918403
01.04.2014,30.85,31.58,31.6,30.84,11630500,31.58,-1.234627795876524,-1.3285575815966868,-1.234627795876524,-1.3060134363551612,-1.2520559452838442
02.04.2014,31.72,31.53,32.26,31.38,12018200,31.53,-1.2407553565908738,-1.2218278140135872,-1.2407553565908738,-1.2249368197439066,-1.1860570640699435
03.04.2014,31.56,31.24,31.86,30.89,8904100,31.24,-1.276295208734105,-1.2414562770173756,-1.276295208734105,-1.274074163144667,-1.2459449377640386
04.04.2014,31.52,30.57,31.53,30.46,9353600,30.57,-1.3584045223063972,-1.2463633927683226,-1.3584045223063972,-1.3146124714502943,-1.298499602434367
07.04.2014,30.48,30.02,31.24,29.76,13775500,30.02,-1.4258076901642494,-1.373948402292948,-1.4258076901642494,-1.350237045415846,-1.3840537077116455
08.04.2014,29.94,29.6,30.28,28.63,16158400,29.6,-1.4772792001647905,-1.440194464930734,-1.4772792001647905,-1.4681666695776712,-1.522162477659253
09.04.2014,29.79,30.68,30.76,29.53,9554000,30.68,-1.344923888734827,-1.4585961489967862,-1.344923888734827,-1.4092018574967584,-1.4121643423027515
10.04.2014,31.0,29.16,31.04,29.15,14715400,29.16,-1.5312017344510722,-1.3101558975306353,-1.5312017344510722,-1.3748057171162262,-1.4586079994532746
11.04.2014,29.04,28.72,29.9,28.5,12681600,28.72,-1.585124268737354,-1.550604569327045,-1.585124268737354,-1.514847145808394,-1.5380510972107475
14.04.2014,29.02,28.03,29.15,27.5,15615700,28.03,-1.669684606595386,-1.5530581272025183,-1.669684606595386,-1.6069796646848202,-1.6602712476068602
15.04.2014,28.09,28.19,28.65,26.98,19269200,28.19,-1.6500764123094656,-1.667148568412039,-1.6500764123094656,-1.6684013439357708,-1.7238257258128387
16.04.2014,28.46,29.7,29.79,28.42,14163400,29.7,-1.4650240787360904,-1.621757747715778,-1.4650240787360904,-1.5283599152436032,-1.5478287092424363
17.04.2014,29.69,29.82,29.93,29.04,13151800,29.82,-1.45031793302165,-1.4708639383741537,-1.45031793302165,-1.5111618450533368,-1.472052215996847
21.04.2014,29.66,29.98,30.1,29.37,8893100,29.98,-1.4307097387357293,-1.474544275187364,-1.4307097387357293,-1.4902784741080133,-1.4317195663661295
22.04.2014,30.19,30.87,31.14,30.18,14105200,30.87,-1.3216391580202962,-1.4095249914873145,-1.3216391580202962,-1.362521381266036,-1.3327212445452785
23.04.2014,32.57,32.76,33.04,31.8,22024400,32.76,-1.0900173630178598,-1.1175516043059603,-1.0900173630178598,-1.1291190001124234,-1.134724600903576
24.04.2014,32.81,32.44,33.1,32.09,16534100,32.44,-1.129233751589701,-1.0881089098002774,-1.129233751589701,-1.121748398602309,-1.0992807572887031
25.04.2014,32.24,31.86,32.34,31.6,10323800,31.86,-1.2003134558761628,-1.158035309251274,-1.2003134558761628,-1.2151093510637538,-1.1591686309827984
28.04.2014,31.98,31.66,32.39,31.03,12646300,31.66,-1.2248236987335634,-1.1899315616324306,-1.2248236987335634,-1.208967183138659,-1.2288341167085828
29.04.2014,31.82,32.45,32.46,31.68,10035400,32.45,-1.1280082394468305,-1.209560024636219,-1.1280082394468305,-1.200368148043526,-1.1493910189511096
30.04.2014,32.51,32.53,32.84,32.06,11962800,32.53,-1.1182041423038702,-1.1249122779323815,-1.1182041423038702,-1.153687671812803,-1.1029473618005867
01.05.2014,32.68,32.79,33.15,32.66,11867300,32.79,-1.0863408265892496,-1.104057035990856,-1.0863408265892496,-1.1156062306772143,-1.0296152715629199
02.05.2014,32.78,32.88,33.1,32.29,9365600,32.88,-1.075311217303419,-1.091789246613488,-1.075311217303419,-1.121748398602309,-1.0748367272094812
05.05.2014,32.69,33.17,33.3,32.35,8766600,33.17,-1.039771365160188,-1.1028302570531194,-1.039771365160188,-1.0971797269019292,-1.0675035181857142
06.05.2014,33.96,33.29,34.29,33.09,13277500,33.29,-1.025065219445748,-0.9470293319605475,-1.025065219445748,-0.9755648019850465,-0.9770606068925906
07.05.2014,33.45,33.83,33.85,33.01,10513500,33.83,-0.9588875637307661,-1.0095950577851232,-0.9588875637307661,-1.0296158797258828,-0.9868382189242803
08.05.2014,33.68,33.35,34.13,33.18,11164100,33.35,-1.0177121465885275,-0.9813791422171776,-1.0177121465885275,-0.9952197393453502,-0.966060793356941
09.05.2014,33.46,33.33,33.46,32.69,9852300,33.33,-1.0201631708742678,-1.0083682788473867,-1.0201631708742678,-1.0775247895416245,-1.0259486670510363
12.05.2014,33.42,34.19,34.23,33.39,8269600,34.19,-0.9147691265874449,-1.0132753945983337,-0.9147691265874449,-0.9829354034951608,-0.9403945617737572
13.05.2014,34.08,34.31,34.6,33.95,6636500,34.31,-0.900062980873004,-0.9323079847077065,-0.900062980873004,-0.9374833608494567,-0.8719512775519339
