Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,2054.75,2050.82,2054.75,2027.2,2221000,2050.82,-1.2702000603977457,-1.2652398891011676,-1.2702000603977457,-1.30328657197278,-1.2684869563671275
07.01.2014,2035.07,2054.75,2062.63,2007.52,4978200,2054.75,-1.2638073042111764,-1.2972463796517446,-1.2638073042111764,-1.2905017295698504,-1.3005515088561974
08.01.2014,2046.88,2078.37,2098.05,2039.01,3373200,2078.37,-1.2253857008710298,-1.2780392326292689,-1.2253857008710298,-1.2330348364338406,-1.249244966280953
09.01.2014,2090.18,2074.43,2094.12,2062.63,1685000,2074.43,-1.2317947236127818,-1.2076184480337417,-1.2317947236127818,-1.2394110332160126,-1.210760986108604
10.01.2014,2062.63,2054.75,2078.37,2039.01,2489800,2054.75,-1.2638073042111764,-1.25242428211242,-1.2638073042111764,-1.2649644936025783,-1.249244966280953
14.01.2014,2070.5,2058.69,2078.37,2042.94,2767400,2058.69,-1.2573982814694245,-1.2396249385843185,-1.2573982814694245,-1.2649644936025783,-1.242841831561337
15.01.2014,2066.56,2086.24,2098.05,2062.63,2386800,2086.24,-1.2125839219427084,-1.2460327420786923,-1.2125839219427084,-1.2330348364338406,-1.210760986108604
16.01.2014,2098.05,2113.8,2117.73,2090.18,2076800,2113.8,-1.1677532958608092,-1.1948191045056396,-1.1677532958608092,-1.2011051792651037,-1.1658738712166392
17.01.2014,2113.8,2094.12,2113.8,2082.31,2434000,2094.12,-1.1997658764592045,-1.1692041539887905,-1.1997658764592045,-1.207481376047275,-1.1786964336195342
20.01.2014,2098.05,2094.12,2101.99,2086.24,895600,2094.12,-1.1997658764592045,-1.1948191045056396,-1.1997658764592045,-1.2266424152323765,-1.1722932988999184
21.01.2014,2094.12,2086.24,2094.12,2078.37,1303200,2086.24,-1.2125839219427084,-1.201210644539368,-1.2125839219427084,-1.2394110332160126,-1.1851158613028137
22.01.2014,2082.31,2090.18,2090.18,2058.69,1430800,2090.18,-1.2061748992009564,-1.2204177915618433,-1.2061748992009564,-1.2458034544174774,-1.2171804137918831
23.01.2014,2066.56,2058.69,2078.37,2054.75,2057600,2058.69,-1.2573982814694245,-1.2460327420786923,-1.2573982814694245,-1.2649644936025783,-1.2235998414751625
24.01.2014,2054.75,2058.69,2070.5,2046.88,2074800,2058.69,-1.2573982814694245,-1.2652398891011676,-1.2573982814694245,-1.2777331115862145,-1.2364224038780576
27.01.2014,2007.52,1987.84,2023.26,1983.9,3037400,1987.84,-1.3726468249346826,-1.3420522137304232,-1.3726468249346826,-1.3543772683266182,-1.3390354890285463
28.01.2014,1983.9,1960.28,1987.84,1960.28,2813400,1960.28,-1.4174774510165813,-1.3804665077753737,-1.4174774510165813,-1.4118441614626283,-1.3775194692008956
29.01.2014,1976.03,1976.03,1999.65,1972.09,2096600,1976.03,-1.391857626604756,-1.3932658513034755,-1.391857626604756,-1.3926831222775269,-1.3582774791147212
30.01.2014,1983.9,1979.96,1995.71,1964.22,2992800,1979.96,-1.3854648704181862,-1.3804665077753737,-1.3854648704181862,-1.3990755434789917,-1.3711000415176162
31.01.2014,1987.84,2031.14,2039.01,1983.9,2623400,2031.14,-1.3022126409961408,-1.3740587042810002,-1.3022126409961408,-1.3288238079400527,-1.3390354890285463
03.02.2014,2050.82,1987.84,2066.56,1976.03,2669400,1987.84,-1.3726468249346826,-1.2716314291348954,-1.3726468249346826,-1.2841255327876793,-1.3518580514314418
04.02.2014,1948.47,1926.82,1948.47,1916.98,3520600,1926.82,-1.4719053446559254,-1.4380879488427998,-1.4719053446559254,-1.4757197002193956,-1.4480680018623144
05.02.2014,1942.57,1964.22,1966.19,1924.86,4474400,1964.22,-1.4110684282748294,-1.4476833906237148,-1.4110684282748294,-1.4469700292320975,-1.4352291464957563
06.02.2014,1968.15,1950.44,1976.03,1946.5,1564200,1950.44,-1.4334837413157786,-1.4060814582922225,-1.4334837413157786,-1.431005200647729,-1.3999711731287097
07.02.2014,1964.22,1954.38,1972.09,1946.5,2018200,1954.38,-1.4270747185740267,-1.4124729983259507,-1.4270747185740267,-1.4373976218491937,-1.3999711731287097
10.02.2014,1968.15,2007.52,2015.39,1952.41,2448000,2007.52,-1.3406342443362878,-1.4060814582922225,-1.3406342443362878,-1.3671458863102544,-1.3903420316037907
12.02.2014,2035.07,2027.2,2042.94,1995.71,1946000,2027.2,-1.3086216637378927,-1.2972463796517446,-1.3086216637378927,-1.322447611157881,-1.3197934989423719
13.02.2014,2027.2,1983.9,2027.2,1979.96,1571000,1983.9,-1.3790558476764343,-1.3100457231798461,-1.3790558476764343,-1.3479848471251534,-1.3454549167118257
14.02.2014,1972.09,1946.5,1991.77,1938.63,2917000,1946.5,-1.4398927640575305,-1.3996736547978492,-1.4398927640575305,-1.4054679646804564,-1.412793735531605
17.02.2014,1952.41,1940.6,1972.09,1928.79,2335000,1940.6,-1.4494900316149761,-1.431680145348426,-1.4494900316149761,-1.4373976218491937,-1.42882601177614
18.02.2014,1958.31,1962.25,1983.9,1932.73,2747800,1962.25,-1.4142729396457052,-1.4220847035675113,-1.4142729396457052,-1.4182365826640926,-1.4224065840928608
19.02.2014,1968.15,1966.19,1972.09,1954.38,1490200,1966.19,-1.4078639169039533,-1.4060814582922225,-1.4078639169039533,-1.4373976218491937,-1.387132317762151
20.02.2014,1964.22,1958.31,1972.09,1946.5,1794000,1958.31,-1.4206819623874571,-1.4124729983259507,-1.4206819623874571,-1.4373976218491937,-1.3999711731287097
21.02.2014,1966.19,1987.84,1987.84,1964.22,1530600,1987.84,-1.3726468249346826,-1.4092690965787638,-1.3726468249346826,-1.4118441614626283,-1.3711000415176162
24.02.2014,1995.71,2003.58,2003.58,1976.03,1705000,2003.58,-1.3470432670780397,-1.3612593607528984,-1.3470432670780397,-1.3863069254953555,-1.3518580514314418
25.02.2014,2003.58,2019.33,2019.33,1995.71,1786600,2019.33,-1.3214234426662144,-1.348460017224797,-1.3214234426662144,-1.36075346510879,-1.3197934989423719
26.02.2014,2019.33,2015.39,2023.26,1999.64,1522600,2015.39,-1.327832465407966,-1.3228450667079479,-1.327832465407966,-1.3543772683266182,-1.3133903642227558
27.02.2014,2023.26,1987.84,2023.26,1983.9,1956600,1987.84,-1.3726468249346826,-1.3164535266742199,-1.3726468249346826,-1.3543772683266182,-1.3390354890285463
28.02.2014,2007.52,1991.77,2011.45,1968.15,2095200,1991.77,-1.3662540687481128,-1.3420522137304232,-1.3662540687481128,-1.3735383075117191,-1.3646969067980002
03.03.2014,1979.96,1983.9,1983.9,1960.28,1614200,1983.9,-1.3790558476764343,-1.3868743112697473,-1.3790558476764343,-1.4182365826640926,-1.3775194692008956
04.03.2014,1968.15,2003.58,2003.58,1964.22,1415200,2003.58,-1.3470432670780397,-1.4060814582922225,-1.3470432670780397,-1.3863069254953555,-1.3711000415176162
05.03.2014,2011.45,1979.96,2011.45,1976.03,1390200,1979.96,-1.3854648704181862,-1.335660673696695,-1.3854648704181862,-1.3735383075117191,-1.3518580514314418
06.03.2014,1987.84,1976.03,1995.71,1966.19,3027400,1976.03,-1.391857626604756,-1.3740587042810002,-1.391857626604756,-1.3990755434789917,-1.3678903276759766
07.03.2014,1983.9,2027.2,2035.07,1983.9,3940600,2027.2,-1.3086216637378927,-1.3804665077753737,-1.3086216637378927,-1.3352162291415175,-1.3390354890285463
10.03.2014,2027.2,2035.07,2046.88,1999.64,2569600,2035.07,-1.2958198848095712,-1.3100457231798461,-1.2958198848095712,-1.3160551899564161,-1.3133903642227558
11.03.2014,2035.07,2027.2,2042.94,2019.33,1883600,2027.2,-1.3086216637378927,-1.2972463796517446,-1.3086216637378927,-1.322447611157881,-1.281309518770023
12.03.2014,2023.26,1999.65,2023.26,1995.71,2091200,1999.65,-1.353436023264609,-1.3164535266742199,-1.353436023264609,-1.3543772683266182,-1.3197934989423719
13.03.2014,2015.39,2019.33,2035.07,2011.45,1976800,2019.33,-1.3214234426662144,-1.3292528702023214,-1.3214234426662144,-1.3352162291415175,-1.2941483741365813
14.03.2014,1972.09,1958.31,1979.96,1952.41,3930400,1958.31,-1.4206819623874571,-1.3996736547978492,-1.4206819623874571,-1.4246290038655574,-1.3903420316037907
17.03.2014,1960.28,1936.66,1966.19,1926.82,2391200,1936.66,-1.4558990543567278,-1.4188808018203245,-1.4558990543567278,-1.4469700292320975,-1.4320357256177796
18.03.2014,1964.22,1940.6,1964.22,1938.63,2117200,1940.6,-1.4494900316149761,-1.4124729983259507,-1.4494900316149761,-1.4501662398328299,-1.412793735531605
19.03.2014,1948.47,1938.63,1960.28,1934.7,2271400,1938.63,-1.4526945429858518,-1.4380879488427998,-1.4526945429858518,-1.4565586610342947,-1.419196870251221
20.03.2014,1938.63,1907.14,1940.6,1895.33,3859400,1907.14,-1.50391792525432,-1.454091194118088,-1.50391792525432,-1.488488318203032,-1.4833422681930242
