Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,32.15,31.97,32.2,31.83,2753700,31.97,-0.875493920817306,-0.8645342372795278,-0.875493920817306,-0.8782677866892489,-0.8671771607016658
03.01.2014,32.06,32.12,32.26,31.89,2275500,32.12,-0.8667883091160655,-0.8697515244283682,-0.8667883091160655,-0.8748286858864119,-0.8636520343938828
06.01.2014,32.29,32.19,32.41,32.07,4182900,32.19,-0.8627256903221532,-0.8564184572702203,-0.8627256903221532,-0.866230933879319,-0.8530766554705344
07.01.2014,32.26,31.87,32.26,31.54,4542500,31.87,-0.8812976619514663,-0.8581575529865005,-0.8812976619514663,-0.8748286858864119,-0.8842152711892829
08.01.2014,31.8,31.51,31.89,31.39,4462200,31.51,-0.9021911300344438,-0.8848236873027966,-0.9021911300344438,-0.8960364741705745,-0.8930280869587399
09.01.2014,31.62,31.36,31.65,30.99,4444300,31.36,-0.9108967417356846,-0.8952582616004777,-0.9108967417356846,-0.9097928773819234,-0.9165289290106258
10.01.2014,31.54,31.22,31.65,31.19,5537300,31.22,-0.9190219793235093,-0.8998958501772251,-0.9190219793235093,-0.9097928773819234,-0.9047785079846827
13.01.2014,31.25,30.89,31.31,30.82,6368800,30.89,-0.9381743250662385,-0.9167071087679335,-0.9381743250662385,-0.9292811152646675,-0.926516786882677
14.01.2014,31.04,31.48,31.53,30.92,7294000,31.48,-0.903932252374692,-0.9288807787818949,-0.903932252374692,-0.9166710789875977,-0.9206415763697056
15.01.2014,31.56,31.57,31.85,31.31,4656000,31.57,-0.8987088853539477,-0.8987364530330383,-0.8987088853539477,-0.8983292080391326,-0.8977282553691173
16.01.2014,31.62,30.68,31.71,30.67,7134200,30.68,-0.9503621814479755,-0.8952582616004777,-0.9503621814479755,-0.9063537765790861,-0.9353296026521342
17.01.2014,30.72,30.5,30.81,30.45,6667200,30.5,-0.9608089154894642,-0.9474311330888836,-0.9608089154894642,-0.9579402886216442,-0.9482550657806714
