Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,40.66,40.24,40.73,40.07,1604200,40.24,-0.7417408669138232,-0.7329396878329711,-0.7417408669138232,-0.7421364973264724,-0.7340917263895287
03.01.2014,40.25,40.27,40.4,40.07,849000,40.27,-0.741097667771179,-0.741732762328524,-0.741097667771179,-0.7491045661226818,-0.7340917263895287
06.01.2014,40.38,40.08,40.44,39.83,1459600,40.08,-0.7451712623412593,-0.7389447143177389,-0.7451712623412593,-0.7482599517231413,-0.739313911281549
07.01.2014,40.15,40.28,40.53,40.13,1725500,40.28,-0.7408832680569643,-0.7438774146445125,-0.7408832680569643,-0.746359569324175,-0.7327861801665235
08.01.2014,40.27,40.5,40.75,40.02,2121300,40.5,-0.7361664743442399,-0.7413038318653262,-0.7361664743442399,-0.741714190126702,-0.7351796815753662
09.01.2014,40.69,40.24,40.72,40.08,1684200,40.24,-0.7417408669138232,-0.7322962921381746,-0.7417408669138232,-0.7423476509263575,-0.7338741353523612
10.01.2014,40.35,40.4,40.44,39.97,1410700,40.4,-0.7383104714863874,-0.7395881100125354,-0.7383104714863874,-0.7482599517231413,-0.7362676367612038
13.01.2014,40.27,39.33,40.48,39.24,2298700,39.33,-0.7612512409073654,-0.7413038318653262,-0.7612512409073654,-0.7474153373236008,-0.7521517824744319
14.01.2014,39.27,39.35,39.47,38.78,2686400,39.35,-0.7608224414789359,-0.7627503550252114,-0.7608224414789359,-0.7687418509119996,-0.7621609701841374
15.01.2014,39.32,39.33,39.59,39.14,1576800,39.33,-0.7612512409073654,-0.7616780288672171,-0.7612512409073654,-0.7662080077133778,-0.7543276928461071
16.01.2014,39.4,39.54,39.64,39.29,1501500,39.54,-0.7567488469088557,-0.7599623070144264,-0.7567488469088557,-0.7651522397139522,-0.7510638272885944
17.01.2014,39.62,39.21,39.76,39.15,3290300,39.21,-0.7638240374779424,-0.7552440719192517,-0.7638240374779424,-0.7626183965153306,-0.7541101018089397
21.01.2014,39.35,38.73,39.36,38.47,2351700,38.73,-0.7741152237602503,-0.7610346331724206,-0.7741152237602503,-0.7710645405107361,-0.7689062923363303
