Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
01.01.2014,381.85,378.17,382.19,377.66,2924699,378.17,-1.1378805199278248,-1.1340227968895695,-1.1378805199278248,-1.1397806868331253,-1.1325207538990079
02.01.2014,377.7,372.3,381.24,370.22,3011816,372.3,-1.1448029578850205,-1.138914601599163,-1.1448029578850205,-1.140890588472107,-1.1413740052191592
03.01.2014,370.85,367.73,371.6,363.79,6416948,367.73,-1.150192317589345,-1.1469890262402989,-1.150192317589345,-1.1521531693139844,-1.1490254038735375
06.01.2014,366.81,363.77,367.3,361.66,6657928,363.77,-1.1548623098057835,-1.151751168656385,-1.1548623098057835,-1.15717693462727,-1.151560004049871
07.01.2014,363.62,358.3,365.9,357.43,8655735,358.3,-1.1613130313774804,-1.1555113751680965,-1.1613130313774804,-1.1588125791478745,-1.1565935058085053
08.01.2014,359.28,361.26,364.79,359.28,6363215,361.26,-1.1578223301247887,-1.1606271420210208,-1.1578223301247887,-1.160109411589211,-1.154392092509812
09.01.2014,361.86,361.96,363.28,359.56,4154592,361.96,-1.1569968264501658,-1.1575859718642132,-1.1569968264501658,-1.1618735710364345,-1.154058905632172
10.01.2014,360.96,365.13,372.85,360.81,7419990,365.13,-1.1532584740950873,-1.1586468451747274,-1.1532584740950873,-1.1506927724205873,-1.1525714642141358
13.01.2014,369.43,374.6,375.7,369.32,6029293,374.6,-1.142090588668402,-1.1486628485746657,-1.142090588668402,-1.1473630675036421,-1.1424449630401454
14.01.2014,373.79,375.07,376.36,371.22,6037773,375.07,-1.141536321915441,-1.143523506759286,-1.141536321915441,-1.1465919779439286,-1.1401840520847304
15.01.2014,376.43,376.75,380.81,374.85,6330212,376.75,-1.1395551130963457,-1.1404116117151106,-1.1395551130963457,-1.1413929650034356,-1.1358645222067534
16.01.2014,378.13,377.05,380.09,375.3,9019180,377.05,-1.1392013258072218,-1.1384077399063617,-1.1392013258072218,-1.1422341536140321,-1.1353290432962604
17.01.2014,378.32,376.45,381.62,374.53,7731605,376.45,-1.1399089003854699,-1.138183777763031,-1.1399089003854699,-1.1404466278165142,-1.1362453072097707
20.01.2014,377.36,370.07,378.26,368.51,8288028,370.07,-1.1474327767341768,-1.1393153759609127,-1.1474327767341768,-1.1443721746659654,-1.1434088250790329
21.01.2014,371.3,367.22,371.71,366.77,4903182,367.22,-1.1507937559808559,-1.1464585895850419,-1.1507937559808559,-1.1520246543873653,-1.1454793435329391
22.01.2014,367.41,371.22,372.45,365.13,4258863,371.22,-1.1460765921258673,-1.1510439197827087,-1.1460765921258673,-1.1511600994264743,-1.1474308666734025
