Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,49.48,48.12,49.59,48.03,1499492,48.12,-0.8507721703510044,-0.765763181997227,-0.8507721703510044,-0.7938922229169253,-0.8194369314100667
03.01.2014,48.17,48.37,48.68,48.01,826285,48.37,-0.8348406532515872,-0.8492717786591292,-0.8348406532515872,-0.8515553820533658,-0.8207200693649815
06.01.2014,48.38,47.8,48.69,47.73,987242,47.8,-0.8711645122382583,-0.8358849043850837,-0.8711645122382583,-0.8509217209639546,-0.8386840007337875
07.01.2014,47.86,48.12,48.39,47.47,1231698,48.12,-0.8507721703510044,-0.8690333549684345,-0.8507721703510044,-0.8699315536462973,-0.8553647941476785
08.01.2014,48.28,48.64,48.76,48.23,1435898,48.64,-0.8176346147842165,-0.8422596064203435,-0.8176346147842165,-0.8464860933380745,-0.8066055518609199
09.01.2014,48.46,48.3,49.03,48.12,1297442,48.3,-0.839301478039424,-0.830785142756876,-0.839301478039424,-0.8293772439239656,-0.8136628106129506
10.01.2014,48.23,47.89,48.49,47.82,1964388,47.89,-0.8654291660824679,-0.8454469574379737,-0.8654291660824679,-0.8635949427521828,-0.8329098799366711
13.01.2014,48.09,48.47,48.51,47.97,1077464,48.47,-0.8284680464118203,-0.8543715402873369,-0.8284680464118203,-0.8623276205733603,-0.8232863452748109
14.01.2014,48.0,48.45,48.46,47.87,1071799,48.45,-0.8297425677797734,-0.8601087721190709,-0.8297425677797734,-0.8654959260204172,-0.8297020350493846
15.01.2014,48.79,48.94,49.4,48.73,1541638,48.94,-0.7985167942649161,-0.809748626040519,-0.7985167942649161,-0.8059317836157428,-0.7745271029880523
16.01.2014,48.92,49.25,49.29,48.66,1371889,49.25,-0.7787617130616387,-0.8014615133946812,-0.7787617130616387,-0.8129020555992685,-0.7790180858302537
17.01.2014,49.39,49.66,50.04,49.38,1779656,49.66,-0.7526340250185948,-0.7715004138289605,-0.7526340250185948,-0.7653774738934112,-0.732825119453324
20.01.2014,49.6,49.61,49.87,49.29,834723,49.61,-0.755820328438478,-0.758113539554915,-0.755820328438478,-0.7761497124134056,-0.7385992402504403
21.01.2014,49.61,49.49,49.85,49.32,939655,49.49,-0.7634674566461981,-0.7574760693513892,-0.7634674566461981,-0.7774170345922282,-0.7366745333180682
22.01.2014,49.74,49.38,49.83,49.11,1081848,49.38,-0.7704773241699416,-0.7491889567055514,-0.7704773241699416,-0.7786843567710513,-0.7501474818446727
23.01.2014,49.25,48.75,49.41,48.45,1679626,48.75,-0.810624747260473,-0.7804249966783242,-0.810624747260473,-0.8052981225263315,-0.7924910343568577
24.01.2014,48.66,47.21,48.89,46.99,2827352,47.21,-0.9087628925928826,-0.8180357386863568,-0.9087628925928826,-0.8382484991757257,-0.8861601050656313
27.01.2014,47.31,46.33,47.4,46.33,2596691,46.33,-0.964841832782831,-0.9040942161623629,-0.964841832782831,-0.9326640014980292,-0.9285036575778167
28.01.2014,46.69,46.96,47.17,46.42,2214005,46.96,-0.9246944096922997,-0.9436173687809735,-0.9246944096922997,-0.9472382065544919,-0.9227295367807004
29.01.2014,47.68,46.56,47.85,45.43,2668752,46.56,-0.950184837051367,-0.880507818631902,-0.950184837051367,-0.9041492524745146,-0.9862448655489783
30.01.2014,46.46,46.55,46.82,45.78,1722914,46.55,-0.950822097735344,-0.9582791834620706,-0.950822097735344,-0.969416344683892,-0.9637899513379709
31.01.2014,46.65,46.55,46.73,45.31,2293745,46.55,-0.950822097735344,-0.9461672495950774,-0.950822097735344,-0.9751192944885952,-0.9939436932784664
03.02.2014,46.69,46.07,46.92,46.02,2267484,46.07,-0.9814106105662247,-0.9436173687809735,-0.9814106105662247,-0.9630797337897777,-0.9483922958789943
04.02.2014,46.05,46.25,46.54,45.53,1882416,46.25,-0.9699399182546444,-0.9844154618066359,-0.9699399182546444,-0.9871588551874122,-0.9798291757744046
05.02.2014,46.29,46.01,46.38,45.8,1726361,46.01,-0.985234174670085,-0.9691161769220124,-0.985234174670085,-0.997297432617995,-0.9625068133830564
06.02.2014,46.93,46.91,47.15,46.4,2804474,46.91,-0.9278807131121833,-0.92831808389635,-0.9278807131121833,-0.948505528733315,-0.9240126747356152
07.02.2014,47.17,47.12,47.33,46.63,1567542,47.12,-0.9144982387486729,-0.9130187990117266,-0.9144982387486729,-0.9370996291239092,-0.9092565882540958
10.02.2014,47.43,47.23,47.44,47.02,1562118,47.23,-0.9074883712249294,-0.8964445737200514,-0.9074883712249294,-0.9301293571403835,-0.8842353981332591
11.02.2014,48.09,48.64,48.64,47.78,2127013,48.64,-0.8176346147842165,-0.8543715402873369,-0.8176346147842165,-0.8540900264110115,-0.8354761558465005
12.02.2014,48.83,48.94,49.34,48.68,1564127,48.94,-0.7985167942649161,-0.8071987452264152,-0.7985167942649161,-0.809733750152211,-0.7777349478753388
13.02.2014,48.88,49.17,49.27,48.3,1323715,49.17,-0.7838597985334521,-0.8040113942087851,-0.7838597985334521,-0.8141693777780912,-0.8021145690187184
14.02.2014,49.23,49.53,49.74,49.1,1495632,49.53,-0.7609184139102915,-0.7816999370853763,-0.7609184139102915,-0.784387306575754,-0.7507890508221299
17.02.2014,49.51,48.92,49.51,48.78,1193335,48.92,-0.7997913156328692,-0.763850771386649,-0.7997913156328692,-0.7989615116322171,-0.7713192581007652
18.02.2014,48.96,48.74,49.04,48.09,1702177,48.74,-0.8112620079444496,-0.7989116325805774,-0.8112620079444496,-0.8287435828345543,-0.8155875175453223
19.02.2014,48.76,48.96,49.17,48.34,1202057,48.96,-0.7972422728969626,-0.811661036651097,-0.7972422728969626,-0.8205059886722056,-0.7995482931088885
20.02.2014,48.27,48.63,48.77,47.94,1671609,48.63,-0.818271875468193,-0.8428970766238694,-0.818271875468193,-0.8458524322486627,-0.825211052207183
21.02.2014,48.91,49.08,49.18,48.47,1236708,49.08,-0.7895951446892425,-0.8020989835982075,-0.7895951446892425,-0.8198723275827943,-0.7912078964019432
