Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
30.09.2022,79.62,79.23,80.19,79.23,5079137,79.23,-0.7469326056415126,-0.7299261536331404,-0.7469326056415126,-0.7533457520624653,-0.6848306935915665
03.10.2022,79.23,78.56,79.44,77.79,2403446,78.56,-0.791862221964393,-0.756043432657031,-0.791862221964393,-0.8032731384586481,-0.7826058671042417
04.10.2022,79.43,84.02,84.02,78.75,1599630,84.02,-0.4257193784973391,-0.7426499562345228,-0.4257193784973391,-0.498383232199292,-0.7174224180957919
05.10.2022,83.65,84.44,86.09,83.09,1321304,84.44,-0.3975545443844886,-0.46004760371960396,-0.3975545443844886,-0.360583645745827,-0.4227389090367562
06.10.2022,86.15,87.13,89.99,85.8,2217065,87.13,-0.21716548780456638,-0.2926291484382539,-0.21716548780456638,-0.10096123648567708,-0.23873146443998566
07.10.2022,87.13,88.47,89.34,86.15,880174,88.47,-0.12730625515880556,-0.22700111396796535,-0.12730625515880556,-0.14423163802903494,-0.21496666532232092
10.10.2022,87.78,83.84,88.18,83.82,846094,83.84,-0.4377900216885601,-0.18347231559481397,-0.4377900216885601,-0.22145266232179742,-0.3731723280199145
11.10.2022,83.54,80.29,83.54,79.23,1123986,80.29,-0.6758499290709854,-0.4674140157519833,-0.6758499290709854,-0.5303367594928483,-0.6848306935915665
12.10.2022,81.4,83.4,83.67,80.9,9901667,83.4,-0.4672960383782127,-0.610724213472819,-0.4672960383782127,-0.5216826791841769,-0.5714386520872832
13.10.2022,83.04,83.19,84.52,82.13,428569,83.19,-0.4813784554346384,-0.5008977068082533,-0.4813784554346384,-0.46509830793517015,-0.487922358045207
14.10.2022,84.5,84.04,86.76,83.15,429830,84.04,-0.424378195920536,-0.4031253289239453,-0.424378195920536,-0.3159818472319036,-0.4186649434737279
17.10.2022,84.9,86.72,87.24,84.52,339747,86.72,-0.24465973062901528,-0.37633837607892895,-0.24465973062901528,-0.2840283199383473,-0.325642729784586
18.10.2022,87.97,88.47,89.2,87.05,409208,88.47,-0.12730625515880556,-0.1707485129934315,-0.12730625515880556,-0.1535514168229891,-0.1538571818768994
19.10.2022,88.55,89.66,89.72,87.82,370590,89.66,-0.047505891839063084,-0.1319074313681584,-0.047505891839063084,-0.11893509558830262,-0.10157462381803856
20.10.2022,89.7,90.28,90.99,89.34,310989,90.28,-0.005929231958188474,-0.054894941938736994,-0.005929231958188474,-0.034391387957433364,0.0016325037786750181
21.10.2022,89.8,92.28,92.28,88.47,501026,92.28,0.12818902572205124,-0.048198203727483374,0.12818902572205124,0.05148371664400145,-0.05743999688523332
24.10.2022,93.74,91.81,94.7,90.64,550487,91.81,0.09667123516719497,0.2156532817959242,0.09667123516719497,0.21258275008235136,0.08990175764428453
25.10.2022,92.01,94.12,95.08,91.74,460671,94.12,0.251577822787872,0.09979971074123062,0.251577822787872,0.23787929252308368,0.16459112629980002
26.10.2022,94.83,95.81,95.81,93.35,269652,95.81,0.3649077505276744,0.28864772829859303,0.3649077505276744,0.28647528194870187,0.2739092022410551
27.10.2022,95.56,95.33,96.09,93.18,433145,95.33,0.3327193686844166,0.3375339172407475,0.3327193686844166,0.30511483953661017,0.2623662998124762
28.10.2022,93.35,95.96,97.1,91.58,560826,95.96,0.3749666198536918,0.18953600277203353,0.3749666198536918,0.3723503865501357,0.1537272181317252
31.10.2022,97.0,99.4,101.8,96.9,588243,99.4,0.6056500230637049,0.433966947482805,0.6056500230637049,0.6852286746328814,0.5149521647202208
01.11.2022,100.84,99.83,102.52,99.02,452231,99.83,0.6344854484649559,0.6911216947949589,0.6344854484649559,0.7331589655732168,0.6588989479472144
02.11.2022,100.79,98.63,100.84,97.29,489465,98.63,0.5540144938568119,0.6877733256893321,0.5540144938568119,0.6213216200457679,0.5414329408799038
03.11.2022,97.0,95.2,97.1,93.41,452700,95.2,0.3240016819352013,0.433966947482805,0.3240016819352013,0.3723503865501357,0.2779831678040834
04.11.2022,96.04,96.04,98.44,94.81,361874,96.04,0.3803313501609022,0.369678260654767,0.3803313501609022,0.46155398357798255,0.37304236427474036
07.11.2022,95.08,96.04,98.39,95.08,333079,96.04,0.3803313501609022,0.30538957382672804,0.3803313501609022,0.4582254911515705,0.3913752093083667
08.11.2022,97.38,95.75,97.58,94.89,246929,95.75,0.360884202797267,0.4594145526855699,0.360884202797267,0.40430391384369296,0.37847431835877776
09.11.2022,95.94,97.43,97.86,94.73,239631,97.43,0.4735435392486688,0.36298152244351245,0.4735435392486688,0.42294347143160127,0.36761041019070295
10.11.2022,98.39,97.38,98.44,95.91,366895,97.38,0.4701905828066621,0.5270516086192357,0.4701905828066621,0.46155398357798255,0.44773173293025587
11.11.2022,98.39,95.56,100.12,95.56,424886,95.56,0.3481429683176444,0.5270516086192357,0.3481429683176444,0.5733913291054324,0.4239669338125921
14.11.2022,97.0,96.76,98.44,96.18,193391,96.76,0.4286139229257884,0.433966947482805,0.4286139229257884,0.46155398357798255,0.4660645779638832
15.11.2022,97.0,100.84,101.03,97.0,340962,100.84,0.7022151685934773,0.433966947482805,0.7022151685934773,0.633969891266134,0.5217421073252673
16.11.2022,100.79,100.84,102.14,99.45,408578,100.84,0.7022151685934773,0.6877733256893321,0.7022151685934773,0.7078624231324845,0.6880957011489165
17.11.2022,102.23,102.04,102.71,100.51,310967,102.04,0.7826861232016213,0.7842063559313897,0.7826861232016213,0.745807236793583,0.7600690927624139
18.11.2022,102.76,102.81,103.53,101.03,242920,102.81,0.8343216524085133,0.8196990684510359,0.8343216524085133,0.8003945125867433,0.7953767943086575
21.11.2022,103.53,104.59,105.12,103.05,239185,104.59,0.9536869017439267,0.8712639526776914,0.9536869017439267,0.9062405717466511,0.9325336349306046
22.11.2022,104.97,106.32,107.71,104.73,352650,106.32,1.0696991946373333,0.9676969829197489,1.0696991946373333,1.0786564794348015,1.0466046706953929
23.11.2022,105.69,103.68,106.12,102.23,361428,103.68,0.8926630944994178,1.0159134980407776,0.8926630944994178,0.9728104202748947,0.8768561055692204
24.11.2022,103.87,103.15,104.44,102.91,139609,103.15,0.8571217562141543,0.8940328625959553,0.8571217562141543,0.8609730747474449,0.9230277152835389
25.11.2022,103.87,103.0,104.59,102.86,177693,103.0,0.8470628868881359,0.8940328625959553,0.8470628868881359,0.8709585520266818,0.9196327439810156
28.11.2022,102.19,100.84,102.19,99.55,246088,100.84,0.7022151685934773,0.7815276606468876,0.7022151685934773,0.7111909155588965,0.694885643753963
29.11.2022,101.32,102.23,102.71,100.55,184455,102.23,0.795427357681244,0.7232660382089775,0.795427357681244,0.745807236793583,0.7627850698044321
30.11.2022,102.62,104.49,104.49,102.33,1875288,104.49,0.9469809888599141,0.8103236349552803,0.9469809888599141,0.8643015671738569,0.883646048174267
01.12.2022,104.4,103.39,104.4,102.09,394158,103.39,0.8732159471357827,0.9295255751156016,0.8732159471357827,0.8583102808063157,0.8673501859221547
02.12.2022,103.39,102.76,103.87,101.99,202643,102.76,0.8309686959665075,0.8618885191819358,0.8309686959665075,0.8230282610863464,0.8605602433171072
05.12.2022,103.68,101.51,103.82,100.79,314934,101.51,0.7471447849163577,0.8813090599945729,0.7471447849163577,0.8196997686599334,0.7790809320565453
06.12.2022,102.28,100.84,103.05,100.51,256994,100.84,0.7022151685934773,0.7875547250370164,0.7022151685934773,0.768440985293186,0.7600690927624139
07.12.2022,100.65,101.32,102.67,99.88,254065,101.32,0.7344035504367341,0.6783978921935765,0.7344035504367341,0.7431444428524537,0.7172924543506177
08.12.2022,101.8,97.34,101.8,96.42,463136,97.34,0.46750821765305783,0.7554103816229969,0.46750821765305783,0.6852286746328814,0.4823604402159954
09.12.2022,97.77,97.38,97.96,95.89,290889,97.38,0.4701905828066621,0.48553183170946057,0.4701905828066621,0.4296004562844253,0.44637374440924676
12.12.2022,97.0,98.15,99.4,96.52,240855,98.15,0.521826112013555,0.433966947482805,0.521826112013555,0.525461038165097,0.4891503828210419
