Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,1001.61,995.78,1006.26,988.79,19078200,995.78,0.1147425929129278,0.13564415972831262,0.1147425929129278,0.11960361315377141,0.12190855920091902
07.01.2014,989.96,985.3,993.45,984.14,12099600,985.3,0.07295221645368377,0.08925992988697955,0.07295221645368377,0.06905463685770824,0.10318589769253196
08.01.2014,988.79,996.95,996.95,987.63,12299400,996.95,0.11940812158251926,0.08460159950806426,0.11940812158251926,0.08286583256701517,0.11723795977086988
09.01.2014,994.62,992.29,996.95,987.63,12880500,992.29,0.10082575953098488,0.10781362182351269,0.10082575953098488,0.08286583256701517,0.11723795977086988
10.01.2014,981.81,993.45,994.62,975.98,21109800,993.45,0.10545141188716106,0.05681087639282766,0.10545141188716106,0.07367152228053354,0.0703306465294269
14.01.2014,963.17,958.51,963.87,953.39,27338400,958.51,-0.033876427185929224,-0.01740389135330535,-0.033876427185929224,-0.04766969716552026,-0.02062525099196369
15.01.2014,971.33,966.67,971.79,961.78,19813200,966.67,-0.0013373554390371095,0.015084976930409878,-0.0013373554390371095,-0.016416934303317296,0.013156067299513281
16.01.2014,971.33,974.35,986.47,965.73,17296800,974.35,0.02928765326392055,0.015084976930409878,0.02928765326392055,0.04151116655743319,0.02906026363459502
17.01.2014,970.16,964.57,970.86,958.51,13676400,964.57,-0.009711381256251662,0.010426646551494584,-0.009711381256251662,-0.0200867663060758,-1.0191438642767794e-05
20.01.2014,969.0,968.06,972.26,960.14,10689000,968.06,0.004205452125690804,0.005808130962143081,0.004205452125690804,-0.014562288022353114,0.006552806036340235
21.01.2014,971.33,961.77,974.82,961.77,15254400,961.77,-0.020876749012538488,0.015084976930409878,-0.020876749012538488,-0.004460384874974092,0.013115803511323238
22.01.2014,961.78,959.91,964.57,951.53,20082900,959.91,-0.02829374330778604,-0.02293814710261458,-0.02829374330778604,-0.04490745802365869,-0.0281143155953186
23.01.2014,963.17,953.85,963.64,953.39,18281700,953.85,-0.05245878923746315,-0.01740389135330535,-0.05245878923746315,-0.04857729002641764,-0.02062525099196369
24.01.2014,942.91,930.56,943.37,927.3,28410000,930.56,-0.1453307231817184,-0.09806865500870532,-0.1453307231817184,-0.12856384346288946,-0.12567347437988224
27.01.2014,907.27,913.09,920.78,905.87,26568600,913.09,-0.2149946427182631,-0.2399685650125777,-0.2149946427182631,-0.21770524662667348,-0.21195877247122324
28.01.2014,913.09,905.17,920.55,904.47,20379600,905.17,-0.2465766829431882,-0.21679635748669263,-0.2465766829431882,-0.21861283948757088,-0.21759570281783433
29.01.2014,925.9,932.66,934.29,920.31,17463600,932.66,-0.1369566973645034,-0.16579361205600804,-0.1369566973645034,-0.16439403118874876,-0.15381786232474812
30.01.2014,910.76,909.13,927.07,904.24,22155600,909.13,-0.23078566283072566,-0.2260732034549594,-0.23078566283072566,-0.19288455490909015,-0.21852176994620623
31.01.2014,917.05,906.8,919.38,898.65,17110200,906.8,-0.24007684385649283,-0.20102970081959598,-0.24007684385649283,-0.2232297249103962,-0.24102922754446102
03.02.2014,899.12,886.54,913.79,885.14,21243900,886.54,-0.3208662548359091,-0.27241761850672913,-0.3208662548359091,-0.24528817748611795,-0.2954256053892589
04.02.2014,861.85,830.4,866.27,829.24,34640400,830.4,-0.5447318783494545,-0.4208073392094318,-0.5447318783494545,-0.43280475465933665,-0.5205001813718054
05.02.2014,839.72,843.68,852.53,835.06,24991200,843.68,-0.491776134133924,-0.5089174685131831,-0.491776134133924,-0.48702356295815874,-0.49706665664517913
06.02.2014,850.2,833.2,850.2,832.73,17550900,833.2,-0.5335665105931676,-0.4671915690507649,-0.5335665105931676,-0.49621787324463995,-0.5064481192934674
07.02.2014,850.2,857.19,859.98,847.17,15937800,857.19,-0.437903234709841,-0.4671915690507649,-0.437903234709841,-0.45762544637691954,-0.44830720914699235
10.02.2014,875.36,864.64,875.59,860.22,13267500,864.64,-0.40819538121543597,-0.3670175585093107,-0.40819538121543597,-0.39602751351341053,-0.3957629655589378
12.02.2014,887.24,893.06,895.62,880.48,20970000,893.06,-0.2948668984891276,-0.31971758850801996,-0.2948668984891276,-0.3169880134970055,-0.314188530685836
13.02.2014,894.92,874.19,894.92,869.53,14059800,874.19,-0.3701135019038155,-0.2891398301233473,-0.3701135019038155,-0.3197502526388671,-0.35827737875397364
14.02.2014,875.12,864.88,892.13,861.38,19674600,864.88,-0.4072383496934685,-0.3679731134588318,-0.4072383496934685,-0.330759748647143,-0.3910923661288887
17.02.2014,864.88,872.79,874.89,858.82,11695800,872.79,-0.3756961857819591,-0.408743457971729,-0.3756961857819591,-0.3987897526552721,-0.4013998959055489
18.02.2014,873.03,890.03,896.09,868.6,17429700,890.03,-0.30694942145396614,-0.37629440447757756,-0.30694942145396614,-0.31513336721604135,-0.3620219110556509
19.02.2014,884.21,874.43,884.67,869.07,16645800,874.43,-0.3691564703818485,-0.3317814697457228,-0.3691564703818485,-0.3601973257875517,-0.36012951301071705
20.02.2014,868.83,850.67,874.43,848.1,27676200,850.67,-0.4639025910566229,-0.39301661609419525,-0.4639025910566229,-0.4006049383770669,-0.44456267684531464
21.02.2014,861.85,861.61,865.11,853.23,16479900,861.61,-0.42027790418027455,-0.4208073392094318,-0.42027790418027455,-0.4373821795229925,-0.4239073535038037
24.02.2014,865.57,857.19,874.66,846.94,18263400,857.19,-0.437903234709841,-0.4059962374918558,-0.437903234709841,-0.3996973455161695,-0.4492332762753638
25.02.2014,859.98,864.18,868.6,859.75,16107000,864.18,-0.4100296916325403,-0.42825270485778316,-0.4100296916325403,-0.423610444372855,-0.39765536360387166
26.02.2014,872.33,863.01,872.33,862.31,13749600,863.01,-0.41469522030213135,-0.3790814397470136,-0.41469522030213135,-0.4088916558026507,-0.38734783382721144
27.02.2014,861.85,861.61,868.14,853.69,12409500,861.61,-0.42027790418027455,-0.4208073392094318,-0.42027790418027455,-0.4254256300946498,-0.42205521924705985
28.02.2014,861.38,849.5,863.24,842.51,23000400,849.5,-0.4685681197262139,-0.4226786343189106,-0.4685681197262139,-0.4447613040876794,-0.46707013444356943
03.03.2014,840.18,863.94,863.94,839.02,22459800,863.94,-0.41098672315450735,-0.5070859881932681,-0.41098672315450735,-0.4419990649458178,-0.48112219652190735
04.03.2014,857.65,858.35,869.07,854.86,16011600,858.35,-0.43327758235366526,-0.43752955082605,-0.43327758235366526,-0.4217557980918908,-0.4173443560288207
05.03.2014,878.15,869.3,881.88,868.37,14749800,869.3,-0.38961301916390206,-0.35590923222112897,-0.38961301916390206,-0.37120682179582765,-0.3629479781840228
06.03.2014,881.88,884.21,888.63,873.49,14302200,884.21,-0.33015743586167584,-0.3410583157139896,-0.33015743586167584,-0.34457094435644997,-0.34233291863070187
07.03.2014,894.46,887.47,895.86,885.61,12052200,887.47,-0.3171577576882851,-0.2909713104432623,-0.3171577576882851,-0.3160409600769387,-0.29353320734432503
10.03.2014,881.88,869.3,889.33,867.2,15927300,869.3,-0.38961301916390206,-0.3410583157139896,-0.38961301916390206,-0.3418087052145884,-0.367658841402262
11.03.2014,880.25,894.46,896.32,878.15,18250500,894.46,-0.28928421461098397,-0.3475481264128199,-0.28928421461098397,-0.3142257743551439,-0.3235699933341248
12.03.2014,879.32,876.99,883.98,875.59,15609300,876.99,-0.35894813414752913,-0.35125090184221364,-0.35894813414752913,-0.3629201043702434,-0.333877523110785
13.03.2014,875.82,866.74,883.74,866.74,11790900,866.74,-0.39982135539822095,-0.3651860781893953,-0.39982135539822095,-0.3638671577903102,-0.3695109756590058
14.03.2014,852.53,840.18,853.0,836.46,37141500,840.18,-0.5057328438292822,-0.4579147230824986,-0.5057328438292822,-0.4851689166771946,-0.49142972629856757
17.03.2014,835.99,838.09,842.98,830.87,13110900,838.09,-0.5140669933330815,-0.5237683850203225,-0.5140669933330815,-0.5247083969649818,-0.5139371838968224
18.03.2014,847.41,829.94,847.41,826.21,20062200,829.94,-0.5465661887665584,-0.4782998953389472,-0.5465661887665584,-0.5072273692529163,-0.5327001091933995
19.03.2014,833.9,828.07,845.31,825.98,13304700,828.07,-0.5540230593752212,-0.5320896760390682,-0.5540230593752212,-0.5155140866785006,-0.5336261763217713
20.03.2014,840.88,823.65,841.58,820.62,17104200,823.65,-0.5716483899047881,-0.5042989529238316,-0.5716483899047881,-0.5302328752487044,-0.5552075667916543
24.03.2014,828.54,814.33,830.4,808.04,27743100,814.33,-0.608813114007856,-0.5534304032450379,-0.608813114007856,-0.5743497804001481,-0.6058594123347749
25.03.2014,812.93,819.92,823.18,809.44,20189700,819.92,-0.5865222548086985,-0.615581289753468,-0.5865222548086985,-0.6028403041204898,-0.6002224819881634
26.03.2014,818.75,824.81,826.21,811.77,24954900,824.81,-0.5670227375486123,-0.5924090822275829,-0.5670227375486123,-0.5908837546921467,-0.5908410193398751
27.03.2014,823.87,828.09,828.09,804.18,28505700,828.09,-0.5539433067483907,-0.5720239099711344,-0.5539433067483907,-0.5834651695682904,-0.6214012345761458
28.03.2014,832.08,833.01,835.12,825.28,13837200,833.01,-0.5343241605480588,-0.5393359677396025,-0.5343241605480588,-0.5557243964721683,-0.5364446414950772
31.03.2014,843.8,851.77,855.52,839.11,16252500,851.77,-0.45951619658093884,-0.492673034371326,-0.45951619658093884,-0.47522485576649365,-0.48075982242819654
01.04.2014,857.86,848.25,859.03,844.73,14972700,848.25,-0.4735526589031276,-0.43669344024521894,-0.4735526589031276,-0.4613741994980173,-0.4581315734653716
02.04.2014,856.22,858.33,873.33,855.75,19917900,858.33,-0.43335733498049583,-0.4432230657336126,-0.43335733498049583,-0.40494559988570583,-0.41376087887990365
03.04.2014,867.24,867.24,873.09,863.02,13704900,867.24,-0.3978275397274555,-0.3993471676347722,-0.3978275397274555,-0.4058926533057726,-0.38448910486571564
04.04.2014,861.61,861.14,866.06,855.75,14662500,861.14,-0.42215209091079414,-0.4217628941589529,-0.42215209091079414,-0.4336334264018952,-0.41376087887990365
07.04.2014,854.34,837.0,854.34,834.42,24341100,837.0,-0.5184135114953503,-0.45070824617152727,-0.5184135114953503,-0.47988120174848836,-0.4996435390893442
08.04.2014,821.53,809.81,825.05,807.47,34847400,809.81,-0.626837207671576,-0.5813405707289645,-0.626837207671576,-0.595461179555803,-0.6081544482616092
09.04.2014,810.75,805.12,813.09,799.26,22606500,805.12,-0.6455391986633559,-0.6242609138782839,-0.6455391986633559,-0.642656008322463,-0.641211018365665
10.04.2014,817.08,801.61,817.31,798.09,16072500,801.61,-0.6595357846721293,-0.5990581520846666,-0.6595357846721293,-0.6260036523529561,-0.6459218815839042
11.04.2014,787.54,807.47,811.45,782.86,25512600,807.47,-0.6361682650107581,-0.71667104045488,-0.6361682650107581,-0.6491275400262525,-0.7072436309973958
14.04.2014,797.39,807.0,817.54,797.15,12431400,807.0,-0.6380424517412777,-0.6774534727349544,-0.6380424517412777,-0.6250960594920587,-0.6497066776737719
15.04.2014,811.45,809.81,814.5,803.95,12307500,809.81,-0.626837207671576,-0.6214738786088473,-0.626837207671576,-0.6370920694795709,-0.6223273017045172
16.04.2014,815.67,828.09,828.09,814.97,13664100,828.09,-0.5539433067483907,-0.6046720374131029,-0.5539433067483907,-0.5834651695682904,-0.5779566071190493
17.04.2014,824.34,810.75,824.81,806.53,20082900,810.75,-0.6230888342105367,-0.5701526148616556,-0.6230888342105367,-0.5964082329758698,-0.611939244351477
18.04.2014,815.67,803.25,815.9,799.5,15665400,803.25,-0.6529960692720186,-0.6046720374131029,-0.6529960692720186,-0.6315675911958482,-0.640244687449103
21.04.2014,803.48,805.36,813.79,803.48,9561000,805.36,-0.6445821671413884,-0.6532062658908582,-0.6445821671413884,-0.6398937691806018,-0.6242196997494511
22.04.2014,807.94,803.48,808.87,801.14,17585100,803.48,-0.6520789140634664,-0.6354488697455923,-0.6520789140634664,-0.6593083642919703,-0.63364142618593
23.04.2014,807.47,814.73,815.44,806.53,12952500,814.73,-0.6072180614712437,-0.6373201648550711,-0.6072180614712437,-0.6333827769176426,-0.611939244351477
24.04.2014,813.33,805.12,813.56,803.95,11006700,805.12,-0.6455391986633559,-0.6139886981709326,-0.6455391986633559,-0.6408013620414993,-0.6223273017045172
25.04.2014,805.12,813.33,820.36,801.84,13345200,813.33,-0.6128007453493869,-0.6466766404024645,-0.6128007453493869,-0.6139681818062741,-0.6308229610126241
28.04.2014,785.2,777.0,787.54,771.61,31817100,777.0,-0.7576713919872051,-0.7259877012127096,-0.7576713919872051,-0.7434777370004039,-0.7525403927112357
30.04.2014,785.9,792.23,797.62,784.5,27648600,792.23,-0.6969397666556892,-0.7232006659432736,-0.6969397666556892,-0.7037014933575998,-0.7006403697342228
01.05.2014,796.92,804.89,807.47,794.11,16888800,804.89,-0.646456353871908,-0.6793247678444332,-0.646456353871908,-0.664832842575693,-0.661946869283556
02.05.2014,810.98,813.8,817.55,807.47,16473300,813.8,-0.6109265586188677,-0.6233451737183261,-0.6109265586188677,-0.6250565989328893,-0.6081544482616092
07.05.2014,797.39,790.12,798.09,787.78,26788500,790.12,-0.7053536687863194,-0.6774534727349544,-0.7053536687863194,-0.7018468470766356,-0.6874338472078767
08.05.2014,793.4,786.14,795.28,782.15,24326700,786.14,-0.7212244415256126,-0.6933395737707415,-0.7212244415256126,-0.7129352642032508,-0.7101023599588917
09.05.2014,773.48,782.15,788.72,771.6,21768300,782.15,-0.7371350905783209,-0.7726506345809865,-0.7371350905783209,-0.7388213910184087,-0.7525806564994257
12.05.2014,780.51,776.06,788.01,775.82,13334100,776.06,-0.7614197654482443,-0.7446608375179332,-0.7614197654482443,-0.7416230907194397,-0.735589337883212
13.05.2014,792.47,803.25,806.06,790.12,15121800,803.25,-0.6529960692720186,-0.6970423492001353,-0.6529960692720186,-0.6703967814185855,-0.6780121207713979
14.05.2014,803.72,807.47,809.34,802.78,8748300,807.47,-0.6361682650107581,-0.6522507109413371,-0.6361682650107581,-0.6574537180110062,-0.6270381649227569
15.05.2014,799.03,794.34,799.5,787.54,16089600,794.34,-0.6885258645250589,-0.6709238472465607,-0.6885258645250589,-0.6962829082337435,-0.6884001781244387
