Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,9.99,10.01,10.17,9.77,92826000,10.01,-0.8439048924734773,-0.8436371399569788,-0.8439048924734773,-0.8437050151491873,-0.8443753615197461
03.01.2014,10.0,9.97,10.15,9.91,70425000,9.97,-0.8442742204319831,-0.8435448762071759,-0.8442742204319831,-0.8438855251934838,-0.8430515844777287
06.01.2014,10.0,9.8,10.03,9.68,80416500,9.8,-0.8458438642556321,-0.8435448762071759,-0.8458438642556321,-0.8449685854592637,-0.8452263610467574
07.01.2014,9.84,9.96,10.03,9.68,75511500,9.96,-0.8443665524216095,-0.8450210962040219,-0.8443665524216095,-0.8449685854592637,-0.8452263610467574
08.01.2014,9.92,10.09,10.25,9.92,92448000,10.09,-0.843166236556466,-0.8442829862055988,-0.843166236556466,-0.8429829749720008,-0.8429570289747274
09.01.2014,10.17,9.84,10.23,9.79,80730000,9.84,-0.8454745362971264,-0.8419763924605269,-0.8454745362971264,-0.8431634850162973,-0.8441862505137435
10.01.2014,9.9,9.71,9.93,9.48,111691500,9.71,-0.8466748521622699,-0.8444675137052046,-0.8466748521622699,-0.8458711356807467,-0.8471174711067824
13.01.2014,9.72,9.29,9.8,9.19,94741500,9.29,-0.8505527957265792,-0.8461282612016564,-0.8505527957265792,-0.8470444509686749,-0.8498595806938186
14.01.2014,9.37,10.75,10.8,9.11,414105000,10.75,-0.8370723252411227,-0.849357492444757,-0.8370723252411227,-0.8380189487538436,-0.8506160247178286
15.01.2014,11.23,10.94,11.48,10.81,306984000,10.94,-0.8353180174382209,-0.832196434981422,-0.8353180174382209,-0.8318816072477584,-0.8345415892076161
16.01.2014,10.83,11.4,11.51,10.83,179391000,11.4,-0.8310707459154058,-0.8358869849735372,-0.8310707459154058,-0.8316108421813135,-0.8343524782016136
17.01.2014,11.35,11.33,11.55,11.2,138093000,11.33,-0.8317170698427907,-0.8310892699837876,-0.8317170698427907,-0.8312498220927204,-0.8308539245905673
21.01.2014,11.42,11.78,11.82,11.39,146020500,11.78,-0.827562130309602,-0.8304434237351674,-0.827562130309602,-0.828812936494716,-0.8290573700335436
22.01.2014,11.85,11.9,12.02,11.65,105339000,11.9,-0.826454146434085,-0.8264760824936438,-0.826454146434085,-0.8270078360517497,-0.8265989269555111
23.01.2014,11.82,12.1,12.16,11.56,118011000,12.1,-0.8246075066415568,-0.8267528737430525,-0.8246075066415568,-0.8257442657416734,-0.8274499264825224
24.01.2014,11.86,11.64,12.03,11.57,114964500,11.64,-0.8288547781643718,-0.8263838187438409,-0.8288547781643718,-0.8269175810296013,-0.827355370979521
27.01.2014,11.68,11.31,11.86,10.98,130746000,11.31,-0.8319017338220435,-0.8280445662402925,-0.8319017338220435,-0.8284519164061226,-0.8329341456565948
28.01.2014,11.43,11.89,11.93,11.4,91401000,11.89,-0.8265464784237114,-0.8303511599853645,-0.8265464784237114,-0.8278201312510844,-0.8289628145305423
29.01.2014,11.69,11.68,11.94,11.54,89032500,11.68,-0.8284854502058662,-0.8279523024904898,-0.8284854502058662,-0.8277298762289361,-0.8276390374885249
30.01.2014,11.87,12.19,12.32,11.8,128475000,12.19,-0.8237765187349191,-0.826291554994038,-0.8237765187349191,-0.8243001853873003,-0.8251805944104924
31.01.2014,11.92,12.09,12.4,11.9,97632000,12.09,-0.8246998386311831,-0.8258302362450236,-0.8246998386311831,-0.8235781452101137,-0.8242350393804798
03.02.2014,12.19,11.81,12.33,11.68,101473500,11.81,-0.8272851343407227,-0.823339115000346,-0.8272851343407227,-0.824209930365152,-0.8263152604465074
04.02.2014,12.05,11.92,12.11,11.75,70294500,11.92,-0.8262694824548322,-0.8246308074975862,-0.8262694824548322,-0.8261955408524149,-0.8256533719254986
05.02.2014,11.89,11.63,12.04,11.29,109020000,11.63,-0.8289471101539982,-0.8261070274944322,-0.8289471101539982,-0.8268273260074531,-0.8300029250635561
06.02.2014,11.75,11.89,12.01,11.73,87624000,11.89,-0.8265464784237114,-0.8273987199916725,-0.8265464784237114,-0.8270980910738979,-0.8258424829315011
07.02.2014,12.07,12.44,12.44,11.97,133927500,12.44,-0.8214682189942587,-0.8244462799979806,-0.8214682189942587,-0.8232171251215206,-0.8235731508594711
10.02.2014,12.62,13.1,13.29,12.62,194560500,13.1,-0.8153743076789154,-0.8193717737588222,-0.8153743076789154,-0.8155454482389142,-0.8174270431643899
