Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,44.81,45.09,45.35,44.52,402700,45.09,-1.8224631245468996,-1.8291047969215157,-1.8224631245468996,-1.8251167652636269,-1.8260422012002075
03.01.2014,45.11,45.56,45.9,44.99,361200,45.56,-1.8091710566259824,-1.8206263215829486,-1.8091710566259824,-1.8097277888966963,-1.8126125640583044
06.01.2014,45.6,45.39,46.05,45.32,447100,45.39,-1.8139788258739737,-1.806778145196622,-1.8139788258739737,-1.8055307953420787,-1.8031832443629257
07.01.2014,45.44,45.52,45.82,45.1,310600,45.52,-1.8103022964490394,-1.8112999987105247,-1.8103022964490394,-1.8119661854591587,-1.8094694574931782
08.01.2014,45.5,45.42,45.72,45.03,244600,45.42,-1.8131303960066811,-1.809604303642811,-1.8131303960066811,-1.8147641811622373,-1.8114696162164403
09.01.2014,45.64,45.36,45.67,45.01,329100,45.36,-1.8148272557412664,-1.8056476818181464,-1.8148272557412664,-1.8161631790137762,-1.8120410901373725
10.01.2014,45.64,45.81,45.91,45.27,394300,45.81,-1.8021008077318774,-1.8056476818181464,-1.8021008077318774,-1.8094479893263884,-1.8046119291652558
13.01.2014,45.74,45.57,45.92,45.43,298200,45.57,-1.808888246670218,-1.8028215233719573,-1.808888246670218,-1.8091681897560805,-1.8000401377977995
14.01.2014,45.76,46.01,46.2,45.75,399300,46.01,-1.7964446086165935,-1.8022562916827196,-1.7964446086165935,-1.801333801787461,-1.7908965550628866
15.01.2014,46.24,46.58,46.67,46.2,235100,46.58,-1.7803244411380341,-1.7886907311410118,-1.7803244411380341,-1.7881832219829927,-1.7780383918419154
16.01.2014,46.61,46.7,46.83,46.3,399200,46.7,-1.7769307216688635,-1.7782339448901123,-1.7769307216688635,-1.7837064288580675,-1.7751810222372553
