Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,63.22,63.17,63.4,62.69,1701100,63.17,-1.4902137211936688,-1.4888773323078666,-1.4902137211936688,-1.4927235185536176,-1.4916582008308954
03.01.2014,63.08,63.35,63.64,63.07,1790100,63.35,-1.4873035771499776,-1.491140504470946,-1.4873035771499776,-1.488892308221158,-1.4854284457563267
06.01.2014,63.5,63.76,63.83,63.12,2426700,63.76,-1.4806749157171257,-1.484350987981708,-1.4806749157171257,-1.4858592667079606,-1.4846087411412516
07.01.2014,63.66,64.64,64.71,63.64,2570500,64.64,-1.466447544836858,-1.4817645055096176,-1.466447544836858,-1.4718114954889412,-1.4760838131444736
08.01.2014,64.69,65.15,65.42,64.35,2469300,65.15,-1.4582021367130664,-1.4651140245955345,-1.4582021367130664,-1.460477498255414,-1.464444007610411
09.01.2014,65.41,65.28,65.44,64.9,2084200,65.28,-1.456100366014845,-1.453474853471127,-1.456100366014845,-1.460158230727709,-1.4554272568445878
10.01.2014,65.5,65.71,65.89,65.37,2093900,65.71,-1.4491483552438054,-1.452019957080576,-1.4491483552438054,-1.4529747113543467,-1.4477220334628844
13.01.2014,65.46,65.31,65.79,65.17,1880000,65.31,-1.4556153420075633,-1.4526665776985987,-1.4556153420075633,-1.4545710489928716,-1.4510008519231838
14.01.2014,65.61,65.72,65.81,65.34,1957200,65.72,-1.4489866805747111,-1.4502417503810137,-1.4489866805747111,-1.4542517814651668,-1.4482138562319293
15.01.2014,65.75,66.2,66.5,65.72,1772900,66.2,-1.4412262964582014,-1.4479785782179344,-1.4412262964582014,-1.4432370517593447,-1.4419841011573606
16.01.2014,66.22,66.21,66.49,65.72,1301800,66.21,-1.4410646217891077,-1.4403807859561684,-1.4410646217891077,-1.4433966855231972,-1.4419841011573606
17.01.2014,66.41,66.11,66.53,65.9,2636800,66.11,-1.442681368480047,-1.4373093380205608,-1.442681368480047,-1.442758150467787,-1.4390331645430912
21.01.2014,66.37,66.49,66.74,65.98,1583700,66.49,-1.4365377310544771,-1.4379559586385835,-1.4365377310544771,-1.4394058414268849,-1.4377216371589714
22.01.2014,66.54,66.33,67.31,66.33,2139800,66.33,-1.4391245257599803,-1.4352078210119872,-1.4391245257599803,-1.4303067168872925,-1.4319837048534478
23.01.2014,66.13,66.22,66.9,65.68,3796600,66.22,-1.4409029471200137,-1.4418356823467193,-1.4409029471200137,-1.4368517012052449,-1.4426398648494203
24.01.2014,65.56,63.31,65.98,62.63,7207200,63.31,-1.4879502758263534,-1.451050026153542,-1.4879502758263534,-1.4515380074796742,-1.4926418463689852
27.01.2014,63.42,63.01,64.05,62.49,2614600,63.01,-1.4928005158991722,-1.4856442292177534,-1.4928005158991722,-1.4823473239032057,-1.4949370192911944
28.01.2014,63.01,64.05,64.14,62.96,2188700,64.05,-1.475986350313401,-1.4922720905524858,-1.475986350313401,-1.4809106200285331,-1.4872317959094912
29.01.2014,63.62,63.26,63.71,62.92,2990600,63.26,-1.4887586491718232,-1.4824111261276403,-1.4887586491718232,-1.4877748718741903,-1.487887559601551
