Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,83.06,83.05,83.77,82.66,901900,83.05,-2.214861558192262,-2.2130887197028053,-2.214861558192262,-2.217346899972,-2.201791457098872
03.01.2014,82.7,84.12,84.49,82.7,737600,84.12,-2.1812314417676992,-2.2243953680832553,-2.1812314417676992,-2.194901383071147,-2.2005216383819826
06.01.2014,84.67,85.37,85.39,84.12,1414000,85.37,-2.1419439225801256,-2.162522875556904,-2.1419439225801256,-2.166844486945081,-2.155443073932413
07.01.2014,85.38,85.01,85.79,84.52,984200,85.01,-2.1532587281061466,-2.1402236523621276,-2.1532587281061466,-2.1543747553334955,-2.1427448867635204
08.01.2014,84.72,85.22,85.82,84.38,889800,85.22,-2.1466584248826344,-2.160952507726286,-2.1466584248826344,-2.1534395254626273,-2.1471892522726326
09.01.2014,83.9,84.92,85.51,83.9,624300,84.92,-2.156087429487652,-2.1867065401484216,-2.156087429487652,-2.1631035674616053,-2.162427076875304
10.01.2014,85.24,85.56,85.77,84.91,638100,85.56,-2.135972219663614,-2.144620682287858,-2.135972219663614,-2.154998241914075,-2.13036415427385
13.01.2014,85.22,84.87,85.83,84.58,651300,84.87,-2.1576589302551548,-2.145248829420105,-2.1576589302551548,-2.153127782172337,-2.1408401586881864
14.01.2014,85.13,85.51,85.74,84.9,642200,85.51,-2.1375437204311174,-2.148075491515218,-2.1375437204311174,-2.155933471784944,-2.1306816089530716
15.01.2014,85.67,86.15,86.4,85.56,786600,86.15,-2.1174285106070796,-2.1311155189445428,-2.1174285106070796,-2.1353584146258284,-2.1097296001243984
16.01.2014,86.71,86.29,86.8,86.01,892800,86.29,-2.1130283084580714,-2.0984518680676874,-2.1130283084580714,-2.122888683014244,-2.095444139559394
17.01.2014,86.38,85.61,86.56,85.46,898500,85.61,-2.1344007188961114,-2.1088162957497665,-2.1344007188961114,-2.130370521981195,-2.112904146916622
21.01.2014,86.04,85.79,86.39,85.51,792800,85.79,-2.1287433161331006,-2.119494796997969,-2.1287433161331006,-2.135670157916118,-2.11131687352051
22.01.2014,86.07,85.63,86.48,85.41,1153700,85.63,-2.1337721185891105,-2.1185525762995985,-2.1337721185891105,-2.1328644683035116,-2.1144914203127336
23.01.2014,85.15,84.75,85.29,84.61,1134900,84.75,-2.161430532097162,-2.1474473443829702,-2.161430532097162,-2.1699619198479767,-2.139887794650519
24.01.2014,83.57,83.95,84.38,83.57,1204800,83.95,-2.1865745443772093,-2.197070967830501,-2.1865745443772093,-2.198330559264333,-2.172903081289641
27.01.2014,83.48,83.15,84.45,83.15,973600,83.15,-2.211718556657256,-2.1998976299256134,-2.211718556657256,-2.1961483562323054,-2.186236177816978
28.01.2014,82.89,82.56,83.95,82.54,1482500,82.56,-2.230262265713791,-2.2184279703269065,-2.230262265713791,-2.2117355207467866,-2.2056009132495396
29.01.2014,85.25,82.62,87.65,82.23,1855400,82.62,-2.2283764647927873,-2.144306608721734,-2.2283764647927873,-2.0963905033396255,-2.215442008305432
30.01.2014,80.19,85.81,86.59,80.19,2720200,85.81,-2.1281147158261,-2.303227833180282,-2.1281147158261,-2.1294352921103257,-2.280202762866786
31.01.2014,85.2,86.75,87.14,85.2,1584800,86.75,-2.0985705013970444,-2.145876976552352,-2.0985705013970444,-2.1122894111443964,-2.121157968576402
03.02.2014,86.75,86.6,87.42,86.48,1407900,86.6,-2.103285003699553,-2.0971955738031927,-2.103285003699553,-2.103560599016287,-2.0805237696359447
04.02.2014,87.0,87.77,87.86,86.45,1474400,87.77,-2.0665118857399842,-2.0893437346501025,-2.0665118857399842,-2.0898438942435433,-2.0814761336736116
05.02.2014,87.54,88.52,88.73,87.27,1428300,88.52,-2.04293937422744,-2.072383762079427,-2.04293937422744,-2.062722227988346,-2.0554448499773814
06.02.2014,88.62,89.2,89.28,88.56,864600,89.2,-2.0215669637894,-2.038463816938077,-2.0215669637894,-2.0455763470224166,-2.014493196357702
07.02.2014,89.42,89.78,90.0,89.05,901600,89.78,-2.003337554886366,-2.0133379316481883,-2.003337554886366,-2.023130830121564,-1.9989379170758081
10.02.2014,90.1,90.84,91.16,89.68,1070900,90.84,-1.9700217386153034,-1.9919809291517827,-1.9700217386153034,-1.9869686084479676,-1.9789382722848017
11.02.2014,90.63,91.07,91.93,90.37,1258100,91.07,-1.9627928350847903,-1.9753350301472314,-1.9627928350847903,-1.9629643750956662,-1.9570338994184615
12.02.2014,91.03,90.51,91.27,90.35,1444000,90.51,-1.980393643680823,-1.9627720875022867,-1.980393643680823,-1.9835394322547817,-1.9576688087769063
13.02.2014,90.3,90.15,90.95,90.08,996900,90.15,-1.991708449206844,-1.9856994578293106,-1.991708449206844,-1.9935152175440496,-1.966240085115909
14.02.2014,90.19,90.61,90.65,90.15,582700,90.61,-1.9772506421458171,-1.9891542670566702,-1.9772506421458171,-2.002867516252738,-1.9640179023613524
18.02.2014,90.43,90.96,91.15,90.26,691800,90.96,-1.9662501367732967,-1.9816165014697031,-1.9662501367732967,-1.987280351738257,-1.960525900889907
19.02.2014,90.88,90.16,91.19,89.99,673300,90.16,-1.9913941490533438,-1.967483190994141,-1.9913941490533438,-1.9860333785770987,-1.96909717722891
20.02.2014,90.45,90.54,90.84,89.76,737600,90.54,-1.979450743220321,-1.980988354337456,-1.979450743220321,-1.9969443937372353,-1.976398634851023
21.02.2014,90.44,90.37,91.02,89.78,623000,90.37,-1.984793845829831,-1.9813024279035798,-1.984793845829831,-1.9913330145120223,-1.9757637254925786
24.02.2014,90.45,90.77,91.46,90.28,694600,90.77,-1.972221839689808,-1.980988354337456,-1.972221839689808,-1.977616309739279,-1.9598909915314624
25.02.2014,90.5,90.77,91.13,90.35,766000,90.77,-1.972221839689808,-1.9794179865068382,-1.972221839689808,-1.9879038383188365,-1.9576688087769063
26.02.2014,91.25,90.21,91.27,89.94,694100,90.21,-1.9898226482858408,-1.9558624690475672,-1.9898226482858408,-1.9835394322547817,-1.9706844506250214
27.02.2014,90.3,89.42,90.43,89.17,723800,89.42,-2.014652360412387,-1.9856994578293106,-2.014652360412387,-2.00972586863911,-1.9951284609251403
28.02.2014,89.64,90.59,90.94,89.29,1131000,90.59,-1.9778792424528182,-2.0064283131934686,-1.9778792424528182,-1.9938269608343393,-1.9913190047744722
03.03.2014,90.39,90.62,91.01,90.23,689200,90.62,-1.9769363419923163,-1.9828727957341978,-1.9769363419923163,-1.9916447578023118,-1.961478264927574
04.03.2014,91.48,91.64,91.67,91.05,531100,91.64,-1.9448777263352564,-1.9486387770267242,-1.9448777263352564,-1.9710697006431965,-1.9354469812313437
