Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,22.13,22.11,22.15,21.91,1684327,22.11,-2.122884305695394,-2.1203114568333445,-2.122884305695394,-2.139238532259847,-2.119421082501389
03.01.2014,22.16,22.33,22.38,22.15,1269876,22.33,-2.1031803035844776,-2.117625784961591,-2.1031803035844776,-2.118798417292114,-2.097754224609637
06.01.2014,22.48,22.45,22.52,22.26,1957291,22.45,-2.0924326660694317,-2.0889786183295556,-2.0924326660694317,-2.1063566081813203,-2.0878235814092503
07.01.2014,22.66,22.57,22.7,22.45,2088768,22.57,-2.081685028554386,-2.072864587099036,-2.081685028554386,-2.0903599964674426,-2.0706706522449467
08.01.2014,22.57,22.3,22.58,22.2,1867610,22.3,-2.1058672129632385,-2.080921602714296,-2.1058672129632385,-2.1010244042766946,-2.0932402958821883
09.01.2014,22.31,22.36,22.39,22.08,1553986,22.36,-2.100493394205716,-2.1041974256028246,-2.100493394205716,-2.117909716641343,-2.1040737248280643
10.01.2014,22.42,22.83,22.88,22.32,2511578,22.83,-2.058398480605121,-2.0943499620730623,-2.058398480605121,-2.074363384753565,-2.0824068669363123
13.01.2014,22.81,22.67,22.88,22.58,1555327,22.67,-2.072728663958515,-2.0594362277402696,-2.072728663958515,-2.074363384753565,-2.058934437553581
14.01.2014,22.71,22.9,22.99,22.67,1346141,22.9,-2.052129025388011,-2.06838846731278,-2.052129025388011,-2.064587677595084,-2.0508093658441737
15.01.2014,22.99,22.95,23.09,22.9,1411054,22.95,-2.0476508430900755,-2.0433221965097497,-2.0476508430900755,-2.055700671087374,-2.0300452936979116
16.01.2014,22.86,22.83,22.94,22.75,2201462,22.83,-2.058398480605121,-2.054960107954014,-2.058398480605121,-2.0690311808489388,-2.0435870798802567
17.01.2014,22.83,22.74,22.87,22.7,1332622,22.74,-2.066459208741405,-2.0576457798257675,-2.066459208741405,-2.0752520854043355,-2.048101008607705
21.01.2014,22.77,23.26,23.26,22.77,1665132,23.26,-2.0198861128428742,-2.063017123569274,-2.0198861128428742,-2.040592760024267,-2.041781508389277
22.01.2014,23.36,23.41,23.55,23.16,2411578,23.41,-2.006451565949068,-2.0101989100914586,-2.006451565949068,-2.014820441151908,-2.00657286431518
23.01.2014,23.41,23.41,23.43,23.25,1937064,23.41,-2.006451565949068,-2.005722790305203,-2.006451565949068,-2.0254848489611605,-1.9984477926057733
24.01.2014,23.38,23.41,23.48,23.23,1944598,23.41,-2.006451565949068,-2.0084084621769565,-2.006451565949068,-2.0210413457073053,-2.0002533640967526
27.01.2014,23.47,23.48,23.63,23.33,2569370,23.48,-2.0001821107319575,-2.0003514465616967,-2.0001821107319575,-2.0077108359457405,-1.991225506641856
28.01.2014,23.52,24.0,24.03,23.52,3227167,24.0,-1.953609014833427,-1.995875326775441,-1.953609014833427,-1.972162809914901,-1.9740725774775523
29.01.2014,23.86,24.0,24.03,23.8,2082473,24.0,-1.953609014833427,-1.9654377122289035,-1.953609014833427,-1.972162809914901,-1.9487945766038415
30.01.2014,24.08,24.24,24.35,23.98,1875660,24.24,-1.9321137398033363,-1.9457427851693794,-1.9321137398033363,-1.9437243890902292,-1.9325444331850274
31.01.2014,24.06,24.25,24.38,23.92,1956672,24.25,-1.931218103343749,-1.9475332330838815,-1.931218103343749,-1.9410582871379165,-1.9379611476579655
03.02.2014,24.26,23.62,24.27,23.55,3438727,23.62,-1.9876432002977378,-1.9296287539388592,-1.9876432002977378,-1.9508339942963973,-1.9713642202410833
04.02.2014,23.61,23.74,23.78,23.34,2670816,23.74,-1.9768955627826925,-1.987818311160181,-1.9768955627826925,-1.9943803261841755,-1.9903227208963663
05.02.2014,23.72,23.89,23.93,23.64,1557804,23.89,-1.9634610158888854,-1.977970847630419,-1.9634610158888854,-1.981049816422611,-1.9632391485316762
06.02.2014,23.89,23.93,24.08,23.77,1561519,23.93,-1.9598784700505372,-1.9627520403571501,-1.9598784700505372,-1.967719306661046,-1.9515029338403107
07.02.2014,23.98,24.12,24.14,23.87,1454088,24.12,-1.9428613773183816,-1.9546950247418902,-1.9428613773183816,-1.96238710275642,-1.9424750763854137
10.02.2014,24.15,24.37,24.43,23.91,1498361,24.37,-1.9204704658287033,-1.9394762174686215,-1.9204704658287033,-1.9366147838840615,-1.9388639334034552
11.02.2014,24.37,24.39,24.52,24.23,1316522,24.39,-1.9186791929095293,-1.919781290409097,-1.9186791929095293,-1.9286164780271224,-1.9099747895477859
12.02.2014,24.45,24.49,24.55,24.28,1726020,24.49,-1.909722828313658,-1.9126194987510883,-1.909722828313658,-1.9259503760748093,-1.9054608608203374
13.02.2014,24.49,24.67,24.79,24.38,1515905,24.67,-1.8936013720410896,-1.909038602922084,-1.8936013720410896,-1.904621560456306,-1.896433003365441
14.02.2014,24.66,24.81,24.93,24.63,1766784,24.81,-1.88106246160687,-1.8938197956488152,-1.88106246160687,-1.8921797513455119,-1.8738633597281993
18.02.2014,25.0,25.23,25.27,24.59,2726544,25.23,-1.8434457303042107,-1.8633821811022775,-1.8434457303042107,-1.8619639292192982,-1.8774745027101578
19.02.2014,25.18,25.33,25.65,25.13,2817360,25.33,-1.8344893657083394,-1.8472681498717578,-1.8344893657083394,-1.8281933044900007,-1.828724072453716
20.02.2014,25.41,25.52,25.75,25.34,2442847,25.52,-1.817472272976184,-1.8266779988549824,-1.817472272976184,-1.8193062979822907,-1.809765571798433
21.02.2014,25.57,25.81,25.88,25.51,2200534,25.81,-1.7914988156481575,-1.8123544155389646,-1.7914988156481575,-1.807753189522268,-1.7944182141251084
24.02.2014,25.81,26.12,26.32,25.81,3294660,26.12,-1.7637340854009562,-1.7908690405649383,-1.7637340854009562,-1.7686503608883444,-1.7673346417604185
25.02.2014,26.21,26.4,26.82,26.18,3810350,26.4,-1.738656264532517,-1.7550600822748939,-1.738656264532517,-1.724215328349795,-1.7339315691773007
26.02.2014,26.4,26.46,26.47,26.19,2373910,26.46,-1.733282445774994,-1.738050827087123,-1.733282445774994,-1.7553198511267796,-1.733028783431811
27.02.2014,26.16,26.52,26.59,26.13,2245426,26.52,-1.7279086270174713,-1.7595362020611496,-1.7279086270174713,-1.7446554433175276,-1.7384454979047492
28.02.2014,26.52,26.52,26.8,26.47,3126960,26.52,-1.7279086270174713,-1.7273081396001098,-1.7279086270174713,-1.7259927296513369,-1.7077507825581006
03.03.2014,26.44,26.3,26.5,26.12,1855226,26.3,-1.747612629128388,-1.7344699312581184,-1.747612629128388,-1.7526537491744665,-1.7393482836502387
04.03.2014,26.36,26.47,26.62,26.31,1526431,26.47,-1.7323868093154071,-1.7416317229161276,-1.7323868093154071,-1.7419893413652145,-1.7221953544859352
05.03.2014,26.46,26.06,26.56,25.99,1673491,26.06,-1.7691079041584792,-1.7326794833436163,-1.7691079041584792,-1.7473215452698407,-1.7510844983416045
06.03.2014,26.04,25.52,26.14,25.51,3120562,25.52,-1.817472272976184,-1.770278889548163,-1.817472272976184,-1.784646972602222,-1.7944182141251084
07.03.2014,25.38,24.83,25.44,24.65,3701887,24.83,-1.8792711886876958,-1.8293636707267358,-1.8792711886876958,-1.8468560181561913,-1.87205778823722
10.03.2014,24.5,24.74,24.77,24.43,2624995,24.74,-1.88733191682398,-1.9081433789648328,-1.88733191682398,-1.9063989617578478,-1.8919190746379926
11.03.2014,24.83,25.0,25.12,24.82,2310545,25.0,-1.8640453688747145,-1.8786009883755466,-1.8640453688747145,-1.875294438980863,-1.8567104305638955
12.03.2014,25.05,25.15,25.23,25.02,2114671,25.15,-1.8506108219809076,-1.858906061316022,-1.8506108219809076,-1.8655187318223823,-1.8386547156541022
13.03.2014,25.16,25.27,25.35,25.04,2120450,25.27,-1.8398631844658622,-1.84905859778626,-1.8398631844658622,-1.8548543240131303,-1.836849144163123
14.03.2014,25.2,25.27,25.51,25.2,1480198,25.27,-1.8398631844658622,-1.8454777019572557,-1.8398631844658622,-1.8406351136007943,-1.8224045722352882
17.03.2014,25.39,25.34,25.55,25.24,2741302,25.34,-1.8335937292487523,-1.8284684467694845,-1.8335937292487523,-1.8370803109977105,-1.8187934292533297
18.03.2014,25.27,25.23,25.32,25.09,1755122,25.23,-1.8434457303042107,-1.8392111342564978,-1.8434457303042107,-1.8575204259654432,-1.8323352154356745
19.03.2014,25.14,24.43,25.36,24.37,2502187,24.43,-1.9150966470711808,-1.850849045700762,-1.9150966470711808,-1.8539656233623594,-1.8973357891109304
20.03.2014,24.42,24.32,24.44,24.07,2403734,24.32,-1.9249486481266391,-1.9153051706228414,-1.9249486481266391,-1.9357260832332903,-1.9244193614756204
21.03.2014,24.4,24.54,24.69,24.25,3598894,24.54,-1.9052446460157224,-1.917095618537344,-1.9052446460157224,-1.9135085669640155,-1.9081692180568066
24.03.2014,24.63,24.34,24.77,24.03,2246664,24.34,-1.9231573752074649,-1.8965054675205686,-1.9231573752074649,-1.9063989617578478,-1.9280305044575792
25.03.2014,24.53,24.63,24.74,24.33,1127047,24.63,-1.8971839178794383,-1.9054577070930794,-1.8971839178794383,-1.909065063710161,-1.9009469320928893
26.03.2014,24.7,24.35,24.74,24.34,1651716,24.35,-1.9222617387478775,-1.8902388998198107,-1.9222617387478775,-1.909065063710161,-1.9000441463473996
