Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2018,14.06,14.13,14.48,14.03,427900,14.13,-1.38737888963088,-1.3990532553855046,-1.38737888963088,-1.3621612297374524,-1.3686475023075224
03.01.2018,14.41,14.17,14.48,14.06,231300,14.17,-1.380798966666361,-1.3414854092108173,-1.380798966666361,-1.3621612297374524,-1.3636938909333094
04.01.2018,14.17,14.2,14.41,14.13,447800,14.2,-1.3758640244429714,-1.380960503730603,-1.3758640244429714,-1.3736253746887235,-1.352135464393479
05.01.2018,14.2,14.2,14.2,14.17,78300,14.2,-1.3758640244429714,-1.3760261169156298,-1.3758640244429714,-1.4080178095425364,-1.3455306492278618
08.01.2018,14.2,14.2,14.2,14.1,59200,14.2,-1.3758640244429714,-1.3760261169156298,-1.3758640244429714,-1.4080178095425364,-1.357089075767692
09.01.2018,14.2,14.21,14.21,14.06,224700,14.21,-1.3742190437018411,-1.3760261169156298,-1.3742190437018411,-1.4063800745494974,-1.3636938909333094
10.01.2018,13.99,14.06,14.2,13.99,367500,14.06,-1.3988937548187892,-1.4105668246204421,-1.3988937548187892,-1.4080178095425364,-1.3752523174731397
11.01.2018,14.06,14.06,14.06,13.96,37800,14.06,-1.3988937548187892,-1.3990532553855046,-1.3988937548187892,-1.4309460994450782,-1.3802059288473525
12.01.2018,14.06,14.05,14.06,13.71,1109300,14.05,-1.400538735559919,-1.3990532553855046,-1.400538735559919,-1.4309460994450782,-1.4214860236324607
16.01.2018,14.41,15.12,16.16,14.41,2005000,15.12,-1.2245257962590237,-1.3414854092108173,-1.2245257962590237,-1.0870217509069495,-1.305901758234158
17.01.2018,14.94,14.96,14.98,14.94,233000,14.96,-1.2508454881171014,-1.2543112421462905,-1.2508454881171014,-1.280274480085517,-1.218387957289729
18.01.2018,14.94,14.76,15.01,14.75,634400,14.76,-1.2837451029396987,-1.2543112421462905,-1.2837451029396987,-1.275361275106401,-1.2497608293264109
19.01.2018,14.66,14.59,14.76,14.59,955700,14.59,-1.3117097755389064,-1.3003655190860404,-1.3117097755389064,-1.3163046499323687,-1.2761800899888802
22.01.2018,14.59,16.16,16.16,14.27,3600,16.16,-1.0534477991815174,-1.3118790883209779,-1.0534477991815174,-1.0870217509069495,-1.3290186113138187
23.01.2018,14.76,14.76,15.12,14.76,127300,14.76,-1.2837451029396987,-1.2839175630361297,-1.2837451029396987,-1.2573461901829752,-1.2481096255350066
24.01.2018,14.59,14.76,14.83,13.71,20000,14.76,-1.2837451029396987,-1.3118790883209779,-1.2837451029396987,-1.3048405049810976,-1.4214860236324607
25.01.2018,14.87,14.72,14.87,14.72,73500,14.72,-1.290325025904218,-1.265824811381228,-1.290325025904218,-1.298289565008943,-1.2547144407006239
26.01.2018,14.76,14.83,14.83,14.76,5000,14.83,-1.2722302377517896,-1.2839175630361297,-1.2722302377517896,-1.3048405049810976,-1.2481096255350066
29.01.2018,14.48,14.83,14.83,14.48,24900,14.83,-1.2722302377517896,-1.3299718399758798,-1.2722302377517896,-1.3048405049810976,-1.2943433316943276
30.01.2018,14.8,14.8,14.83,14.76,40100,14.8,-1.277165179975179,-1.2773383806161653,-1.277165179975179,-1.3048405049810976,-1.2481096255350066
31.01.2018,14.8,15.47,16.15,14.69,643200,15.47,-1.166951470319478,-1.2773383806161653,-1.166951470319478,-1.0886594858999883,-1.259668052074837
01.02.2018,14.82,14.69,15.0,14.53,24638300,14.69,-1.2952599681276078,-1.2740487894061832,-1.2952599681276078,-1.2769990100994397,-1.2860873127373063
02.02.2018,14.59,14.77,14.83,14.34,4923100,14.77,-1.2821001221985688,-1.3118790883209779,-1.2821001221985688,-1.3048405049810976,-1.3174601847739884
05.02.2018,14.61,14.49,14.83,13.0,4454000,14.49,-1.328159582950205,-1.308589497110996,-1.328159582950205,-1.3048405049810976,-1.538721492822168
06.02.2018,14.23,14.41,14.7,13.71,9323000,14.41,-1.341319428879244,-1.3710917301006564,-1.341319428879244,-1.3261310598906009,-1.4214860236324607
07.02.2018,14.28,14.6,14.72,14.28,15743200,14.6,-1.3100647947977766,-1.3628677520757013,-1.3100647947977766,-1.3228555899045233,-1.3273674075224144
08.02.2018,14.45,14.06,14.55,13.99,7726200,14.06,-1.3988937548187892,-1.3349062267908531,-1.3988937548187892,-1.3506970847861814,-1.3752523174731397
09.02.2018,14.06,14.0,14.27,13.37,5664400,14.0,-1.4087636392655685,-1.3990532553855046,-1.4087636392655685,-1.3965536645912653,-1.4776269525402081
12.02.2018,14.03,13.77,14.06,13.6,2149100,13.77,-1.4465981963115555,-1.403987642200478,-1.4465981963115555,-1.4309460994450782,-1.4396492653379085
13.02.2018,13.85,13.85,13.89,13.64,1396400,13.85,-1.4334383503825165,-1.4335939630903172,-1.4334383503825165,-1.458787594326736,-1.433044450172291
14.02.2018,13.83,13.82,13.91,13.58,2311500,13.82,-1.438373292605906,-1.4368835543002993,-1.438373292605906,-1.4555121243406588,-1.442951672920717
15.02.2018,13.93,13.96,14.03,13.68,2318700,13.96,-1.4153435622300878,-1.4204355982503887,-1.4153435622300878,-1.4358593044241945,-1.426439635006674
16.02.2018,13.99,14.05,14.07,13.82,1168600,14.05,-1.400538735559919,-1.4105668246204421,-1.400538735559919,-1.4293083644520395,-1.403322781927013
20.02.2018,13.96,14.06,14.12,13.96,2273500,14.06,-1.3988937548187892,-1.4155012114354153,-1.3988937548187892,-1.421119689486846,-1.3802059288473525
21.02.2018,14.05,13.83,14.06,13.78,2484500,13.83,-1.4367283118647762,-1.4006980509904956,-1.4367283118647762,-1.4309460994450782,-1.4099275970926306
22.02.2018,13.86,13.95,14.06,13.84,2713600,13.95,-1.416988542971218,-1.4319491674853262,-1.416988542971218,-1.4309460994450782,-1.4000203743442046
