Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,25.97,25.73,25.98,25.68,4737500,25.73,-0.12108109926865354,-0.0814059217018788,-0.12108109926865354,-0.11452835941815229,-0.09310044302506669
03.01.2014,25.85,25.67,25.9,25.66,5531200,25.67,-0.13171850175488362,-0.10266566517562453,-0.13171850175488362,-0.12869290097985958,-0.09665067780400552
06.01.2014,25.8,25.74,25.87,25.69,5735900,25.74,-0.11930819885428218,-0.1115238916230189,-0.11930819885428218,-0.13400460406549927,-0.09132532563559696
07.01.2014,26.02,26.04,26.09,25.92,7513500,26.04,-0.06612118642313058,-0.07254769525448442,-0.06612118642313058,-0.09505211477080532,-0.05049762567779947
08.01.2014,26.1,26.14,26.18,26.03,6801800,26.14,-0.04839218227941318,-0.058374532938653294,-0.04839218227941318,-0.079117005513885,-0.03097133439363559
09.01.2014,26.29,26.2,26.38,26.16,7556500,26.2,-0.03775477979318311,-0.024713272438555558,-0.03775477979318311,-0.04370565160961771,-0.007894808330532877
10.01.2014,26.34,26.39,26.39,26.27,5310100,26.39,-0.004069671920120295,-0.015855045991161183,-0.004069671920120295,-0.04193508391440406,0.011631482953631004
13.01.2014,26.03,25.82,26.22,25.8,8277700,25.82,-0.10512499553930812,-0.07077604996500529,-0.10512499553930812,-0.07203473473303167,-0.07179903435143307
14.01.2014,25.97,25.93,25.98,25.81,6072200,25.93,-0.08562309098121935,-0.0814059217018788,-0.08562309098121935,-0.11452835941815229,-0.07002391696196399
15.01.2014,25.97,25.8,26.0,25.78,6437200,25.8,-0.10867079636805148,-0.0814059217018788,-0.10867079636805148,-0.11098722402772562,-0.0753492691303719
16.01.2014,25.79,25.7,25.81,25.64,4549800,25.7,-0.12639980051176888,-0.11329553691249804,-0.12639980051176888,-0.1446280102367799,-0.10020091258294435
17.01.2014,25.78,25.85,26.0,25.75,5872700,25.85,-0.09980629429619278,-0.11506718220197652,-0.09980629429619278,-0.11098722402772562,-0.08067462129878047
21.01.2014,26.08,26.03,26.11,25.93,5103100,26.03,-0.06789408683750195,-0.06191782351761155,-0.06789408683750195,-0.09151097938037864,-0.04872250828833037
22.01.2014,26.22,26.3,26.37,26.11,8903400,26.3,-0.02002577564946571,-0.03711478946490755,-0.02002577564946571,-0.04547621930483073,-0.016770395277880268
23.01.2014,26.26,26.08,26.27,25.97,5949900,26.08,-0.05902958476564388,-0.030028208306991676,-0.05902958476564388,-0.06318189625696469,-0.04162203873045271
24.01.2014,26.08,25.61,26.09,25.6,8983500,25.61,-0.1423559042411143,-0.06191782351761155,-0.1423559042411143,-0.09505211477080532,-0.10730138214082201
27.01.2014,25.48,25.34,25.56,25.24,4921600,25.34,-0.19022421542915055,-0.16821654088634214,-0.19022421542915055,-0.18889220261711417,-0.17120560816172284
28.01.2014,25.44,25.46,25.52,25.38,2641700,25.46,-0.1689494104566898,-0.17530312204425738,-0.1689494104566898,-0.1959744733979675,-0.1463539647091504
29.01.2014,25.24,25.35,25.46,25.19,4831600,25.35,-0.18845131501477855,-0.21073602783383488,-0.18845131501477855,-0.2065978795692475,-0.18008119510906961
