Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,79.22,79.02,79.49,78.74,4540300,79.02,-0.5979152297219087,-0.5919913955047219,-0.5979152297219087,-0.6068012187408306,-0.5824142594989395
03.01.2014,79.31,79.15,79.49,78.84,3506000,79.15,-0.5938780579057011,-0.5891974880821835,-0.5938780579057011,-0.6068012187408306,-0.5792783068098244
06.01.2014,79.3,78.94,79.44,78.62,4252300,78.94,-0.6003996431472669,-0.5895079222402435,-0.6003996431472669,-0.608339586553387,-0.5861774027258772
07.01.2014,79.19,79.61,79.77,78.7,4563300,79.61,-0.5795926807098912,-0.5929226979789013,-0.5795926807098912,-0.5981863589905138,-0.5836686405745853
08.01.2014,79.21,78.48,79.22,78.13,8282500,78.48,-0.6146850203430768,-0.5923018296627818,-0.6146850203430768,-0.6151084049286359,-0.6015435709025407
09.01.2014,78.56,78.48,78.56,77.67,5643500,78.48,-0.6146850203430768,-0.6124800499366685,-0.6146850203430768,-0.6354148600543824,-0.6159689532724694
10.01.2014,77.97,77.02,78.19,76.62,8127500,77.02,-0.6600255653558658,-0.6307956652621967,-0.6600255653558658,-0.6467987818673012,-0.6488964565081763
13.01.2014,76.9,75.9,76.95,75.75,6504200,75.9,-0.6948073533108814,-0.6640121201745949,-0.6948073533108814,-0.6849503036187038,-0.6761792449034765
14.01.2014,76.0,76.11,76.22,75.62,6904600,76.11,-0.6882857680693161,-0.691951194399977,-0.6882857680693161,-0.7074104736820298,-0.6802559833993258
15.01.2014,76.18,75.86,76.43,75.78,5829300,75.86,-0.6960495600235607,-0.6863633795549003,-0.6960495600235607,-0.700949328869292,-0.675238459096742
16.01.2014,75.81,75.64,75.93,75.23,5041100,75.64,-0.7028816969432959,-0.6978494434031131,-0.7028816969432959,-0.7163330069948576,-0.6924861988868741
17.01.2014,75.76,75.93,76.62,75.58,7199700,75.93,-0.693875698276372,-0.699401614193412,-0.693875698276372,-0.6951035311815771,-0.6815103644749719
21.01.2014,76.85,76.61,76.95,76.07,5602300,76.61,-0.6727581841608268,-0.6655642909648942,-0.6727581841608268,-0.6849503036187038,-0.6661441962983088
22.01.2014,76.71,76.65,76.87,76.36,4977500,76.65,-0.6715159774481475,-0.6699103691777315,-0.6715159774481475,-0.6874116921187943,-0.6570499334998753
23.01.2014,76.28,75.36,76.29,75.27,6205800,75.36,-0.71157714393205,-0.6832590379743025,-0.71157714393205,-0.7052567587444504,-0.6912318178112283
24.01.2014,75.03,74.02,75.2,74.0,7094900,74.02,-0.7531910688068013,-0.7220633077317774,-0.7531910688068013,-0.7387931770581836,-0.7310584169629881
27.01.2014,74.0,74.11,74.63,73.76,6179500,74.11,-0.7503961037032731,-0.7540380260119367,-0.7503961037032731,-0.7563305701213286,-0.7385847034168639
28.01.2014,74.29,74.37,74.49,73.88,4303700,74.37,-0.7423217600708586,-0.7450354354282023,-0.7423217600708586,-0.760637999996487,-0.7348215601899262
29.01.2014,73.92,73.84,74.4,73.65,5522100,73.84,-0.7587809990138572,-0.756521499276415,-0.7587809990138572,-0.7634070620590885,-0.7420342513748903
30.01.2014,74.03,74.12,74.45,73.31,5538700,74.12,-0.7500855520251032,-0.7531067235377572,-0.7500855520251032,-0.761868694246532,-0.7526964905178812
31.01.2014,72.5,71.05,72.5,70.72,15523500,71.05,-0.8454249172232274,-0.8006031497209064,-0.8454249172232274,-0.8218650389362381,-0.8339176651659586
03.02.2014,71.51,70.74,71.58,70.36,11275300,70.74,-0.8550520192464909,-0.8313361313688263,-0.8550520192464909,-0.850171006687279,-0.8452070948467724
04.02.2014,71.2,70.54,71.31,70.33,9717200,70.54,-0.8612630528098862,-0.8409595902686802,-0.8612630528098862,-0.8584781928750843,-0.8461478806535069
05.02.2014,70.65,69.71,70.65,69.55,10562900,69.71,-0.8870388420979788,-0.858033468961969,-0.8870388420979788,-0.8787846480008308,-0.8706083116286035
06.02.2014,70.09,70.82,70.88,69.96,7983300,70.82,-0.8525676058211327,-0.8754177818133178,-0.8525676058211327,-0.871708156063071,-0.8577509056032323
07.02.2014,71.23,71.32,71.37,70.26,7071800,71.32,-0.8370400219126434,-0.8400282877945007,-0.8370400219126434,-0.8566321515000163,-0.8483430475358872
10.02.2014,71.59,71.09,71.59,70.7,9251300,71.09,-0.8441827105105482,-0.8288526581043479,-0.8441827105105482,-0.8498633331247675,-0.8345448557037815
11.02.2014,71.31,72.29,72.48,71.26,6874700,72.29,-0.8069165091301739,-0.8375448145300224,-0.8069165091301739,-0.8224803860612606,-0.8169835206447377
12.02.2014,72.49,71.94,72.49,71.8,6422100,71.94,-0.8177858178661166,-0.8009135838789664,-0.8177858178661166,-0.8221727124987496,-0.8000493761235171
13.02.2014,71.75,72.25,72.4,71.4,5061600,72.25,-0.8081587158428531,-0.8238857115753914,-0.8081587158428531,-0.8249417745613511,-0.8125931868799767
14.02.2014,72.29,72.87,73.1,71.66,6776400,72.87,-0.7889045117963264,-0.807122267040162,-0.7889045117963264,-0.8034046251855596,-0.8044397098882781
18.02.2014,73.12,72.38,73.28,72.31,6106600,72.38,-0.804121544026646,-0.7813562319211987,-0.804121544026646,-0.7978665010603556,-0.7840560174090307
19.02.2014,72.28,72.95,73.88,72.22,7989900,72.95,-0.7864200983709682,-0.807432701198222,-0.7864200983709682,-0.7794060873096771,-0.7868783748292343
20.02.2014,72.89,73.59,74.06,72.63,8406900,73.59,-0.7665447909681018,-0.7884962175565743,-0.7665447909681018,-0.7738679631844733,-0.7740209688038631
21.02.2014,73.67,72.36,73.68,72.31,9221100,72.36,-0.8047426473829855,-0.7642823532279099,-0.8047426473829855,-0.785559558559903,-0.7840560174090307
24.02.2014,72.8,73.3,73.85,72.6,7337900,73.3,-0.7755507896350258,-0.7912901249791126,-0.7755507896350258,-0.780329107997211,-0.7749617546105976
25.02.2014,73.44,73.83,74.13,73.36,5976100,73.83,-0.7590915506920272,-0.7714223388632855,-0.7590915506920272,-0.7717142482468943,-0.7511285141733238
26.02.2014,73.73,74.18,74.4,73.46,6113800,74.18,-0.7482222419560844,-0.7624197482795511,-0.7482222419560844,-0.7634070620590885,-0.747992561484209
27.02.2014,74.27,74.29,74.38,73.57,4922600,74.29,-0.7448061734962168,-0.7456563037443222,-0.7448061734962168,-0.7640224091841115,-0.7445430135261826
28.02.2014,74.41,74.06,74.97,73.73,6944600,74.06,-0.7519488620941219,-0.7413102255314851,-0.7519488620941219,-0.7458696689959439,-0.7395254892235984
03.03.2014,73.71,73.75,74.61,73.37,6046200,73.75,-0.7615759641173854,-0.763040616595671,-0.7615759641173854,-0.7569459172463511,-0.7508149189044122
04.03.2014,74.42,74.05,74.66,74.02,5611500,74.05,-0.7522594137722919,-0.7409997913734251,-0.7522594137722919,-0.7554075494337946,-0.7304312264251652
05.03.2014,73.9,73.48,74.02,73.21,6703700,73.48,-0.7699608594279694,-0.7571423675925345,-0.7699608594279694,-0.7750986574345187,-0.7558324432069964
06.03.2014,73.66,73.75,73.95,73.43,5179600,73.75,-0.7615759641173854,-0.7645927873859699,-0.7615759641173854,-0.7772523723720977,-0.7489333472909431
07.03.2014,73.89,73.9,74.46,73.62,5055600,73.9,-0.7569176889448385,-0.7574528017505944,-0.7569176889448385,-0.761561020684021,-0.7429750371816248
10.03.2014,74.14,74.39,74.45,73.28,6203000,74.39,-0.7417006567145191,-0.7496919477990994,-0.7417006567145191,-0.761868694246532,-0.7536372763246157
11.03.2014,74.43,73.53,74.64,73.36,6274300,73.53,-0.7684081010371206,-0.7406893572153651,-0.7684081010371206,-0.7560228965588172,-0.7511285141733238
12.03.2014,73.3,74.27,74.72,73.29,6812900,74.27,-0.7454272768525567,-0.7757684170761227,-0.7454272768525567,-0.7535615080587267,-0.753323681055704
13.03.2014,74.23,73.5,74.33,73.28,5405100,73.5,-0.76933975607163,-0.7468980403765612,-0.76933975607163,-0.7655607769966679,-0.7536372763246157
14.03.2014,73.44,73.27,73.78,73.0,6280000,73.27,-0.7764824446695352,-0.7714223388632855,-0.7764824446695352,-0.78248282293479,-0.7624179438541376
17.03.2014,73.37,73.89,74.04,73.29,5894500,73.89,-0.7572282406230084,-0.7735953779697038,-0.7572282406230084,-0.7744833103094957,-0.753323681055704
18.03.2014,74.25,74.65,74.85,73.98,6329600,74.65,-0.7336263130821046,-0.7462771720604418,-0.7336263130821046,-0.7495617517460798,-0.731685607500811
19.03.2014,74.41,73.98,74.97,73.63,5569600,73.98,-0.7544332755194801,-0.7413102255314851,-0.7544332755194801,-0.7458696689959439,-0.7426614419127135
20.03.2014,73.75,74.18,74.54,73.41,5280600,74.18,-0.7482222419560844,-0.7617988799634317,-0.7482222419560844,-0.7590996321839301,-0.7495605378287664
21.03.2014,74.68,74.25,75.78,74.22,14893600,74.25,-0.7460483802088961,-0.7329285032638702,-0.7460483802088961,-0.7209481104325275,-0.7241593210469353
24.03.2014,74.49,74.39,74.93,74.27,5386900,74.39,-0.7417006567145191,-0.7388267522670067,-0.7417006567145191,-0.7471003632459888,-0.7225913447023778
25.03.2014,74.64,75.19,75.26,74.63,5573000,75.19,-0.7168565224609363,-0.7341702398961095,-0.7168565224609363,-0.7369471356831157,-0.711301915021564
26.03.2014,75.65,75.59,75.96,75.36,5971600,75.59,-0.7044344553341448,-0.7028163899320697,-0.7044344553341448,-0.7154099863073241,-0.6884094603910248
27.03.2014,75.61,75.56,75.77,75.02,5224600,75.56,-0.7053661103686542,-0.7040581265643091,-0.7053661103686542,-0.721255783995039,-0.6990716995340157
28.03.2014,75.86,76.1,76.13,75.58,5875100,76.1,-0.688596319747486,-0.6962972726128142,-0.688596319747486,-0.7101795357446317,-0.6815103644749719
31.03.2014,76.28,76.36,76.82,76.09,5482700,76.36,-0.6805219761150715,-0.6832590379743025,-0.6805219761150715,-0.6889500599313512,-0.6655170057604856
01.04.2014,76.51,76.42,76.81,76.31,5391400,76.42,-0.6786586660460526,-0.6761190523389271,-0.6786586660460526,-0.6892577334938622,-0.6586179098444327
02.04.2014,76.11,76.64,76.76,76.11,4505600,76.64,-0.6718265291263175,-0.6885364186613192,-0.6718265291263175,-0.6907961013064187,-0.6648898152226627
03.04.2014,76.92,76.44,76.92,76.35,4446400,76.44,-0.6780375626897133,-0.6633912518584755,-0.6780375626897133,-0.6858733243062378,-0.6573635287687869
04.04.2014,76.9,76.29,76.9,76.15,5301300,76.29,-0.6826958378622597,-0.6640121201745949,-0.6826958378622597,-0.6864886714312602,-0.6636354341470164
07.04.2014,75.98,75.35,76.3,75.35,5241300,75.35,-0.7118876956102199,-0.6925720627160964,-0.7118876956102199,-0.7049490851819393,-0.6887230556599364
08.04.2014,75.56,75.65,75.97,75.25,4706100,75.65,-0.702571145265126,-0.705610297354608,-0.702571145265126,-0.7151023127448126,-0.6918590083490512
09.04.2014,75.67,76.48,76.58,75.51,5376500,76.48,-0.6767953559770339,-0.7021955216159502,-0.6767953559770339,-0.6963342254316225,-0.6837055313573522
10.04.2014,75.26,74.93,75.81,74.84,8769200,74.93,-0.7249308660933506,-0.7149233220964019,-0.7249308660933506,-0.7200250897449935,-0.7047164143744225
11.04.2014,74.81,75.15,75.6,74.81,7028800,75.15,-0.7180987291736153,-0.7288928592090929,-0.7180987291736153,-0.7264862345577313,-0.705657200181157
14.04.2014,75.67,76.22,76.31,75.35,6817700,76.22,-0.6848696996094484,-0.7021955216159502,-0.6848696996094484,-0.7046414116194278,-0.6887230556599364
15.04.2014,76.23,77.25,77.26,75.99,7681900,77.25,-0.6528828767579605,-0.6848112087646014,-0.6528828767579605,-0.675412423180853,-0.6686529584496007
16.04.2014,77.64,78.23,78.42,77.64,7277000,78.23,-0.6224488122973215,-0.64103999247817,-0.6224488122973215,-0.6397222899295408,-0.6169097390792039
17.04.2014,78.16,79.42,79.53,78.16,8604900,79.42,-0.5854931625951171,-0.6248974162590606,-0.5854931625951171,-0.6055705244907852,-0.6006027850958062
21.04.2014,79.02,79.78,79.89,79.02,6351100,79.78,-0.5743133021810048,-0.598200078665918,-0.5743133021810048,-0.5944942762403779,-0.5736335919694177
22.04.2014,79.54,79.63,79.85,79.38,5849200,79.63,-0.5789715773535518,-0.5820575024468081,-0.5789715773535518,-0.5957249704904234,-0.5623441622886038
23.04.2014,79.75,80.07,80.24,79.75,5596300,80.07,-0.5653073035140813,-0.5755383851275525,-0.5653073035140813,-0.5837257015524822,-0.5507411373388784
24.04.2014,80.17,79.82,80.22,79.72,5185300,79.82,-0.5730710954683259,-0.5625001504890409,-0.5730710954683259,-0.5843410486775046,-0.5516819231456129
25.04.2014,79.78,79.62,80.08,79.36,5776300,79.62,-0.5792821290317213,-0.5746070826533731,-0.5792821290317213,-0.588648478552663,-0.5629713528264267
28.04.2014,79.8,80.74,80.95,79.79,7687800,80.74,-0.5445003410767056,-0.5739862143372536,-0.5445003410767056,-0.5618808786141787,-0.5494867562632322
29.04.2014,80.86,80.89,81.73,80.76,6666800,80.89,-0.5398420659041587,-0.5410801935829149,-0.5398420659041587,-0.5378823407382962,-0.5190680151788172
30.04.2014,80.76,80.6,80.9,80.47,6123500,80.6,-0.5488480645710827,-0.5441845351635127,-0.5488480645710827,-0.5634192464267351,-0.5281622779772508
01.05.2014,80.69,80.23,80.76,79.81,6379600,80.23,-0.5603384766633644,-0.5463575742699315,-0.5603384766633644,-0.5677266763018936,-0.5488595657254094
02.05.2014,79.56,80.09,80.78,79.36,5406100,80.09,-0.5646862001577414,-0.5814366341306886,-0.5646862001577414,-0.567111329176871,-0.5629713528264267
05.05.2014,80.15,80.5,80.82,79.85,4224400,80.5,-0.5519535813527804,-0.5631210188051604,-0.5519535813527804,-0.565880634926826,-0.5476051846497636
06.05.2014,80.27,80.25,80.71,79.96,5600000,80.25,-0.559717373307025,-0.5593958089084431,-0.559717373307025,-0.5692650441144504,-0.5441556366917372
07.05.2014,80.88,81.06,81.41,80.68,5436000,81.06,-0.5345626873752723,-0.5404593252667954,-0.5345626873752723,-0.5477278947386585,-0.5215767773301091
08.05.2014,80.72,80.33,81.0,80.19,5009800,80.33,-0.5572329598816668,-0.5454262717957521,-0.5572329598816668,-0.5603425108016222,-0.5369429455067727
09.05.2014,80.52,80.29,80.96,80.04,4826100,80.29,-0.5584751665943456,-0.5516349549569481,-0.5584751665943456,-0.5615732050516676,-0.5416468745404448
12.05.2014,80.64,80.42,80.64,80.03,4914700,80.42,-0.5544379947781386,-0.5479097450602304,-0.5544379947781386,-0.5714187590520294,-0.5419604698093565
13.05.2014,80.64,80.82,80.91,80.25,4415200,80.82,-0.5420159276513474,-0.5479097450602304,-0.5420159276513474,-0.5631115728642241,-0.5350613738933037
14.05.2014,81.0,81.18,81.41,80.76,4961400,81.18,-0.5308360672372348,-0.5367341153700776,-0.5308360672372348,-0.5477278947386585,-0.5190680151788172
15.05.2014,81.07,80.19,81.28,80.02,5939500,80.19,-0.5615806833760437,-0.5345610762636593,-0.5615806833760437,-0.5517276510513054,-0.5422740650782681
16.05.2014,80.28,79.78,80.53,79.59,6435100,79.78,-0.5743133021810048,-0.5590853747503831,-0.5743133021810048,-0.5748031682396538,-0.5557586616414623
19.05.2014,79.63,79.63,79.93,79.56,4042300,79.63,-0.5789715773535518,-0.5792635950242703,-0.5789715773535518,-0.5932635819903325,-0.5566994474481968
20.05.2014,79.63,79.34,79.73,79.17,4044400,79.34,-0.5879775760204753,-0.5792635950242703,-0.5879775760204753,-0.5994170532405588,-0.5689296629357451
21.05.2014,79.66,80.41,80.54,79.62,4758700,80.41,-0.5547485464563086,-0.5783322925500908,-0.5547485464563086,-0.5744954946771423,-0.5548178758347276
22.05.2014,80.37,80.07,80.57,80.02,3262700,80.07,-0.5653073035140813,-0.5562914673278448,-0.5653073035140813,-0.5735724739896089,-0.5422740650782681
