Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,63.79,63.26,63.9,63.03,11028100,63.26,-0.13019132516024978,-0.10561183092760981,-0.13019132516024978,-0.12785005135401242,-0.11287675284630344
03.01.2014,63.27,63.1,63.52,62.87,9295600,63.1,-0.13753426138664285,-0.12950396354551777,-0.13753426138664285,-0.14513428666116057,-0.12029495639862975
06.01.2014,63.38,63.2,63.5,62.71,11848500,63.2,-0.13294492624514703,-0.12444985856865262,-0.13294492624514703,-0.1460439832562738,-0.12771315995095575
07.01.2014,63.17,64.09,64.19,63.05,11187000,64.09,-0.09209984348583466,-0.1340986044335771,-0.09209984348583466,-0.11465945072487291,-0.11194947740226285
08.01.2014,64.17,63.88,64.17,63.51,11180400,63.88,-0.10173744728297582,-0.0881521955529845,-0.10173744728297582,-0.1155691473199858,-0.09062214218932514
09.01.2014,63.54,63.26,63.66,62.8,11674300,63.26,-0.13019132516024978,-0.11709843314775796,-0.13019132516024978,-0.13876641049536936,-0.12354042045277246
10.01.2014,63.41,63.74,63.81,62.86,10535400,63.74,-0.10816251648106992,-0.12307146630223512,-0.10816251648106992,-0.13194368603202106,-0.12075859412065004
13.01.2014,63.36,62.49,63.48,62.32,12110900,62.49,-0.165529205749767,-0.12536878674626462,-0.165529205749767,-0.14695367985138702,-0.14579503110975076
14.01.2014,62.65,62.86,62.95,62.56,9265000,62.86,-0.1485486657262328,-0.15799073705148542,-0.1485486657262328,-0.17106063962188314,-0.13466772578126143
15.01.2014,62.88,62.64,63.0,62.54,9425500,62.64,-0.1586452030375234,-0.14742306300894892,-0.1586452030375234,-0.1687863981341006,-0.13559500122530235
16.01.2014,62.65,62.74,62.8,62.3,9421700,62.74,-0.1540558678960276,-0.15799073705148542,-0.1540558678960276,-0.17788336408523145,-0.14672230655379165
17.01.2014,62.89,62.88,63.63,62.57,15998000,62.88,-0.1476307986979335,-0.1469635989201431,-0.1476307986979335,-0.1401309553880387,-0.13420408805924114
21.01.2014,62.51,62.46,62.71,62.17,13847300,62.46,-0.1669060062922158,-0.1644232342947684,-0.1669060062922158,-0.1819769987632401,-0.15274959694005644
22.01.2014,62.7,62.07,62.75,62.04,11642800,62.07,-0.18480441334404932,-0.1556934166074556,-0.18480441334404932,-0.180157605573014,-0.15877688732632156
23.01.2014,61.67,61.49,61.76,60.88,15393200,61.49,-0.2114225571647247,-0.20301821775446602,-0.2114225571647247,-0.22518758703111116,-0.21255886308068594
24.01.2014,60.99,60.15,61.04,60.13,14584300,60.15,-0.2729196480607681,-0.23426177579326898,-0.2729196480607681,-0.2579366644551817,-0.24733169223221477
27.01.2014,60.29,60.19,60.61,60.08,12474600,60.19,-0.27108391400416987,-0.26642426200968394,-0.27108391400416987,-0.27749514125011276,-0.24964988084231687
28.01.2014,60.46,60.66,60.83,60.1,10773600,60.66,-0.2495140388391398,-0.2586133724999831,-0.2495140388391398,-0.26748847870386905,-0.24872260539827598
29.01.2014,60.2,60.31,61.0,60.02,13191500,60.31,-0.2655767118343747,-0.2705594388089371,-0.2655767118343747,-0.2597560576454078,-0.25243170717443897
30.01.2014,59.61,59.6,60.21,59.01,14628400,59.6,-0.2981609913389947,-0.2976678200484869,-0.2981609913389947,-0.29568907315237414,-0.299259117098498
31.01.2014,58.88,58.44,59.15,58.15,17361400,58.44,-0.3513972789803458,-0.33120869853131935,-0.3513972789803458,-0.3439029926933671,-0.33913196119225103
03.02.2014,58.29,57.1,58.54,56.84,20377900,57.1,-0.4128943698763889,-0.3583170797708692,-0.4128943698763889,-0.37164873884431576,-0.3998685027769211
04.02.2014,57.31,57.08,57.48,56.69,17414400,57.08,-0.4138122369046882,-0.40334456047384976,-0.4138122369046882,-0.4198626583853087,-0.4068230686072271
05.02.2014,57.27,56.81,57.46,56.68,16393600,56.81,-0.4262034417867266,-0.40518241682907347,-0.4262034417867266,-0.4207723549804216,-0.4072867063292474
06.02.2014,57.16,57.35,57.59,57.0,13646100,57.35,-0.40142103202264945,-0.41023652180593895,-0.40142103202264945,-0.4148593271121865,-0.3924502992245951
07.02.2014,57.55,57.85,57.88,57.32,12573800,57.85,-0.3784743563151706,-0.39231742234250777,-0.3784743563151706,-0.40166872648304697,-0.3776138921199428
10.02.2014,57.76,57.17,57.81,57.07,12237700,57.17,-0.40968183527734187,-0.3826686764775833,-0.40968183527734187,-0.40485266456594277,-0.3892048351704524
11.02.2014,57.2,58.01,58.12,57.09,13422800,58.01,-0.3711314200887776,-0.40839866545071496,-0.3711314200887776,-0.39075236734169033,-0.3882775597264115
