Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
06.01.2014,85.24,83.84,85.49,83.84,19619510,83.84,-0.8856698931919724,-0.8648328409621041,-0.8856698931919724,-0.8737855355329038,-0.8734711246841187
08.01.2014,84.69,84.96,85.24,84.31,20464840,84.96,-0.8698856891803333,-0.8725718768388026,-0.8698856891803333,-0.8772591443642506,-0.866742678599243
09.01.2014,85.24,85.99,86.47,85.01,33292350,85.99,-0.8553698587053437,-0.8648328409621041,-0.8553698587053437,-0.8601689889140247,-0.8567215886855983
10.01.2014,85.86,86.65,86.65,85.3,34861530,86.65,-0.8460684527699132,-0.8561088368829166,-0.8460684527699132,-0.857667990555455,-0.8525699942928028
13.01.2014,86.73,86.1,87.37,86.04,29817460,86.1,-0.8538196243827719,-0.8438670892234116,-0.8538196243827719,-0.8476639971211765,-0.841976270669807
14.01.2014,85.66,85.18,85.75,84.8,34471040,85.18,-0.8667852205351897,-0.8589230317471707,-0.8667852205351897,-0.8701729823483032,-0.8597279156596919
15.01.2014,85.89,85.17,86.11,84.95,35991960,85.17,-0.8669261509281508,-0.8556867076532785,-0.8669261509281508,-0.8651709856311639,-0.8575805392496251
16.01.2014,85.53,85.11,85.82,84.06,47980910,85.11,-0.8677717332859173,-0.8607522584089357,-0.8677717332859173,-0.8692003718755262,-0.8703216392826876
17.01.2014,85.09,85.05,85.99,84.79,34589630,85.05,-0.8686173156436836,-0.8669434871102945,-0.8686173156436836,-0.8668383178702104,-0.8598710740870295
20.01.2014,85.13,86.63,86.7,84.82,29649680,86.63,-0.8463503135558355,-0.8663806481374438,-0.8463503135558355,-0.8569732687891857,-0.8594415988050164
21.01.2014,86.8,90.33,90.39,86.72,86201740,90.33,-0.7942060681602415,-0.8428821210209229,-0.7942060681602415,-0.8057028024385083,-0.832241497610838
22.01.2014,90.33,90.6,92.42,89.38,117292870,90.6,-0.7904009475502929,-0.7932115816668396,-0.7904009475502929,-0.777497098727973,-0.7941613559389884
23.01.2014,89.94,90.38,92.06,89.94,62761100,90.38,-0.7935014161954362,-0.7986992616521349,-0.7935014161954362,-0.7824990954451123,-0.7861444840080727
24.01.2014,89.47,90.94,92.61,89.3,97512190,90.94,-0.7856093141896165,-0.8053126195831318,-0.7856093141896165,-0.7748571560161496,-0.7953066233576906
27.01.2014,90.51,91.62,92.11,90.38,73882710,91.62,-0.7760260474682641,-0.7906788062890109,-0.7760260474682641,-0.781804373678843,-0.7798455132052103
28.01.2014,91.54,91.39,92.52,90.9,67937000,91.39,-0.7792674465063687,-0.7761857027381027,-0.7792674465063687,-0.7761076551954345,-0.7724012749836456
29.01.2014,91.72,91.62,92.96,91.44,90734780,91.62,-0.7760260474682641,-0.7736529273602742,-0.7760260474682641,-0.7699941036522643,-0.7646707199074055
30.01.2014,91.59,91.31,92.5,89.71,90316050,91.31,-0.7803948896500571,-0.7754821540220392,-0.7803948896500571,-0.7763855439019421,-0.7894371278368416
31.01.2014,91.33,89.92,91.73,89.58,49133340,89.92,-0.7999842142716451,-0.7791406073455696,-0.7999842142716451,-0.7870842591024899,-0.7912981873922328
03.02.2014,90.17,87.76,90.49,87.72,56886580,87.76,-0.830425179151235,-0.7954629375582427,-0.830425179151235,-0.8043133589059697,-0.8179256548770599
04.02.2014,86.97,87.35,87.85,86.07,60737490,87.35,-0.8362033252626389,-0.8404900553863068,-0.8362033252626389,-0.8409946681649909,-0.8415467953877938
05.02.2014,87.59,87.97,88.49,87.23,46415630,87.97,-0.8274656408990527,-0.8317660513071194,-0.8274656408990527,-0.8321022295567434,-0.8249404178166111
06.02.2014,88.21,89.03,89.03,87.52,39794280,89.03,-0.8125270192451799,-0.8230420472279322,-0.8125270192451799,-0.8245992344810343,-0.8207888234238155
07.02.2014,89.42,90.85,91.05,89.33,47949710,90.85,-0.7868776877262662,-0.8060161682991953,-0.7868776877262662,-0.796532475123753,-0.7948771480756772
10.02.2014,91.07,91.02,91.69,90.76,34269000,91.02,-0.7844818710459281,-0.7827990606690999,-0.7844818710459281,-0.7876400365155055,-0.7744054929663745
11.02.2014,91.15,91.44,92.52,90.82,48572400,91.44,-0.7785627945415634,-0.781673382723398,-0.7785627945415634,-0.7761076551954345,-0.773546542402348
12.02.2014,91.87,92.02,92.66,91.44,47719150,92.02,-0.7703888317498216,-0.7715422812120837,-0.7703888317498216,-0.7741624342498803,-0.7646707199074055
13.02.2014,91.6,90.49,91.8,90.09,42729240,90.49,-0.7919511818728645,-0.7753414442788267,-0.7919511818728645,-0.786111648629713,-0.7839971075980059
14.02.2014,90.91,92.37,92.43,90.66,59484900,92.37,-0.7654562679961843,-0.785050416560503,-0.7654562679961843,-0.7773581543747191,-0.7758370772397525
17.02.2014,92.89,93.74,94.13,92.81,55793770,93.74,-0.7461488041605185,-0.7571898874043883,-0.7461488041605185,-0.7537376143215616,-0.7450580153621296
18.02.2014,93.92,94.85,95.33,93.92,58279640,94.85,-0.7305055305418404,-0.7426967838534801,-0.7305055305418404,-0.7370642919310975,-0.729167429927636
19.02.2014,94.65,91.41,95.37,91.23,91465380,91.41,-0.7789855857204466,-0.732424972598953,-0.7789855857204466,-0.7365085145180819,-0.7676770468814988
20.02.2014,90.94,91.85,92.06,90.33,59100950,91.85,-0.7727846484301598,-0.7846282873308649,-0.7727846484301598,-0.7824990954451123,-0.7805613053418992
21.02.2014,92.35,92.48,92.89,91.75,38508120,92.48,-0.7639060336736125,-0.7647882135378742,-0.7639060336736125,-0.7709667141250413,-0.7602328086599344
24.02.2014,92.5,92.43,92.86,91.83,30771370,92.43,-0.7646106856384178,-0.7626775673896836,-0.7646106856384178,-0.7713835471848028,-0.7590875412412321
25.02.2014,92.74,90.63,92.99,90.52,51063850,90.63,-0.7899781563714097,-0.7593005335525789,-0.7899781563714097,-0.7695772705925027,-0.7778412952224814
26.02.2014,90.8,88.96,91.29,88.51,64736070,88.96,-0.8135135319959075,-0.7865982237358426,-0.8135135319959075,-0.7931978106456601,-0.8066161391173752
27.02.2014,89.14,87.12,89.74,86.48,86517120,87.12,-0.8394447243007431,-0.8099560411091509,-0.8394447243007431,-0.8147341854000099,-0.8356772998669446
28.02.2014,87.38,86.79,87.53,84.95,89392280,86.79,-0.8440954272684583,-0.8347209559145862,-0.8440954272684583,-0.8454408874691146,-0.8575805392496251
03.03.2014,83.62,75.03,83.63,72.4,202466280,75.03,-1.0098295693906703,-0.8876278193625614,-1.0098295693906703,-0.8996291852381233,-1.0372443655585395
04.03.2014,75.02,80.21,81.66,75.01,178087310,80.21,-0.936827625836839,-1.0086381985254838,-0.936827625836839,-0.9270012228291353,-0.9998800160233788
05.03.2014,81.21,77.87,81.21,77.25,90661790,77.87,-0.9698053377897279,-0.9215388674768223,-0.9698053377897279,-0.9332537187255594,-0.9678125282997161
06.03.2014,78.09,76.99,79.88,74.39,128489440,76.99,-0.9822072123703017,-0.9654403073591847,-0.9822072123703017,-0.9517333177083239,-1.0087558385183213
07.03.2014,76.87,76.87,78.17,75.42,72025740,76.87,-0.9838983770858344,-0.9826068960311342,-0.9838983770858344,-0.9754928021147352,-0.9940105205025299
11.03.2014,76.56,75.03,77.05,74.44,74363540,75.03,-1.0098295693906703,-0.9869688980707279,-1.0098295693906703,-0.9910545696791686,-1.0080400463816326
