Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,52.7,52.21,52.81,52.15,2846700,52.21,-0.9641967236190427,-0.944536003524619,-0.9641967236190427,-0.9687922219829245,-0.9373071716868442
03.01.2014,52.15,52.1,52.58,52.01,1958200,52.1,-0.9687183408761835,-0.9671382196435837,-0.9687183408761835,-0.9781562239923883,-0.9431141331098829
06.01.2014,52.25,52.59,52.92,52.18,2815600,52.59,-0.9485765912761926,-0.9630287258037719,-0.9485765912761926,-0.964313786239268,-0.9360628228104787
07.01.2014,52.63,52.6,53.15,52.36,4005700,52.6,-0.9481655351619073,-0.9474126492124871,-0.9481655351619073,-0.9549497842298046,-0.9285967295522861
08.01.2014,52.76,52.5,52.87,52.01,4492200,52.5,-0.9522760963047625,-0.9420703072207322,-0.9522760963047625,-0.9663494388500211,-0.9431141331098829
09.01.2014,52.59,53.36,53.44,52.51,4187400,53.36,-0.9169252704762073,-0.9490564467484118,-0.9169252704762073,-0.9431429990874374,-0.922374985170459
10.01.2014,53.54,53.27,53.95,52.75,3019900,53.27,-0.920624775504777,-0.9100162552702006,-0.920624775504777,-0.922379342457757,-0.9124201941595355
13.01.2014,53.41,51.77,53.41,51.56,3046300,51.77,-0.9822831926476058,-0.9153585972619559,-0.9822831926476058,-0.9443643906538892,-0.9617793662553642
14.01.2014,52.01,52.24,52.39,51.77,3359100,52.24,-0.9629635552761862,-0.9728915110193201,-0.9629635552761862,-0.9858917039132494,-0.9530689241208061
15.01.2014,52.25,51.59,52.27,51.05,3697800,51.59,-0.9896822027047453,-0.9630287258037719,-0.9896822027047453,-0.9907772701790565,-0.9829332971535768
16.01.2014,51.43,51.49,51.72,51.0,3231900,51.49,-0.9937927638476006,-0.9967265752902281,-0.9937927638476006,-1.013169448897339,-0.9850072119475191
17.01.2014,51.13,51.92,52.33,51.12,3901600,51.92,-0.976117350933323,-1.0090550568096632,-0.976117350933323,-0.9883344870461531,-0.9800298164420574
21.01.2014,51.92,52.52,52.86,51.92,2792000,52.52,-0.9514539840761914,-0.9765900554751505,-0.9514539840761914,-0.9667565693721717,-0.946847179738979
22.01.2014,52.79,52.66,53.0,51.97,2748300,52.66,-0.9456991984761942,-0.9408374590687886,-0.9456991984761942,-0.9610567420620634,-0.9447732649450368
