Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
11.12.2019,25.08,25.08,25.08,25.08,38289394,25.08,-1.0113058783837214,-1.0071950070908755,-1.0113058783837214,-1.0486634255044345,-0.9685788345283362
12.12.2019,27.57,26.22,27.57,25.65,505692621,26.22,-0.6634103131385801,-0.25031319094143245,-0.6634103131385801,-0.2984203193665938,-0.7927647728943776
15.12.2019,26.43,26.65,26.72,26.22,98349281,26.65,-0.5321865473005006,-0.5968373959255148,-0.5321865473005006,-0.5545274037911581,-0.6169507112604191
16.12.2019,26.72,27.08,27.15,26.72,105973907,27.08,-0.4009627814624212,-0.5086865016751784,-0.4009627814624212,-0.42496734931755525,-0.46272785017799944
17.12.2019,27.11,26.9,27.18,26.72,142672245,26.9,-0.4558936601853381,-0.3901387473385185,-0.4558936601853381,-0.41592827574962915,-0.46272785017799944
18.12.2019,26.72,26.15,26.79,26.15,83822621,26.15,-0.6847723215308257,-0.5086865016751784,-0.6847723215308257,-0.5334362321326646,-0.638541911811958
19.12.2019,26.15,25.29,26.19,25.29,108120197,25.29,-0.9472198532069847,-0.6819486041672195,-0.9472198532069847,-0.7142177034911795,-0.9038052328737196
22.12.2019,25.37,25.15,25.44,24.87,39709972,25.15,-0.9899438699914759,-0.9190441128405381,-0.9899438699914759,-0.9401945426893242,-1.0333524361829516
23.12.2019,25.15,25.37,25.4,25.12,35098090,25.37,-0.9228061293301321,-0.9859172050304494,-0.9228061293301321,-0.9522466407798927,-0.9562410056417417
24.12.2019,25.4,25.22,25.44,25.15,22184338,25.22,-0.9685818615992302,-0.9099250548146419,-0.9685818615992302,-0.9401945426893242,-0.9469876339767973
25.12.2019,25.22,25.08,25.22,25.01,13572736,25.08,-1.0113058783837214,-0.9646394029700233,-1.0113058783837214,-1.0064810821874473,-0.9901700350798739
26.12.2019,25.05,25.19,25.19,24.97,13863242,25.19,-0.977737008053049,-1.0163140651167717,-0.977737008053049,-1.0155201557553724,-1.0025078639664682
29.12.2019,25.15,25.22,25.44,25.15,22966690,25.22,-0.9685818615992302,-0.9859172050304494,-0.9685818615992302,-0.9401945426893242,-0.9469876339767973
30.12.2019,25.22,25.05,25.26,25.05,13147121,25.05,-1.0204610248375403,-0.9646394029700233,-1.0204610248375403,-0.9944289840968789,-0.9778322061932806
31.12.2019,25.05,25.12,25.12,24.97,16332772,25.12,-0.9990990164452946,-1.0163140651167717,-0.9990990164452946,-1.036611327413866,-1.0025078639664682
01.01.2020,25.12,25.01,25.12,24.97,8517342,25.01,-1.032667886775966,-0.9950362630563456,-1.032667886775966,-1.036611327413866,-1.0025078639664682
02.01.2020,25.01,25.05,25.12,24.97,11430744,25.05,-1.0204610248375403,-1.0284728091513007,-1.0204610248375403,-1.036611327413866,-1.0025078639664682
05.01.2020,24.94,24.62,24.94,24.58,25239125,24.62,-1.1516847906756196,-1.049750611211727,-1.1516847906756196,-1.0908457688214206,-1.1228016956107558
06.01.2020,24.58,24.58,24.62,24.26,23401835,24.58,-1.1638916526140466,-1.1591793075224905,-1.1638916526140466,-1.1872625535459624,-1.2215043267035033
07.01.2020,24.55,24.48,24.62,24.33,13923075,24.48,-1.194408807460111,-1.1682983655483867,-1.194408807460111,-1.1872625535459624,-1.1999131261519655
08.01.2020,24.23,24.37,24.37,24.23,22150479,24.37,-1.2279776777907823,-1.2655683178246204,-1.2279776777907823,-1.2625881666120107,-1.230757698368449
09.01.2020,24.48,24.94,24.97,24.44,31310879,24.94,-1.0540298951682117,-1.189576167608813,-1.0540298951682117,-1.0818066952534955,-1.1659840967138324
12.01.2020,24.94,24.8,25.05,24.62,24584632,24.8,-1.0967539119527028,-1.049750611211727,-1.0967539119527028,-1.0577024990723596,-1.1104638667241613
13.01.2020,24.8,24.76,24.94,24.72,16978173,24.76,-1.1089607738911285,-1.0923062153325793,-1.1089607738911285,-1.0908457688214206,-1.0796192945076781
14.01.2020,24.76,24.83,24.83,24.51,12477898,24.83,-1.087598765498884,-1.104464959367108,-1.087598765498884,-1.1239890385704827,-1.1443928961622936
15.01.2020,24.8,24.72,24.8,24.65,12987230,24.72,-1.1211676358295553,-1.0923062153325793,-1.1211676358295553,-1.1330281121384078,-1.101210495059217
