Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,40.69,40.37,40.69,40.32,2152468,40.37,-0.36454809941433197,-0.337339152002309,-0.36454809941433197,-0.36459949715125484,-0.34045372504285903
03.01.2014,40.64,40.45,40.67,40.42,2130922,40.45,-0.35735556922327855,-0.34183523819232986,-0.35735556922327855,-0.3663941054469776,-0.3314425605489205
06.01.2014,40.31,40.18,40.34,40.16,1701964,40.18,-0.3816303586180825,-0.37150940704646895,-0.3816303586180825,-0.39600514232640943,-0.35487158823316073
07.01.2014,40.49,40.53,40.56,40.35,1775608,40.53,-0.3501630390322258,-0.355323496762393,-0.3501630390322258,-0.3762644510734549,-0.3377503756946774
08.01.2014,40.37,40.24,40.44,40.16,3136789,40.24,-0.37623596097479256,-0.36611410361844404,-0.37623596097479256,-0.3870321008477942,-0.35487158823316073
09.01.2014,40.43,40.37,40.46,40.24,2116751,40.37,-0.36454809941433197,-0.3607188001904185,-0.36454809941433197,-0.3852374925520708,-0.34766265663800955
10.01.2014,41.15,41.15,41.17,40.91,4678481,41.15,-0.2944209300515658,-0.2959751590541148,-0.2944209300515658,-0.32152889805389884,-0.28728785452862293
13.01.2014,40.87,40.6,41.02,40.6,3319389,40.6,-0.34386957511505445,-0.32115324171823306,-0.34386957511505445,-0.33498846027182233,-0.31522246445983143
14.01.2014,40.69,40.85,40.91,40.54,3718007,40.85,-0.321392918268014,-0.337339152002309,-0.321392918268014,-0.34485880589830026,-0.32062916315619466
15.01.2014,40.67,40.79,40.85,40.63,2486888,40.79,-0.32678731591130394,-0.3391375864783171,-0.32678731591130394,-0.35024263078546924,-0.3125191151116498
16.01.2014,41.17,41.0,41.18,40.89,3117121,41.0,-0.3079069241597899,-0.29417672457810606,-0.3079069241597899,-0.3206315939060374,-0.2890900874274102
17.01.2014,40.51,40.33,40.87,40.3,6940574,40.33,-0.3681443645098584,-0.3535250622863849,-0.3681443645098584,-0.3484480224897465,-0.342255957941647
21.01.2014,40.74,40.73,40.79,40.44,3834074,40.73,-0.3321817135545938,-0.3328430658122875,-0.3321817135545938,-0.35562645567263895,-0.3296403276501332
22.01.2014,41.19,41.2,41.37,41.09,4855999,41.2,-0.2899255986821573,-0.292378290102098,-0.2899255986821573,-0.3035828150966677,-0.27106775843953324
23.01.2014,41.67,41.36,41.67,41.16,7369976,41.36,-0.27554053830005176,-0.2492158626778951,-0.27554053830005176,-0.27666369066082,-0.264759943293777
24.01.2014,41.32,40.6,41.32,40.6,5588153,40.6,-0.34386957511505445,-0.2806884660080429,-0.34386957511505445,-0.30806933583597534,-0.31522246445983143
27.01.2014,40.66,40.36,40.68,40.3,4681574,40.36,-0.3654471656882134,-0.3400368037163218,-0.3654471656882134,-0.3654968012991162,-0.342255957941647
28.01.2014,40.26,40.31,40.4,40.24,4149357,40.31,-0.3699424970576212,-0.3760054932364904,-0.3699424970576212,-0.39062131743924045,-0.34766265663800955
29.01.2014,39.97,40.29,40.49,39.91,3051204,40.29,-0.37174062960538473,-0.4020827931386127,-0.37174062960538473,-0.38254558010848594,-0.37739949946800666
30.01.2014,40.83,40.77,40.94,40.45,3772017,40.77,-0.3285854484590668,-0.3247501106702499,-0.3285854484590668,-0.3421668934547154,-0.3287392112007389
