Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,49.05,48.81,49.2,48.65,1608500,48.81,-0.60598113600861,-0.591793706241035,-0.60598113600861,-0.6143453838685581,-0.583086797454995
03.01.2014,48.9,49.3,49.39,48.9,1301100,49.3,-0.5782347504490898,-0.6002927350801657,-0.5782347504490898,-0.6036381151153801,-0.5688370502420258
06.01.2014,49.35,49.26,49.75,49.0,2214000,49.26,-0.580499761515173,-0.5747956485627732,-0.580499761515173,-0.5833506585304109,-0.5631371513568381
07.01.2014,49.33,49.86,50.08,49.28,2251600,49.86,-0.5465245955239233,-0.5759288524079909,-0.5465245955239233,-0.5647538233275226,-0.5471774344783125
08.01.2014,48.84,49.48,49.58,48.68,3602800,49.48,-0.5680422006517148,-0.6036923466158177,-0.5680422006517148,-0.5929308463622021,-0.5813768277894387
09.01.2014,49.72,50.33,50.83,49.48,3823500,50.33,-0.5199107154974445,-0.5538313774262509,-0.5199107154974445,-0.5224882887755035,-0.5357776367079374
10.01.2014,50.48,51.17,51.18,50.08,3432900,51.17,-0.4723454831096948,-0.5107696313079885,-0.4723454831096948,-0.5027643726512278,-0.5015782433968112
13.01.2014,51.31,50.16,51.31,49.94,2660600,50.16,-0.5295370125282987,-0.46374167173146463,-0.5295370125282987,-0.4954383466622109,-0.509558101836074
14.01.2014,50.2,50.34,50.42,49.9,1985400,50.34,-0.5193444627309234,-0.5266344851410322,-0.5193444627309234,-0.5455934476639404,-0.5118380613901491
15.01.2014,50.38,50.13,50.42,49.87,2316000,50.13,-0.5312357708278608,-0.5164356505340754,-0.5312357708278608,-0.5455934476639404,-0.5135480310557055
16.01.2014,50.13,50.15,50.32,50.0,1586200,50.15,-0.5301032652948193,-0.5306006985992933,-0.5301032652948193,-0.5512288522708764,-0.5061381625049612
17.01.2014,50.25,49.96,50.34,49.93,3781700,49.96,-0.5408620678587149,-0.5238014755279888,-0.5408620678587149,-0.550101771349489,-0.5101280917245927
21.01.2014,50.54,50.19,50.6,49.89,2199400,50.19,-0.5278382542287361,-0.5073700197723361,-0.5278382542287361,-0.5354497193714558,-0.5124080512786677
22.01.2014,50.34,50.16,50.36,49.65,3116700,50.16,-0.5295370125282987,-0.5187020582245101,-0.5295370125282987,-0.548974690428102,-0.5260878086031182
23.01.2014,49.86,49.43,50.08,49.24,2632100,49.43,-0.5708734644843189,-0.5458989505097288,-0.5708734644843189,-0.5647538233275226,-0.5494573940323876
24.01.2014,49.18,48.29,49.37,48.25,2869300,48.29,-0.6354262798676932,-0.5844278812471215,-0.6354262798676932,-0.6047651960367675,-0.6058863929957456
27.01.2014,48.31,48.17,48.7,48.06,2608100,48.17,-0.642221313065943,-0.6337222485140798,-0.642221313065943,-0.6425224069032376,-0.6167162008776021
28.01.2014,48.32,49.74,49.79,48.32,3021600,49.74,-0.5533196287221731,-0.6331556465914712,-0.5533196287221731,-0.5810964966876366,-0.6018964637761143
29.01.2014,49.28,49.05,49.64,48.76,2646300,49.05,-0.5923910696121104,-0.5787618620210343,-0.5923910696121104,-0.5895496035980403,-0.5768169086812887
30.01.2014,50.75,50.9,51.22,49.85,3887200,50.9,-0.48763430780575734,-0.4954713793975529,-0.48763430780575734,-0.5005102108084535,-0.5146880108327427
