Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,72961.56,75238.65,76377.19,72961.56,56062,75238.65,-1.073535013103199,-1.1272618022692673,-1.073535013103199,-1.0831816842397608,-1.095445905079608
03.01.2014,75997.69,76756.72,77136.23,74195.0,43876,76756.72,-1.0370411251884952,-1.0545850404461405,-1.0370411251884952,-1.0653723850838108,-1.065238267872535
06.01.2014,75997.7,75618.19,77041.37,75048.92,31116,75618.19,-1.0644110002321543,-1.0545848010731171,-1.0644110002321543,-1.0675980782197898,-1.0443252882676384
07.01.2014,75143.79,77800.39,77895.27,75143.79,36911,77800.39,-1.0119516523710765,-1.0750251029338365,-1.0119516523710765,-1.0475630859278606,-1.0420018687727015
08.01.2014,77895.26,76851.59,77990.14,76566.96,27997,76851.59,-1.0347604825656467,-1.0091623336013382,-1.0347604825656467,-1.0453371581626245,-1.0071476374813615
09.01.2014,76566.97,75713.06,76756.73,74764.28,37896,75713.06,-1.0621303576093057,-1.0409580129569787,-1.0621303576093057,-1.074276565403271,-1.0512962814692706
10.01.2014,75238.65,74005.23,75807.93,72676.94,69623,74005.23,-1.1031860115629235,-1.0727544104316902,-1.1031860115629235,-1.0965381893482087,-1.1024164084700256
13.01.2014,74384.76,72676.95,74669.39,72297.43,76329,72676.95,-1.1351174122488883,-1.0931942335463622,-1.1351174122488883,-1.1232516688236187,-1.1117108211665951
14.01.2014,73151.35,71823.05,73910.37,71823.05,48299,71823.05,-1.1556448786307847,-1.1227187416538087,-1.1556448786307847,-1.141060498721054,-1.1233286533581008
15.01.2014,72297.43,72771.82,73056.46,72107.67,33409,72771.82,-1.1328367696260393,-1.143159282887552,-1.1328367696260393,-1.1610957256422403,-1.1163581499676831
16.01.2014,72866.7,71633.28,73910.37,71633.28,33778,71633.28,-1.160206885066307,-1.1295324947714136,-1.160206885066307,-1.141060498721054,-1.1279762270647964
17.01.2014,72202.54,72107.66,73435.96,71917.91,31458,72107.66,-1.1488029507622384,-1.1454306935087695,-1.1488029507622384,-1.15219154532278,-1.121005478768771
20.01.2014,71728.16,69830.59,72582.06,69735.71,45780,69830.59,-1.2035429412461651,-1.1567860710036904,-1.2035429412461651,-1.1722265376147092,-1.1744487803588561
21.01.2014,70304.97,69925.46,70779.37,69830.58,31497,69925.46,-1.2012622986233163,-1.1908534003535718,-1.2012622986233163,-1.2145229192223184,-1.1721253608639193
22.01.2014,70210.1,70874.25,71538.4,69640.83,34545,70874.25,-1.1784537088253546,-1.1931243322287417,-1.1784537088253546,-1.1967138546956257,-1.1767724447594003
23.01.2014,70874.26,70589.62,71064.02,70304.99,16294,70589.62,-1.1852961174871175,-1.1772261334913863,-1.1852961174871175,-1.2078441974095795,-1.1605067939555918
24.01.2014,70399.86,68312.53,71158.89,67838.14,54005,68312.53,-1.2400365887642606,-1.1885819897323544,-1.2400365887642606,-1.2056182696443432,-1.2209213336529163
27.01.2014,66984.22,66889.34,67743.25,66035.44,38574,66889.34,-1.2742495936595073,-1.2703431971752321,-1.2742495936595073,-1.2857591773290886,-1.2650704674520394
28.01.2014,66794.47,69640.83,70020.34,66699.59,45669,69640.83,-1.208104707285079,-1.2748853002985958,-1.208104707285079,-1.232331983749011,-1.2488050615538382
