Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,79.34,78.15,79.34,78.15,1432000,78.15,-1.3739612556380794,-1.3648219172597096,-1.3739612556380794,-1.3726846022220933,-1.3662691393957704
03.01.2014,78.01,78.15,78.53,77.88,1070000,78.15,-1.3739612556380794,-1.374143537373657,-1.3739612556380794,-1.378308238948992,-1.3681815481999668
06.01.2014,78.49,76.99,78.52,76.96,2204100,76.99,-1.382094435736311,-1.3707793436483224,-1.382094435736311,-1.3783776665629044,-1.3746979041253766
07.01.2014,77.33,78.54,78.9,77.11,1832000,78.54,-1.3712268243981567,-1.3789094784845475,-1.3712268243981567,-1.3757394172342357,-1.3736354547897116
08.01.2014,78.34,79.53,79.53,78.19,1875000,79.53,-1.3642855758660455,-1.3718306541874894,-1.3642855758660455,-1.371365477557759,-1.3659858195729266
09.01.2014,78.21,80.2,80.28,78.21,2073300,80.2,-1.3595879632231016,-1.3727417899881011,-1.3595879632231016,-1.3661584065143344,-1.3658441596615047
10.01.2014,79.97,79.33,80.15,78.35,1580700,79.33,-1.3656878482967751,-1.3604064129952083,-1.3656878482967751,-1.3670609654951946,-1.364852540281551
13.01.2014,79.11,78.34,79.66,78.21,1706200,78.34,-1.3726290968288863,-1.366433926753099,-1.3726290968288863,-1.3704629185768988,-1.3658441596615047
14.01.2014,78.41,78.78,79.22,77.92,2048400,78.78,-1.3695440974812814,-1.3713400426025448,-1.3695440974812814,-1.3735177335890412,-1.3678982283771228
15.01.2014,79.09,76.02,79.25,75.76,5087000,76.02,-1.3888954570253493,-1.3665741014916546,-1.3888954570253493,-1.3733094507473043,-1.3831974988106934
16.01.2014,76.0,73.78,76.0,73.64,4882600,73.78,-1.4046009082495203,-1.3882310985984947,-1.4046009082495203,-1.3958734252688112,-1.39821344942142
17.01.2014,73.8,73.72,74.52,73.3,3116000,73.72,-1.4050215899787393,-1.4036503198396104,-1.4050215899787393,-1.406148712127836,-1.400621667915593
21.01.2014,74.01,74.95,75.25,73.76,2230000,74.95,-1.3963976145297525,-1.402178485084777,-1.3963976145297525,-1.4010804963122359,-1.3973634899528882
22.01.2014,74.95,74.26,75.39,74.16,1687900,74.26,-1.4012354544157695,-1.3955902723726636,-1.4012354544157695,-1.4001085097174633,-1.3945302917244493
23.01.2014,74.5,73.98,74.78,73.53,2490800,73.98,-1.4031986358187907,-1.3987442039901645,-1.4031986358187907,-1.4043435941661153,-1.3989925789342406
24.01.2014,73.58,72.65,73.61,72.34,2296900,72.65,-1.4125237474831422,-1.4051922419637222,-1.4125237474831422,-1.4124666249938576,-1.4074213436638465
27.01.2014,72.39,73.2,73.73,72.31,3625800,73.2,-1.4086674982986362,-1.4135326389077805,-1.4086674982986362,-1.4116334936269097,-1.4076338335309795
28.01.2014,73.21,72.7,73.72,72.66,4924700,72.7,-1.41217317937546,-1.4077854746270009,-1.41217317937546,-1.411702921240822,-1.4051547850810955
29.01.2014,70.89,73.62,75.67,70.57,6443100,73.62,-1.4057227261941039,-1.4240457442994503,-1.4057227261941039,-1.3981645365279178,-1.419958245824689
30.01.2014,75.08,75.68,76.78,74.28,3954700,75.68,-1.3912793201575895,-1.3946791365720523,-1.3912793201575895,-1.3904580713836494,-1.3936803322559175
31.01.2014,74.8,74.16,75.4,74.1,3311000,74.16,-1.4019365906311343,-1.3966415829118306,-1.4019365906311343,-1.4000390821035509,-1.3949552714587152
03.02.2014,74.16,73.83,74.4,73.56,2612200,73.83,-1.404250340141838,-1.4011271745456098,-1.404250340141838,-1.4069818434947836,-1.3987800890671076
04.02.2014,73.95,73.6,74.22,73.06,2026300,73.6,-1.405862953437177,-1.4025990093004437,-1.405862953437177,-1.4082315405452057,-1.4023215868526564
05.02.2014,73.48,73.86,74.76,72.94,2203500,73.86,-1.4040399992772283,-1.4058931156565,-1.4040399992772283,-1.40448244939394,-1.4031715463211882
06.02.2014,73.88,74.66,74.74,73.0,2062600,74.66,-1.3984309095543104,-1.4030896208853882,-1.3984309095543104,-1.4046213046217646,-1.4027465665869223
07.02.2014,74.12,73.02,74.12,72.65,3138000,73.02,-1.4099295434862928,-1.4014075240227208,-1.4099295434862928,-1.408925816684329,-1.4052256150368063
10.02.2014,73.13,72.95,73.65,72.43,2913200,72.95,-1.4104203388370482,-1.4083461735812233,-1.4104203388370482,-1.4121889145382085,-1.4067838740624476
11.02.2014,72.54,73.89,74.29,72.45,2840300,73.89,-1.403829658412619,-1.4124813283686133,-1.403829658412619,-1.4077455472478193,-1.406642214151026
12.02.2014,73.87,72.65,74.44,72.45,3218200,72.65,-1.4125237474831422,-1.4031597082546658,-1.4125237474831422,-1.4067041330391346,-1.406642214151026
13.02.2014,72.46,73.57,73.88,72.46,2246200,73.57,-1.4060732943017864,-1.413042027322836,-1.4060732943017864,-1.410592079418225,-1.4065713841953151
14.02.2014,73.36,75.71,75.89,73.36,2434300,75.71,-1.3910689792929802,-1.4067341640878337,-1.3910689792929802,-1.396637129021847,-1.400196688181327
18.02.2014,75.79,75.47,76.92,75.44,3209600,75.47,-1.3927517062098556,-1.3897029333533282,-1.3927517062098556,-1.3894860847888768,-1.3854640573934445
19.02.2014,75.32,75.46,76.41,75.02,3061900,75.46,-1.3928218198313922,-1.3929970397093852,-1.3928218198313922,-1.3930268930984058,-1.3884389155333057
20.02.2014,75.69,75.64,76.07,75.02,2402800,75.64,-1.3915597746437356,-1.3904038070461064,-1.3915597746437356,-1.3953874319714248,-1.3884389155333057
21.02.2014,75.43,76.36,77.17,75.38,2944500,76.36,-1.386511593893109,-1.392226078647329,-1.386511593893109,-1.3877503944410685,-1.3858890371277104
24.02.2014,75.9,78.41,79.3,75.9,3622300,78.41,-1.372138301478131,-1.3889319722912725,-1.372138301478131,-1.3729623126777426,-1.3822058794307397
25.02.2014,79.03,77.34,79.04,77.21,2636900,77.34,-1.3796404589825342,-1.3669946257073213,-1.3796404589825342,-1.374767430639463,-1.3729271552326021
26.02.2014,77.27,76.88,78.03,76.74,2506600,76.88,-1.3828656855732122,-1.3793300027002142,-1.3828656855732122,-1.3817796196446084,-1.3762561631510177
27.02.2014,76.91,76.99,77.5,76.66,1967700,76.99,-1.382094435736311,-1.3818531479942149,-1.382094435736311,-1.3854592831819619,-1.3768228027967058
28.02.2014,76.97,78.12,79.21,76.97,3752300,78.12,-1.3741715965026888,-1.3814326237785481,-1.3741715965026888,-1.3735871612029538,-1.3746270741696653
03.03.2014,77.5,77.13,77.8,76.77,2594000,77.13,-1.3811128450348003,-1.3777179932068246,-1.3811128450348003,-1.383376454764592,-1.376043673283885
04.03.2014,77.71,78.31,78.83,77.6,2475000,78.31,-1.3728394376934958,-1.376246158451991,-1.3728394376934958,-1.3762254105316223,-1.370164786959874
