Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,47.53,47.34,47.69,47.23,1501466,47.34,-1.4077756723096857,-1.396005432237964,-1.4077756723096857,-1.4028458235126489,-1.3975735737482464
03.01.2014,47.46,47.57,47.71,47.37,822380,47.57,-1.3934217305324288,-1.4003715274603337,-1.3934217305324288,-1.401603575461995,-1.3887949979237075
06.01.2014,47.68,47.62,47.88,47.6,1179054,47.62,-1.3903013084069384,-1.386649513904315,-1.3903013084069384,-1.3910444670314401,-1.374373051926251
07.01.2014,47.94,47.79,48.0,47.72,3245886,47.79,-1.3796918731802699,-1.3704325887926563,-1.3796918731802699,-1.3835909787275191,-1.3668485583623606
08.01.2014,47.99,47.93,48.11,47.82,1203048,47.93,-1.370954691228896,-1.3673139493481064,-1.370954691228896,-1.376758614448925,-1.3605781470591185
09.01.2014,47.99,48.59,48.73,47.67,3008848,48.59,-1.3297651191724187,-1.3673139493481064,-1.3297651191724187,-1.3382489248786662,-1.3699837640139814
10.01.2014,48.49,48.91,48.93,48.46,1831468,48.91,-1.3097944175692786,-1.336127554902609,-1.3097944175692786,-1.3258264443721308,-1.32044751471837
13.01.2014,48.67,48.34,48.83,48.3,1311635,48.34,-1.345367229799872,-1.32490045290223,-1.345367229799872,-1.3320376846253985,-1.3304801728035573
14.01.2014,48.43,48.55,48.67,48.34,1023818,48.55,-1.3322614568728115,-1.3398699222360688,-1.3322614568728115,-1.3419756690306264,-1.3279720082822601
15.01.2014,48.56,48.61,48.76,48.41,1710828,48.61,-1.3285169503222227,-1.3317614596802392,-1.3285169503222227,-1.3363855528026858,-1.3235827203699913
16.01.2014,49.12,49.18,49.24,49.01,1567645,49.18,-1.292944138091629,-1.2968326979012825,-1.292944138091629,-1.3065715995870013,-1.2859602525505394
17.01.2014,49.06,48.82,49.09,48.73,1122808,48.82,-1.3154111773951618,-1.3005750652347419,-1.3154111773951618,-1.3158884599669025,-1.303517404199617
21.01.2014,48.94,48.93,49.08,48.81,1328598,48.93,-1.3085462487190822,-1.3080597999016614,-1.3085462487190822,-1.3165095839922296,-1.298501075157023
22.01.2014,48.61,48.58,48.7,48.49,1423570,48.58,-1.3303892035975171,-1.3286428202356897,-1.3303892035975171,-1.340112296954646,-1.3185663913273973
23.01.2014,49.21,49.18,49.32,48.98,3203032,49.18,-1.292944138091629,-1.2912191469010927,-1.292944138091629,-1.3016026073843874,-1.287841375941512
24.01.2014,48.35,48.01,48.41,47.9,2464574,48.01,-1.365962015828111,-1.3448597453473483,-1.365962015828111,-1.3581248936891224,-1.3555618180165252
27.01.2014,47.78,47.37,47.79,47.29,2675945,47.37,-1.4059034190343918,-1.3804122350152153,-1.4059034190343918,-1.3966345832593812,-1.393811326966301
28.01.2014,47.73,47.84,47.88,47.55,2289139,47.84,-1.3765714510547788,-1.3835308744597654,-1.3765714510547788,-1.3910444670314401,-1.377508257577872
29.01.2014,47.58,47.67,47.88,47.41,4496587,47.67,-1.3871808862814474,-1.3928867927934145,-1.3871808862814474,-1.3910444670314401,-1.3862868334024108
30.01.2014,47.92,48.07,48.11,47.9,2968114,48.07,-1.362217509277522,-1.371680044570476,-1.362217509277522,-1.376758614448925,-1.3555618180165252
31.01.2014,47.39,47.55,47.79,47.16,2833189,47.55,-1.3946698993826254,-1.4047376226827033,-1.3946698993826254,-1.3966345832593812,-1.4019628616605158
03.02.2014,48.03,47.28,48.06,47.2,2179771,47.28,-1.4115201788602747,-1.3648190377924667,-1.4115201788602747,-1.3798642345755585,-1.3994546971392186
04.02.2014,47.16,47.02,47.2,46.84,3327019,47.02,-1.4277463739128262,-1.4190833641276324,-1.4277463739128262,-1.4332809007536595,-1.4220281778308896
05.02.2014,47.22,47.23,47.35,47.13,1933693,47.23,-1.4146406009857657,-1.4153409967941726,-1.4146406009857657,-1.4239640403737583,-1.4038439850514879
06.02.2014,47.84,47.64,47.87,47.56,2143055,47.64,-1.3890531395567418,-1.3766698676817555,-1.3890531395567418,-1.3916655910567672,-1.3768812164475475
07.02.2014,47.92,48.66,48.67,47.91,1672549,48.66,-1.3253965281967321,-1.371680044570476,-1.3253965281967321,-1.3419756690306264,-1.354934776886201
10.02.2014,48.24,48.47,48.54,48.2,2703733,48.47,-1.3372541322735967,-1.3517207521253576,-1.3372541322735967,-1.3500502813598745,-1.336750584106799
11.02.2014,48.18,48.62,48.7,48.17,2572715,48.62,-1.3278928658971245,-1.3554631194588176,-1.3278928658971245,-1.340112296954646,-1.3386317074977716
12.02.2014,48.59,49.23,49.23,48.59,3228365,49.23,-1.2898237159661383,-1.3298902760135094,-1.2898237159661383,-1.3071927236123284,-1.3122959800241554
13.02.2014,49.25,49.48,49.5,49.21,2546377,49.48,-1.2742216053386848,-1.2887242353454529,-1.2742216053386848,-1.2904223749285058,-1.2734194299440553
14.02.2014,49.65,49.87,49.87,49.6,2162362,49.87,-1.2498823127598575,-1.2637751197890552,-1.2498823127598575,-1.2674407859914159,-1.2489648258614117
18.02.2014,49.67,49.74,49.87,49.66,2197069,49.74,-1.257995410286133,-1.262527664011235,-1.257995410286133,-1.2674407859914159,-1.2452025790794667
19.02.2014,49.44,49.16,49.64,49.12,3810582,49.16,-1.2941923069418253,-1.2768734054561641,-1.2941923069418253,-1.281726638573931,-1.2790628001169733
20.02.2014,49.22,49.48,49.66,49.12,3385163,49.48,-1.2742216053386848,-1.2905954190121829,-1.2742216053386848,-1.2804843905232777,-1.2790628001169733
21.02.2014,49.93,49.7,49.97,49.62,2433438,49.7,-1.2604917479865254,-1.2463107388995764,-1.2604917479865254,-1.2612295457381482,-1.2477107436007635
24.02.2014,50.04,50.22,50.51,49.98,1933470,50.22,-1.2280393578814226,-1.2394497321215672,-1.2280393578814226,-1.2276888483705033,-1.2251372629090924
25.02.2014,50.47,50.39,50.71,50.28,2558542,50.39,-1.2174299226547542,-1.2126294328984393,-1.2174299226547542,-1.2152663678639681,-1.2063260289993663
26.02.2014,50.4,50.16,50.48,50.11,1641636,50.16,-1.2317838644320116,-1.216995528120809,-1.2317838644320116,-1.2295522204464837,-1.2169857282148777
27.02.2014,51.14,51.31,51.36,51.08,2417591,51.31,-1.1600141555457255,-1.1708396643414727,-1.1600141555457255,-1.174893306217729,-1.1561627385734308
28.02.2014,51.98,51.7,51.98,51.41,3768509,51.7,-1.135674862966898,-1.1184465216730373,-1.135674862966898,-1.1363836166474701,-1.1354703812727325
03.03.2014,51.03,50.53,51.12,50.42,2016054,50.53,-1.2086927407033803,-1.177700671119482,-1.2086927407033803,-1.1898002828255712,-1.1975474531748276
04.03.2014,51.31,51.32,51.52,51.16,1784149,51.32,-1.1593900711206273,-1.1602362902300034,-1.1593900711206273,-1.1649553218125006,-1.1511464095308372
05.03.2014,51.71,51.65,51.83,51.56,1891174,51.65,-1.138795285092389,-1.1352871746736055,-1.138795285092389,-1.1457004770273715,-1.1260647643178692
06.03.2014,52.4,52.1,52.44,52.05,2307107,52.1,-1.1107114859629725,-1.0922499503388192,-1.1107114859629725,-1.1078119114824394,-1.0953397489319838
07.03.2014,52.03,51.68,52.07,51.51,2165486,51.68,-1.1369230318170944,-1.115327882228487,-1.1369230318170944,-1.130793500419529,-1.1291999699694903
10.03.2014,51.67,51.53,51.67,51.28,1832026,51.53,-1.1462842981935664,-1.1377820862292454,-1.1462842981935664,-1.1556384614325994,-1.1436219159669467
11.03.2014,51.71,51.47,51.87,51.41,1424239,51.47,-1.1500288047441554,-1.1352871746736055,-1.1500288047441554,-1.1432159809260645,-1.1354703812727325
12.03.2014,51.31,51.44,51.54,51.24,1745312,51.44,-1.15190105801945,-1.1602362902300034,-1.15190105801945,-1.1637130737618473,-1.1461300804882435
13.03.2014,51.59,50.76,51.75,50.66,1785935,50.76,-1.1943387989261232,-1.1427719093405249,-1.1943387989261232,-1.1506694692299855,-1.182498466047047
14.03.2014,50.64,50.72,50.9,50.62,1037210,50.72,-1.1968351366265157,-1.20202605878697,-1.1968351366265157,-1.2034650113827599,-1.1850066305683438
17.03.2014,50.8,51.06,51.25,50.8,692590,51.06,-1.1756162661731788,-1.192046412564411,-1.1756162661731788,-1.1817256704963233,-1.1737198902225083
18.03.2014,51.28,51.37,51.71,51.19,1580926,51.37,-1.156269648995137,-1.1621074738967334,-1.156269648995137,-1.1531539653312923,-1.1492652861398647
19.03.2014,51.01,50.48,51.16,50.17,1414418,50.48,-1.211813162828871,-1.178948126897302,-1.211813162828871,-1.1873157867242643,-1.2132234814329323
20.03.2014,50.17,50.54,50.63,50.13,1260522,50.54,-1.208068656278282,-1.2313412695657375,-1.208068656278282,-1.220235360066582,-1.2157316459542291
21.03.2014,51.16,50.8,51.28,50.68,1990832,50.8,-1.1918424612257308,-1.169592208563653,-1.1918424612257308,-1.1798622984203428,-1.1812443837863986
24.03.2014,50.83,50.54,50.91,50.21,1230167,50.54,-1.208068656278282,-1.1901752288976812,-1.208068656278282,-1.2028438873574332,-1.2107153169116356
25.03.2014,50.77,50.89,51.04,50.48,2136582,50.89,-1.1862257013998472,-1.1939175962311406,-1.1862257013998472,-1.194769275028185,-1.1937852063928827
26.03.2014,50.88,50.42,51.08,50.42,1313086,50.42,-1.2155576693794596,-1.1870565894531313,-1.2155576693794596,-1.1922847789268782,-1.1975474531748276
27.03.2014,50.59,50.58,50.76,50.39,1212311,50.58,-1.2055723185778897,-1.2051446982315197,-1.2055723185778897,-1.2121607477373344,-1.1994285765658002
28.03.2014,50.97,50.72,51.11,50.61,1000382,50.72,-1.1968351366265157,-1.181443038452942,-1.1968351366265157,-1.1904214068508978,-1.185633671698668
31.03.2014,52.67,52.85,52.98,52.55,2577067,52.85,-1.0639051540806124,-1.0754092973382505,-1.0639051540806124,-1.0742712141147945,-1.063987692415774
01.04.2014,52.55,52.53,52.75,52.21,1681142,52.53,-1.0838758556837527,-1.08289403200517,-1.0838758556837527,-1.0885570666973097,-1.0853070908467963
02.04.2014,52.29,52.57,52.64,52.26,1300363,52.57,-1.0813795179833603,-1.0991109571168287,-1.0813795179833603,-1.095389430975904,-1.0821718851951756
03.04.2014,52.15,51.85,52.16,51.67,1477138,51.85,-1.126313596590426,-1.107843147561568,-1.126313596590426,-1.1252033841915885,-1.119167311884303
04.04.2014,51.54,51.29,51.9,51.14,1755691,51.29,-1.161262324395922,-1.1458905487850748,-1.161262324395922,-1.141352608850084,-1.1524004917914854
07.04.2014,51.38,51.29,51.6,51.14,1189321,51.29,-1.161262324395922,-1.1558701950076338,-1.161262324395922,-1.1599863296098867,-1.1524004917914854
08.04.2014,51.76,51.85,51.95,51.59,1933582,51.85,-1.126313596590426,-1.132168535229056,-1.126313596590426,-1.13824698872345,-1.1241836409268964
09.04.2014,51.65,52.23,52.28,51.64,1908025,52.23,-1.1025983884366972,-1.1390295420070653,-1.1025983884366972,-1.1177498958876673,-1.1210484352752756
10.04.2014,52.5,52.11,52.62,52.06,2974363,52.11,-1.1100874015378746,-1.0860126714497196,-1.1100874015378746,-1.0966316790265578,-1.0947127078016592
11.04.2014,51.53,51.39,51.87,51.33,2047190,51.39,-1.1550214801449403,-1.1465142766739846,-1.1550214801449403,-1.1432159809260645,-1.1404867103153258
14.04.2014,51.77,52.11,52.21,51.69,2979162,52.11,-1.1100874015378746,-1.1315448073401457,-1.1100874015378746,-1.1220977640649545,-1.117913229623655
15.04.2014,52.3,52.08,52.44,51.51,2510330,52.08,-1.1119596548131692,-1.0984872292279189,-1.1119596548131692,-1.1078119114824394,-1.1291999699694903
16.04.2014,52.49,52.47,52.53,52.22,1143454,52.47,-1.0876203622343417,-1.0866363993386294,-1.0876203622343417,-1.1022217952544984,-1.0846800497164724
17.04.2014,52.43,52.63,52.77,52.29,1082074,52.63,-1.0776350114327713,-1.0903787666720894,-1.0776350114327713,-1.087314818646656,-1.080290761804203
21.04.2014,52.66,53.12,53.15,52.52,1682035,53.12,-1.0470548746029629,-1.0760330252271608,-1.0470548746029629,-1.0637121056842396,-1.0658688158067462
22.04.2014,53.72,53.8,53.94,53.57,2408998,53.8,-1.0046171336962897,-1.009917869002706,-1.0046171336962897,-1.0146433076834258,-1.0000294971227057
23.04.2014,54.03,53.56,54.06,53.5,2059913,53.56,-1.0195951598986446,-0.9905823044464975,-1.0195951598986446,-1.0071898193795044,-1.0044187850349753
24.04.2014,52.6,52.58,52.75,52.03,2845688,52.58,-1.0807554335582623,-1.0797753925606202,-1.0807554335582623,-1.0885570666973097,-1.096593831192632
25.04.2014,52.75,52.51,52.78,52.35,1603692,52.51,-1.0851240245339493,-1.070419474226971,-1.0851240245339493,-1.0866936946213293,-1.0765285150222577
28.04.2014,53.27,53.06,53.28,52.5,2721031,53.06,-1.0507993811535514,-1.0379856240036534,-1.0507993811535514,-1.0556374933549915,-1.0671228980673948
29.04.2014,53.3,53.74,53.82,53.3,2488122,53.74,-1.008361640246878,-1.036114440336924,-1.008361640246878,-1.0220967959873466,-1.0169596076414593
30.04.2014,53.74,54.04,54.06,53.61,2286796,54.04,-0.9896391074939341,-1.008670413224886,-0.9896391074939341,-1.0071898193795044,-0.9975213326014091
01.05.2014,54.02,54.08,54.23,53.8,660672,54.08,-0.9871427697935417,-0.9912060323354073,-0.9871427697935417,-0.9966307109489498,-0.9856075511252494
02.05.2014,54.44,54.3,54.54,54.19,1450242,54.3,-0.9734129124413827,-0.9650094610011898,-0.9734129124413827,-0.9773758661638202,-0.9611529470426058
05.05.2014,54.19,54.56,54.59,54.05,1098925,54.56,-0.9571867173888309,-0.9806026582239386,-0.9571867173888309,-0.9742702460371863,-0.9699315228671446
06.05.2014,54.86,54.49,54.89,54.45,2578183,54.49,-0.9615553083645179,-0.9388128896669719,-0.9615553083645179,-0.9556365252773837,-0.9448498776541764
07.05.2014,54.76,54.89,54.92,54.58,1710158,54.89,-0.9365919313605924,-0.9450501685560715,-0.9365919313605924,-0.9537731532014033,-0.9366983429599621
08.05.2014,55.04,54.64,55.05,54.54,2601508,54.64,-0.9521940419880458,-0.9275857876665928,-0.9521940419880458,-0.9456985408721558,-0.9392065074812588
09.05.2014,55.0,54.95,55.13,54.81,3003937,54.95,-0.9328474248100035,-0.9300806992222326,-0.9328474248100035,-0.9407295486695414,-0.9222763969625053
