Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,81.39,80.65,81.82,80.64,1021700,80.65,-1.5025439678242567,-1.4912735631016596,-1.5025439678242567,-1.5014811021297783,-1.4868713285755348
03.01.2014,80.74,80.84,81.4,80.54,855400,80.84,-1.4998689079079504,-1.500421078312165,-1.4998689079079504,-1.5073421624396335,-1.4882921386462804
06.01.2014,81.22,80.59,81.26,80.54,1185500,80.59,-1.503388723587301,-1.4936659901567149,-1.503388723587301,-1.5092958492095851,-1.4882921386462804
07.01.2014,80.74,82.66,82.86,80.74,1468000,82.66,-1.4742446497622783,-1.500421078312165,-1.4742446497622783,-1.4869680004101362,-1.4854505185047895
08.01.2014,82.57,82.25,82.66,82.09,1421600,82.25,-1.4800171474764132,-1.4746673047195114,-1.4800171474764132,-1.4897589815100674,-1.466269582549725
09.01.2014,82.29,84.25,84.68,82.29,1980900,84.25,-1.4518586220416088,-1.4786077728101905,-1.4518586220416088,-1.4615700724007628,-1.463427962408234
10.01.2014,84.59,83.47,84.8,83.07,1055800,83.47,-1.4628404469611824,-1.4462396420653254,-1.4628404469611824,-1.459895483740804,-1.452345643856419
13.01.2014,83.21,83.07,84.04,83.02,959600,83.07,-1.4684721520481434,-1.4656605205122446,-1.4684721520481434,-1.4705012119205423,-1.4530560488917919
14.01.2014,83.02,83.73,84.06,82.86,867100,83.73,-1.4591798386546577,-1.468334409573777,-1.4591798386546577,-1.4702221138105493,-1.4553293450049847
15.01.2014,83.87,84.08,84.23,83.59,1298200,84.08,-1.454252096703567,-1.4563722742985006,-1.454252096703567,-1.4678497798756078,-1.4449574314885425
16.01.2014,83.74,83.1,83.89,82.89,1537800,83.1,-1.4680497741666214,-1.4582017773406017,-1.4680497741666214,-1.4725944477454909,-1.454903101983761
17.01.2014,83.35,83.7,83.86,82.53,996800,83.7,-1.45960221653618,-1.463690286466905,-1.45960221653618,-1.4730130949104805,-1.4600180182384448
21.01.2014,84.03,84.33,84.72,83.61,1207300,84.33,-1.4507322810242165,-1.4541205782466837,-1.4507322810242165,-1.4610118761807767,-1.4446732694743933
22.01.2014,84.53,83.89,84.66,83.54,968200,83.89,-1.4569271566198736,-1.4470840280847566,-1.4569271566198736,-1.461849170510756,-1.445667836523915
23.01.2014,83.01,83.78,83.85,82.93,1122800,83.78,-1.4584758755187877,-1.4684751405770153,-1.4584758755187877,-1.4731526439654772,-1.4543347779554627
24.01.2014,83.66,81.12,83.68,80.93,1566500,81.12,-1.4959267143470776,-1.45932762536651,-1.4959267143470776,-1.4755249779004185,-1.4827509793703728
27.01.2014,80.98,81.4,82.1,80.59,1310400,81.4,-1.491984520786205,-1.4970435342344397,-1.491984520786205,-1.4975737285898745,-1.4875817336109076
28.01.2014,81.36,80.41,81.85,80.37,1535000,80.41,-1.5059229908764333,-1.491695756111375,-1.5059229908764333,-1.5010624549647884,-1.4907075157665477
29.01.2014,79.98,80.35,81.8,79.3,1425600,80.35,-1.5067677466394775,-1.5111166345582943,-1.5067677466394775,-1.5017602002397712,-1.5059101835235247
30.01.2014,81.04,82.01,82.38,81.02,984100,82.01,-1.4833961705285896,-1.4961991482150085,-1.4833961705285896,-1.493666355049971,-1.481472250306702
31.01.2014,81.12,80.75,81.52,80.45,1421300,80.75,-1.5011360415525166,-1.4950733001891001,-1.5011360415525166,-1.505667573779675,-1.4895708677099513
03.02.2014,80.9,79.08,81.08,79.01,1367700,79.08,-1.5246484102905784,-1.4981693822603481,-1.5246484102905784,-1.5118077321995234,-1.5100305327286867
04.02.2014,79.3,79.48,79.54,78.29,1090100,79.48,-1.5190167052036174,-1.5206863427785153,-1.5190167052036174,-1.533298286668993,-1.5202603652380542
05.02.2014,78.81,79.59,80.21,78.7,1493600,79.59,-1.5174679863047031,-1.5275821619372039,-1.5174679863047031,-1.5239484999842239,-1.5144350439479977
06.02.2014,80.01,79.88,80.06,79.23,1552000,79.88,-1.5133850001166567,-1.5106944415485786,-1.5133850001166567,-1.526041735809172,-1.5069047505730464
07.02.2014,74.95,72.48,75.72,71.23,8994700,72.48,-1.617571544225433,-1.5819043291872819,-1.617571544225433,-1.586606025677678,-1.6205695562326872
10.02.2014,72.47,71.8,72.48,71.38,4078200,71.8,-1.6271454428732666,-1.6168056179904409,-1.6271454428732666,-1.6318199194965624,-1.618438341126569
11.02.2014,71.76,72.25,72.74,71.45,4185700,72.25,-1.6208097746504355,-1.6267975192203774,-1.6208097746504355,-1.628191644066652,-1.617443774077047
12.02.2014,72.41,71.05,72.63,70.81,3877600,71.05,-1.6377048899113182,-1.6176500040098722,-1.6377048899113182,-1.6297266836716142,-1.6265369585298182
13.02.2014,70.83,71.24,71.52,70.52,4297700,71.24,-1.635029829995012,-1.6398855025215622,-1.635029829995012,-1.645216628776232,-1.6306573077349804
14.02.2014,71.1,72.71,73.08,71.05,4840900,72.71,-1.6143333138004305,-1.6360857654341217,-1.6143333138004305,-1.6234469761967691,-1.6231270143600292
18.02.2014,72.85,72.6,73.6,72.57,3107900,72.6,-1.6158820326993448,-1.6114578398673762,-1.6158820326993448,-1.6161904253369481,-1.6015307012846975
19.02.2014,72.51,71.52,72.83,71.45,2027500,71.52,-1.6310876364341393,-1.6162426939774868,-1.6310876364341393,-1.626935702571683,-1.617443774077047
20.02.2014,71.82,72.14,72.59,71.56,3099400,72.14,-1.6223584935493498,-1.6259531332009465,-1.6223584935493498,-1.6302848798916003,-1.615880882999227
