Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,63.54,63.25,63.87,63.2,3067000,63.25,-1.3391149912920648,-1.3370158718314027,-1.3391149912920648,-1.3391755151480682,-1.3348088675984657
03.01.2014,63.45,63.7,64.26,63.28,3206400,63.7,-1.3362653244830505,-1.337585853586743,-1.3362653244830505,-1.3367288584429755,-1.334297293265889
06.01.2014,63.98,62.98,63.98,62.87,3424500,62.98,-1.3408247913774733,-1.33422929436085,-1.3408247913774733,-1.3384854324876574,-1.3369191117203443
07.01.2014,63.57,64.9,65.6,63.57,6542500,64.9,-1.3286662129923454,-1.336825877912956,-1.3286662129923454,-1.3283223969434266,-1.3324428363102987
08.01.2014,64.75,64.15,64.86,64.03,6172200,64.15,-1.333415657674036,-1.3293527837873826,-1.333415657674036,-1.3329647712043713,-1.329501283897983
09.01.2014,64.17,64.54,64.67,64.17,6291500,64.54,-1.3309459464395568,-1.3330259995440203,-1.3309459464395568,-1.3341567321632626,-1.3286060288159738
10.01.2014,64.64,63.37,64.72,63.24,6632200,63.37,-1.3383550801429942,-1.330049428155021,-1.3383550801429942,-1.3338430582267125,-1.3345530804321772
13.01.2014,63.34,62.72,63.62,62.5,5248700,62.72,-1.3424712655337927,-1.3382824979543813,-1.3424712655337927,-1.3407438848308197,-1.339285143008511
14.01.2014,62.81,62.79,63.06,62.51,5783900,62.79,-1.3420279840301683,-1.3416390571802743,-1.3420279840301683,-1.3442570329201835,-1.3392211962169391
15.01.2014,62.76,63.48,63.5,62.76,7043300,63.48,-1.337658494923013,-1.341955713711019,-1.337658494923013,-1.3414967022785407,-1.3376225264276371
16.01.2014,62.88,61.72,63.48,61.2,8892800,61.72,-1.3488038584427136,-1.341195738037232,-1.3488038584427136,-1.341622171853161,-1.3475982259128816
17.01.2014,62.02,61.52,62.02,61.33,5551300,61.52,-1.3500703770244975,-1.3466422303660395,-1.3500703770244975,-1.3507814508004305,-1.3467669176224446
21.01.2014,61.69,62.06,62.45,61.42,6379300,62.06,-1.3466507768536804,-1.3487321634689542,-1.3466507768536804,-1.3480838549460978,-1.3461913964982957
22.01.2014,62.63,62.26,62.71,62.13,4864700,62.26,-1.3453842582718962,-1.3427790206909551,-1.3453842582718962,-1.346452750476036,-1.3416511742966781
23.01.2014,61.67,62.09,62.51,61.49,5050300,62.09,-1.3464607990664128,-1.3488588260812517,-1.3464607990664128,-1.3477074462222374,-1.345743768957291
24.01.2014,61.78,60.74,61.86,60.55,5523600,60.74,-1.3550097994934558,-1.3481621817136138,-1.3550097994934558,-1.3517852073973915,-1.3517547673650665
27.01.2014,60.49,60.78,61.24,60.35,4233600,60.78,-1.354756495777099,-1.3563319202068251,-1.354756495777099,-1.3556747642106157,-1.3530337031965083
28.01.2014,60.78,60.83,61.38,60.63,2932700,60.83,-1.354439866131653,-1.3544953123285064,-1.354439866131653,-1.354796477188275,-1.35124319303249
29.01.2014,60.56,60.45,61.89,60.09,6005100,60.45,-1.356846251437043,-1.3558886010637827,-1.356846251437043,-1.3515970030354616,-1.3546963197773823
30.01.2014,60.82,61.75,61.96,60.68,4254000,61.75,-1.3486138806554457,-1.3542419871039106,-1.3486138806554457,-1.351157859524291,-1.3509234590746295
31.01.2014,60.96,61.31,61.37,60.61,4291500,61.31,-1.3514002215353709,-1.3533553488178256,-1.3514002215353709,-1.354859211975585,-1.351371086615634
03.02.2014,61.19,60.01,61.25,59.92,4526100,60.01,-1.359632592316968,-1.3518987287764004,-1.359632592316968,-1.3556120294233058,-1.3557834152341075
04.02.2014,60.06,59.81,60.23,59.21,4646100,59.81,-1.360899110898752,-1.3590551663712291,-1.360899110898752,-1.3620109777289326,-1.3603236374357253
05.02.2014,59.33,60.07,60.4,59.23,4394300,60.07,-1.3592526367424327,-1.3636783517201008,-1.3592526367424327,-1.3609444863446616,-1.3601957438525811
06.02.2014,60.03,60.12,60.28,59.45,4765600,60.12,-1.3589360070969867,-1.3592451602896758,-1.3589360070969867,-1.3616973037923823,-1.3587889144379954
07.02.2014,59.8,60.53,60.78,59.47,6902900,60.53,-1.3563396440043292,-1.360701780331101,-1.3563396440043292,-1.358560564426879,-1.3586610208548513
10.02.2014,60.15,59.16,60.29,59.01,7774000,59.16,-1.3650152962895505,-1.3584851846158887,-1.3650152962895505,-1.3616345690050724,-1.3616025732671668
11.02.2014,59.17,59.9,60.12,59.02,5543000,59.9,-1.3603291775369493,-1.3646916526184834,-1.3603291775369493,-1.3627010603893435,-1.3615386264755946
12.02.2014,60.15,59.58,60.48,59.36,4120600,59.58,-1.362355607267804,-1.3584851846158887,-1.362355607267804,-1.3604426080461811,-1.359364435562144
13.02.2014,59.49,60.4,60.63,59.32,3788000,60.4,-1.3571628810824887,-1.3626650508217177,-1.3571628810824887,-1.35950158623653,-1.3596202227284324
14.02.2014,60.36,62.36,62.64,60.23,6848800,62.36,-1.344750998981004,-1.3571552271867613,-1.344750998981004,-1.3468918939872065,-1.3538010646953733
18.02.2014,62.36,62.63,63.3,62.3,5538400,62.63,-1.3430411988955957,-1.3444889659569759,-1.3430411988955957,-1.3427513980247419,-1.3405640788399527
19.02.2014,62.39,62.39,63.03,62.28,3926500,62.39,-1.3445610211937367,-1.3442989720385294,-1.3445610211937367,-1.3444452372821138,-1.3406919724230968
20.02.2014,62.43,62.33,62.86,62.12,4134000,62.33,-1.3449409767682718,-1.3440456468139335,-1.3449409767682718,-1.345511728666385,-1.34171512108825
21.02.2014,62.29,62.61,62.86,62.21,4552300,62.61,-1.3431678507537739,-1.3449322851000185,-1.3431678507537739,-1.345511728666385,-1.3411395999641014
24.02.2014,62.89,64.48,65.12,62.77,9559000,64.48,-1.331325902014092,-1.341132406731083,-1.331325902014092,-1.3313336667343096,-1.337558579636065
25.02.2014,64.45,63.89,64.59,63.73,3761800,63.89,-1.3350621318303555,-1.3312527229718505,-1.3350621318303555,-1.3346586104617433,-1.3314196876451454
26.02.2014,63.9,64.52,64.58,63.43,5433200,64.52,-1.3310725982977354,-1.3347359448100413,-1.3310725982977354,-1.3347213452490534,-1.3333380913923076
27.02.2014,64.28,64.48,64.82,64.13,4227300,64.48,-1.331325902014092,-1.3323293551763822,-1.331325902014092,-1.3332157103536117,-1.3288618159822623
28.02.2014,64.5,65.55,65.92,64.3,6176600,65.55,-1.324550027601547,-1.3309360664411058,-1.324550027601547,-1.3263148837495042,-1.3277747205255368
03.03.2014,65.06,65.4,65.71,64.92,3673400,65.4,-1.325499916537885,-1.327389513296766,-1.325499916537885,-1.327632314283016,-1.3238100194480678
04.03.2014,65.94,66.27,66.65,65.77,5164500,66.27,-1.319990560707124,-1.3218163583556606,-1.319990560707124,-1.3217352442758694,-1.3183745421644413
05.03.2014,66.39,66.16,66.59,65.81,3917600,66.16,-1.3206871459271052,-1.3189664495789588,-1.3206871459271052,-1.3221116529997299,-1.3181187549981528
06.03.2014,66.29,65.86,66.45,65.78,4200500,65.86,-1.3225869237997814,-1.3195997626404479,-1.3225869237997814,-1.3229899400220708,-1.318310595372869
07.03.2014,66.17,65.66,66.22,65.35,3434700,65.66,-1.3238534423815658,-1.3203597383142351,-1.3238534423815658,-1.3244328401302023,-1.3210603074104685
10.03.2014,65.55,66.06,66.08,65.41,2986400,66.06,-1.3213204052179974,-1.3242862792954686,-1.3213204052179974,-1.3253111271525433,-1.3206766266610361
11.03.2014,66.09,65.98,66.55,65.76,3471200,65.98,-1.3218270126507108,-1.3208663887634267,-1.3218270126507108,-1.3223625921489701,-1.3184384889560132
12.03.2014,65.79,66.06,66.15,65.75,2875400,66.06,-1.3213204052179974,-1.3227663279478943,-1.3213204052179974,-1.3248719836413727,-1.3185024357475854
13.03.2014,66.2,65.56,66.49,65.52,3178600,65.56,-1.3244867016724577,-1.3201697443957885,-1.3244867016724577,-1.3227390008728304,-1.3199732119537433
