Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,39.38,38.99,39.41,38.91,5370600,38.99,-0.35597668608349486,-0.32882528047828824,-0.35597668608349486,-0.3593535867814233,-0.3283467788402566
03.01.2014,39.23,39.12,39.28,38.79,4261500,39.12,-0.3464338204772693,-0.3398475664265021,-0.3464338204772693,-0.36885688102365366,-0.3372115206157753
06.01.2014,39.35,39.34,39.88,39.04,5842700,39.34,-0.3302843556051943,-0.33102973766793103,-0.3302843556051943,-0.32499552298258894,-0.31874330858344435
07.01.2014,39.47,39.59,40.08,39.44,5804100,39.59,-0.3119326909778368,-0.32221190890936047,-0.3119326909778368,-0.3103750703022344,-0.28919416933171493
08.01.2014,39.55,40.86,40.91,39.29,10369000,40.86,-0.2187062346708612,-0.31633335640364674,-0.2187062346708612,-0.24970019167876176,-0.3002750965511134
09.01.2014,40.89,42.09,42.85,40.88,15062300,42.09,-0.12841604470426216,-0.21786760193293978,-0.12841604470426216,-0.10788180067931907,-0.1828172680254884
10.01.2014,41.97,41.55,42.22,41.31,7371800,41.55,-0.16805564029935474,-0.13850714310580312,-0.16805564029935474,-0.1539362266224371,-0.1510519433298792
13.01.2014,41.49,41.44,42.12,41.36,5422000,41.44,-0.176130372735392,-0.17377845814008588,-0.176130372735392,-0.16124645296261467,-0.1473583009234132
14.01.2014,41.5,41.31,41.57,41.13,5759600,41.31,-0.18567323834161753,-0.1730436390768718,-0.18567323834161753,-0.20145269783359038,-0.16434905599315744
15.01.2014,41.35,40.95,41.62,40.92,6321700,40.95,-0.21209963540501225,-0.18406592502508515,-0.21209963540501225,-0.19779758466350186,-0.1798623541003155
16.01.2014,41.07,41.23,41.32,40.57,6523100,41.23,-0.19154577102237233,-0.20464085879508365,-0.19154577102237233,-0.21972826368403398,-0.2057178509455789
17.01.2014,41.13,40.73,41.31,40.7,6007000,40.73,-0.22824910027708725,-0.2002319444157981,-0.22824910027708725,-0.22045928631805156,-0.19611438068876663
21.01.2014,40.71,40.43,40.91,40.09,4611400,40.43,-0.250271097829916,-0.23109434507079588,-0.250271097829916,-0.24970019167876176,-0.2411768180476541
22.01.2014,40.98,40.55,41.57,40.49,7444700,40.55,-0.24146229880878461,-0.21125423036401197,-0.24146229880878461,-0.20145269783359038,-0.2116276787959247
23.01.2014,40.19,40.17,40.6,40.06,3679200,40.17,-0.26935682904236763,-0.26930493635793606,-0.26935682904236763,-0.27236189333331146,-0.2433930034915339
24.01.2014,39.96,39.4,40.3,39.4,6541600,39.4,-0.32587995609462883,-0.2862057748118631,-0.32587995609462883,-0.2942925723538441,-0.2921490832568878
