Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,77.65,76.41,77.8,76.35,5112000,76.41,-0.7526865590529059,-0.7275617484630704,-0.7526865590529059,-0.7389636018375407,-0.7390965721327273
03.01.2014,76.15,76.66,76.95,75.71,3888500,76.66,-0.7475297342761229,-0.7585310666139329,-0.7475297342761229,-0.7563194412696347,-0.7524503006434513
06.01.2014,76.62,76.62,77.09,76.35,2844700,76.62,-0.748354826240408,-0.7488273469266626,-0.748354826240408,-0.7534608324219957,-0.7390965721327273
07.01.2014,77.02,76.33,77.48,76.03,4039500,76.33,-0.7543367429814765,-0.7405688620864329,-0.7543367429814765,-0.7454975649178583,-0.7457734363880891
08.01.2014,75.93,76.57,76.77,75.93,3880200,76.57,-0.7493861911957649,-0.7630732332760594,-0.7493861911957649,-0.7599947955023136,-0.7478599564678896
09.01.2014,76.98,76.12,77.02,75.42,3469200,76.12,-0.758668475793974,-0.7413947105704557,-0.758668475793974,-0.7548901368458153,-0.758501208874873
10.01.2014,76.44,75.83,76.7,75.45,2901600,75.83,-0.7646503925350424,-0.7525436651047663,-0.7646503925350424,-0.761424099926133,-0.7578752528509328
13.01.2014,75.81,74.5,76.22,74.4,5641000,74.5,-0.7920847003475279,-0.7655507787281285,-0.7920847003475279,-0.7712250445466097,-0.7797837136888395
14.01.2014,74.58,74.61,74.89,73.71,4777900,74.61,-0.7898156974457433,-0.7909456196118357,-0.7898156974457433,-0.7983818285991804,-0.794180702239464
15.01.2014,74.9,75.58,75.82,74.58,4494900,75.58,-0.7698072173118254,-0.7843388317396516,-0.7698072173118254,-0.7793924983970071,-0.7760279775451985
16.01.2014,75.36,75.17,75.57,74.73,3326100,75.17,-0.7782644099457494,-0.7748415741733873,-0.7782644099457494,-0.7844971570535053,-0.7728981974254974
17.01.2014,78.64,77.91,80.18,77.55,14989900,77.91,-0.721745610392208,-0.7071219984835013,-0.721745610392208,-0.6903672514276772,-0.7140583311751195
21.01.2014,78.76,77.58,79.4,76.77,7954600,77.58,-0.7285526190975615,-0.7046444530314322,-0.7285526190975615,-0.7062937864359518,-0.7303331877975645
22.01.2014,77.62,78.04,78.29,77.61,3848700,78.04,-0.7190640615082806,-0.7281811348260877,-0.7190640615082806,-0.728958470870804,-0.7128064191272391
23.01.2014,77.5,76.36,77.5,75.95,5260900,76.36,-0.7537179240082624,-0.7306586802781568,-0.7537179240082624,-0.7450891922253386,-0.7474426524519296
24.01.2014,75.84,74.46,76.54,74.22,6289300,74.46,-0.7929097923118132,-0.7649313923651112,-0.7929097923118132,-0.7646910814662918,-0.7835394498324807
27.01.2014,74.64,73.41,75.17,73.4,5651400,73.41,-0.8145684563743018,-0.7897068468858012,-0.8145684563743018,-0.7926646109039023,-0.8006489144868458
28.01.2014,73.52,74.2,74.66,73.31,4108700,74.2,-0.7982728900796674,-0.8128306044384452,-0.7982728900796674,-0.8030781145631589,-0.8025267825586664
29.01.2014,73.9,73.26,74.42,73.16,3357900,73.26,-0.8176625512403713,-0.8049850438402266,-0.8176625512403713,-0.8079785868733971,-0.8056565626783675
30.01.2014,74.04,74.18,74.49,73.71,4259000,74.18,-0.79868543606181,-0.802094574146146,-0.79868543606181,-0.8065492824495777,-0.794180702239464
31.01.2014,73.03,72.81,73.57,72.72,4778000,72.81,-0.8269448358385808,-0.8229472483677269,-0.8269448358385808,-0.8253344263054914,-0.8148372510294902
03.02.2014,72.79,70.96,73.15,70.88,5769800,70.96,-0.8651053391867751,-0.8279023392718647,-0.8651053391867751,-0.8339102528484081,-0.853229220497822
04.02.2014,71.24,71.94,72.55,70.76,5380500,71.94,-0.8448905860617857,-0.8599039680277563,-0.8448905860617857,-0.8461614336240041,-0.8557330445935827
05.02.2014,71.52,71.7,72.04,71.04,3260100,71.7,-0.8498411378474973,-0.8541230286395952,-0.8498411378474973,-0.8565749372832604,-0.8498907883701409
