Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,29.98,29.37,30.09,29.27,3165521,29.37,-0.7323901047435972,-0.6780514605665537,-0.7323901047435972,-0.7026979805328687,-0.7062555416388274
03.01.2014,29.39,29.44,29.6,29.23,2100448,29.44,-0.7259282454366368,-0.7325757669620278,-0.7259282454366368,-0.7477053207216793,-0.7099709872941453
06.01.2014,29.38,29.49,29.73,29.36,1851427,29.49,-0.7213126316459512,-0.7334999077483919,-0.7213126316459512,-0.7357645978144439,-0.6978957889143621
07.01.2014,29.55,30.33,30.47,29.5,3703971,30.33,-0.6437703199624271,-0.7177895143802043,-0.6437703199624271,-0.6677943289578726,-0.6848917291207494
08.01.2014,30.56,30.77,31.31,30.54,4899408,30.77,-0.6031529186043906,-0.6244512949574439,-0.6031529186043906,-0.590638888634197,-0.5882901420824838
09.01.2014,30.78,30.25,31.11,30.17,5341345,30.25,-0.6511553020275245,-0.6041201976574364,-0.6511553020275245,-0.6090092315684055,-0.6226580143941742
10.01.2014,30.55,30.33,30.64,30.03,3631071,30.33,-0.6437703199624271,-0.6253754357438077,-0.6437703199624271,-0.6521795374637953,-0.635662074187787
13.01.2014,30.55,30.64,30.75,30.37,2689289,30.64,-0.615153514460174,-0.6253754357438077,-0.615153514460174,-0.6420758488499807,-0.6040807861175848
14.01.2014,30.36,30.53,30.67,30.14,3361188,30.53,-0.625307864799683,-0.6429341106847232,-0.625307864799683,-0.6494239860236639,-0.6254445986356627
15.01.2014,30.63,31.49,31.49,30.63,4443293,31.49,-0.5366880800185129,-0.6179823094528961,-0.5366880800185129,-0.5741055799934094,-0.5799303893580184
16.01.2014,31.59,30.93,31.67,30.86,4292375,30.93,-0.5883829544741954,-0.5292647939619552,-0.5883829544741954,-0.5575722713526214,-0.5585665768399405
17.01.2014,30.9,30.52,31.11,30.21,5227093,30.52,-0.6262309875578204,-0.5930305082210691,-0.6262309875578204,-0.6090092315684055,-0.6189425687388563
20.01.2014,30.42,30.46,30.63,30.06,2462891,30.46,-0.6317697241066433,-0.6373892659665391,-0.6317697241066433,-0.6530980546105059,-0.6328754899462987
