Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,12.72,13.05,13.1,12.71,148709900,13.05,-1.2710455077388776,-1.3073784307509073,-1.2710455077388776,-1.2806169181193192,-1.2929754950320023
03.01.2014,13.19,13.3,13.37,13.15,129921800,13.3,-1.243557833515528,-1.255700912407481,-1.243557833515528,-1.2512509411666328,-1.2440765800822806
06.01.2014,13.48,13.5,13.56,13.42,114431300,13.5,-1.2215676941368483,-1.2238147840679197,-1.2215676941368483,-1.2305859944221496,-1.2140704277267695
07.01.2014,13.59,13.37,13.61,13.33,110605100,13.37,-1.2358612847329904,-1.2117200457322241,-1.2358612847329904,-1.2251478505420226,-1.22407247851194
08.01.2014,13.51,13.44,13.53,13.39,101036400,13.44,-1.2281647359504524,-1.2205162190672756,-1.2281647359504524,-1.233848880750226,-1.2174044446551597
09.01.2014,13.51,13.64,13.72,13.46,100947200,13.64,-1.2061745965717725,-1.2205162190672756,-1.2061745965717725,-1.2131839340057426,-1.2096250718222494
10.01.2014,13.58,13.59,13.61,13.46,87454100,13.59,-1.2116721314164425,-1.2128195673991056,-1.2116721314164425,-1.2251478505420226,-1.2096250718222494
13.01.2014,13.61,13.32,13.62,13.29,90025400,13.32,-1.2413588195776601,-1.2095210023984615,-1.2413588195776601,-1.224060221765997,-1.2285178344164602
14.01.2014,13.41,13.59,13.59,13.4,97786600,13.59,-1.2116721314164425,-1.2315114357360897,-1.2116721314164425,-1.2273231080940734,-1.2162931056790296
15.01.2014,13.97,13.9,14.12,13.87,329333100,13.9,-1.177587415379489,-1.1699382223907304,-1.177587415379489,-1.169678782964726,-1.164060173800918
16.01.2014,13.85,13.84,13.89,13.77,163613100,13.84,-1.1841844571930928,-1.1831324823933074,-1.1841844571930928,-1.1946942448133107,-1.1751735635622182
17.01.2014,13.94,13.79,13.96,13.77,96232200,13.79,-1.1896819920377628,-1.1732367873913747,-1.1896819920377628,-1.1870808433811326,-1.1751735635622182
21.01.2014,13.84,13.79,13.91,13.67,118269200,13.79,-1.1896819920377628,-1.1842320040601888,-1.1896819920377628,-1.1925189872612598,-1.1862869533235187
22.01.2014,13.84,13.9,13.9,13.78,68114400,13.9,-1.177587415379489,-1.1842320040601888,-1.177587415379489,-1.1936066160372851,-1.1740622245860883
23.01.2014,13.84,13.67,13.85,13.57,123765900,13.67,-1.2028760756649706,-1.1842320040601888,-1.2028760756649706,-1.1990447599174123,-1.197400343084819
24.01.2014,13.51,13.33,13.55,13.33,112899300,13.33,-1.2402593126087262,-1.2205162190672756,-1.2402593126087262,-1.2316736231981749,-1.22407247851194
27.01.2014,13.27,13.22,13.41,13.02,134872600,13.22,-1.2523538892669999,-1.2469047390724295,-1.2523538892669999,-1.246900426062531,-1.2585239867719713
28.01.2014,13.33,13.56,13.58,13.27,92891300,13.56,-1.2149706523232444,-1.240307609071141,-1.2149706523232444,-1.2284107368700987,-1.2307405123687203
29.01.2014,13.41,13.52,13.66,13.37,130026900,13.52,-1.2193686801989805,-1.2315114357360897,-1.2193686801989805,-1.2197097066618954,-1.21962712260742
30.01.2014,13.62,13.72,13.77,13.59,91028200,13.72,-1.1973785408203006,-1.20842148073158,-1.1973785408203006,-1.2077457901256157,-1.195177665132559
31.01.2014,13.55,13.58,13.76,13.46,139432100,13.58,-1.2127716383853766,-1.2161181323997499,-1.2127716383853766,-1.2088334189016412,-1.2096250718222494
03.02.2014,13.59,13.25,13.68,13.21,159981200,13.25,-1.249055368360198,-1.2117200457322241,-1.249055368360198,-1.2175344491098445,-1.2374085462255004
04.02.2014,13.37,13.25,13.42,13.18,125337000,13.25,-1.249055368360198,-1.2359095224036154,-1.249055368360198,-1.2458127972865056,-1.2407425631538906
05.02.2014,13.22,13.29,13.33,13.09,110576200,13.29,-1.244657340484462,-1.2524023474068364,-1.244657340484462,-1.2556014562707343,-1.250744613939061
06.02.2014,13.33,13.53,13.56,13.32,110029100,13.53,-1.2182691732300466,-1.240307609071141,-1.2182691732300466,-1.2305859944221496,-1.22518381748807
07.02.2014,13.63,13.63,13.68,13.48,122571100,13.63,-1.2072741035407064,-1.2073219590646984,-1.2072741035407064,-1.2175344491098445,-1.2074023938699894
10.02.2014,13.54,13.55,13.56,13.45,95792500,13.55,-1.2160701592921783,-1.2172176540666313,-1.2160701592921783,-1.2305859944221496,-1.2107364107983796
11.02.2014,13.56,13.68,13.71,13.49,92617500,13.68,-1.2017765686960367,-1.2150186107328684,-1.2017765686960367,-1.2142715627817682,-1.2062910548938592
