Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,40.15,40.33,40.43,39.98,16479700,40.33,-0.8614316628639155,-0.8813487187600972,-0.8614316628639155,-0.9005563939468552,-0.8490926558753908
03.01.2014,40.43,41.2,41.26,40.36,26884900,41.2,-0.7692896793156019,-0.8517034673836449,-0.7692896793156019,-0.8132035579134688,-0.8086071185453005
06.01.2014,41.37,41.52,41.89,41.23,28503100,41.52,-0.7353983750219695,-0.7521801234769842,-0.7353983750219695,-0.7468995980327051,-0.7159165462369367
07.01.2014,42.12,41.81,42.22,41.5,28840400,41.81,-0.7046843805058651,-0.6727732001472014,-0.7046843805058651,-0.712168952380877,-0.6871505065550302
08.01.2014,41.89,42.29,42.44,41.82,25989800,42.29,-0.6538474240654168,-0.6971246566350011,-0.6538474240654168,-0.6890151886129915,-0.6530574224875859
09.01.2014,42.44,42.59,42.66,42.25,21803700,42.59,-0.622074326290136,-0.6388929128598274,-0.622074326290136,-0.6658614248451059,-0.6072448407719577
10.01.2014,42.46,42.22,42.51,41.9,22485900,42.22,-0.661261146879649,-0.6367753949043662,-0.661261146879649,-0.6816480819595733,-0.644534151470725
13.01.2014,42.02,41.45,42.18,41.24,21110300,41.45,-0.7428120978362016,-0.6833607899245052,-0.7428120978362016,-0.7163787276114015,-0.7148511373598285
14.01.2014,41.77,41.63,41.98,41.38,17771000,41.63,-0.7237482391710334,-0.7098297643677661,-0.7237482391710334,-0.737427603764025,-0.6999354130803216
15.01.2014,42.07,42.43,42.57,41.95,33688100,42.43,-0.6390199784369527,-0.6780669950358533,-0.6390199784369527,-0.6753334191137861,-0.6392071070851864
16.01.2014,41.33,40.59,41.33,40.39,62946800,40.59,-0.8338949781253386,-0.7564151593879058,-0.8338949781253386,-0.8058364512600505,-0.8054108919139775
17.01.2014,40.63,40.33,40.83,40.22,33934500,40.33,-0.8614316628639155,-0.8305282878290359,-0.8614316628639155,-0.8584586416416088,-0.8235228428248075
21.01.2014,40.51,40.01,40.9,39.79,27567400,40.01,-0.8953229671575479,-0.8432333955618015,-0.8953229671575479,-0.8510915349881906,-0.8693354245404357
