Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,144.06,144.01,145.22,143.58,1982100,144.01,-0.9729682583899936,-0.9724578754308779,-0.9729682583899936,-0.975253294767022,-0.9617721211945918
03.01.2014,143.57,145.04,145.61,143.47,2147400,145.04,-0.9617428206473982,-0.9778012663956099,-0.9617428206473982,-0.9710473248379042,-0.962983947661044
06.01.2014,145.85,146.03,147.46,145.63,2954000,146.03,-0.9509533222346125,-0.9529381410903265,-0.9509533222346125,-0.9510959290202952,-0.9391880825016221
07.01.2014,147.14,145.15,147.34,144.52,2734700,145.15,-0.9605439874904219,-0.9388708465097056,-0.9605439874904219,-0.9523900736138698,-0.9514165132085471
08.01.2014,145.32,145.27,145.65,144.31,2208600,145.27,-0.9592361695009933,-0.9587177272358529,-0.9592361695009933,-0.9706159433067127,-0.9537300000990465
09.01.2014,145.79,144.43,145.79,143.78,2149500,144.43,-0.9683908954269934,-0.9535924338615182,-0.9683908954269934,-0.9691061079475425,-0.9595688003464973
10.01.2014,144.43,145.23,145.49,144.1,2506500,145.23,-0.9596721088308031,-0.9684230700085292,-0.9596721088308031,-0.9723414694314789,-0.956043486989546
13.01.2014,145.16,143.19,145.16,143.03,2823800,143.19,-0.9819050146510887,-0.9604625079590307,-0.9819050146510887,-0.9759003670638093,-0.9678312535268521
14.01.2014,143.5,143.78,144.51,143.05,2208800,143.78,-0.9754749095363981,-0.9785646079620002,-0.9754749095363981,-0.9829103169456721,-0.9676109214420425
15.01.2014,144.1,145.53,146.33,144.1,3540200,145.53,-0.9564025638572315,-0.9720216802500835,-0.9564025638572315,-0.9632824572764563,-0.956043486989546
16.01.2014,145.53,142.61,145.56,142.07,4712200,142.61,-0.9882261349333267,-0.956427702536682,-0.9882261349333267,-0.9715865517518938,-0.9784071935977063
17.01.2014,142.48,143.51,144.33,142.07,3451000,143.51,-0.9784175000126126,-0.9896875850722586,-0.9784175000126126,-0.9848515338360339,-0.9784071935977063
21.01.2014,142.55,141.01,142.95,139.49,5141200,141.01,-1.0056637081257078,-0.9889242435058682,-1.0056637081257078,-0.9997341966621426,-1.0068300325381268
22.01.2014,141.21,141.4,142.18,140.67,2476900,141.4,-1.0014132996600649,-1.003536782062482,-1.0014132996600649,-1.0080382911375796,-0.9938304395343687
23.01.2014,140.37,139.01,140.37,137.6,3977700,139.01,-1.027460674616184,-1.0126968808591656,-1.027460674616184,-1.0275583054239974,-1.027651414552621
24.01.2014,137.21,136.48,138.37,136.14,4156200,136.48,-1.0550338372266364,-1.0471563001419268,-1.0550338372266364,-1.0491273819835747,-1.0437356567437117
27.01.2014,136.02,134.08,136.45,133.05,5589600,134.08,-1.0811901970152076,-1.0601331067705617,-1.0811901970152076,-1.0698336954807692,-1.0777769638467734
28.01.2014,134.36,135.35,135.59,134.0,3170400,135.35,-1.0673491232937555,-1.078235206773531,-1.0673491232937555,-1.0791083984013874,-1.067311189818324
29.01.2014,133.49,133.44,135.23,133.21,3473700,133.44,-1.0881652262921602,-1.0877224519558104,-1.0881652262921602,-1.0829908321821116,-1.0760143071682977
30.01.2014,134.6,135.02,135.28,133.98,2829400,135.02,-1.0709456227646839,-1.0756180356887646,-1.0709456227646839,-1.082451605268122,-1.0675315219031336
31.01.2014,133.35,133.61,135.13,132.95,3415500,133.61,-1.0863124841404694,-1.0892491350885911,-1.0863124841404694,-1.0840692860100904,-1.0788786242708208
03.02.2014,134.45,130.11,134.75,130.07,5079700,130.11,-1.1244571754988029,-1.077253767616744,-1.1244571754988029,-1.08816741055641,-1.1106064444833834
04.02.2014,130.99,131.69,132.35,130.14,3346600,131.69,-1.1072375719713268,-1.1149846507554633,-1.1072375719713268,-1.114050302427903,-1.1098352821865503
05.02.2014,130.74,130.6,132.42,130.52,3212900,130.6,-1.1191169187086363,-1.1177108706354286,-1.1191169187086363,-1.1132953847483178,-1.1056489725751704
06.02.2014,131.21,131.69,131.89,130.34,3798000,131.69,-1.1072375719713268,-1.112585577261094,-1.1072375719713268,-1.119011190036606,-1.1076319613384555
07.02.2014,132.52,131.83,132.62,130.48,4879900,131.83,-1.1057117843169932,-1.0983001850900758,-1.1057117843169932,-1.11113847709236,-1.1060896367447894
10.02.2014,131.09,131.07,131.7,130.49,4321700,131.07,-1.1139946315833744,-1.1138941628034773,-1.1139946315833744,-1.1210602523097657,-1.1059794707023844
11.02.2014,131.25,133.83,134.3,130.51,4996300,133.83,-1.0839148178265172,-1.1121493820802995,-1.0839148178265172,-1.0930204527823149,-1.1057591386175751
12.02.2014,133.92,133.11,134.52,132.89,3046600,133.11,-1.0917617257630885,-1.0830333537622703,-1.0917617257630885,-1.0906478543607614,-1.0795396205252492
13.02.2014,132.34,133.57,133.84,131.97,3119600,133.57,-1.0867484234702793,-1.1002630634036508,-1.0867484234702793,-1.0979813403910177,-1.0896748964264844
14.02.2014,132.97,133.29,133.92,132.65,3287900,133.29,-1.089799998778946,-1.0933929893061383,-1.089799998778946,-1.0971185773286347,-1.0821836055429626
18.02.2014,133.55,134.05,134.81,133.29,3399900,134.05,-1.0815171515125648,-1.0870681591846187,-1.0815171515125648,-1.0875203382596226,-1.07513297882906
19.02.2014,133.44,132.91,135.29,132.69,3669700,132.91,-1.0939414224121364,-1.0882676959318036,-1.0939414224121364,-1.0823437598853243,-1.0817429413733437
20.02.2014,133.1,133.92,134.31,132.43,2631900,133.92,-1.082933954334446,-1.0919753549685565,-1.082933954334446,-1.092912607399517,-1.0846072584758668
21.02.2014,133.76,133.92,134.86,133.64,2594500,133.92,-1.082933954334446,-1.0847781344854481,-1.082933954334446,-1.0869811113456331,-1.0712771673448944
24.02.2014,133.58,135.59,136.29,133.58,3242900,135.59,-1.0647334873148981,-1.086741012799023,-1.0647334873148981,-1.0715592216055354,-1.0719381635993226
25.02.2014,135.24,133.09,135.39,132.83,3682300,133.09,-1.0919796954279934,-1.0686389127960534,-1.0919796954279934,-1.0812653060573454,-1.0802006167796774
26.02.2014,133.36,132.99,133.89,131.33,3978300,132.99,-1.093069543752517,-1.0891400862933922,-1.093069543752517,-1.0974421134770285,-1.096725523140387
27.02.2014,132.87,135.1,135.43,132.61,3806600,135.1,-1.070073744105065,-1.0944834772581244,-1.070073744105065,-1.0808339245261536,-1.0826242697125814
