Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,2.83,2.81,2.85,2.79,161906994,2.81,-1.463381059782691,-1.4282176185586708,-1.463381059782691,-1.4416086031109587,-1.4537034136956435
03.01.2014,2.76,2.74,2.77,2.73,379870079,2.74,-1.5844863392727822,-1.5494266391389588,-1.5844863392727822,-1.5785124476721522,-1.5588459216825927
06.01.2014,2.72,2.68,2.73,2.67,324748735,2.68,-1.6882908645500032,-1.6186889366134083,-1.6882908645500032,-1.646964369952749,-1.663988429669542
07.01.2014,2.67,2.68,2.69,2.65,263267148,2.68,-1.6882908645500032,-1.7052668084564713,-1.6882908645500032,-1.7154162922333456,-1.6990359323318585
08.01.2014,2.66,2.72,2.74,2.65,337714372,2.72,-1.6190878476985224,-1.7225823828250835,-1.6190878476985224,-1.6298513893825994,-1.6990359323318585
09.01.2014,2.69,2.67,2.72,2.66,242933205,2.67,-1.705591618762874,-1.6706356597192462,-1.705591618762874,-1.6640773505228976,-1.6815121810006999
10.01.2014,2.65,2.68,2.68,2.65,194253820,2.68,-1.6882908645500032,-1.7398979571936963,-1.6882908645500032,-1.7325292728034944,-1.6990359323318585
13.01.2014,2.7,2.68,2.71,2.65,134921061,2.68,-1.6882908645500032,-1.6533200853506334,-1.6882908645500032,-1.6811903310930474,-1.6990359323318585
14.01.2014,2.64,2.66,2.68,2.64,162756512,2.66,-1.7228923729757437,-1.7572135315623085,-1.7228923729757437,-1.7325292728034944,-1.7165596836630161
15.01.2014,2.7,2.67,2.7,2.65,171007314,2.67,-1.705591618762874,-1.6533200853506334,-1.705591618762874,-1.698303311663196,-1.6990359323318585
16.01.2014,2.68,2.67,2.69,2.66,188880519,2.67,-1.705591618762874,-1.6879512340878584,-1.705591618762874,-1.7154162922333456,-1.6815121810006999
17.01.2014,2.65,2.64,2.67,2.63,314250872,2.64,-1.757493881401484,-1.7398979571936963,-1.757493881401484,-1.749642253373644,-1.7340834349941747
20.01.2014,2.61,2.58,2.63,2.58,334888285,2.58,-1.8612984066787053,-1.8091602546681465,-1.8612984066787053,-1.8180941756542406,-1.8217021916499654
21.01.2014,2.61,2.65,2.66,2.61,267870750,2.65,-1.7401931271886142,-1.8091602546681465,-1.7401931271886142,-1.7667552339437929,-1.7691309376564912
22.01.2014,2.63,2.69,2.7,2.63,285113634,2.69,-1.6709901103371334,-1.7745291059309214,-1.6709901103371334,-1.698303311663196,-1.7340834349941747
23.01.2014,2.67,2.6,2.7,2.59,355306514,2.6,-1.8266968982529648,-1.7052668084564713,-1.8266968982529648,-1.698303311663196,-1.8041784403188075
24.01.2014,2.56,2.57,2.59,2.56,330539034,2.57,-1.8785991608915757,-1.8957381265112088,-1.8785991608915757,-1.8865460979348374,-1.8567496943122819
