Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,43.36,43.29,43.5,43.11,15627600,43.29,-1.2633543328937231,-1.2622214012072925,-1.2633543328937231,-1.2685874069095486,-1.2579116293332397
03.01.2014,43.34,43.62,43.84,43.29,14214100,43.62,-1.255673737875772,-1.262687282638863,-1.255673737875772,-1.2607380907758088,-1.2536829901975823
06.01.2014,43.99,43.87,44.22,43.75,17550700,43.87,-1.249855105286415,-1.2475461361128166,-1.249855105286415,-1.2519653256851586,-1.2428764679620135
07.01.2014,44.09,43.37,44.19,43.21,17851200,43.37,-1.261492370465129,-1.2452167289549632,-1.261492370465129,-1.2526579124028416,-1.2555623853689857
08.01.2014,43.53,43.78,43.81,43.35,14687400,43.78,-1.2519498130185835,-1.258261409038942,-1.2519498130185835,-1.2614306774934918,-1.25227344381903
09.01.2014,43.86,43.69,43.87,43.37,13242500,43.69,-1.254044520750752,-1.250574365418026,-1.254044520750752,-1.260045504058126,-1.2518035950261792
10.01.2014,43.63,43.49,43.69,43.26,12694900,43.49,-1.2586994268222376,-1.2559320018810884,-1.2586994268222376,-1.2642010243642237,-1.2543877633868585
13.01.2014,43.51,42.91,43.63,42.78,20711600,42.91,-1.2721986544295458,-1.2587272904705125,-1.2721986544295458,-1.2655861977995893,-1.2656641344152781
14.01.2014,43.35,42.94,43.56,42.8,30272400,42.94,-1.271500418518823,-1.2624543419230778,-1.271500418518823,-1.2672022334741828,-1.2651942856224274
15.01.2014,42.93,44.24,44.36,42.93,35186600,44.24,-1.2412435290541668,-1.2722378519860618,-1.2412435290541668,-1.2487332543359717,-1.2621402684688972
16.01.2014,43.72,43.87,44.48,43.68,21689400,43.87,-1.249855105286415,-1.2538355354390205,-1.249855105286415,-1.24596290746524,-1.2445209387369913
17.01.2014,44.03,43.21,44.04,43.15,20997900,43.21,-1.2652162953223174,-1.2466143732496753,-1.2652162953223174,-1.2561208459912563,-1.256971931747538
21.01.2014,43.2,43.26,43.46,42.82,19548300,43.26,-1.264052568804446,-1.2659484526598577,-1.264052568804446,-1.2695108558664592,-1.2647244368295765
22.01.2014,43.37,42.82,43.37,42.7,15433500,42.82,-1.2742933621617143,-1.2619884604915073,-1.2742933621617143,-1.271588616019508,-1.2675435295866815
23.01.2014,42.45,41.99,42.46,41.8,26234600,41.99,-1.2936112223583793,-1.2834190063437574,-1.2936112223583793,-1.2925970797892232,-1.2886867252649683
24.01.2014,41.64,40.97,41.91,40.97,26833100,40.97,-1.3173512433229557,-1.3022872043223692,-1.3173512433229557,-1.3052945029467433,-1.3081854501682773
27.01.2014,40.96,40.97,41.49,40.67,23935000,40.97,-1.3173512433229557,-1.3181271729957718,-1.3173512433229557,-1.314990716994304,-1.3152331820610397
28.01.2014,41.19,41.45,41.89,41.08,18041000,41.45,-1.3061794687513903,-1.3127695365327092,-1.3061794687513903,-1.3057562274251986,-1.305601281807598
29.01.2014,40.87,41.29,41.55,40.79,25459000,41.29,-1.3099033936085789,-1.32022363943784,-1.3099033936085789,-1.3136055435589384,-1.3124140893039347
30.01.2014,41.69,41.64,41.93,41.37,17031100,41.64,-1.301757307983479,-1.3011225007434428,-1.301757307983479,-1.304832778468288,-1.298788474311261
31.01.2014,41.27,41.17,41.72,41.03,18174000,41.17,-1.3126963372514702,-1.3109060108064265,-1.3126963372514702,-1.3096808854920685,-1.3067759037897249
03.02.2014,41.27,40.39,41.58,40.3,28549900,40.39,-1.3308504709302638,-1.3109060108064265,-1.3308504709302638,-1.3129129568412554,-1.3239253847287797
04.02.2014,40.69,40.86,41.16,40.6,20709300,40.86,-1.3199114416622728,-1.3244165723219758,-1.3199114416622728,-1.3226091708888164,-1.3168776528360175
05.02.2014,40.97,41.05,41.23,40.59,19491600,41.05,-1.3154892808943615,-1.3178942322799865,-1.3154892808943615,-1.3209931352142228,-1.3171125772324428
06.02.2014,41.16,42.0,42.05,41.05,20881600,42.0,-1.2933784770548051,-1.3134683586800653,-1.2933784770548051,-1.3020624315975564,-1.3063060549968741
07.02.2014,42.13,42.1,42.33,41.84,23388500,42.1,-1.2910510240190622,-1.290873109248888,-1.2910510240190622,-1.2955982888991826,-1.2877470276792666
10.02.2014,42.21,42.19,42.33,41.93,14715200,42.19,-1.2889563162868938,-1.2890095835226054,-1.2889563162868938,-1.2955982888991826,-1.285632708111438
11.02.2014,42.1,42.71,42.81,42.07,18774100,42.71,-1.2768535605010312,-1.2915719313962442,-1.2768535605010312,-1.2845169014162559,-1.2823437665614823
