Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,78.39,78.09,78.45,77.71,7214000,78.09,-1.226753489676937,-1.2243895275049186,-1.226753489676937,-1.2301592613809624,-1.2231419866599678
03.01.2014,78.09,77.78,78.24,77.33,6438000,77.78,-1.22918020940392,-1.226738612071182,-1.22918020940392,-1.2317883006878994,-1.2261463016816014
06.01.2014,77.88,77.39,78.06,77.2,7022000,77.39,-1.2322331793830275,-1.2283829712675665,-1.2322331793830275,-1.2331846200938448,-1.2271740936626867
07.01.2014,77.9,78.47,78.67,77.9,7635000,78.47,-1.223778800979345,-1.2282263656298154,-1.223778800979345,-1.2284526487736955,-1.2216398291491506
08.01.2014,78.49,78.44,79.12,78.37,6936000,78.44,-1.2240136448238919,-1.2236064993161644,-1.2240136448238919,-1.2249618502588313,-1.217923965832919
09.01.2014,78.74,79.08,79.14,78.39,7025000,79.08,-1.2190036428068947,-1.2216489288442784,-1.2190036428068947,-1.2248067036581705,-1.2177658439896755
10.01.2014,79.38,78.25,79.44,77.95,8211000,78.25,-1.2255009891726878,-1.21663754843625,-1.2255009891726878,-1.222479504648261,-1.221244524541041
13.01.2014,78.32,75.93,78.55,75.71,12354000,75.93,-1.2436622464843021,-1.224937647237047,-1.2436622464843021,-1.2293835283776595,-1.2389541709843563
14.01.2014,76.19,77.03,77.14,75.38,10869000,77.03,-1.2350513055175885,-1.2416161476575163,-1.2350513055175885,-1.2403213637242338,-1.2415631813978805
15.01.2014,77.35,77.18,77.78,76.98,7750000,77.18,-1.2338770862948547,-1.2325330206679648,-1.2338770862948547,-1.2353566725030938,-1.2289134339383692
16.01.2014,77.32,77.38,77.62,77.09,4965000,77.38,-1.2323114606645431,-1.2327679291245912,-1.2323114606645431,-1.2365978453083788,-1.228043763800528
17.01.2014,77.33,76.72,78.18,75.73,13330000,76.72,-1.2374780252445714,-1.2326896263057157,-1.2374780252445714,-1.232253740489881,-1.2387960491411123
21.01.2014,77.15,76.72,77.48,76.31,10103000,76.72,-1.2374780252445714,-1.2340990770454736,-1.2374780252445714,-1.2376838715130034,-1.2342105156870395
22.01.2014,77.06,78.08,78.65,76.87,7220600,78.08,-1.2268317709584526,-1.2348038024153527,-1.2268317709584526,-1.2286077953743562,-1.2297831040762108
23.01.2014,78.55,77.2,78.56,76.79,6590300,77.2,-1.2337205237318234,-1.2231366824029117,-1.2337205237318234,-1.229305955077329,-1.230415591449186
24.01.2014,76.66,73.59,76.85,73.59,9460200,73.59,-1.2619800663589475,-1.2379359151703704,-1.2619800663589475,-1.2425709894338133,-1.2557150863682083
27.01.2014,74.01,71.29,74.04,70.26,13707500,71.29,-1.2799847611075308,-1.2586861621723626,-1.2799847611075308,-1.2643690868266324,-1.2820423732683157
28.01.2014,71.9,73.89,74.14,71.79,7735000,73.89,-1.25963162791348,-1.2752080569550812,-1.25963162791348,-1.263593353823329,-1.269946052260158
29.01.2014,73.29,72.84,73.74,72.19,7908500,72.84,-1.2678511624726159,-1.2643239651313947,-1.2678511624726159,-1.2666962858365418,-1.2667836153952805
30.01.2014,75.41,74.77,75.51,73.34,8702200,74.77,-1.2527428751401093,-1.2477237675298007,-1.2527428751401093,-1.2529658116780755,-1.257691609408757
31.01.2014,70.78,70.94,72.17,67.26,23252800,70.94,-1.282724605960576,-1.2839779726691307,-1.282724605960576,-1.2788752939884016,-1.3057606497548988
03.02.2014,71.29,69.28,71.63,69.23,9828200,69.28,-1.2957192986921622,-1.2799845289064833,-1.2957192986921622,-1.2830642522062388,-1.2901856481953757
04.02.2014,69.57,68.54,69.7,68.24,11378100,68.54,-1.301512113524315,-1.2934526137530595,-1.301512113524315,-1.2980358991699896,-1.2980126794359481
05.02.2014,68.2,68.28,68.9,67.6,7768100,68.28,-1.30354742684372,-1.304180099938995,-1.30354742684372,-1.3042417631964152,-1.3030725784197528
06.02.2014,68.65,70.21,70.22,68.56,6804600,70.21,-1.2884391395112131,-1.3006564730896,-1.2884391395112131,-1.2940020875528133,-1.2954827299440461
07.02.2014,70.93,71.53,72.11,70.43,8437500,71.53,-1.2781060103511568,-1.282803430385999,-1.2781060103511568,-1.2793407337903835,-1.2806983376007426
10.02.2014,71.86,71.57,72.5,71.1,4885600,71.57,-1.2777928852250946,-1.275521268230583,-1.2777928852250946,-1.2763153750775011,-1.2754012558520724
11.02.2014,71.99,71.42,72.02,71.24,5322900,71.42,-1.2789671044478284,-1.2745033315852023,-1.2789671044478284,-1.2800388934933562,-1.274294402949365
12.02.2014,71.65,71.21,72.11,70.93,4775200,71.21,-1.2806110113596554,-1.2771656274269672,-1.2806110113596554,-1.2793407337903835,-1.2767452915196453
13.02.2014,70.75,71.74,71.84,70.43,4912300,71.74,-1.2764621034393298,-1.2842128811257572,-1.2764621034393298,-1.281435212899302,-1.2806983376007426
14.02.2014,71.79,72.54,72.8,71.69,4731900,72.54,-1.2701996009180834,-1.2760693879627112,-1.2701996009180834,-1.2739881760675917,-1.2707366614763778
18.02.2014,73.55,72.64,73.58,72.37,5811700,72.64,-1.2694167881029275,-1.2622880918406332,-1.2694167881029275,-1.2679374586418268,-1.2653605188060855
