Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,59.06,59.29,59.53,58.94,2745900,59.29,-1.2764281539286495,-1.2771690954965154,-1.2764281539286495,-1.278214109088028,-1.2743357586377833
03.01.2014,59.19,59.16,59.69,59.11,1589000,59.16,-1.277140305978681,-1.2764571221016157,-1.277140305978681,-1.2773482082035121,-1.273392342065399
06.01.2014,58.06,58.12,58.77,58.01,3753600,58.12,-1.2828375223789343,-1.2826458139188204,-1.2828375223789343,-1.282327138289477,-1.27949680223965
07.01.2014,58.26,58.97,59.05,58.06,2963600,58.97,-1.278181143590266,-1.2815504702343594,-1.278181143590266,-1.2808118117415748,-1.279219326777184
08.01.2014,59.12,58.9,59.28,58.46,3456000,58.9,-1.2785646100787444,-1.276840492391177,-1.2785646100787444,-1.2795670792200835,-1.2769995230774565
09.01.2014,58.99,59.09,59.53,58.72,2427400,59.09,-1.2775237724671595,-1.2775524657860766,-1.2775237724671595,-1.278214109088028,-1.2755566506726335
10.01.2014,59.35,59.53,59.63,58.95,1829100,59.53,-1.275113411682437,-1.2755808471540468,-1.275113411682437,-1.2776729210352056,-1.2742802635452901
13.01.2014,59.28,58.6,59.44,58.41,2928700,58.6,-1.2802080378865097,-1.275964217443608,-1.2802080378865097,-1.278701178335568,-1.2772769985399224
14.01.2014,58.68,60.37,60.53,58.63,4179500,60.37,-1.270511813820694,-1.2792502484969912,-1.270511813820694,-1.272802228559805,-1.2760561065050722
15.01.2014,60.44,61.68,61.81,60.4,4220300,61.68,-1.2633355123934518,-1.2696112240737343,-1.2633355123934518,-1.2658750214836798,-1.2662334751337774
16.01.2014,61.59,61.63,61.98,61.26,3747800,61.63,-1.2636094170280794,-1.2633129978880835,-1.2636094170280794,-1.264955001793882,-1.261460897179363
17.01.2014,61.02,61.37,61.6,60.8,3314500,61.37,-1.2650337211281426,-1.2664347273887973,-1.2650337211281426,-1.2670115163946067,-1.2640136714340497
21.01.2014,61.5,60.85,61.79,60.7,3198700,60.85,-1.2678823293282693,-1.2638059025460908,-1.2678823293282693,-1.2659832590942444,-1.2645686223589816
22.01.2014,60.93,61.77,61.81,60.7,3594000,61.77,-1.262842484051122,-1.2669276320468048,-1.262842484051122,-1.2658750214836798,-1.2645686223589816
23.01.2014,61.18,60.88,61.43,60.32,2671300,60.88,-1.2677179865474928,-1.2655584524412284,-1.2677179865474928,-1.2679315360844046,-1.266677435873723
24.01.2014,60.3,59.09,60.44,59.09,2850700,59.09,-1.2775237724671595,-1.270377964652857,-1.2775237724671595,-1.2732892978073451,-1.2735033322503855
