Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,3.85,3.95,3.98,3.84,20548400,3.95,-0.9304138935466704,-0.931821821446289,-0.9304138935466704,-0.9314697639530648,-0.9306214934014664
03.01.2014,3.98,4.0,4.0,3.88,22887200,4.0,-0.9294335835415503,-0.9292751172930717,-0.9294335835415503,-0.9310853982816004,-0.9298208286251547
06.01.2014,4.01,4.13,4.18,3.99,42398300,4.13,-0.9268847775282378,-0.9286874163346369,-0.9268847775282378,-0.9276261072384212,-0.9276190004902974
07.01.2014,4.19,4.18,4.25,4.11,42932100,4.18,-0.9259044675231177,-0.9251612105840281,-0.9259044675231177,-0.926280827388296,-0.9252170061613623
08.01.2014,4.23,4.18,4.26,4.14,30678700,4.18,-0.9259044675231177,-0.9243776093061151,-0.9259044675231177,-0.9260886445525638,-0.9246165075791285
09.01.2014,4.2,4.09,4.23,4.05,30667600,4.09,-0.927669025532334,-0.9249653102645498,-0.927669025532334,-0.9266651930597604,-0.9264180033258299
10.01.2014,4.09,4.17,4.2,4.07,20840800,4.17,-0.9261005295241418,-0.9271202137788108,-0.9261005295241418,-0.9272417415669568,-0.9260176709376741
13.01.2014,4.19,4.13,4.2,4.09,22856100,4.13,-0.9268847775282378,-0.9251612105840281,-0.9268847775282378,-0.9272417415669568,-0.9256173385495181
14.01.2014,4.14,4.3,4.3,4.13,42434800,4.3,-0.9235517235108295,-0.9261407121814194,-0.9235517235108295,-0.9253199132096351,-0.9248166737732064
15.01.2014,4.34,4.47,4.6,4.32,66613100,4.47,-0.9202186694934209,-0.9222227057918542,-0.9202186694934209,-0.9195544281376696,-0.9210135160857258
16.01.2014,4.5,4.38,4.51,4.32,46975600,4.38,-0.9219832275026372,-0.919088300680202,-0.9219832275026372,-0.9212840736592594,-0.9210135160857258
17.01.2014,4.15,4.18,4.35,4.11,45842700,4.18,-0.9259044675231177,-0.9259448118619412,-0.9259044675231177,-0.9243589990309742,-0.9252170061613623
21.01.2014,4.31,4.17,4.34,4.13,58702900,4.17,-0.9261005295241418,-0.9228104067502889,-0.9261005295241418,-0.9245511818667064,-0.9248166737732064
22.01.2014,3.79,3.67,3.82,3.66,86329500,3.67,-0.9359036295753432,-0.9329972233631586,-0.9359036295753432,-0.9345446893247796,-0.9342244848948692
23.01.2014,3.67,3.62,3.68,3.58,29844700,3.62,-0.9368839395804635,-0.9353480271968977,-0.9368839395804635,-0.9372352490250301,-0.9358258144474926
24.01.2014,3.6,3.47,3.61,3.41,48095800,3.47,-0.9398248695958239,-0.9367193294332455,-0.9398248695958239,-0.9385805288751554,-0.9392286397468175
27.01.2014,3.48,3.41,3.49,3.35,31332300,3.41,-0.9410012416019681,-0.9390701332669849,-0.9410012416019681,-0.9408867229039415,-0.940429636911285
28.01.2014,3.43,3.54,3.57,3.41,27962600,3.54,-0.9384524355886557,-0.9400496348643761,-0.9384524355886557,-0.9393492602180841,-0.9392286397468175
29.01.2014,3.52,3.48,3.56,3.45,21765000,3.48,-0.9396288075947999,-0.9382865319890716,-0.9396288075947999,-0.9395414430538163,-0.9384279749705057
30.01.2014,3.51,3.48,3.52,3.45,17111700,3.48,-0.9396288075947999,-0.93848243230855,-0.9396288075947999,-0.9403101743967449,-0.9384279749705057
31.01.2014,3.45,3.43,3.47,3.43,13602100,3.43,-0.9406091175999199,-0.9396578342254195,-0.9406091175999199,-0.9412710885754059,-0.9388283073586615
03.02.2014,3.43,3.33,3.44,3.33,22280200,3.33,-0.9425697376101603,-0.9400496348643761,-0.9425697376101603,-0.9418476370826024,-0.9408299692994408
04.02.2014,3.35,3.37,3.43,3.3,22681000,3.37,-0.9417854896060642,-0.9416168374202022,-0.9417854896060642,-0.9420398199183345,-0.9414304678816747
05.02.2014,3.36,3.31,3.37,3.29,14858900,3.31,-0.9429618616122083,-0.9414209371007239,-0.9429618616122083,-0.9431929169327277,-0.9416306340757525
06.02.2014,3.32,3.41,3.46,3.32,16072900,3.41,-0.9410012416019681,-0.9422045383786369,-0.9410012416019681,-0.9414632714111381,-0.9410301354935188
07.02.2014,3.46,3.47,3.5,3.42,23119700,3.47,-0.9398248695958239,-0.9394619339059412,-0.9398248695958239,-0.9406945400682093,-0.9390284735527394
10.02.2014,3.5,3.63,3.64,3.45,21241100,3.63,-0.9366878775794394,-0.9386783326280282,-0.9366878775794394,-0.9380039803679588,-0.9384279749705057
11.02.2014,3.66,3.7,3.75,3.65,34198100,3.7,-0.9353154435722711,-0.9355439275163759,-0.9353154435722711,-0.9358899691749049,-0.9344246510889471
12.02.2014,3.71,3.69,3.73,3.63,18321300,3.69,-0.9355115055732952,-0.9345644259189847,-0.9355115055732952,-0.9362743348463692,-0.9348249834771029
13.02.2014,3.64,3.7,3.71,3.64,13368600,3.7,-0.9353154435722711,-0.9359357281553325,-0.9353154435722711,-0.9366587005178335,-0.934624817283025
14.02.2014,3.7,3.69,3.72,3.64,12387900,3.69,-0.9355115055732952,-0.934760326238463,-0.9355115055732952,-0.9364665176821014,-0.934624817283025
18.02.2014,3.69,3.7,3.72,3.65,11956700,3.7,-0.9353154435722711,-0.9349562265579413,-0.9353154435722711,-0.9364665176821014,-0.9344246510889471
19.02.2014,3.7,3.72,3.74,3.68,14175500,3.72,-0.9349233195702231,-0.934760326238463,-0.9349233195702231,-0.936082152010637,-0.9338241525067132
20.02.2014,3.72,3.69,3.75,3.66,13276100,3.69,-0.9355115055732952,-0.9343685255995064,-0.9355115055732952,-0.9358899691749049,-0.9342244848948692
21.02.2014,3.71,3.69,3.75,3.66,13606800,3.69,-0.9355115055732952,-0.9345644259189847,-0.9355115055732952,-0.9358899691749049,-0.9342244848948692
24.02.2014,3.71,3.71,3.73,3.7,10717900,3.71,-0.9351193815712472,-0.9345644259189847,-0.9351193815712472,-0.9362743348463692,-0.9334238201185574
25.02.2014,3.73,3.69,3.74,3.66,9173500,3.69,-0.9355115055732952,-0.9341726252800282,-0.9355115055732952,-0.936082152010637,-0.9342244848948692
26.02.2014,3.7,3.7,3.72,3.63,13211700,3.7,-0.9353154435722711,-0.934760326238463,-0.9353154435722711,-0.9364665176821014,-0.9348249834771029
27.02.2014,3.69,3.71,3.77,3.68,18218000,3.71,-0.9351193815712472,-0.9349562265579413,-0.9351193815712472,-0.9355056035034405,-0.9338241525067132
28.02.2014,3.73,3.71,3.77,3.7,14643200,3.71,-0.9351193815712472,-0.9341726252800282,-0.9351193815712472,-0.9355056035034405,-0.9334238201185574
03.03.2014,3.66,3.67,3.7,3.6,19555800,3.67,-0.9359036295753432,-0.9355439275163759,-0.9359036295753432,-0.9368508833535657,-0.9354254820593367
04.03.2014,3.7,3.7,3.73,3.68,10516100,3.7,-0.9353154435722711,-0.934760326238463,-0.9353154435722711,-0.9362743348463692,-0.9338241525067132
05.03.2014,3.7,3.71,3.73,3.69,10740200,3.71,-0.9351193815712472,-0.934760326238463,-0.9351193815712472,-0.9362743348463692,-0.9336239863126354
06.03.2014,3.72,3.73,3.75,3.71,10713000,3.73,-0.9347272575691992,-0.9343685255995064,-0.9347272575691992,-0.9358899691749049,-0.9332236539244795
07.03.2014,3.75,3.95,4.02,3.75,55435800,3.95,-0.9304138935466704,-0.9337808246410717,-0.9304138935466704,-0.930701032610136,-0.9324229891481678
10.03.2014,4.04,3.81,4.06,3.8,42135800,3.81,-0.9331587615610069,-0.9280997153762021,-0.9331587615610069,-0.9299323012672073,-0.9314221581777782
11.03.2014,3.86,3.85,4.01,3.83,34951400,3.85,-0.9323745135569107,-0.9316259211268108,-0.9323745135569107,-0.9308932154458682,-0.9308216595955444
12.03.2014,3.86,3.91,3.93,3.85,14700500,3.91,-0.9311981415507666,-0.9316259211268108,-0.9311981415507666,-0.9324306781317256,-0.9304213272073885
13.03.2014,3.94,3.86,3.99,3.84,19803000,3.86,-0.9321784515558867,-0.9300587185709847,-0.9321784515558867,-0.9312775811173325,-0.9306214934014664
14.03.2014,3.84,3.85,3.9,3.82,18161500,3.85,-0.9323745135569107,-0.9320177217657674,-0.9323745135569107,-0.9330072266389222,-0.9310218257896222
17.03.2014,3.88,3.8,3.91,3.78,20004100,3.8,-0.9333548235620309,-0.9312341204878541,-0.9333548235620309,-0.9328150438031899,-0.9318224905659339
