Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,17.33,17.25,17.37,17.22,234684800,17.25,-1.0630741402091262,-1.061647547434107,-1.0630741402091262,-1.0639208441145709,-1.0605763625090014
03.01.2014,17.24,16.87,17.27,16.86,392467600,16.87,-1.0691130398766209,-1.0630790456989314,-1.0691130398766209,-1.06549450246157,-1.0663603175186314
06.01.2014,16.76,16.97,17.06,16.64,412610800,16.97,-1.067523855753596,-1.0707137031113285,-1.067523855753596,-1.0687991849902676,-1.069894956691183
07.01.2014,16.98,16.84,17.03,16.78,317209200,16.84,-1.0695897951135283,-1.0672144851306464,-1.0695897951135283,-1.0692712824943673,-1.0676456408541046
08.01.2014,16.81,16.95,17.02,16.8,258529600,16.95,-1.067841692578201,-1.0699184262975372,-1.067841692578201,-1.0694286483290674,-1.0673243100202363
09.01.2014,17.06,16.74,17.06,16.7,279148800,16.74,-1.0711789792365534,-1.0659420422285801,-1.0711789792365534,-1.0687991849902676,-1.068930964189578
10.01.2014,16.84,16.62,16.87,16.57,304976000,16.62,-1.073086000184183,-1.0694412602092622,-1.073086000184183,-1.0717891358495657,-1.0710196146097222
13.01.2014,16.53,16.71,16.92,16.53,378492800,16.71,-1.071655734473461,-1.0743719764547688,-1.071655734473461,-1.0710023066760663,-1.0716622762774588
14.01.2014,16.79,17.04,17.05,16.77,332561600,17.04,-1.0664114268674785,-1.0702365370230535,-1.0664114268674785,-1.0689565508249677,-1.067806306271039
15.01.2014,17.27,17.39,17.47,17.21,391638800,17.39,-1.0608492824368914,-1.0626018796106564,-1.0608492824368914,-1.062347185767572,-1.0607370279259356
16.01.2014,17.31,17.29,17.37,17.21,229278000,17.29,-1.0624384665599163,-1.0619656581596233,-1.0624384665599163,-1.0639208441145709,-1.0607370279259356
17.01.2014,17.2,16.86,17.22,16.84,426739600,16.86,-1.0692719582889234,-1.0637152671499643,-1.0692719582889234,-1.0662813316350694,-1.0666816483524997
21.01.2014,16.87,17.13,17.16,16.86,328526800,17.13,-1.0649811611567561,-1.0689640941209875,-1.0649811611567561,-1.0672255266432689,-1.0663603175186314
22.01.2014,17.18,17.2,17.38,17.09,379985200,17.2,-1.0638687322706386,-1.0640333778754811,-1.0638687322706386,-1.063763478279871,-1.0626650129291455
23.01.2014,17.15,17.35,17.36,16.99,403239200,17.35,-1.0614849560861013,-1.0645105439637559,-1.0614849560861013,-1.064078209949271,-1.0642716670984873
24.01.2014,17.28,17.03,17.33,16.99,429354800,17.03,-1.066570345279781,-1.0624428242478983,-1.066570345279781,-1.0645503074533706,-1.0642716670984873
27.01.2014,17.16,17.17,17.31,17.02,554878800,17.17,-1.0643454875075462,-1.0643514886009975,-1.0643454875075462,-1.0648650391227703,-1.0637896708476848
28.01.2014,15.87,15.8,16.06,15.66,1065523200,15.8,-1.0861173099929875,-1.084869630396815,-1.0861173099929875,-1.0845357684602575,-1.0856401675507314
29.01.2014,15.72,15.62,15.83,15.55,502810000,15.62,-1.0889778414144324,-1.0872554608381892,-1.0889778414144324,-1.088155182658355,-1.0874074871370074
30.01.2014,15.68,15.59,15.8,15.49,678501600,15.59,-1.0894545966513398,-1.0878916822892224,-1.0894545966513398,-1.0886272801624548,-1.0883714796386124
31.01.2014,15.45,15.61,15.64,15.39,464797200,15.61,-1.089136759826735,-1.0915499556326627,-1.089136759826735,-1.091145133517653,-1.089978133807954
03.02.2014,15.68,15.64,15.84,15.57,401464000,15.64,-1.0886600045898274,-1.0878916822892224,-1.0886600045898274,-1.087997816823655,-1.0870861563031389
04.02.2014,15.78,15.87,15.89,15.68,376681200,15.87,-1.08500488110687,-1.0863011286616395,-1.08500488110687,-1.0872109876501557,-1.0853188367168631
05.02.2014,15.8,15.99,16.07,15.79,328344800,15.99,-1.0830978601592403,-1.085983017936123,-1.0830978601592403,-1.0843784026255574,-1.0835515171305872
06.02.2014,16.01,16.08,16.11,15.93,257765200,16.08,-1.081667594448518,-1.082642855318199,-1.081667594448518,-1.0837489392867579,-1.081302201293509
07.02.2014,16.36,16.31,16.41,16.23,370280400,16.31,-1.0780124709655605,-1.0770759176216596,-1.0780124709655605,-1.0790279642457612,-1.0764822387854838
10.02.2014,16.27,16.6,16.69,16.25,345559200,16.6,-1.0734038370087882,-1.078507415886484,-1.0734038370087882,-1.074621720874164,-1.0761609079516155
11.02.2014,16.65,16.82,16.87,16.62,282256800,16.82,-1.0699076319381333,-1.0724633121016698,-1.0699076319381333,-1.0717891358495657,-1.0702162875250514
12.02.2014,16.85,16.82,16.93,16.73,308100800,16.82,-1.0699076319381333,-1.0692822048465038,-1.0699076319381333,-1.0708449408413665,-1.0684489679387754
13.02.2014,16.78,17.08,17.1,16.76,307398000,17.08,-1.0657757532182686,-1.070395592385812,-1.0657757532182686,-1.068169721651468,-1.067966971687973
14.02.2014,17.02,17.07,17.13,16.98,272924400,17.07,-1.0659346716305709,-1.0665782636796135,-1.0659346716305709,-1.0676976241473686,-1.0644323325154212
18.02.2014,17.13,17.13,17.3,17.12,260251600,17.13,-1.0649811611567561,-1.0648286546892725,-1.0649811611567561,-1.0650224049574704,-1.062183016678343
19.02.2014,17.09,16.86,17.16,16.77,313768000,16.86,-1.0692719582889234,-1.0654648761403054,-1.0692719582889234,-1.0672255266432689,-1.067806306271039
20.02.2014,16.72,16.67,16.85,16.6,305858000,16.67,-1.0722914081226707,-1.0713499245623617,-1.0722914081226707,-1.0721038675189654,-1.0705376183589195
21.02.2014,16.72,16.48,16.77,16.46,278784800,16.48,-1.0753108579564181,-1.0713499245623617,-1.0753108579564181,-1.0733627941965649,-1.0727869341959981
24.02.2014,16.42,16.55,16.63,16.39,288909600,16.55,-1.0741984290703006,-1.0761215854451098,-1.0741984290703006,-1.0755659158823634,-1.0739115921145372
25.02.2014,16.61,16.38,16.62,16.35,231952000,16.38,-1.076900042079443,-1.0730995335527027,-1.076900042079443,-1.0757232817170632,-1.0745542537822736
26.02.2014,16.43,16.23,16.47,16.18,276217200,16.23,-1.0792838182639803,-1.0759625300823517,-1.0792838182639803,-1.0780837692375618,-1.0772855658701548
27.02.2014,16.23,16.56,16.59,16.19,301882000,16.56,-1.074039510657998,-1.0791436373375172,-1.074039510657998,-1.076195379221163,-1.0771249004532206
28.02.2014,16.6,16.51,16.72,16.38,371968800,16.51,-1.0748341027195105,-1.0732585889154609,-1.0748341027195105,-1.0741496233700643,-1.0740722575314714
03.03.2014,16.42,16.56,16.65,16.41,238781200,16.56,-1.074039510657998,-1.0761215854451098,-1.074039510657998,-1.0752511842129637,-1.073590261280669
04.03.2014,16.66,16.67,16.71,16.56,259140000,16.67,-1.0722914081226707,-1.0723042567389114,-1.0722914081226707,-1.0743069892047643,-1.0711802800266563
05.03.2014,16.66,16.7,16.78,16.6,200062800,16.7,-1.0718146528857633,-1.0723042567389114,-1.0718146528857633,-1.0732054283618648,-1.0705376183589195
06.03.2014,16.72,16.65,16.77,16.57,185488800,16.65,-1.072609244947276,-1.0713499245623617,-1.072609244947276,-1.0733627941965649,-1.0710196146097222
07.03.2014,16.66,16.64,16.69,16.51,220729600,16.64,-1.0727681633595783,-1.0723042567389114,-1.0727681633595783,-1.074621720874164,-1.0719836071113271
10.03.2014,16.58,16.66,16.74,16.58,178584000,16.66,-1.0724503265349734,-1.0735766996409775,-1.0724503265349734,-1.0738348917006646,-1.070858949192788
11.03.2014,16.8,16.82,16.9,16.71,279224400,16.82,-1.0699076319381333,-1.0700774816602954,-1.0699076319381333,-1.0713170383454662,-1.068770298772644
12.03.2014,16.77,16.84,16.86,16.69,199326400,16.84,-1.0695897951135283,-1.0705546477485703,-1.0695897951135283,-1.0719465016842658,-1.0690916296065123
