Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,15.83,15.71,15.92,15.64,44377000,15.71,-1.6799769455348148,-1.669068458955266,-1.6799769455348148,-1.6739419523937056,-1.6732754971771928
03.01.2014,15.77,15.69,15.79,15.59,36328200,15.69,-1.681678168579315,-1.674172948849308,-1.681678168579315,-1.6849088501765865,-1.6775656705315576
06.01.2014,15.68,15.72,15.87,15.66,34150300,15.72,-1.679126334012565,-1.681829683690371,-1.679126334012565,-1.6781599900025062,-1.6715594278354469
07.01.2014,15.89,15.93,16.0,15.82,37368800,15.93,-1.6612634920453175,-1.6639639690612238,-1.6612634920453175,-1.6671930922196254,-1.6578308731014793
08.01.2014,15.92,15.92,15.97,15.82,38362700,15.92,-1.6621141035675673,-1.6614117241142028,-1.6621141035675673,-1.6697239147849057,-1.6578308731014793
09.01.2014,15.92,15.77,15.93,15.65,31794000,15.77,-1.6748732764013157,-1.6614117241142028,-1.6748732764013157,-1.6730983448719459,-1.67241746250632
10.01.2014,15.87,15.87,15.91,15.7,30318600,15.87,-1.6663671611788171,-1.6656654656925713,-1.6663671611788171,-1.6747855599154657,-1.668127289151955
13.01.2014,15.99,15.84,16.29,15.81,59600000,15.84,-1.6689189957455666,-1.655456485904487,-1.6689189957455666,-1.6427284740885841,-1.658688907772352
14.01.2014,15.94,16.0,16.08,15.85,44300800,16.0,-1.6553092113895682,-1.6597102274828557,-1.6553092113895682,-1.6604442320455453,-1.6552567690888602
15.01.2014,16.07,16.27,16.42,16.01,61767800,16.27,-1.6323427002888216,-1.6486504993790978,-1.6323427002888216,-1.6317615763057032,-1.6415282143548926
16.01.2014,16.32,16.27,16.36,16.16,38918100,16.27,-1.6323427002888216,-1.6273817914872561,-1.6323427002888216,-1.6368232214362637,-1.628657694291798
17.01.2014,16.12,16.24,16.27,16.12,44349100,16.24,-1.6348945348555712,-1.6443967578007295,-1.6348945348555712,-1.6444156891321042,-1.6320898329752898
21.01.2014,16.36,16.3,16.39,16.17,33423000,16.3,-1.6297908657220717,-1.6239787982245615,-1.6297908657220717,-1.6342923988709834,-1.6277996596209248
22.01.2014,16.36,16.31,16.39,16.27,30700100,16.31,-1.628940254199822,-1.6239787982245615,-1.628940254199822,-1.6342923988709834,-1.6192193129121952
23.01.2014,16.2,16.11,16.32,16.04,37013600,16.11,-1.6459524846448197,-1.6375907712753401,-1.6459524846448197,-1.6401976515233039,-1.6389541103422738
24.01.2014,15.99,15.85,16.09,15.83,40917300,15.85,-1.6680683842233164,-1.655456485904487,-1.6680683842233164,-1.659600624523785,-1.6569728384306064
27.01.2014,15.54,15.71,15.79,15.54,60510000,15.71,-1.6799769455348148,-1.6937401601098023,-1.6799769455348148,-1.6849088501765865,-1.6818558438859226
28.01.2014,15.62,15.53,15.71,15.49,41431800,15.53,-1.6952879529353129,-1.6869341735844132,-1.6952879529353129,-1.6916577103506667,-1.6861460172402873
29.01.2014,15.44,15.46,15.59,15.42,35406500,15.46,-1.701242233591062,-1.7022476432665392,-1.701242233591062,-1.7017810006117875,-1.692152259936398
30.01.2014,15.54,15.69,15.7,15.44,42883000,15.69,-1.681678168579315,-1.6937401601098023,-1.681678168579315,-1.6925013178724269,-1.6904361905946526
