Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
12.06.2019,63.5,58.0,67.0,56.0,19449200,58.0,-1.4366128415209445,-1.3676956436131136,-1.4366128415209445,-1.3520424571326821,-1.4347041361318238
13.06.2019,63.86,67.56,69.67,61.6,10923900,67.56,-1.3192120485244083,-1.363281113512631,-1.3192120485244083,-1.3197217233065262,-1.3648678849805347
14.06.2019,69.78,64.16,70.79,63.02,6264200,64.16,-1.360965468627779,-1.2906866185269161,-1.360965468627779,-1.3061639623007977,-1.3471594070100292
17.06.2019,64.75,70.01,70.01,62.0,3247500,70.01,-1.2891250252146267,-1.3523674140975488,-1.2891250252146267,-1.315605974429787,-1.3598795813268711
18.06.2019,73.0,76.5,78.7,71.5,6612600,76.5,-1.2094251144878987,-1.2512010992948213,-1.2094251144878987,-1.210412275197841,-1.241407369552363
19.06.2019,78.75,77.22,79.79,73.56,3319100,77.22,-1.200583213760126,-1.1806912435232233,-1.200583213760126,-1.1972176685047662,-1.215717605735996
20.06.2019,78.0,74.85,78.22,70.69,3429600,74.85,-1.2296878036557108,-1.1898881812325623,-1.2296878036557108,-1.2162227442002962,-1.2515086844510317
21.06.2019,72.46,72.23,73.93,68.3,2657500,72.23,-1.2618624979706612,-1.2578228944455454,-1.2618624979706612,-1.2681538109097377,-1.281313798781671
24.06.2019,71.05,67.97,72.39,65.08,2448000,67.97,-1.314177077276649,-1.2751131373391025,-1.314177077276649,-1.2867957322926142,-1.3214696431936623
25.06.2019,67.1,61.52,68.99,61.17,2480200,61.52,-1.3933857712962785,-1.323550342608287,-1.3933857712962785,-1.327953221060004,-1.370230311408223
26.06.2019,63.3,62.65,64.92,62.01,1625500,62.65,-1.3795088993207465,-1.370148160335604,-1.3795088993207465,-1.3772211561433205,-1.3597548737355298
27.06.2019,63.39,63.28,65.0,62.57,914500,63.28,-1.3717722361839455,-1.3690445278104832,-1.3717722361839455,-1.3762527446429114,-1.3527712486204009
28.06.2019,64.36,68.29,68.38,63.3,1474300,68.29,-1.3102473436198612,-1.357149821706405,-1.3102473436198612,-1.3353373587506239,-1.3436675944524648
01.07.2019,69.1,63.2,69.73,61.81,2670900,63.2,-1.3727546695981425,-1.2990251753833835,-1.3727546695981425,-1.318995414681219,-1.3622490255623614
02.07.2019,63.3,64.52,65.03,61.72,1735600,64.52,-1.3565445182638927,-1.370148160335604,-1.3565445182638927,-1.375889590330258,-1.3633713938844356
03.07.2019,64.68,67.24,67.48,64.52,1564100,67.24,-1.3231417821811964,-1.3532257949504205,-1.3231417821811964,-1.346231988130227,-1.328453268308791
05.07.2019,67.15,67.21,67.25,64.84,804900,67.21,-1.3235101947115202,-1.3229372134276645,-1.3235101947115202,-1.3490161711939035,-1.3244626253858602
08.07.2019,68.26,66.91,71.71,66.9,4567200,66.91,-1.3271943200147587,-1.3093257456178429,-1.3271943200147587,-1.2950272300460923,-1.2987728615694931
09.07.2019,67.42,68.45,69.2,66.88,1782700,68.45,-1.3082824767914671,-1.3196263158523025,-1.3082824767914671,-1.32541114087143,-1.2990222767521764
10.07.2019,70.0,74.34,74.5,69.5,2719300,74.34,-1.2359508166712163,-1.2879888501321768,-1.2359508166712163,-1.2612538789693226,-1.2663488878206806
11.07.2019,74.5,70.88,74.98,70.5,2351800,70.88,-1.2784410618352349,-1.2328072238761436,-1.2784410618352349,-1.2554434099668674,-1.2538781286865217
12.07.2019,71.6,73.5,75.2,70.5,1838300,73.5,-1.2462663675202845,-1.268368716352254,-1.2462663675202845,-1.2527802783407422,-1.2538781286865217
15.07.2019,74.0,71.6,74.29,71.4,1325100,71.6,-1.2695991611074622,-1.2389385156823696,-1.2695991611074622,-1.2637959591578964,-1.2426544454657789
16.07.2019,71.93,69.54,73.09,69.0,1582300,69.54,-1.2948968215230336,-1.2643220637601447,-1.2948968215230336,-1.278322131664034,-1.2725842673877599
17.07.2019,70.0,71.0,71.56,69.59,1037000,71.0,-1.2769674117139393,-1.2879888501321768,-1.2769674117139393,-1.2968430016093595,-1.265226519498606
18.07.2019,71.0,72.75,74.19,70.15,2779900,72.75,-1.255476680778381,-1.275726266519725,-1.255476680778381,-1.2650064735334081,-1.2582428943834771
19.07.2019,85.16,83.52,85.85,80.75,13669000,83.52,-1.1232165823921159,-1.1020880825674073,-1.1232165823921159,-1.1238604973487718,-1.1260528475613945
22.07.2019,82.27,87.68,88.5,82.08,5357700,87.68,-1.0721300448538742,-1.137526949207393,-1.0721300448538742,-1.091781866397718,-1.1094667379129632
23.07.2019,88.32,86.74,89.44,84.49,2529800,86.74,-1.0836736374706886,-1.0633383183520595,-1.0836736374706886,-1.0804030312679103,-1.0794122083996407
24.07.2019,86.79,87.46,87.85,85.5,1250700,87.46,-1.0748317367429159,-1.0821000712791107,-1.0748317367429159,-1.0996502098385426,-1.0668167416741403
25.07.2019,87.5,92.28,93.34,87.0,3270400,92.28,-1.0156401235375492,-1.07339363691427,-1.0156401235375492,-1.0331929706229632,-1.0481106029729022
26.07.2019,93.04,92.88,95.5,91.91,2053000,92.88,-1.0082718729310722,-1.0054589237012868,-1.0082718729310722,-1.0070458601119157,-0.9868791756241827
29.07.2019,93.69,87.23,93.9,82.65,3317800,87.23,-1.077656232808732,-0.9974882443531932,-1.077656232808732,-1.026414090120099,-1.1023584052064928
30.07.2019,86.0,94.0,96.19,84.0,3127200,94.0,-0.9945178051323148,-1.0917875123329477,-0.9945178051323148,-0.9986933109208866,-1.0855228803753785
31.07.2019,93.95,89.07,94.8,86.82,2476000,89.07,-1.0550602642822022,-0.9942999726139556,-1.0550602642822022,-1.015519460740496,-1.0503553396170509
01.08.2019,90.07,91.53,94.32,89.44,2238200,91.53,-1.0248504367956457,-1.0418787970302688,-1.0248504367956457,-1.021329929742951,-1.0176819506855548
02.08.2019,91.54,88.01,92.78,86.91,1801000,88.01,-1.0680775070203117,-1.0238527991199644,-1.0680775070203117,-1.0399718511258274,-1.0492329712949764
05.08.2019,83.34,85.48,86.92,82.25,2196400,85.48,-1.0991469637442903,-1.1244059847420695,-1.0991469637442903,-1.110907993530799,-1.1073467088601563
06.08.2019,87.2,85.24,89.76,82.71,1357400,85.24,-1.1020942639868814,-1.0770724119980055,-1.1020942639868814,-1.0765293852662734,-1.1016101596584433
07.08.2019,83.69,84.22,86.45,82.8,990400,84.22,-1.1146202900178925,-1.1201140804777114,-1.1146202900178925,-1.1165974110957029,-1.100487791336369
08.08.2019,85.49,91.65,91.86,85.49,1692300,91.65,-1.0233767866743502,-1.098041429975298,-1.0233767866743502,-1.051108583380533,-1.066941449265482
09.08.2019,90.25,94.9,98.0,90.0,3062200,94.9,-0.9834654292225989,-1.0396715319800274,-0.9834654292225989,-0.9767830007241292,-1.0106983255704258
12.08.2019,94.25,93.01,98.2,91.53,1895600,93.01,-1.006675418633002,-0.9906211975302202,-1.006675418633002,-0.9743619719731063,-0.991618064095163
13.08.2019,92.84,99.65,100.5,92.84,3024600,99.65,-0.9251334452546547,-1.0079114404237772,-0.9251334452546547,-0.9465201413363427,-0.9752813696294149
14.08.2019,96.52,94.02,97.73,91.6,2822900,94.02,-0.9942721967787655,-0.9627851327299546,-0.9942721967787655,-0.9800513895380101,-0.9907451109557719
15.08.2019,95.99,93.66,97.14,91.37,1513100,93.66,-0.9986931471426519,-0.9692843020445541,-0.9986931471426519,-0.9871934243535277,-0.9936133855566284
16.08.2019,95.0,96.05,98.1,93.4,1517800,96.05,-0.9693429488935178,-0.9814242598208813,-0.9693429488935178,-0.9755724863486178,-0.9682977445142861
19.08.2019,98.8,99.39,101.48,95.6,2782700,99.39,-0.9283263538507949,-0.9348264420935644,-0.9283263538507949,-0.9346571004563303,-0.9408620744191369
20.08.2019,99.23,99.16,101.88,97.26,1438800,99.16,-0.9311508499166112,-0.92955353114021,-0.9311508499166112,-0.9298150429542845,-0.9201606142564333
21.08.2019,100.59,96.58,100.96,96.27,1783900,96.58,-0.962834327524463,-0.9128764174272755,-0.962834327524463,-0.94095177520899,-0.9325066657992505
