Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
17.08.2016,11.44,11.3,11.57,11.3,271519,11.3,-1.0249238800995704,-1.0187492618014993,-1.0249238800995704,-1.0134396831436834,-1.0266999027107806
18.08.2016,11.57,11.24,11.57,11.17,1767366,11.24,-1.0270556100812998,-1.0141326512887119,-1.0270556100812998,-1.0134396831436834,-1.0314257177171509
19.08.2016,11.23,11.44,11.44,11.21,4735900,11.44,-1.0199498434755354,-1.0262068633990786,-1.0199498434755354,-1.0179578485097183,-1.029971620792114
22.08.2016,11.3,11.47,11.99,11.2,2245909,11.47,-1.0188839784846706,-1.0237209961998854,-1.0188839784846706,-0.9988425334995716,-1.030335145023373
23.08.2016,11.5,11.83,12.07,11.44,1483020,11.83,-1.0060935985942945,-1.016618518487905,-1.0060935985942945,-0.9960621240435503,-1.0216105634731516
24.08.2016,13.14,11.99,13.14,11.86,2525979,11.99,-1.0004089853096827,-0.9583782012496656,-1.0004089853096827,-0.9588741475692655,-1.0063425457602635
25.08.2016,12.16,11.94,12.16,11.86,371646,11.94,-1.0021854269611241,-0.9931803420383697,-1.0021854269611241,-0.9929341634055264,-1.0063425457602635
26.08.2016,12.08,12.03,12.08,11.96,223415,12.03,-0.9989878319885298,-0.9960213331231619,-0.9989878319885298,-0.9957145728615477,-1.002707303447671
29.08.2016,12.04,12.17,12.36,12.04,1390019,12.17,-0.9940137953644946,-0.997441828665558,-0.9940137953644946,-0.9859831397654732,-0.9997991095975972
30.08.2016,12.16,11.87,12.29,11.71,4805026,11.87,-1.0046724452731417,-0.9931803420383697,-1.0046724452731417,-0.9884159980394919,-1.011795409229152
31.08.2016,11.76,11.75,11.86,11.57,9033877,11.75,-1.0089359052366003,-1.0073852974623305,-1.0089359052366003,-1.0033606988656063,-1.0168847484667813
01.09.2016,12.5,11.44,12.5,11.44,9048130,11.44,-1.0199498434755354,-0.981106129928003,-1.0199498434755354,-0.9811174232174359,-1.0216105634731516
02.09.2016,11.54,11.3,11.54,11.23,8127033,11.3,-1.0249238800995704,-1.015198022945509,-1.0249238800995704,-1.0144823366896916,-1.0292445723295953
06.09.2016,11.37,11.95,12.16,11.05,56316264,11.95,-1.0018301386308357,-1.0212351290006925,-1.0018301386308357,-0.9929341634055264,-1.0357880084922617
07.09.2016,11.85,12.62,12.98,11.83,147907159,12.62,-0.9780258205015246,-1.0041891824919393,-0.9780258205015246,-0.9644349664813081,-1.0074331184540413
08.09.2016,12.74,13.23,13.38,12.73,41159318,13.23,-0.9563532323539428,-0.9725831566736264,-0.9563532323539428,-0.9505329192012015,-0.9747159376407097
09.09.2016,13.1,12.9,13.19,12.65,26618101,12.9,-0.9680777472534543,-0.9597986967920615,-0.9680777472534543,-0.9571363916592524,-0.9776241314907838
12.09.2016,12.63,12.99,13.07,12.54,13989272,12.99,-0.9648801522808601,-0.9764895194152156,-0.9648801522808601,-0.9613070058432841,-0.9816228980346353
13.09.2016,12.65,12.75,13.05,12.62,18045663,12.75,-0.9734070722077777,-0.9757792716440177,-0.9734070722077777,-0.9620021082072895,-0.9787147041845615
14.09.2016,12.72,12.71,12.78,12.62,17208658,12.71,-0.9748282255289304,-0.9732934044448245,-0.9748282255289304,-0.9713859901213613,-0.9787147041845615
15.09.2016,12.65,12.85,12.89,12.62,17208302,12.85,-0.9698541889048953,-0.9757792716440177,-0.9698541889048953,-0.9675629271193321,-0.9787147041845615
16.09.2016,12.78,12.74,12.88,12.65,17786615,12.74,-0.9737623605380658,-0.9711626611312303,-0.9737623605380658,-0.9679104783013347,-0.9776241314907838
19.09.2016,12.68,12.82,12.85,12.66,16264400,12.82,-0.9709200538957601,-0.9747138999872206,-0.9709200538957601,-0.9689531318473427,-0.9772606072595245
20.09.2016,12.8,12.81,12.87,12.66,12000986,12.81,-0.9712753422260482,-0.9704524133600323,-0.9712753422260482,-0.9682580294833375,-0.9772606072595245
21.09.2016,12.72,12.73,12.88,12.69,14885427,12.73,-0.9741176488683541,-0.9732934044448245,-0.9741176488683541,-0.9679104783013347,-0.9761700345657468
22.09.2016,12.75,12.63,12.82,12.59,17054370,12.63,-0.9776705321712362,-0.9722280327880274,-0.9776705321712362,-0.9699957853933507,-0.9798052768783391
23.09.2016,12.58,12.62,12.74,12.57,7449305,12.62,-0.9780258205015246,-0.9782651388432108,-0.9780258205015246,-0.972776194849372,-0.9805323253408575
26.09.2016,12.54,12.59,12.63,12.53,10128504,12.59,-0.9790916854923892,-0.9796856343856069,-0.9790916854923892,-0.9765992578514012,-0.9819864222658945
27.09.2016,12.56,12.56,12.61,12.53,9831330,12.56,-0.9801575504832538,-0.9789753866144087,-0.9801575504832538,-0.9772943602154066,-0.9819864222658945
28.09.2016,12.59,12.58,12.65,12.49,8013722,12.58,-0.9794469738226775,-0.9779100149576118,-0.9794469738226775,-0.9759041554873961,-0.9834405191909315
29.09.2016,12.52,12.51,12.6,12.49,5912124,12.51,-0.9819339921346951,-0.9803958821568048,-0.9819339921346951,-0.9776419113974092,-0.9834405191909315
30.09.2016,12.56,12.57,12.64,12.5,6165827,12.57,-0.9798022621529657,-0.9789753866144087,-0.9798022621529657,-0.9762517066693986,-0.9830769949596723
03.10.2016,12.52,12.6,12.63,12.51,5345926,12.6,-0.9787363971621009,-0.9803958821568048,-0.9787363971621009,-0.9765992578514012,-0.9827134707284131
04.10.2016,12.57,12.58,12.62,12.52,5993010,12.58,-0.9794469738226775,-0.9786202627288098,-0.9794469738226775,-0.976946809033404,-0.9823499464971538
05.10.2016,12.55,12.74,12.84,12.49,6621209,12.74,-0.9737623605380658,-0.9793305105000077,-0.9737623605380658,-0.9693006830293454,-0.9834405191909315
06.10.2016,12.74,12.72,12.77,12.61,5139258,12.72,-0.9744729371986424,-0.9725831566736264,-0.9744729371986424,-0.9717335413033641,-0.9790782284158206
07.10.2016,12.72,12.64,12.74,12.6,3515134,12.64,-0.977315243840948,-0.9732934044448245,-0.977315243840948,-0.972776194849372,-0.9794417526470798
10.10.2016,12.64,12.49,12.72,12.45,5420398,12.49,-0.9826445687952714,-0.9761343955296166,-0.9826445687952714,-0.9734712972133773,-0.9848946161159684
11.10.2016,12.4,12.39,12.55,12.34,6247425,12.39,-0.9861974520981537,-0.9846573687839932,-0.9861974520981537,-0.9793796673074225,-0.9888933826598201
12.10.2016,12.34,12.38,12.47,12.29,5851549,12.38,-0.9865527404284419,-0.9867881120975873,-0.9865527404284419,-0.982160076763444,-0.9907110038161162
13.10.2016,12.33,12.39,12.47,12.26,4783291,12.39,-0.9861974520981537,-0.9871432359831863,-0.9861974520981537,-0.982160076763444,-0.991801576509894
14.10.2016,12.42,12.42,12.52,12.35,5453179,12.42,-0.985131587107289,-0.983947121012795,-0.985131587107289,-0.9804223208534306,-0.9885298584285608
17.10.2016,12.42,12.46,12.53,12.36,4813222,12.46,-0.9837104337861361,-0.983947121012795,-0.9837104337861361,-0.9800747696714279,-0.9881663341973016
18.10.2016,12.5,12.53,12.57,12.36,5366949,12.53,-0.9812234154741185,-0.981106129928003,-0.9812234154741185,-0.9786845649434173,-0.9881663341973016
19.10.2016,12.5,12.54,12.63,12.49,4452266,12.54,-0.9808681271438304,-0.981106129928003,-0.9808681271438304,-0.9765992578514012,-0.9834405191909315
20.10.2016,12.48,12.54,12.58,12.47,3849010,12.54,-0.9808681271438304,-0.9818163776992009,-0.9808681271438304,-0.9783370137614147,-0.98416756765345
21.10.2016,12.48,12.42,12.52,12.38,3461329,12.42,-0.985131587107289,-0.9818163776992009,-0.985131587107289,-0.9804223208534306,-0.987439285734783
24.10.2016,12.51,12.6,12.64,12.48,3621319,12.6,-0.9787363971621009,-0.980751006042404,-0.9787363971621009,-0.9762517066693986,-0.9838040434221907
25.10.2016,12.55,12.35,12.6,12.31,5398662,12.35,-0.9876186054193066,-0.9793305105000077,-0.9876186054193066,-0.9776419113974092,-0.9899839553535976
26.10.2016,12.32,12.28,12.45,12.26,5900722,12.28,-0.9901056237313242,-0.9874983598687853,-0.9901056237313242,-0.9828551791274492,-0.991801576509894
27.10.2016,12.99,12.71,13.08,12.63,25078425,12.71,-0.9748282255289304,-0.9637050595336508,-0.9748282255289304,-0.9609594546612815,-0.978351179953302
28.10.2016,12.65,12.85,12.93,12.62,13622259,12.85,-0.9698541889048953,-0.9757792716440177,-0.9698541889048953,-0.9661727223913215,-0.9787147041845615
31.10.2016,12.88,12.9,13.01,12.83,12164182,12.9,-0.9680777472534543,-0.96761142227524,-0.9680777472534543,-0.9633923129353003,-0.9710806953281175
01.11.2016,12.92,12.74,13.01,12.68,7967400,12.74,-0.9737623605380658,-0.9661909267328439,-0.9737623605380658,-0.9633923129353003,-0.976533558797006
02.11.2016,12.68,12.88,12.91,12.67,6557427,12.88,-0.9687883239140306,-0.9747138999872206,-0.9687883239140306,-0.9668678247553267,-0.9768970830282652
03.11.2016,12.87,12.82,12.99,12.74,4763693,12.82,-0.9709200538957601,-0.9679665461608392,-0.9709200538957601,-0.9640874152993054,-0.9743524134094504
04.11.2016,12.78,12.78,12.94,12.75,6307644,12.78,-0.9723412072169129,-0.9711626611312303,-0.9723412072169129,-0.9658251712093189,-0.9739888891781913
07.11.2016,12.85,13.02,13.14,12.85,4566646,13.02,-0.9638142872899955,-0.9686767939320371,-0.9638142872899955,-0.9588741475692655,-0.9703536468655989
08.11.2016,13.02,13.06,13.13,13.01,3322719,13.06,-0.9623931339688425,-0.9626396878768538,-0.9623931339688425,-0.9592216987512681,-0.9645372591654512
09.11.2016,12.78,12.98,13.11,12.74,5840503,12.98,-0.9652354406111484,-0.9711626611312303,-0.9652354406111484,-0.9599168011152736,-0.9743524134094504
10.11.2016,12.98,12.95,13.16,12.77,5971274,12.95,-0.9663013056020131,-0.9640601834192498,-0.9663013056020131,-0.9581790452052602,-0.9732618407156728
11.11.2016,12.93,12.92,13.0,12.84,3162017,12.92,-0.9673671705928777,-0.965835802847245,-0.9673671705928777,-0.9637398641173028,-0.9707171710968582
14.11.2016,12.92,12.88,13.03,12.72,3504801,12.88,-0.9687883239140306,-0.9661909267328439,-0.9687883239140306,-0.9626972105712948,-0.975079461871969
15.11.2016,12.89,13.17,13.23,12.83,6991429,13.17,-0.958484962335672,-0.967256298389641,-0.958484962335672,-0.9557461869312416,-0.9710806953281175
16.11.2016,13.11,13.31,13.36,13.07,4996372,13.31,-0.9535109257116369,-0.9594435729064626,-0.9535109257116369,-0.951228021565207,-0.9623561137778956
17.11.2016,13.29,13.62,13.71,13.28,5726123,13.62,-0.942496987472702,-0.9530513429656803,-0.942496987472702,-0.9390637301951138,-0.9547221049214517
18.11.2016,13.61,13.67,13.76,13.59,4201058,13.67,-0.9407205458212607,-0.9416873786265115,-0.9407205458212607,-0.9373259742851006,-0.9434528537524154
21.11.2016,13.64,13.79,13.86,13.64,3149190,13.79,-0.9364570858578022,-0.9406220069697144,-0.9364570858578022,-0.9338504624650739,-0.9416352325961191
22.11.2016,13.83,13.69,13.89,13.55,2856648,13.69,-0.9400099691606845,-0.9338746531433331,-0.9400099691606845,-0.9328078089190659,-0.9449069506774522
23.11.2016,13.62,13.55,13.76,13.51,2990982,13.55,-0.9449840057847195,-0.9413322547409125,-0.9449840057847195,-0.9373259742851006,-0.9463610476024893
25.11.2016,13.51,13.72,13.78,13.5,905062,13.72,-0.9389441041698198,-0.9452386174825018,-0.9389441041698198,-0.9366308719210951,-0.9467245718337485
28.11.2016,13.67,13.71,13.78,13.62,2637865,13.71,-0.9392993925001079,-0.9395566353129173,-0.9392993925001079,-0.9366308719210951,-0.9423622810586377
