Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,19.17,19.18,19.2,18.94,31833300,19.18,-1.6191003680759843,-1.6182795631107858,-1.6191003680759843,-1.6339358994509272,-1.6234317242138252
03.01.2014,19.23,19.17,19.26,19.04,27796700,19.17,-1.6200587713284949,-1.6125321921434381,-1.6200587713284949,-1.6282652063797523,-1.613714933537422
06.01.2014,19.16,18.93,19.18,18.93,28682300,18.93,-1.6430604493887542,-1.6192374582720106,-1.6430604493887542,-1.635826130474652,-1.6244034032814658
07.01.2014,18.99,19.03,19.13,18.94,19665100,19.03,-1.6334764168636462,-1.6355216760128297,-1.6334764168636462,-1.6405517080339644,-1.6234317242138252
08.01.2014,19.07,18.91,19.12,18.81,29680500,18.91,-1.6449772558937756,-1.6278585147230324,-1.6449772558937756,-1.6414968235458265,-1.6360635520931501
09.01.2014,18.9,18.82,19.0,18.78,20878000,18.82,-1.6536028851663729,-1.6441427324638516,-1.6536028851663729,-1.6528382096881762,-1.638978589296071
10.01.2014,18.96,18.99,19.22,18.96,30588800,18.99,-1.6373100298736896,-1.6383953614965034,-1.6373100298736896,-1.6320456684272022,-1.6214883660785446
13.01.2014,19.06,18.96,19.33,18.9,40274500,18.96,-1.6401852396312218,-1.6288164098842572,-1.6401852396312218,-1.6216493977967152,-1.627318440484387
14.01.2014,19.34,19.71,19.74,19.26,74142900,19.71,-1.5683049956929123,-1.6019953453699671,-1.5683049956929123,-1.5828996618103546,-1.5923379940493338
15.01.2014,19.87,19.83,20.17,19.79,58277700,19.83,-1.556804156662783,-1.551226901825061,-1.556804156662783,-1.542259694800269,-1.540839003464395
16.01.2014,19.81,19.74,19.89,19.58,48960800,19.74,-1.56542978593538,-1.5569742727924092,-1.56542978593538,-1.5687229291324176,-1.5612442638848427
17.01.2014,18.86,19.22,19.23,18.78,111758900,19.22,-1.6152667550659412,-1.6479743131087499,-1.6152667550659412,-1.6311005529153397,-1.638978589296071
21.01.2014,19.18,19.03,19.19,18.79,42286400,19.03,-1.6334764168636462,-1.6173216679495614,-1.6334764168636462,-1.6348810149627895,-1.638006910228431
22.01.2014,18.88,18.82,18.99,18.7,48749900,18.82,-1.6536028851663729,-1.6460585227863007,-1.6536028851663729,-1.6537833252000387,-1.646752021837194
23.01.2014,18.72,18.69,18.78,18.52,40241000,18.69,-1.666062127449013,-1.661384845365895,-1.666062127449013,-1.67363075094915,-1.6642422450547205
24.01.2014,18.5,18.45,18.73,18.44,34838700,18.45,-1.6890638055092722,-1.682458538912837,-1.6890638055092722,-1.6783563285084624,-1.6720156775958432
27.01.2014,18.42,18.38,18.58,18.34,32564900,18.38,-1.695772628276848,-1.6901217002026339,-1.695772628276848,-1.6925330611863993,-1.681732468272247
28.01.2014,18.38,18.52,18.63,18.27,32453800,18.52,-1.6823549827416966,-1.6939532808475328,-1.6823549827416966,-1.687807483627087,-1.6885342217457295
29.01.2014,18.41,18.35,18.56,18.32,27145700,18.35,-1.69864783803438,-1.6910795953638587,-1.69864783803438,-1.6944232922101243,-1.6836758264075276
30.01.2014,18.41,18.4,18.51,18.25,24610100,18.4,-1.6938558217718263,-1.6910795953638587,-1.6938558217718263,-1.6991488697694364,-1.69047757988101
31.01.2014,18.18,18.25,18.33,18.15,28623300,18.25,-1.708231870559488,-1.7131111840720255,-1.708231870559488,-1.7161609489829608,-1.7001943705574138
03.02.2014,18.22,17.81,18.23,17.77,52868200,17.81,-1.750401613669963,-1.709279603427127,-1.750401613669963,-1.725612104101585,-1.7371181751277474
04.02.2014,17.84,17.71,17.88,17.54,50816300,17.71,-1.7599856461950707,-1.7456796195536632,-1.7599856461950707,-1.7586911470167712,-1.7594667936834756
05.02.2014,17.79,17.66,17.84,17.64,32476200,17.66,-1.7647776624576248,-1.7504690953597866,-1.7647776624576248,-1.762471609064221,-1.7497500030070718
06.02.2014,17.72,18.01,18.08,17.68,28008400,18.01,-1.731233548619747,-1.757174361488359,-1.731233548619747,-1.739788836779522,-1.7458632867365105
07.02.2014,18.17,18.18,18.21,17.85,30808400,18.18,-1.7149406933270637,-1.71406907923325,-1.7149406933270637,-1.72750233512531,-1.7293447425866244
10.02.2014,18.1,18.24,18.3,18.06,24571300,18.24,-1.709190273811999,-1.7207743453618225,-1.709190273811999,-1.7189962955185478,-1.708939482166177
11.02.2014,18.28,18.37,18.41,18.27,17911700,18.37,-1.6967310315293584,-1.703532232459779,-1.6967310315293584,-1.7086000248880608,-1.6885342217457295
12.02.2014,18.4,18.43,18.54,18.3,25874100,18.43,-1.6909806120142938,-1.6920374905250835,-1.6909806120142938,-1.696313523233849,-1.6856191845428083
13.02.2014,18.34,18.54,18.57,18.25,22922000,18.54,-1.6804381762366751,-1.6977848614924311,-1.6804381762366751,-1.6934781766982616,-1.69047757988101
14.02.2014,18.45,18.59,18.59,18.33,20539700,18.59,-1.675646159974121,-1.6872480147189601,-1.675646159974121,-1.6915879456745369,-1.6827041473398874
18.02.2014,18.52,18.59,18.6,18.43,17738100,18.59,-1.675646159974121,-1.6805427485903877,-1.675646159974121,-1.6906428301626741,-1.6729873566634836
19.02.2014,18.51,18.39,18.56,18.33,25686000,18.39,-1.694814225024337,-1.6815006437516122,-1.694814225024337,-1.6944232922101243,-1.6827041473398874
20.02.2014,18.42,18.57,18.66,18.39,20193800,18.57,-1.6775629664791427,-1.6901217002026339,-1.6775629664791427,-1.6849721370914996,-1.676874072934045
21.02.2014,18.73,18.33,18.74,18.28,30579800,18.33,-1.7005646445394018,-1.6604269502046702,-1.7005646445394018,-1.6774112129966001,-1.687562542678089
24.02.2014,18.4,18.49,18.68,18.33,24145500,18.49,-1.6852301924992292,-1.6920374905250835,-1.6852301924992292,-1.6830819060677746,-1.6827041473398874
25.02.2014,18.52,18.48,18.55,18.36,21539100,18.48,-1.6861885957517397,-1.6805427485903877,-1.6861885957517397,-1.6953684077219866,-1.6797891101369662
26.02.2014,18.57,18.62,18.75,18.48,19820200,18.62,-1.6727709502165886,-1.6757532727842646,-1.6727709502165886,-1.6764660974847374,-1.6681289613252819
27.02.2014,18.62,18.59,18.62,18.4,20863900,18.59,-1.675646159974121,-1.6709637969781412,-1.675646159974121,-1.6887525991389494,-1.6759023938664048
28.02.2014,18.61,18.59,18.66,18.45,23482700,18.59,-1.675646159974121,-1.671921692139366,-1.675646159974121,-1.6849721370914996,-1.671043998528203
03.03.2014,18.43,18.39,18.46,18.24,25728500,18.39,-1.694814225024337,-1.6891638050414095,-1.694814225024337,-1.7038744473287486,-1.6914492589486507
04.03.2014,18.56,18.48,18.6,18.39,23661200,18.48,-1.6861885957517397,-1.6767111679454894,-1.6861885957517397,-1.6906428301626741,-1.676874072934045
05.03.2014,18.54,18.39,18.55,18.32,21036200,18.39,-1.694814225024337,-1.6786269582679385,-1.694814225024337,-1.6953684077219866,-1.6836758264075276
06.03.2014,18.45,18.49,18.51,18.3,22371700,18.49,-1.6852301924992292,-1.6872480147189601,-1.6852301924992292,-1.6991488697694364,-1.6856191845428083
07.03.2014,18.54,18.5,18.66,18.45,25373400,18.5,-1.6842717892467183,-1.6786269582679385,-1.6842717892467183,-1.6849721370914996,-1.671043998528203
10.03.2014,18.48,18.65,18.69,18.45,24908100,18.65,-1.6698957404590564,-1.6843743292352862,-1.6698957404590564,-1.6821367905559121,-1.671043998528203
11.03.2014,18.6,18.57,18.66,18.48,26656800,18.57,-1.6775629664791427,-1.6728795873005904,-1.6775629664791427,-1.6849721370914996,-1.6681289613252819
12.03.2014,18.51,18.59,18.68,18.48,21244800,18.59,-1.675646159974121,-1.6815006437516122,-1.675646159974121,-1.6830819060677746,-1.6681289613252819
13.03.2014,18.62,18.45,18.77,18.34,26243300,18.45,-1.6890638055092722,-1.6709637969781412,-1.6890638055092722,-1.6745758664610126,-1.681732468272247
14.03.2014,18.38,18.39,18.51,18.32,21807200,18.39,-1.694814225024337,-1.6939532808475328,-1.694814225024337,-1.6991488697694364,-1.6836758264075276
17.03.2014,18.5,18.54,18.63,18.39,18525800,18.54,-1.6804381762366751,-1.682458538912837,-1.6804381762366751,-1.687807483627087,-1.676874072934045
18.03.2014,18.53,18.63,18.69,18.43,26344000,18.63,-1.671812546964078,-1.6795848534291629,-1.671812546964078,-1.6821367905559121,-1.6729873566634836
19.03.2014,18.66,18.78,18.96,18.6,34229400,18.78,-1.657436498176416,-1.6671322163332427,-1.657436498176416,-1.656618671735626,-1.6564688125135973
20.03.2014,18.77,19.09,19.21,18.72,37009100,19.09,-1.6277259973485814,-1.6565953695597717,-1.6277259973485814,-1.6329907839390645,-1.6448086637019135
