Data,Abertura,Fechamento,Maxima,Minima,Volume,Ultimo,Ultimo_Padronizado,Abertura_Padronizado,Fechamento_Padronizado,Maxima_Padronizado,Minima_Padronizado
02.01.2014,114.42,113.39,114.53,113.19,4755639,113.39,-0.010529562782840163,0.035596137272193164,-0.010529562782840163,0.0007789805024762303,0.02069502902883858
03.01.2014,113.57,114.07,114.5,113.25,4250107,114.07,0.019073834229534268,-0.0014934934399624925,0.019073834229534268,-0.0005204416312042375,0.023329237023220352
06.01.2014,114.38,113.68,114.51,113.25,4254919,113.68,0.0020954153547905184,0.03385074288573853,0.0020954153547905184,-8.730091997720968e-05,0.023329237023220352
07.01.2014,113.92,115.95,116.34,113.91,6205186,115.95,0.10091852008727666,0.013778707441513584,0.10091852008727666,0.07917744923452824,0.052305524961418604
08.01.2014,115.71,114.88,115.77,114.45,4815470,114.88,0.05433670420015724,0.09188510623534613,0.05433670420015724,0.05448842869459997,0.07601339691085393
09.01.2014,115.52,114.52,115.82,114.01,4520080,114.52,0.038664317546547096,0.08359448289968799,0.038664317546547096,0.05665413225073388,0.05669587161872176
10.01.2014,115.09,114.45,115.25,113.85,4207430,114.45,0.03561690903056764,0.06483149324530388,0.03561690903056764,0.031965111710806224,0.04967131696703683
13.01.2014,113.84,112.55,114.26,112.37,6050796,112.55,-0.04709846497459736,0.010287918668604927,-0.04709846497459736,-0.010915818700647364,-0.01530581356104398
14.01.2014,113.1,113.63,113.94,112.38,4831683,113.63,-8.130501376694366e-05,-0.022001877480801246,-8.130501376694366e-05,-0.024776321459905482,-0.0148667788953141
15.01.2014,113.57,114.74,115.3,113.37,5038059,114.74,0.0482418871681977,-0.0014934934399624925,0.0482418871681977,0.03413081526694013,0.028597653011983897
16.01.2014,114.61,115.37,115.51,114.17,4989734,115.37,0.07566856381201591,0.0438867606078513,0.07566856381201591,0.04322677020270341,0.06372042627040607
17.01.2014,114.93,116.18,116.62,114.81,7996252,116.18,0.11093143378263888,0.057849915699486554,0.11093143378263888,0.09130538914887887,0.09181864487714395
21.01.2014,116.26,115.16,116.36,114.16,11585810,115.16,0.0665263382640763,0.11588427904909417,0.0665263382640763,0.08004373065698168,0.06328139160467557
22.01.2014,110.79,111.39,112.15,109.81,14430721,111.39,-0.09759837752511885,-0.12279840329854037,-0.09759837752511885,-0.10230850876950344,-0.12769868798799544
23.01.2014,110.89,111.68,112.28,110.45,7294699,111.68,-0.08497339938748817,-0.11843491733240472,-0.08497339938748817,-0.09667767952355516,-0.09960046938125758
24.01.2014,110.78,109.79,111.73,109.79,7207568,109.79,-0.16725342931894155,-0.12323475189515419,-0.16725342931894155,-0.12050041864102938,-0.12857675731945584
27.01.2014,109.77,108.73,109.8,108.58,5448196,108.73,-0.21339990113234936,-0.16730596015312715,-0.21339990113234936,-0.20409657590780325,-0.18169995187281993
28.01.2014,108.82,108.09,109.06,107.66,5578632,108.09,-0.24126192184987855,-0.20875907683141848,-0.24126192184987855,-0.2361489885385867,-0.22209114112000564
29.01.2014,107.55,107.81,109.11,107.5,5199561,107.81,-0.25345155591379764,-0.26417534860134445,-0.25345155591379764,-0.2339832849824528,-0.22911569577168994
30.01.2014,108.28,108.4,108.7,107.79,5076970,108.4,-0.22776625556482527,-0.23232190104855208,-0.22776625556482527,-0.2517420541427517,-0.2163836904655116
31.01.2014,107.63,107.98,108.69,107.16,5432296,107.98,-0.24605070666070386,-0.2606845598284358,-0.24605070666070386,-0.2521751948539787,-0.24404287440651956
03.02.2014,107.58,105.67,107.58,105.56,7517393,105.67,-0.34661518768803584,-0.26286630281150364,-0.34661518768803584,-0.3002538138001542,-0.31428842092336395
